Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,000755,ACER PAL BLOODGOOD,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,412802,ALOCASIA EBONY PPAF,EVS,39,4,0,0,4,$18.50 ,,
550000,087432,ALOCASIA SERENGETI PPAF,EVS,660,42,0,0,42,$8.50 ,,
,002535MU,AMEL AUTUMN BRILLIANCE R,,,,,,,,,
,001011,ARTEMISIA SCHM SILVER MOUND,,,,,,,,,
,001011,ARTEMISIA SCHM SILVER MOUND,,,,,,,,,
,003621,ASTILBE CHINENSIS VISIONS,,,,,,,,,
,027501,ASTILBE COLOR FLASH R PP17343,,,,,,,,,
,003541,ASTILBE RHEINLAND,,,,,,,,,
,001813,AZALEA GA KAREN,,,,,,,,,
,400982S,AZALEA LAVENDER JANE TM,,,,,,,,,
,025212,BAM-FARGESIA RUFA (CLUMP),,,,,,,,,
,035041,BOUG BENGAL ORANGE,,,,,,,,,
,013211,BOUG RASPBERRY ICE,,,,,,,,,
,013651,BRUNNERA MAC VARIEGATA,,,,,,,,,
,074411S,BUD LO&BEHLD R BLU CHP PP19991,,,,,,,,,
,407622S,BUD LO&BEHOLD BLU CHIP JR,,,,,,,,,
,401302,BUD SUMMER SKIES PP22465,,,,,,,,,
,077391S,BUDDLEJA MISS MOLLY PPAF,,,,,,,,,
,013825CN,BUXUS GREEN MOUNTAIN,,,,,,,,,
,013891,BUXUS GREEN VELVET,,,,,,,,,
,013833,BUXUS MIC WINTER GEM,,,,,,,,,
,013901,BUXUS S GREEN TOWER R PP15243,,,,,,,,,
,013902,BUXUS S GREEN TOWER R PP15243,,,,,,,,,
,02235UT,CAMPANULA CAR DEEP BLUE CLIPS,,,,,,,,,
,017412,CANNA TROPICANNA GLD TM P13809,,,,,,,,,
,022481,CANNA TROPICANNA TM PP10569,,,,,,,,,
,401767,CERCIS C THE RISING SUN P21451,,,,,,,,,
,017857,CERCIS LAVENDER TWIST R P10328,,,,,,,,,
,082452,CHAM PIS GOLDEN MOP,,,,,,,,,
,004221,CHRYS (LEUCANTH) X SUP SNOWCAP,,,,,,,,,
,027472,CLEM PANICULATA,,,,,,,,,
,027221,CLEM X COMTESSE DE BOUCHAUD,,,,,,,,,
,027261,CLEM X JACKMANII,,,,,,,,,
,027262,CLEM X JACKMANII,,,,,,,,,
,027461,CLEM X NIOBE,,,,,,,,,
