Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,00080M,ABELIA CHIN BRONZ ANNIV R PPAF,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,000805,ABELIA CHIN BRONZ ANNIV R PPAF,EVS,39,4,0,0,4,$18.50 ,,
550000,001351,ABELIA CHIN RUBY ANNIV TM PPAF,EVS,660,42,0,0,42,$8.50 ,,
,096081,,,,,,,,,,
,001391,,,,,,,,,,
,099571,,,,,,,,,,
,001882,,,,,,,,,,
,08030UT,,,,,,,,,,
,400561,,,,,,,,,,
,027501,,,,,,,,,,
,078761S,,,,,,,,,,
,007075,,,,,,,,,,
,008305,,,,,,,,,,
,400903,,,,,,,,,,
,022021,,,,,,,,,,
,407622S,,,,,,,,,,
,080812S,,,,,,,,,,
,077392S,,,,,,,,,,
,074402S,,,,,,,,,,
,013892,,,,,,,,,,
,013893,,,,,,,,,,
,013895,,,,,,,,,,
,023307,,,,,,,,,,
,401767,,,,,,,,,,
,058427,,,,,,,,,,
,02365M,,,,,,,,,,
,004221,,,,,,,,,,
,055211,,,,,,,,,,
,027261,,,,,,,,,,
,027061,,,,,,,,,,
,027461,,,,,,,,,,
,027961,,,,,,,,,,
,027961,,,,,,,,,,
,027735PT,,,,,,,,,,
,027862,,,,,,,,,,
,075697,,,,,,,,,,
,080842S,,,,,,,,,,
,030509,,,,,,,,,,
,097991,,,,,,,,,,
,084671,,,,,,,,,,
,098591,,,,,,,,,,
,004591,,,,,,,,,,
,031572,,,,,,,,,,
,004721,,,,,,,,,,
,085821,,,,,,,,,,
,054441,,,,,,,,,,
,054441,,,,,,,,,,
,054971,,,,,,,,,,
,002991,,,,,,,,,,
,034002,,,,,,,,,,
,033902,,,,,,,,,,
,036121,,,,,,,,,,
,035711,,,,,,,,,,
,412631,,,,,,,,,,
,023081,,,,,,,,,,
,036671,,,,,,,,,,
,089291,,,,,,,,,,
,063882,,,,,,,,,,
,064262,,,,,,,,,,
,039235,,,,,,,,,,
,067241,,,,,,,,,,
,040721,,,,,,,,,,
,040721,,,,,,,,,,
,034712,,,,,,,,,,
,036322,,,,,,,,,,
,034732,,,,,,,,,,
,041691,,,,,,,,,,
,006981,,,,,,,,,,
,093131,,,,,,,,,,
,082011,,,,,,,,,,
,092752,,,,,,,,,,
,403763,,,,,,,,,,
,403783,,,,,,,,,,
,403822S,,,,,,,,,,
,074562S,,,,,,,,,,
,074542S,,,,,,,,,,
,074572S,,,,,,,,,,
,077462S,,,,,,,,,,
,086315,,,,,,,,,,
,028225,,,,,,,,,,
,024373S,,,,,,,,,,
,024377PT,,,,,,,,,,
,042065,,,,,,,,,,
,044902,,,,,,,,,,
,014883,,,,,,,,,,
,021093,,,,,,,,,,
,044011,,,,,,,,,,
,053305,,,,,,,,,,
,054705,,,,,,,,,,
,088871,,,,,,,,,,
,009671,,,,,,,,,,
,009791,,,,,,,,,,
,009791,,,,,,,,,,
,059597TR,,,,,,,,,,
,062232,,,,,,,,,,
,062205,,,,,,,,,,
,039085,,,,,,,,,,
,010591,,,,,,,,,,
,06434UT,,,,,,,,,,
,06445UT,,,,,,,,,,
,064451,,,,,,,,,,
,06460UT,,,,,,,,,,
,052552,,,,,,,,,,
,049492,,,,,,,,,,
,065085,,,,,,,,,,
,065395,,,,,,,,,,
,049605,,,,,,,,,,
,082045,,,,,,,,,,
,070307,,,,,,,,,,
,066873,,,,,,,,,,
,047687,,,,,,,,,,
,066937,,,,,,,,,,
,020792S,,,,,,,,,,
,009803,,,,,,,,,,
,009805,,,,,,,,,,
,081595,,,,,,,,,,
,022642S,,,,,,,,,,
,069782,,,,,,,,,,
,071602,,,,,,,,,,
,042822S,,,,,,,,,,
,030902S,,,,,,,,,,
,011622S,,,,,,,,,,
,022152S,,,,,,,,,,
,07028EPT,,,,,,,,,,
,079382,,,,,,,,,,
,019541,,,,,,,,,,
,020411,,,,,,,,,,
,070591,,,,,,,,,,
,092351,,,,,,,,,,
,070741,,,,,,,,,,
,06559UT,,,,,,,,,,
,071572,,,,,,,,,,
,071572,,,,,,,,,,
,071865,,,,,,,,,,
,072922,,,,,,,,,,
,06571UT,,,,,,,,,,
,012655,,,,,,,,,,
,056232,,,,,,,,,,
,034482,,,,,,,,,,
,073402,,,,,,,,,,
,073742,,,,,,,,,,
,081702,,,,,,,,,,
,076395,,,,,,,,,,
,078712,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
