Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,00052M,ACER JAPONICUM ACONITIFOLIUM,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,000805,ACER PAL BURGUNDY LACE,EVS,39,4,0,0,4,$18.50 ,,
550000,021245,ACER PAL BUTTERFLY,EVS,660,42,0,0,42,$8.50 ,,
,000959ST,ACER PAL CRIMSON QUEEN,,,,,,,,,
,01039MST,ACER PAL RED DRAGON R,,,,,,,,,
,00090MST,ACER PAL WATERFALL,,,,,,,,,
,03033M,ACER SHIR AUTUMN MOON,,,,,,,,,
,001341,ACHILLEA MILL PAPRIKA,,,,,,,,,
,058251,ACHILLEA STRWBRY SDCTN P18401,,,,,,,,,
,001351,ACHILLEA X MOONSHINE,,,,,,,,,
,001881,AGAPANTHUS X MIDKNIGHT BLUE R,,,,,,,,,
,08030UT,AJUGA CHOCOLATE CHIP,,,,,,,,,
,00059UT,AJUGA REPTANS BURGUNDY GLOW,,,,,,,,,
,001955,ALBIZIA JUL ROSEA,,,,,,,,,
,029351,AQUILEGIA CAE ORIGAMI MIX,,,,,,,,,
,045931,AQUILEGIA CAE ORIGAMI YELLOW,,,,,,,,,
,002691,ARMERIA MAR COTTON TAIL,,,,,,,,,
,001591,ASTILBE BRIDAL VEIL,,,,,,,,,
,003501,ASTILBE FANAL,,,,,,,,,
,003541,ASTILBE RHEINLAND,,,,,,,,,
,016341,ASTILBE VISION IN RED PP11965,,,,,,,,,
,078762S,AZ BLM-A-THON TM DB PK PP21477,,,,,,,,,
,078752S,AZ BLM-A-THON TM LVNDR PP21476,,,,,,,,,
,078772S,AZ BLM-A-THON TM RED PP21562,,,,,,,,,
,007075,AZALEA EX CANNON'S DOUBLE,,,,,,,,,
,008305,AZALEA EX KLONDYKE,,,,,,,,,
,025212,BAM-FARGESIA RUFA (CLUMP),,,,,,,,,
,02471M,BETULA N SUMR CASCADE PP15150,,,,,,,,,
,012415ST,BETULA PENDULA YOUNGII,,,,,,,,,
,074412S,BUD LO&BEHLD R BLU CHP PP19991,,,,,,,,,
,013783,BUDDLEJA DAV BLACK KNIGHT,,,,,,,,,
,013763,BUDDLEJA DAV PETITE PLUM R,,,,,,,,,
,013563,BUDDLEJA DAV ROYAL RED,,,,,,,,,
,077392S,BUDDLEJA MISS MOLLY PPAF,,,,,,,,,
,074402S,BUDDLEJA X MISS RUBY PPAF,,,,,,,,,
,013825PY,BUXUS GREEN MOUNTAIN,,,,,,,,,
,013892,BUXUS GREEN VELVET,,,,,,,,,
,013833,BUXUS MIC WINTER GEM,,,,,,,,,
,013882,BUXUS SEMP VARIEGATA,,,,,,,,,
,023307,CEDRUS ATLANTICA GLAUCA,,,,,,,,,
,038415,CERCIS C HEARTS OF GOLD P17740,,,,,,,,,
,049545,CERCIS C LITTLE WOODY PPAF,,,,,,,,,
,017857,CERCIS LAVENDER TWIST R P10328,,,,,,,,,
,02365M,CHAM NOOT PENDULA,,,,,,,,,
,023912,CHAM OBT TEMPELHOF,,,,,,,,,
,038001,CLEM TEX PRINCESS DIANA,,,,,,,,,
,027301,CLEM VIT MADAME JULIA CORREVON,,,,,,,,,
,027011,CLEM X ERNEST MARKHAM,,,,,,,,,
,044481,CLEM X JACKMANII SUPERBA,,,,,,,,,
,027061,CLEM X MULTI-BLUE,,,,,,,,,
,027491,CLEM X ROUGE CARDINAL,,,,,,,,,
,027961,COREOPSIS VERT MOONBEAM,,,,,,,,,
,027971,COREOPSIS VERT ZAGREB,,,,,,,,,
,027732,CORNUS ALBA ELEGANTISSIMA,,,,,,,,,
,028142,COTINUS COG ROYAL PURPLE,,,,,,,,,
,023662,CROCOSMIA BABYLON,,,,,,,,,
,049231,DAPHNE ETRNL FRAGRANCE PP18361,,,,,,,,,
,004591,DELPHINIUM GRAND BLUE MIRROR,,,,,,,,,
,004721,DIANTHUS GRAT FIREWITCH,,,,,,,,,
,036471,DIANTHUS RASPBRY SWIRL PP14377,,,,,,,,,
,031611,DICENTRA X LUXURIANT,,,,,,,,,
,059711,ECHINACEA COCONUT LIME PP18617,,,,,,,,,
,037511,ECHINACEA GREEN EYES PP17172,,,,,,,,,
,047511,ECHINACEA PNK DBL DLITE P18803,,,,,,,,,
,036281,ECHINACEA SUNDOWN TM PP17659,,,,,,,,,
,034002,EUO F EMERALD 'N GOLD,,,,,,,,,
,033902,EUO F EMERALD GAIETY,,,,,,,,,
,034502,EUO F MOONSHADOW,,,,,,,,,
,074482S,EXOCHORDA SNW DAY R SUR P21665,,,,,,,,,
,083621,FERN-ADIANTUM PEDATUM,,,,,,,,,
,036121,FERN-ATHYRIUM NIP PICTUM,,,,,,,,,
,021221,FERN-DRYOPTERIS ERY BRILLIANCE,,,,,,,,,
,036451,FERN-MATTEUCCIA STRUTHIOPTERIS,,,,,,,,,
,037642,FUCHSIA SANTA CLAUS,,,,,,,,,
,044092,GARDENIA FROSTPROOF,,,,,,,,,
,037961,GAURA L SISKIYOU PINK,,,,,,,,,
,036481,GAURA PASSIONATE RAINBW P17002,,,,,,,,,
,023081,GERANIUM ROZANNE PP12175,,,,,,,,,
,035831,GR-CAREX MOR ICE DANCE,,,,,,,,,
,036671,GR-FESTUCA GLAUCA ELIJAH BLUE,,,,,,,,,
,038681,GR-HAKONECHLOA MACRA AUREOLA,,,,,,,,,
,061572,GR-MIS SIN VARIEGATUS,,,,,,,,,
,063882,GR-PAN VIR SHENANDOAH,,,,,,,,,
,064262,GR-PENN ALO HAMELN,,,,,,,,,
,089051,HELLE WINDCLIFF DBL PINK SDLNG,,,,,,,,,
,067241,HELLE WJEWELS R APRICOT BLUSH,,,,,,,,,
,039991,HELLE X IVORY PRINCE PP16199,,,,,,,,,
,017991,HELLEBORUS RED LADY,,,,,,,,,
,015521,HEUCHERA APPLE CRISP PPAF,,,,,,,,,
,023101,HEUCHERA FROSTED VIOLET P15085,,,,,,,,,
,047531,HEUCHERA GEORGIA PEACH PP19375,,,,,,,,,
,028871,HEUCHERA MARMALADE PP15945,,,,,,,,,
,040451,HEUCHERA PALACE PURPLE,,,,,,,,,
,040721,HEUCHERA PLUM PUDDING,,,,,,,,,
,076241,HEUCHERELLA REDSTONE FALLS PAF,,,,,,,,,
,055241,HIB R C'EST BON,,,,,,,,,
,025101,HOSTA CHRISTMAS TREE,,,,,,,,,
,017491,HOSTA FIRE & ICE,,,,,,,,,
,041531,HOSTA GINKO CRAIG,,,,,,,,,
,041651,HOSTA NIGHT BEFORE CHRISTMAS,,,,,,,,,
,041881,HOSTA PATRIOT,,,,,,,,,
,039472,HOSTA ROSEDALE GOLDEN GOOSE,,,,,,,,,
,088401,HUMULUS X NEWPORT,,,,,,,,,
,077442S,HYD ABRACADABRA TM ORB PP21635,,,,,,,,,
,063832,HYD ANG GOLDEN CRANE R,,,,,,,,,
,092752,HYD M ENCHANTRESS R PPAF,,,,,,,,,
,017315,HYD M ENDLESS SUMMER R PP15298,,,,,,,,,
,074561S,HYD MAC CTYLN TM PARIS PP10906,,,,,,,,,
,074542S,HYD MAC CTYLN TM RIO,,,,,,,,,
,074595,HYD MAC LD R MOONLIGHT PP20020,,,,,,,,,
,074585,HYD MAC LD R STARLIGHT PP20019,,,,,,,,,
,042025PT,HYD PAN ANGEL'S BLUSH R P10751,,,,,,,,,
,041702,HYD PETIOLARIS,,,,,,,,,
,080962S,HYD SER TUFF STUFF TM PPAF,,,,,,,,,
,044937,ILEX CREN SKY PENCIL(SKY SNTRY,,,,,,,,,
,045125,ILEX X BERRI-MAGIC R CHINA,,,,,,,,,
,045352,ILEX X LITTLE RASCAL R P9999,,,,,,,,,
,00794X,ILEX X OAK LEAF TM P9487,,,,,,,,,
,021092,ILEX X SCALLYWAG TM PP21941,,,,,,,,,
,044011,IRIS EN VARIEGATA,,,,,,,,,
,054707,LAG CATAWBA,,,,,,,,,
,008867,LAG DYNAMITE R P10296,,,,,,,,,
,009012,LAG POCOMOKE,,,,,,,,,
,056405,LAG WATERMELON RED,,,,,,,,,
,054575,LAG X ZUNI,,,,,,,,,
