Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
170000,058241,ACHILLEA APRICOT DLGHT PP18738,PRN,,,,,,,,
170000,024961,ACHILLEA MILL SUMMERWINE,PRN,,,,,,,,
170000,000511,ACHILLEA OERTEL'S ROSE,PRN,,,,,,,,
170000,058251,ACHILLEA STRWBRY SDCTN P18401,PRN,,,,,,,,
170000,001391,ACTINIDIA ARG ISSAI (FEMALE),VIN,,,,,,,,
170000,001881,AGAPANTHUS X MIDKNIGHT BLUE R,DCS,,,,,,,,
170000,058471,AGASTACHE AUR APRICOT SPRITE,PRN,,,,,,,,
170000,400521,AGASTACHE HYB BLUE BOA PP24050,PRN,,,,,,,,
170000,021251,AGASTACHE X BLUE FORTUNE,PRN,,,,,,,,
170000,08030UT,AJUGA CHOCOLATE CHIP,PRN,,,,,,,,
170000,00189UT,AJUGA REPTANS BRONZE BEAUTY,PRN,,,,,,,,
170000,00059UT,AJUGA REPTANS BURGUNDY GLOW,PRN,,,,,,,,
170000,00193UT,AJUGA REPTANS CATLIN'S GIANT,PRN,,,,,,,,
170000,412802,ALOCASIA EBONY PPAF,PRN,,,,,,,,
170000,087422,ALOCASIA IVORY COAST PPAF,PRN,,,,,,,,
170000,087432,ALOCASIA SERENGETI PPAF,PRN,,,,,,,,
170000,066382,ALST ROCK & ROLL R PP21001,PRN,,,,,,,,
170000,05908UT,AQUILEGIA C LITTLE LANTERNS,PRN,,,,,,,,
170000,045931,AQUILEGIA CAE ORIGAMI YELLOW,PRN,,,,,,,,
170000,00272UT,AQUILEGIA FLA CAMEO BLUE & WT,PRN,,,,,,,,
170000,059091,AQUILEGIA WINKY DBL RED & WT,PRN,,,,,,,,
170000,055482,ARALIA CORDATA GOTEMBA,PRN,,,,,,,,
170000,003151,ASPARAGUS MYERS,FRN,,,,,,,,
170000,003155,ASPARAGUS MYERS,FRN,,,,,,,,
170000,003621,ASTILBE CHINENSIS VISIONS,PRN,,,,,,,,
170000,027501,ASTILBE COLOR FLASH R PP17343,PRN,,,,,,,,
170000,027501,ASTILBE COLOR FLASH R PP17343,PRN,,,,,,,,
170000,003511,ASTILBE DEUTSCHLAND,PRN,,,,,,,,
170000,001641,ASTILBE JAPONICA EUROPA,PRN,,,,,,,,
170000,001671,ASTILBE MONTGOMERY,PRN,,,,,,,,
170000,00354UT,ASTILBE RHEINLAND,PRN,,,,,,,,
170000,003551,AUBRIETA ROKEY'S PURPLE,PRN,,,,,,,,
170000,078762S,AZ BLM-A-THON TM DB PK PP21477,RHO,,,,,,,,
170000,007772,AZALEA EX GOLDEN FLARE,RHO,,,,,,,,
170000,008362,AZALEA NL MANDARIN LIGHTS,RHO,,,,,,,,
170000,025212,BAM-FARGESIA RUFA (CLUMP),GRS,,,,,,,,
170000,05917UT,BELLIS PERENNIS ROMINETTE MIX,PRN,,,,,,,,
170000,074741S,BER SUNJOY R GOLD PILLAR PPAF,DCS,,,,,,,,
170000,035231,BER T GOLDEN RUBY R PP16203,DCS,,,,,,,,
170000,022021,BERGENIA COR WINTERGLOW,PRN,,,,,,,,
170000,012701,BOUG BARBARA KARST,VIN,,,,,,,,
170000,013051,BOUG PURPLE QUEEN R,VIN,,,,,,,,
170000,013051BH,BOUG PURPLE QUEEN R,VIN,,,,,,,,
170000,074411S,BUD LO&BEHLD R BLU CHP PP19991,DCS,,,,,,,,
170000,080812S,BUD LO&BEHLD R ICE CHIP PPAF,DCS,,,,,,,,
170000,401302,BUD SUMMER SKIES PP22465,DCS,,,,,,,,
170000,401232S,BUD TEMPTATIONS TM COTTON CNDY,DCS,,,,,,,,
170000,401262S,BUD TEMPTATIONS TM LAVNDR PTE,DCS,,,,,,,,
170000,034662S,BUDDLEJA DAV ADONIS BLUE TM,DCS,,,,,,,,
170000,034662S,BUDDLEJA DAV ADONIS BLUE TM,DCS,,,,,,,,
170000,013761,BUDDLEJA DAV PETITE PLUM R,DCS,,,,,,,,
170000,013571,BUDDLEJA DAV PETITE SNOW TM,DCS,,,,,,,,
170000,013561,BUDDLEJA DAV ROYAL RED,DCS,,,,,,,,
170000,077391S,BUDDLEJA MISS MOLLY PPAF,DCS,,,,,,,,
170000,077392S,BUDDLEJA MISS MOLLY PPAF,DCS,,,,,,,,
170000,074402S,BUDDLEJA X MISS RUBY PPAF,DCS,,,,,,,,
170000,02235UT,CAMPANULA CAR DEEP BLUE CLIPS,PRN,,,,,,,,
170000,022361,CAMPANULA PORTENSCHLAGIANA,PRN,,,,,,,,
170000,022711,CAMPSIS BALBOA SUNSET R,VIN,,,,,,,,
170000,022381,CAMPSIS FLAVA,VIN,,,,,,,,
170000,022551,CAMPSIS MADAME GALEN,VIN,,,,,,,,
170000,029211,CANNA TROP BLACK TM PP21350,PRN,,,,,,,,
170000,029211,CANNA TROP BLACK TM PP21350,PRN,,,,,,,,
170000,017411,CANNA TROPICANNA GLD TM P13809,PRN,,,,,,,,
170000,022481,CANNA TROPICANNA TM PP10569,PRN,,,,,,,,
170000,024191,CHELONE HOT LIPS,PRN,,,,,,,,
170000,412561,CHRY (LEU) REAL CHARMER PPAF,PRN,,,,,,,,
170000,412571,CHRY (LEU) REAL GALAXY PPAF,PRN,,,,,,,,
170000,006351,CHRY (LEU) SUP REAL DREAM PPAF,PRN,,,,,,,,
170000,02302UT,CHRYS (LEUCANTH) X SUP BECKY,PRN,,,,,,,,
170000,023021,CHRYS (LEUCANTH) X SUP BECKY,PRN,,,,,,,,
170000,00422UT,CHRYS (LEUCANTH) X SUP SNOWCAP,PRN,,,,,,,,
170000,039512,CIMI S BLACK NEGLIGEE (ACTAEA),PRN,,,,,,,,
170000,027251,CLEM INTEGRIFOLIA CAERULEA,PRN,,,,,,,,
170000,046252,CLEM LOUISE ROWE,VIN,,,,,,,,
170000,027472,CLEM PANICULATA,VIN,,,,,,,,
170000,021792,CLEM PIILU TM PPAF,VIN,,,,,,,,
170000,051481,CLEM VANCOUVER TM DANIELLE,VIN,,,,,,,,
170000,051482,CLEM VANCOUVER TM DANIELLE,VIN,,,,,,,,
170000,046271,CLEM VANCOUVER TM FRGRNT STAR,VIN,,,,,,,,
170000,048741,CLEM VANCOUVER TM STARRY NGHTS,VIN,,,,,,,,
170000,048741,CLEM VANCOUVER TM STARRY NGHTS,VIN,,,,,,,,
170000,048742,CLEM VANCOUVER TM STARRY NGHTS,VIN,,,,,,,,
