Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
,00059UT,AJUGA REPTANS BURGUNDY GLOW,,,,,,,,,
,00089UT,ARMERIA MAR SPLENDENS,,,,,,,,,
,078761S,AZ BLM-A-THON TM DB PK PP21477,,,,,,,,,
,02302UT,CHRYS (LEUCANTH) X SUP BECKY,,,,,,,,,
,018411,CORE CRUZIN' TM MAIN STRT PAF,,,,,,,,,
,00659UT,COREOPSIS GRAND 'HELIOT',,,,,,,,,
,03420UT,DELOSPERMA COOPERI,,,,,,,,,
,00459UT,DELPHINIUM GRAND BLUE MIRROR,,,,,,,,,
,00472UT,DIANTHUS GRAT FIREWITCH,,,,,,,,,
,03647UT,DIANTHUS RASPBRY SWIRL PP14377,,,,,,,,,
,08702UT,ECHINACEA CHEYENNE SPIRIT,,,,,,,,,
,038921,ECHINACEA MAC'N CHEESE PP19464,,,,,,,,,
,00299UT,ECHINACEA POWWOW R WILDBERRY,,,,,,,,,
,057301,ECHINACEA TOMATO SOUP PPAF,,,,,,,,,
,035711,GAILLARDIA ARIZONA SUN,,,,,,,,,
,023081,GERANIUM ROZANNE PP12175,,,,,,,,,
,04012UT,HEM LITTLE GRAPETTE,,,,,,,,,
,04011UT,HEM STELLA DE ORO,,,,,,,,,
,040111,HEM STELLA DE ORO,,,,,,,,,
,04664UT,HEUCHERA VIL CARAMEL PP16560,,,,,,,,,
,006861,HOSTA BIG DADDY,,,,,,,,,
,017531,HOSTA JUNE,,,,,,,,,
,028391,HOSTA OLIVE BAILEY LANGDON,,,,,,,,,
,041881,HOSTA PATRIOT,,,,,,,,,
,017311S,HYD M ENDLESS SUMMER R PP15298,,,,,,,,,
,080961S,HYD SER TUFF STUFF TM PPAF,,,,,,,,,
,009671,LIRIOPE MUSCARI BIG BLUE,,,,,,,,,
,009791,LIRIOPE MUSCARI VARIEGATA,,,,,,,,,
,09238UT,MAN SUN PAR R GARDEN CRIMSON,,,,,,,,,
,062231,NAND DOM FIREPOWER,,,,,,,,,
,06228UT,NEPETA X FAASS WALKER'S LOW,,,,,,,,,
,066811,PENSTEMON X PRETTY PETTICOAT,,,,,,,,,
,06254UT,PHLOX PANICULATA LAURA,,,,,,,,,
,06263UT,PLATYCODON GR ASTRA WHITE,,,,,,,,,
,079382,RUBUS RSPBRY SHRTCKE TM P22141,,,,,,,,,
,071011,RUDBECKIA FULGIDA GOLDSTURM,,,,,,,,,
,07026UT,SALVIA X SYL MAY NIGHT,,,,,,,,,
,07094UT,SEDUM BRONZE CARPET,,,,,,,,,
,070741,SEDUM X AUTUMN JOY,,,,,,,,,
