Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
,001391,ACTINIDIA ARG ISSAI (FEMALE),,,,,,,,,
,003451,ASPIDISTRA ELATIOR,,,,,,,,,
,01370UTCN,BUXUS MIC FAULKNER,,,,,,,,,
,01388UT,BUXUS SEMP VARIEGATA,,,,,,,,,
,017855,CERCIS LAVENDER TWIST R P10328,,,,,,,,,
,08240UT,CHAM PIS BABY BLUE,,,,,,,,,
,082401,CHAM PIS BABY BLUE,,,,,,,,,
,082402,CHAM PIS BABY BLUE,,,,,,,,,
,045281,CORNUS ALBA PRAIRIE FIRE AUREA,,,,,,,,,
,027795,CORNUS KOUSA SATOMI,,,,,,,,,
,02855UT,COT APICULATUS TOM THUMB,,,,,,,,,
,03420UT,DELOSPERMA COOPERI,,,,,,,,,
,035855,FAGUS SYL PURPLE FOUNTAIN,,,,,,,,,
,035795,FAGUS SYL RIVERSII,,,,,,,,,
,020515,FAGUS SYL ROHAN OBELISK(RED OB,,,,,,,,,
,04859UT,GAZANIA LIN COLORADO GOLD R,,,,,,,,,
,038355,GINKGO BIL AUTUMN GOLD,,,,,,,,,
,041701,HYD PETIOLARIS,,,,,,,,,
,044945,ILEX CREN STEEDS UPRIGHT,,,,,,,,,
,060322,LEUCOSCEPTRUM JAP GOLDEN ANGEL,,,,,,,,,
,058851,LIRIOPE MUSCARI MAJESTIC,,,,,,,,,
,009761,LIRIOPE MUSCARI MONROE'S WHITE,,,,,,,,,
,060437,MAG G BRACKENS BROWN BEAUTY,,,,,,,,,
,060401,MAG STELLATA ROYAL STAR,,,,,,,,,
,036165,METASEQUOIA G OGON GOLD RUSH,,,,,,,,,
,077131,OSTEO AVALANCHE PP22705,,,,,,,,,
,079351,OSTEO PURPLE MOUNTAIN R,,,,,,,,,
,068262,PHYSOCARPUS OPU DART'S GOLD,,,,,,,,,
,028561,PICEA PUN WALDBRUNN,,,,,,,,,
,066771,POTENTILLA RED ACE,,,,,,,,,
,066741,POTENTILLA SUNSET,,,,,,,,,
,016515,PRUNUS AMANOGAWA,,,,,,,,,
,016525,PRUNUS DREAM CATCHER,,,,,,,,,
,028025,PRUNUS SER ANGELS BLSH R TAIZO,,,,,,,,,
,036292,ROSA FLWR CAR R AMBER PPAF,,,,,,,,,
,030902S,ROSA KNCK OUT R DBL RD P16202,,,,,,,,,
,070465,SALIX CAP KILMARNOCK(S C PEND),,,,,,,,,
,071185,SORBUS HUPEHEN CORAL FIRE TM,,,,,,,,,
,071801S,SYRINGA V ANGEL WHITE,,,,,,,,,
,072395,TAXUS CUS CAPITATA,,,,,,,,,
,055972,THUJA OC GOLDEN TUFFET,,,,,,,,,
,046822,THUJA OR MORGAN,,,,,,,,,
,019451,THUJA PLICATA SUNSHINE,,,,,,,,,
,056525,ULMUS X FRONTIER,,,,,,,,,
,077231,YUCCA FIL GOLDEN SWORD,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
