Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
160000,019342,ABIES LAS GLAUCA COMPACTA,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
160000,00095MST,ACER PAL CRIMSON QUEEN,EVS,39,4,0,0,4,$18.50 ,,
160000,01039MST,ACER PAL RED DRAGON,EVS,660,42,0,0,42,$8.50 ,,
160000,00090MST,ACER PAL WATERFALL,,,,,,,,,
170000,001965,ALBIZIA JUL OMBRELLA TM,,,,,,,,,
160000,019461,ARMERIA MAR RUBRIFOLIA,,,,,,,,,
160000,001591,ASTILBE BRIDAL VEIL,,,,,,,,,
550000,003621,ASTILBE CHINENSIS VISIONS,,,,,,,,,
160000,003501,ASTILBE FANAL,,,,,,,,,
160000,034331,ASTILBE MAGGIE DALEY,,,,,,,,,
550000,059151,ASTILBE VISION IN PINK PP11860,,,,,,,,,
160000,016341,ASTILBE VISION IN RED PP11965,,,,,,,,,
550000,016341,ASTILBE VISION IN RED PP11965,,,,,,,,,
160000,007772,AZALEA EX GOLDEN FLARE,,,,,,,,,
160000,007602,AZALEA GR ROSE,,,,,,,,,
160000,007782,AZALEA NL GOLDEN LIGHTS,,,,,,,,,
160000,008362,AZALEA NL MANDARIN LIGHTS,,,,,,,,,
160000,012031,BER GOLDN NUGGET TM P9577 CBR,,,,,,,,,
170000,012031,BER GOLDN NUGGET TM P9577 CBR,,,,,,,,,
160000,002242,BER T CONCORDE,,,,,,,,,
160000,012052,BER T CRIMSON PYGMY,,,,,,,,,
160000,035232,BER T GOLDEN RUBY R PP16203,,,,,,,,,
160000,012105,BER T HELMOND PILLAR,,,,,,,,,
160000,012205,BER T ROSE GLOW,,,,,,,,,
170000,013835CN,BUXUS MIC WINTER GEM,,,,,,,,,
160000,013905,BUXUS S GREEN TOWER R PP15243,,,,,,,,,
170000,022711,CAMPSIS BALBOA SUNSET R,,,,,,,,,
170000,023577,CERCIS CAN OKLAHOMA,,,,,,,,,
170000,017855,CERCIS LAVENDER TWIST R P10328,,,,,,,,,
160000,027472,CLEM PANICULATA,,,,,,,,,
160000,027475,CLEM PANICULATA,,,,,,,,,
160000,015901,CLEM X BLUE LIGHT R PP15953,,,,,,,,,
