Loc,Item,Description,Botanical Name,Common Name,,,,,,,,,,,,,,,,,
GA,001651,AGAPANTHUS AFRICANUS,Agapanthus africanus                                        ,Lily Of The Nile                                            ,,,,,,,,,,,,,,,,,
GA,001705,AGAPANTHUS ALBUS,Agapanthus africanus 'Albus'                                ,White Lily Of The Nile                                      ,,,,,,,,,,,,,,,,,
GA,099571,AGAPANTHUS BABY PETE TMPP21705,"Agapanthus praecox ssp. orientalis 'Benfran' P.P. #21,705   ",Baby Pete™  Lily Of The Nile,,,,,,,,,,,,,,,,,
GA,070372,AGAPANTHUS MOOD INDIGO,Agapanthus 'Mood Indigo'                                    ,Mood Indigo Lily of the Nile                                ,,,,,,,,,,,,,,,,,
GA,070375,AGAPANTHUS MOOD INDIGO,Agapanthus 'Mood Indigo'                                    ,Mood Indigo Lily of the Nile                                ,,,,,,,,,,,,,,,,,
GA,001882,AGAPANTHUS X MIDKNIGHT BLUE R,Agapanthus x 'Monmid'                                       ,Midknight Blue®  Agapanthus,,,,,,,,,,,,,,,,,
GA,021251,AGASTACHE X BLUE FORTUNE,Agastache 'Blue Fortune'                                    ,Blue Fortune Hyssop                                         ,,,,,,,,,,,,,,,,,
GA,002565,AKEBIA QUINATA SHIRO BANA,Akebia quinata 'Shirobana'                                  ,White Flowered Chocolate Vine                               ,,,,,,,,,,,,,,,,,
GA,412802,ALOCASIA EBONY PPAF,Alocasia 'Ebony' P.P.A.F.                                   ,Ebony Elephant Ears                                         ,,,,,,,,,,,,,,,,,
GA,087422,ALOCASIA IVORY COAST PPAF,Alocasia 'Ivory Coast' P.P.A.F.                             ,Ivory Coast Elephant Ears                                   ,,,,,,,,,,,,,,,,,
GA,087432,ALOCASIA SERENGETI PPAF,Alocasia Serengeti' PPAF                                    ,Serengeti Elephant Ear                                      ,,,,,,,,,,,,,,,,,
GA,002911,ARDISIA J CHIRIMEN,Ardisia japonica 'Chirimen'                                 ,Chirimen Marlberry                                          ,,,,,,,,,,,,,,,,,
GA,003155,ASPARAGUS MYERS,Asparagus densiflorus 'Myers'                               ,Foxtail Fern                                                ,,,,,,,,,,,,,,,,,
GA,003451,ASPIDISTRA ELATIOR,Aspidistra elatior                                          ,Cast Iron Plant                                             ,,,,,,,,,,,,,,,,,
GA,003411,ASTER PURPLE DOME,Aster novae-angliae 'Purple Dome'                           ,Purple Dome New England Aster                               ,,,,,,,,,,,,,,,,,
GA,003565,AUCUBA MR GOLDSTRIKE,Aucuba japonica 'Mr. Goldstrike'                            ,Mr. Goldstrike Aucuba                                       ,,,,,,,,,,,,,,,,,
GA,003567,AUCUBA MR GOLDSTRIKE,Aucuba japonica 'Mr. Goldstrike'                            ,Mr. Goldstrike Aucuba                                       ,,,,,,,,,,,,,,,,,
GA,078751S,AZ BLM-A-THON TM LVNDR PP21476,"Rhododendron x 'RLH14P19' P.P.# 21,476                      ",Bloom-A-Thon®  Lavender Reblooming Azalea,,,,,,,,,,,,,,,,,
GA,078781S,AZ BLM-A-THON TM WHITE PP21512,"Rhododendron x 'RLH1-3P3' P.P.#21,512                       ",Bloom-A-Thon®  White Reblooming Azalea,,,,,,,,,,,,,,,,,
GA,412551,BAPTISIA PRAIRIEBLUES TM MDNGT,Baptisia 'Midnight' P.P.# 20432                             ,Midnight Prairieblues™  Indigo,,,,,,,,,,,,,,,,,
GA,012511,BIGNONIA CAP TANGERINE BEAUTY,Bignonia capreolata 'Tangerine Beauty'                      ,Tangerine Beauty Crossvine                                  ,,,,,,,,,,,,,,,,,
GA,012701,BOUG BARBARA KARST,Bougainvillea 'Barbara Karst'                               ,Barbara Karst Bougainvillea                                 ,,,,,,,,,,,,,,,,,
GA,012705,BOUG BARBARA KARST,Bougainvillea 'Barbara Karst'                               ,Barbara Karst Bougainvillea                                 ,,,,,,,,,,,,,,,,,
GA,012705PT,BOUG BARBARA KARST,Bougainvillea 'Barbara Karst'                               ,Barbara Karst Bougainvillea                                 ,,,,,,,,,,,,,,,,,
GA,035041,BOUG BENGAL ORANGE,Bougainvillea 'Bengal Orange'                               ,Bengal Orange Bougainvillea                                 ,,,,,,,,,,,,,,,,,
GA,035045PT,BOUG BENGAL ORANGE,Bougainvillea 'Bengal Orange'                               ,Bengal Orange Bougainvillea                                 ,,,,,,,,,,,,,,,,,
GA,013265PT,BOUG OO-LA-LA R,Bougainvillea 'Monka'                                       ,Oo-La-La®  Bougainvillea,,,,,,,,,,,,,,,,,
GA,013051BH,BOUG PURPLE QUEEN R,Bougainvillea 'Moneth'                                      ,Purple Queen®  Bougainvillea,,,,,,,,,,,,,,,,,
GA,013052BH,BOUG PURPLE QUEEN R,Bougainvillea 'Moneth'                                      ,Purple Queen®  Bougainvillea,,,,,,,,,,,,,,,,,
GA,013055,BOUG PURPLE QUEEN R,Bougainvillea 'Moneth'                                      ,Purple Queen®  Bougainvillea,,,,,,,,,,,,,,,,,
GA,013055BH,BOUG PURPLE QUEEN R,Bougainvillea 'Moneth'                                      ,Purple Queen®  Bougainvillea,,,,,,,,,,,,,,,,,
GA,013215PT,BOUG RASPBERRY ICE,Bougainvillea 'Raspberry Ice'                               ,Raspberry Ice Bougainvillea                                 ,,,,,,,,,,,,,,,,,
GA,013432,BRUNFELSIA MAGNIFICA,Brunfelsia magnifica                                        ,Magnificent Brunfelsia                                      ,,,,,,,,,,,,,,,,,
GA,013435,BRUNFELSIA MAGNIFICA,Brunfelsia magnifica                                        ,Magnificent Brunfelsia                                      ,,,,,,,,,,,,,,,,,
GA,034665,BUDDLEJA DAV ADONIS BLUE TM,Buddleja davidii 'Adokeep'                                  ,English Butterfly™  Adonis Blue™  Butterfly Bush,,,,,,,,,,,,,,,,,
GA,013701,BUXUS MIC FAULKNER,Buxus microphylla 'Faulkner'                                ,Faulkner Boxwood                                            ,,,,,,,,,,,,,,,,,
GA,013702,BUXUS MIC FAULKNER,Buxus microphylla 'Faulkner'                                ,Faulkner Boxwood                                            ,,,,,,,,,,,,,,,,,
GA,01370UTCN,BUXUS MIC FAULKNER,Buxus microphylla 'Faulkner'                                ,Faulkner Boxwood                                            ,,,,,,,,,,,,,,,,,
GA,013835CN,BUXUS MIC WINTER GEM,Buxus microphylla japonica 'Winter Gem'                     ,Winter Gem Boxwood                                          ,,,,,,,,,,,,,,,,,
GA,013837,BUXUS MIC WINTER GEM,Buxus microphylla japonica 'Winter Gem'                     ,Winter Gem Boxwood                                          ,,,,,,,,,,,,,,,,,
GA,013837CN,BUXUS MIC WINTER GEM,Buxus microphylla japonica 'Winter Gem'                     ,Winter Gem Boxwood                                          ,,,,,,,,,,,,,,,,,
GA,054132,BUXUS SEMP UNRAVELED,Buxus sempervirens 'Unraveled'                              ,Unraveled American Boxwood                                  ,,,,,,,,,,,,,,,,,
GA,013882,BUXUS SEMP VARIEGATA,Buxus sempervirens 'Variegata'                              ,Variegated English Boxwood                                  ,,,,,,,,,,,,,,,,,
GA,014401,CALLISTEMON LITTLE JOHN,Callistemon citrinus 'Little John'                          ,Dwarf Bottlebrush                                           ,,,,,,,,,,,,,,,,,
GA,014402,CALLISTEMON LITTLE JOHN,Callistemon citrinus 'Little John'                          ,Dwarf Bottlebrush                                           ,,,,,,,,,,,,,,,,,
GA,014405PT,CALLISTEMON LITTLE JOHN,Callistemon citrinus 'Little John'                          ,Dwarf Bottlebrush                                           ,,,,,,,,,,,,,,,,,
GA,029211,CANNA TROP BLACK TM PP21350,"Canna indica 'Lon01' P.P.#21,350                            ",Tropicanna®  Black Canna,,,,,,,,,,,,,,,,,
GA,017382,CEPHALOTAXUS HAR FASTIGIATA,Cephalotaxus harringtonia 'Fastigiata'                      ,Upright Japanese Plum Yew                                   ,,,,,,,,,,,,,,,,,
GA,017385,CEPHALOTAXUS HAR FASTIGIATA,Cephalotaxus harringtonia 'Fastigiata'                      ,Upright Japanese Plum Yew                                   ,,,,,,,,,,,,,,,,,
GA,024795,CITRUS CAMPBELL VALENCIA,Citrus sinensis 'Campbell'                                  ,Campbell Valencia Orange                                    ,,,,,,,,,,,,,,,,,
GA,024815,CITRUS DWF CAMPBELL VALENCIA,Citrus sinensis 'Dwarf Campbell'                            ,Dwarf Campbell Valencia Orange                              ,,,,,,,,,,,,,,,,,
GA,025745,CITRUS DWF LISBON LEMON,Citrus limon 'Dwarf Lisbon'                                 ,Dwarf Lisbon Lemon                                          ,,,,,,,,,,,,,,,,,
GA,026105,CITRUS DWF WASHINGTON NAVEL,Citrus sinensis 'Dwarf Washington Navel'                    ,Dwarf Washington Navel Orange                               ,,,,,,,,,,,,,,,,,
GA,025055,CITRUS EUREKA LEMON,Citrus limon 'Eureka'                                       ,Eureka Lemon                                                ,,,,,,,,,,,,,,,,,
GA,026005PT,CITRUS IMPROVED MEYER LEMON,Citrus limon 'Meyer Improved'                               ,Improved Meyer Lemon                                        ,,,,,,,,,,,,,,,,,
GA,025602,CITRUS KUMQUAT NAGAMI,Fortunella margarita 'Nagami'                               ,Nagami Kumquat                                              ,,,,,,,,,,,,,,,,,
GA,025602PT,CITRUS KUMQUAT NAGAMI,Fortunella margarita 'Nagami'                               ,Nagami Kumquat                                              ,,,,,,,,,,,,,,,,,
GA,025605,CITRUS KUMQUAT NAGAMI,Fortunella margarita 'Nagami'                               ,Nagami Kumquat                                              ,,,,,,,,,,,,,,,,,
GA,025605PT,CITRUS KUMQUAT NAGAMI,Fortunella margarita 'Nagami'                               ,Nagami Kumquat                                              ,,,,,,,,,,,,,,,,,
GA,025785PT,CITRUS LISBON LEMON,Citrus limon 'Lisbon'                                       ,Lisbon Lemon                                                ,,,,,,,,,,,,,,,,,
GA,026605,CITRUS OWA SATSUMA MANDARIN,Citrus reticulata 'Owari'                                   ,Owari Satsuma Mandarin Orange                               ,,,,,,,,,,,,,,,,,
GA,026605PT,CITRUS OWA SATSUMA MANDARIN,Citrus reticulata 'Owari'                                   ,Owari Satsuma Mandarin Orange                               ,,,,,,,,,,,,,,,,,
GA,026055,CITRUS WASHINGTON NAVEL ORANGE,Citrus sinensis 'Washington'                                ,Washington Navel Orange                                     ,,,,,,,,,,,,,,,,,
GA,030445,CLIVIA BELGIAN HYB ORANGE,Clivia miniata 'Belgian Hybrid Orange'                      ,Belgian Hybrid Orange Bush Lily                             ,,,,,,,,,,,,,,,,,
GA,024175,COLOCASIA ANT ILLUSTRIS,Colocasia esculenta var. antiquorum 'Illustris'             ,Imperial Taro                                               ,,,,,,,,,,,,,,,,,
GA,024205,COLOCASIA ESC BLACK MAGIC,Colocasia esculenta 'Black Magic'                           ,Black Magic Elephant Ear                                    ,,,,,,,,,,,,,,,,,
GA,408495,COLOCASIA RYL HWN R HAWAN PNCH,Colocasia esculenta 'Hawaiian Punch' P.P.A.F.               ,Royal Hawaiian®  Hawaiian Punch Elephant Ear,,,,,,,,,,,,,,,,,
GA,412581,COLOCASIA RYL HWN R MAUI GOLD,"Colocasia esculenta 'Maui Gold' P.P.# #24,482               ",Royal Hawaiian®  Maui Gold Elephant Ear,,,,,,,,,,,,,,,,,
GA,412585,COLOCASIA RYL HWN R MAUI GOLD,"Colocasia esculenta 'Maui Gold' P.P.# #24,482               ",Royal Hawaiian®  Maui Gold Elephant Ear,,,,,,,,,,,,,,,,,
GA,068081,CORE BIGBANG TM RDSHFT PP20412,"Coreopsis x 'Redshift' P.P.# 20,412                         ",Big Bang™  Redshift Tickseed,,,,,,,,,,,,,,,,,
GA,408551,CORE LIL' BANG TM DAYBREAK PAF,Coreopsis 'Daybreak' P.P.A.F.                               ,Lil' Bang™  Daybreak Tickseed,,,,,,,,,,,,,,,,,
GA,408541,CORE LIL' BANG TM RED ELF,Coreopsis x 'Red Elf' P.P.A.F.                              ,Lil' Bang™  Red Elf Tickseed,,,,,,,,,,,,,,,,,
GA,408531,CORE LIL' BANG TM STARLIGHT,Coreopsis 'Starlight' P.P.A.F.                              ,Lil' Bang™  Starlight Tickseed,,,,,,,,,,,,,,,,,
GA,027971,COREOPSIS VERT ZAGREB,Coreopsis verticillata 'Zagreb'                             ,Zagreb Threadleaf Tickseed                                  ,,,,,,,,,,,,,,,,,
GA,030507,CUP LEYLANDII,x Cupressocyparis leylandii                                 ,Leyland Cypress                                             ,,,,,,,,,,,,,,,,,
GA,030491,CUPHEA HYSSOPIFOLIA,Cuphea hyssopifolia                                         ,Mexican Heather                                             ,,,,,,,,,,,,,,,,,
GA,078741,DELOSPERMA FIRE SPINNER R,Delosperma 'P001S'                                          ,Fire Spinner®  Ice Plant,,,,,,,,,,,,,,,,,
GA,097231,DELOSPERMA FIRE WONDER PPAF,Delosperma 'Fire Wonder' P.P.A.F.                           ,Wheels of Wonder®  Fire Wonder Ice Plant,,,,,,,,,,,,,,,,,
GA,097892S,DISTYLIUM BLUE CASCADE R PPAF,"Distylium 'PIIDIST-II' PP#24,409                            ",Blue Cascade®  Evergreen Distylium,,,,,,,,,,,,,,,,,
GA,412611,ECHIN DBL SCP TM CRANBRY PPAF,"Echinacea x purpurea 'Balscanery' P.P.# 24,769              ",Double Scoop™  Cranberry Echinacea,,,,,,,,,,,,,,,,,
GA,086841,ECHIN SMBRO TM SALSA RD P23105,"Echinacea x 'Balsomsed' P.P.#23,105                         ",Sombrero™  Salsa Red Coneflower,,,,,,,,,,,,,,,,,
GA,007051,ECHIN SUPREME CANTALOUPE PPAF,Echinacea 'Supreme Cantaloupe' P.P.A.F.                     ,Supreme Cantaloupe Coneflower                               ,,,,,,,,,,,,,,,,,
GA,407711,ECHIN VANILLA CUPCAKE,"Echinacea 'Vanilla Cupcake' P.P. 24,506                     ",Vanilla Cupcake™  Echinacea,,,,,,,,,,,,,,,,,
GA,087021,ECHINACEA CHEYENNE SPIRIT,Echinacea hybrida 'Cheyenne Spirit'                         ,Cheyenne Spirit Echinacea                                   ,,,,,,,,,,,,,,,,,
