Branch,item,Description,
160000,035282,AGAPANTHUS AFR SUN STRIPE R,
160000,035285,AGAPANTHUS AFR SUN STRIPE R,
160000,066131,AGAPANTHUS AFR THUMBELINA,
160000,001651,AGAPANTHUS AFRICANUS,
160000,001655,AGAPANTHUS AFRICANUS,
160000,001701,AGAPANTHUS ALBUS,
160000,001705,AGAPANTHUS ALBUS,
160000,09957UT,AGAPANTHUS BABY PETE ™PP21705,
160000,099571,AGAPANTHUS BABY PETE ™PP21705,
160000,050011,AGAPANTHUS BLUE LEAP,
160000,050012,AGAPANTHUS BLUE LEAP,
160000,050015,AGAPANTHUS BLUE LEAP,
160000,001732,AGAPANTHUS BLUE STORM PP14332,
160000,050002,AGAPANTHUS INAPTERUS GRASKOP,
160000,070371,AGAPANTHUS MOOD INDIGO,
160000,070372,AGAPANTHUS MOOD INDIGO,
160000,070375,AGAPANTHUS MOOD INDIGO,
160000,042432,AGAPANTHUS ORI BLACK PANTHA,
160000,072435,AGAPANTHUS ORI BLACK PANTHA,
160000,001751,AGAPANTHUS PETER PAN,
160000,001752,AGAPANTHUS PETER PAN,
160000,001801,AGAPANTHUS QUEEN ANNE-DIVISION,
160000,001805,AGAPANTHUS QUEEN ANNE-DIVISION,
160000,070381,AGAPANTHUS RANCHO WHITE,
160000,001912,AGAPANTHUS SNOWSTORM ™ P12554,
160000,038592,AGAPANTHUS STORM CLOUD,
160000,001881,AGAPANTHUS X MIDKNIGHT BLUE R,
160000,001882,AGAPANTHUS X MIDKNIGHT BLUE R,
160000,001885,AGAPANTHUS X MIDKNIGHT BLUE R,
160000,030441,CLIVIA BELGIAN HYB ORANGE,
160000,030442,CLIVIA BELGIAN HYB ORANGE,
160000,030445,CLIVIA BELGIAN HYB ORANGE,
160000,028841,CLIVIA BELGIUM HYB YELLOW,
160000,028842,CLIVIA BELGIUM HYB YELLOW,
160000,027602,CLIVIA MIN FLAME R,
160000,027605,CLIVIA MIN FLAME R,
160000,084531,CORD FESTIVAL TM LIME PPAF,
160000,031731,CORD FESTIVAL ™ BRGNDY P14224,
160000,031732,CORD FESTIVAL ™ BRGNDY P14224,
160000,075251,CORD FESTIVAL ™ RASPBERRY PAF,
160000,075252,CORD FESTIVAL ™ RASPBERRY PAF,
160000,027851,CORDYLINE AUS TORBAY DAZZLER,
160000,027855,CORDYLINE AUS TORBAY DAZZLER,
160000,094081S,CORDYLINE B ELECTRIC PINK PPAF,
160000,03172UT,CORDYLINE BAUERI,
160000,031721,CORDYLINE BAUERI,
160000,031725,CORDYLINE BAUERI,
160000,038821,CORDYLINE BURGUNDY SPIRE PPAF,
160000,038825,CORDYLINE BURGUNDY SPIRE PPAF,
160000,092731,CORDYLINE CABERNETT,
160000,031701,CORDYLINE INDIVISA,
160000,031705,CORDYLINE INDIVISA,
160000,054781,CORDYLINE PINK PASSION PPAF,
160000,017421,CORDYLINE RED STAR,
160000,025345,DASYLIRION LONGISSIUM,
160000,025349,DASYLIRION LONGISSIUM,
160000,034845,DASYLIRION TEXANUM,
160000,029585,DASYLIRION WHEELERI,
