Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
170000,1468743,2015 SPRING SBO               ,ABELIA EDWARD GOUCHER,EVS,,,,,,,
170000,1468203,2015 SPRING SBO               ,ABELIA GRA ROSE CREEK,EVS,,,,,,,
170000,1468203,2015 SPRING SBO               ,ABELIA SUNSHNE DAYDRM PP20961,EVS,,,,,,,
170000,1469383,2015 SPRING SBO               ,ACER PAL CRIMSON QUEEN,TRE,,,,,,,
170000,1469383,2015 SPRING SBO               ,ACER PAL WATERFALL,TRE,,,,,,,
170000,1469383,2015 SPRING SBO               ,ACER PLAT CRIMSON KING,TRE,,,,,,,
170000,1468743,2015 SPRING SBO               ,AGAPANTHUS X MIDKNIGHT BLUE R,DCS,,,,,,,
170000,1468203,2015 SPRING SBO               ,AGAPANTHUS X MIDKNIGHT BLUE R,DCS,,,,,,,
170000,1468203,2015 SPRING SBO               ,AGASTACHE HYB BLUE BOA PP24050,PRN,,,,,,,
170000,1468743,2015 SPRING SBO               ,AGAVE UTAHENSIS SSP UTAHENSIS,CAC,,,,,,,
170000,1468203,2015 SPRING SBO               ,AJUGA REPTANS BRONZE BEAUTY,PRN,,,,,,,
170000,1468743,2015 SPRING SBO               ,ALBIZIA J SUMMER CHOC PP13822,TRE,,,,,,,
170000,1468743,2015 SPRING SBO               ,ALBIZIA JUL ROSEA,TRE,,,,,,,
170000,1469383,2015 SPRING SBO               ,ANEMONE X WILD SWAN TM PP23132,PRN,,,,,,,
170000,1468203,2015 SPRING SBO               ,AZ BLM-A-THON TM DB PK PP21477,RHO,,,,,,,
170000,1468203,2015 SPRING SBO               ,AZ BLM-A-THON TM RED PP21562,RHO,,,,,,,
170000,1468203,2015 SPRING SBO               ,AZ BLM-A-THON TM WHITE PP21512,RHO,,,,,,,
170000,1467776,2015 SPRING SBO               ,AZALEA GA KAREN,RHO,,,,,,,
170000,1467776,2015 SPRING SBO               ,AZALEA POUKHANENSE COMP,RHO,,,,,,,
170000,1469383,2015 SPRING SBO               ,BER SUNJOY R MINI SALSA PPAF,DCS,,,,,,,
170000,1469383,2015 SPRING SBO               ,BER T CONCORDE,DCS,,,,,,,
170000,1469383,2015 SPRING SBO               ,BER T GOLDEN RUBY R PP16203,DCS,,,,,,,
170000,1469383,2015 SPRING SBO               ,BER T GOLDEN RUBY R PP16203,DCS,,,,,,,
170000,1469383,2015 SPRING SBO               ,BER T ORANGE ROCKET PP18411,DCS,,,,,,,
170000,1469383,2015 SPRING SBO               ,BER T ROSE GLOW,DCS,,,,,,,
170000,1469383,2015 SPRING SBO               ,BER T ROSE GLOW,DCS,,,,,,,
170000,1469383,2015 SPRING SBO               ,BER T SUNSATION R PP11332 CBR,DCS,,,,,,,
170000,1469383,2015 SPRING SBO               ,BERGENIA COR WINTERGLOW,PRN,,,,,,,
170000,1469383,2015 SPRING SBO               ,BRUNNERA MAC VARIEGATA,PRN,,,,,,,
170000,1468203,2015 SPRING SBO               ,BUD LO&BEHLD R BLU CHP PP19991,DCS,,,,,,,
170000,1468203,2015 SPRING SBO               ,BUD LO&BEHLD R BLU CHP PP19991,DCS,,,,,,,
170000,1468203,2015 SPRING SBO               ,BUDDLEJA DAV BLACK KNIGHT,DCS,,,,,,,
170000,1468203,2015 SPRING SBO               ,BUDDLEJA DAV PINK DELIGHT,DCS,,,,,,,
170000,1468203,2015 SPRING SBO               ,BUDDLEJA DAV ROYAL RED,DCS,,,,,,,
170000,1468203,2015 SPRING SBO               ,BUDDLEJA X MISS RUBY PPAF,DCS,,,,,,,
170000,1468743,2015 SPRING SBO               ,BUXUS GREEN MOUNTAIN,EVS,,,,,,,
170000,1469383,2015 SPRING SBO               ,BUXUS GREEN MOUNTAIN,EVS,,,,,,,
