Loc,Item Number,Plant Name,Common Name,Plant Category,Zone,Intro Year,Catalog Price      ,Price Code,Net Price     ,Unit Freight,Landed Price,Landed Price Palletized,Retail Price,Minimum Ord Qty,Confirmed Qty Remaining,Order Quantity,Confirmed Amount Remaining,Open Stock,2013 Qty Shipped  ,2014 Qty Shipped  ,2015 Qty Shipped  ,Date Ready,SKU,UPC
550000,028343,ABELIA GRA KALEIDOSCOPE P16988,Kaleidoscope Abelia                                                                                 ,EVS,06,2007, 21.25 ,, 18.70 , 2.27 , 20.97 ,     ,     , 5 , 30 , , 561.00 ,     ,     ,     ,     ,03/28/16    ,,014949207789 
160000,000755,ACER PAL BLOODGOOD,Bloodgood Japanese Maple                                                                            ,TRE,05,    , 62.00 ,, 54.56 , 4.68 , 59.24 ,     ,     , 5 , 5 , , 272.80 , 8 ,     ,     ,     ,Now         ,,014949007556 
160000,010395ST,ACER PAL RED DRAGON,Red Dragon Japanese Maple                                                                           ,TRE,05,2011, 62.00 ,, 54.56 , 4.68 , 59.24 ,     ,     , 5 , 10 , , 545.60 ,     ,     ,     ,     ,04/27/16    ,,014949273999 
160000,001135,ACER PLAT CRIMSON KING,Crimson King Norway Maple                                                                           ,TRE,03,1987, 31.00 ,, 27.28 , 4.68 , 31.96 ,     ,     , 5 , 10 , , 272.80 ,     ,     ,     ,     ,Now         ,,014949011355 
160000,029061,ACHILLEA MILL RED VELVET,Red Velvet Yarrow                                                                                   ,PRN,03,2006, 5.25 ,PRNADV, 4.36 , 0.94 , 5.30 ,     ,     , 10 , 25 , , 109.00 , 261 ,     ,     ,     ,Now         ,,014949065426 
160000,000511,ACHILLEA OERTEL'S ROSE,Oertel's Rose Yarrow                                                                                ,PRN,03,    , 5.25 ,PRNADV, 4.36 , 0.94 , 5.30 ,     ,     , 10 , 15 , , 65.40 , 80 ,     ,     ,     ,Now         ,,014949002506 
160000,001351,ACHILLEA X MOONSHINE,Moonshine Yarrow                                                                                    ,PRN,03,    , 5.25 ,PRNADV, 4.36 , 0.94 , 5.30 ,     ,     , 10 , 25 , , 109.00 , 746 ,     ,     ,     ,Now         ,,014949013519 
550000,001881,AGAPANTHUS X MIDKNIGHT BLUE R,Midknight Blue¨  Agapanthus                                                                         ,DCS,06,1995, 8.25 ,, 7.26 , 0.57 , 7.83 ,     ,     , 10 , 10 , , 72.60 , 277 ,     ,     ,     ,Now         ,,014949018811 
550000,001885,AGAPANTHUS X MIDKNIGHT BLUE R,Midknight Blue¨  Agapanthus                                                                         ,DCS,06,1995, 25.25 ,SAMPLE,     , 2.83 , 2.83 ,     ,     , 5 , 1 , ,     ,     ,     ,     ,     ,04/15/16    ,,014949018859 
160000,412521,AGASTACHE KUDOS GOLD PPAF,Kudos Gold Dwarf Hummingbird Mint                                                                   ,PRN,05,2015, 5.75 ,PRNADV, 4.77 , 0.94 , 5.71 ,     ,     , 10 , 10 , , 47.70 ,     ,     ,     ,     ,06/01/16    ,,014949423417 
160000,408331,AGASTACHE LITTLE ADDER PPAF,Little Adder Hummingbird Mint                                                                       ,PRN,05,2015, 5.75 ,PRNADV, 4.77 , 0.94 , 5.71 ,     ,     , 10 , 10 , , 47.70 ,     ,     ,     ,     ,03/25/16    ,,014949413470 
160000,021251,AGASTACHE X BLUE FORTUNE,Blue Fortune Hyssop                                                                                 ,PRN,05,2004, 5.25 ,PRNADV, 4.36 , 0.94 , 5.30 ,     ,     , 10 , 25 , , 109.00 , 168 ,     ,     ,     ,Now         ,,014949053829 
450000,037331,AQUILEGIA CAE ORIGAMI BLU & WT,Origami Blue & White Columbine                                                                      ,PRN,03,2006, 5.25 ,PRNADV, 4.36 , 1.01 , 5.37 ,     ,     , 10 , 15 , , 65.40 , 705 ,     ,     ,     ,Now         ,,014949265529 
450000,045921,AQUILEGIA CAE ORIGAMI PNK & WT,Origami Pink & White Columbine                                                                      ,PRN,03,2007, 5.25 ,PRNADV, 4.36 , 1.01 , 5.37 ,     ,     , 10 , 10 , , 43.60 , 277 ,     ,     ,     ,Now         ,,014949312742 
450000,045931,AQUILEGIA CAE ORIGAMI YELLOW,Origami Yellow Columbine                                                                            ,PRN,03,2007, 5.25 ,PRNADV, 4.36 , 1.01 , 5.37 ,     ,     , 10 , 10 , , 43.60 , 458 ,     ,     ,     ,Now         ,,014949312759 
450000,025761,ARMERIA MAR NIFTY THRIFTY,Nifty Thrifty Variegated Thrift                                                                     ,PRN,04,2004, 5.25 ,PRNADV, 4.36 , 1.01 , 5.37 ,     ,     , 10 , 10 , , 43.60 , 120 ,     ,     ,     ,Now         ,,014949384718 
450000,001011,ARTEMISIA SCHM SILVER MOUND,Silvermound Artemisia                                                                               ,PRN,03,    , 5.25 ,PRNADV, 4.36 , 1.01 , 5.37 ,     ,     , 10 , 25 , , 109.00 ,     ,     ,     ,     ,04/01/16    ,,014949050835 
550000,016341,ASTILBE VISION IN RED PP11965,Vision In Red Astilbe                                                                               ,PRN,04,    , 5.25 ,PRNADV, 4.36 , 0.57 , 4.93 ,     ,     , 10 , 10 , , 43.60 ,     ,     ,     ,     ,03/28/16    ,,014949004692 
450000,001813,AZALEA GA KAREN,Karen Azalea                                                                                        ,RHO,04,    , 19.50 ,, 17.16 , 2.70 , 19.86 ,     ,     , 5 , 5 , , 85.80 ,     ,     ,     ,     ,Now         ,,014949010877 
