Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
170000,000101,ABELIA EDWARD GOUCHER,EVS,,,,,,,,
170000,025692,ABELIA GRA ROSE CREEK,EVS,,,,,,,,
170000,400343,ABELIA SUNSHNE DAYDRM PP20961,EVS,,,,,,,,
170000,000952ST,ACER PAL CRIMSON QUEEN,TRE,,,,,,,,
170000,000905ST,ACER PAL WATERFALL,TRE,,,,,,,,
170000,001135,ACER PLAT CRIMSON KING,TRE,,,,,,,,
170000,001881,AGAPANTHUS X MIDKNIGHT BLUE R,DCS,,,,,,,,
170000,001881,AGAPANTHUS X MIDKNIGHT BLUE R,DCS,,,,,,,,
170000,400521,AGASTACHE HYB BLUE BOA PP24050,PRN,,,,,,,,
170000,074172,AGAVE UTAHENSIS SSP UTAHENSIS,CAC,,,,,,,,
170000,00189UT,AJUGA REPTANS BRONZE BEAUTY,PRN,,,,,,,,
170000,001995,ALBIZIA J SUMMER CHOC PP13822,TRE,,,,,,,,
170000,001955,ALBIZIA JUL ROSEA,TRE,,,,,,,,
170000,039021,ANEMONE X WILD SWAN TM PP23132,PRN,,,,,,,,
170000,078762S,AZ BLM-A-THON TM DB PK PP21477,RHO,,,,,,,,
170000,078772S,AZ BLM-A-THON TM RED PP21562,RHO,,,,,,,,
170000,078782S,AZ BLM-A-THON TM WHITE PP21512,RHO,,,,,,,,
170000,001813,AZALEA GA KAREN,RHO,,,,,,,,
170000,401003,AZALEA POUKHANENSE COMP,RHO,,,,,,,,
170000,080771S,BER SUNJOY R MINI SALSA PPAF,DCS,,,,,,,,
170000,002242,BER T CONCORDE,DCS,,,,,,,,
170000,035231,BER T GOLDEN RUBY R PP16203,DCS,,,,,,,,
170000,035232,BER T GOLDEN RUBY R PP16203,DCS,,,,,,,,
170000,062935,BER T ORANGE ROCKET PP18411,DCS,,,,,,,,
170000,012201,BER T ROSE GLOW,DCS,,,,,,,,
170000,012202,BER T ROSE GLOW,DCS,,,,,,,,
170000,011931,BER T SUNSATION R PP11332 CBR,DCS,,,,,,,,
170000,022021,BERGENIA COR WINTERGLOW,PRN,,,,,,,,
170000,013651,BRUNNERA MAC VARIEGATA,PRN,,,,,,,,
170000,074411S,BUD LO&BEHLD R BLU CHP PP19991,DCS,,,,,,,,
170000,074412S,BUD LO&BEHLD R BLU CHP PP19991,DCS,,,,,,,,
170000,013781,BUDDLEJA DAV BLACK KNIGHT,DCS,,,,,,,,
170000,013795PT,BUDDLEJA DAV PINK DELIGHT,DCS,,,,,,,,
170000,013565PT,BUDDLEJA DAV ROYAL RED,DCS,,,,,,,,
170000,074401S,BUDDLEJA X MISS RUBY PPAF,DCS,,,,,,,,
170000,013821,BUXUS GREEN MOUNTAIN,EVS,,,,,,,,
170000,013822,BUXUS GREEN MOUNTAIN,EVS,,,,,,,,
170000,013825SP,BUXUS GREEN MOUNTAIN,EVS,,,,,,,,
170000,013891,BUXUS GREEN VELVET,EVS,,,,,,,,
170000,013892,BUXUS GREEN VELVET,EVS,,,,,,,,
170000,013893,BUXUS GREEN VELVET,EVS,,,,,,,,
170000,013893,BUXUS GREEN VELVET,EVS,,,,,,,,
170000,094071,BUXUS MIC MORRIS MIDGET,EVS,,,,,,,,
170000,013831,BUXUS MIC WINTER GEM,EVS,,,,,,,,
170000,013832,BUXUS MIC WINTER GEM,EVS,,,,,,,,
170000,013832,BUXUS MIC WINTER GEM,EVS,,,,,,,,
170000,013901,BUXUS S GREEN TOWER R PP15243,EVS,,,,,,,,
