Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
,400435,ACER PAL VIRIDIS,TRE, 5 , 5 , 5 , 5 , 5 , 125.95 ,,5/1/2014
,029061,ACHILLEA MILL RED VELVET,PRN, 20 , 20 , 20 , 20 , 20 , 10.95 ,,5/1/2014
,058251,ACHILLEA STRWBRY SDCTN P18401,PRN, 10 , 10 , 10 , 10 , 10 , 11.95 ,,5/1/2014
,058251,ACHILLEA STRWBRY SDCTN P18401,PRN, 10 , 10 , 10 , 10 , 10 , 11.95 ,,5/1/2014
,400521,AGASTACHE HYB BLUE BOA PP24050,PRN, 20 , 20 , 20 , 20 , 20 , 11.95 ,,5/1/2014
,412511,AGASTACHE KUDOS CORAL PPAF,PRN, 20 , 20 , 20 , 20 , 20 , 12.95 ,,5/1/2014
,001995,ALBIZIA J SUMMER CHOC PP13822,TRE, 5 , 5 , 5 , 5 , 5 , 78.95 ,,5/1/2014
,001955,ALBIZIA JUL ROSEA,TRE, 5 , 5 , 5 , 5 , 5 , 62.95 ,,5/1/2014
,412802,ALOCASIA EBONY PPAF,PRN, 5 , 5 , 5 , 5 , 5 , 33.95 ,,5/1/2014
,025761,ARMERIA MAR NIFTY THRIFTY,PRN, 10 , 10 , 10 , 10 , 10 , 11.95 ,,5/1/2014
,003621,ASTILBE CHINENSIS VISIONS,PRN, 15 , 15 , 15 , 15 , 15 , 10.95 ,,5/1/2014
,412541,ASTILBE DELFT LACE,PRN, 10 , 10 , 10 , 10 , 10 , 11.95 ,,5/1/2014
,003511,ASTILBE DEUTSCHLAND,PRN, 15 , 15 , 15 , 15 , 15 , 10.95 ,,5/1/2014
,003501,ASTILBE FANAL,PRN, 15 , 15 , 15 , 15 , 15 , 11.95 ,,5/1/2014
,001662,ASTILBE JAPONICA PEACH BLOSSOM,PRN, 15 , 15 , 15 , 15 , 15 , 25.95 ,,5/1/2014
,003531,ASTILBE SPRITE,PRN, 15 , 15 , 15 , 15 , 15 , 11.95 ,,5/1/2014
,059151,ASTILBE VISION IN PINK PP11860,PRN, 10 , 10 , 10 , 10 , 10 , 11.95 ,,5/1/2014
,059151,ASTILBE VISION IN PINK PP11860,PRN, 10 , 10 , 10 , 10 , 10 , 11.95 ,,5/1/2014
,400811,ASTILBE YOUNIQUE CRM TM P20324,PRN, 15 , 15 , 15 , 15 , 15 , 10.95 ,,5/1/2014
,003551,AUBRIETA ROKEY'S PURPLE,PRN, 10 , 10 , 10 , 10 , 10 , 10.95 ,,5/1/2014
,401033,AZALEA KIMBERLYS DBL PINK,RHO, 5 , 5 , 5 , 5 , 5 , 35.95 ,,5/1/2014
,062931,BER T ORANGE ROCKET PP18411,DCS, 10 , 10 , 10 , 10 , 10 , 16.95 ,,5/1/2014
,035041BH,BOUG BENGAL ORANGE,VIN, 10 , 10 , 10 , 10 , 10 , 16.95 ,,5/1/2014
,013051,BOUG PURPLE QUEEN R,VIN, 10 , 10 , 10 , 10 , 10 , 17.95 ,,5/1/2014
,035381,BRUNNERA MAC JACK FROST P13859,PRN, 15 , 15 , 15 , 15 , 15 , 14.95 ,,5/1/2014
,401181,BRUNNERA MAC SILVER HEART PPAF,PRN, 15 , 15 , 15 , 15 , 15 , 14.95 ,,5/1/2014
,013651,BRUNNERA MAC VARIEGATA,PRN, 15 , 15 , 15 , 15 , 15 , 14.95 ,,5/1/2014
,080811S,BUD LO&BEHLD R ICE CHIP PPAF,DCS, 20 , 20 , 20 , 20 , 20 , 22.95 ,,5/1/2014
,077412S,BUD LO&BEHLD R PRPL HAZE PPAF,DCS, 10 , 10 , 10 , 10 , 10 , 39.95 ,,5/1/2014
,034661S,BUDDLEJA DAV ADONIS BLUE TM,DCS, 20 , 20 , 20 , 20 , 20 , 21.95 ,,5/1/2014
,013781,BUDDLEJA DAV BLACK KNIGHT,DCS, 10 , 10 , 10 , 10 , 10 , 14.95 ,,5/1/2014
,013781,BUDDLEJA DAV BLACK KNIGHT,DCS, 10 , 10 , 10 , 10 , 10 , 14.95 ,,5/1/2014
,013785,BUDDLEJA DAV BLACK KNIGHT,DCS, 5 , 5 , 5 , 5 , 5 , 50.95 ,,5/1/2014
,013571,BUDDLEJA DAV PETITE SNOW TM,DCS, 10 , 10 , 10 , 10 , 10 , 14.95 ,,5/1/2014
,013571,BUDDLEJA DAV PETITE SNOW TM,DCS, 10 , 10 , 10 , 10 , 10 , 14.95 ,,5/1/2014
,013795PT,BUDDLEJA DAV PINK DELIGHT,DCS, 2 , 2 , 2 , 2 , 2 , 88.95 ,,5/1/2014
,013561,BUDDLEJA DAV ROYAL RED,DCS, 1 , 1 , 1 , 1 , 1 , 16.95 ,,5/1/2014
,013561,BUDDLEJA DAV ROYAL RED,DCS, 19 , 19 , 19 , 19 , 19 , 16.95 ,,5/1/2014
,013823CN,BUXUS GREEN MOUNTAIN,EVS, 5 , 5 , 5 , 5 , 5 , 59.95 ,,5/1/2014
,013891,BUXUS GREEN VELVET,EVS, 15 , 15 , 15 , 15 , 15 , 16.95 ,,5/1/2014
,013702,BUXUS MIC FAULKNER,EVS, 5 , 5 , 5 , 5 , 5 , 33.95 ,,5/1/2014
,013702,BUXUS MIC FAULKNER,EVS, 5 , 5 , 5 , 5 , 5 , 33.95 ,,5/1/2014
,013831,BUXUS MIC WINTER GEM,EVS, 15 , 15 , 15 , 15 , 15 , 14.95 ,,5/1/2014
,401353,CALLICARPA J SNOW STORM,DCS, 8 , 8 , 8 , 8 , 8 , 41.95 ,,5/1/2014
,401477PT,CAMP INDIAN SUMMER R PP13139,VIN, 2 , 2 , 2 , 2 , 2 , 131.95 ,,5/1/2014
,401437PT,CAMP SUMMER JAZZ FIRE P23917,VIN, 2 , 2 , 2 , 2 , 2 , 131.95 ,,5/1/2014
,022495,CARAGANA ARB WALKER,TRE, 2 , 2 , 2 , 2 , 2 , 73.95 ,,5/1/2014
,023285,CEDRUS DEODARA FEELIN BLUE,CON, 5 , 5 , 5 , 5 , 5 , 81.95 ,,5/1/2014
,017855,CERCIS LAVENDER TWIST R P10328,TRE, 2 , 2 , 2 , 2 , 2 , 73.95 ,,5/1/2014
,023842,CHAM PIS SUNGOLD,CON, 8 , 8 , 8 , 8 , 8 , 33.95 ,,5/1/2014
,412561,CHRY (LEU) REAL CHARMER PPAF,PRN, 10 , 10 , 10 , 10 , 10 , 12.95 ,,5/1/2014
,023021,CHRYS (LEUCANTH) X SUP BECKY,PRN, 30 , 30 , 30 , 30 , 30 , 11.95 ,,5/1/2014
,026611,CHRYS (LEUCANTH) X SUP CRAZY,PRN, 10 , 10 , 10 , 10 , 10 , 11.95 ,,5/1/2014
,027471,CLEM PANICULATA,VIN, 10 , 10 , 10 , 10 , 10 , 19.95 ,,5/1/2014
,038001,CLEM TEX PRINCESS DIANA,VIN, 10 , 10 , 10 , 10 , 10 , 19.95 ,,5/1/2014
,027061,CLEM X MULTI-BLUE,VIN, 10 , 10 , 10 , 10 , 10 , 19.95 ,,5/1/2014
,027071,CLEM X PINK CHAMPAGNE,VIN, 10 , 10 , 10 , 10 , 10 , 18.95 ,,5/1/2014
,027491,CLEM X ROUGE CARDINAL,VIN, 10 , 10 , 10 , 10 , 10 , 19.95 ,,5/1/2014
,024205,COLOCASIA ESC BLACK MAGIC,PRN, 5 , 5 , 5 , 5 , 5 , 47.95 ,,5/1/2014
,027951,COREOPSIS AURICULATA NANA,PRN, 15 , 15 , 15 , 15 , 15 , 10.95 ,,5/1/2014
,05934UT,COREOPSIS GRAND RISING SUN,PRN, 15 , 15 , 15 , 15 , 15 , 6.95 ,,5/1/2014
,048081,COREOPSIS JETHRO TULL PP18789,PRN, 10 , 10 , 10 , 10 , 10 , 11.95 ,,5/1/2014
,401921S,COREOPSIS STAR CLUSTER,PRN, 15 , 15 , 15 , 15 , 15 , 19.95 ,,5/1/2014
,028505PT,COT APICULATUS,DCS, 2 , 2 , 2 , 2 , 2 , 129.95 ,,5/1/2014
,028553,COT APICULATUS TOM THUMB,DCS, 8 , 8 , 8 , 8 , 8 , 35.95 ,,5/1/2014
,029005PT,COT DAM CORAL BEAUTY,EVS, 2 , 2 , 2 , 2 , 2 , 129.95 ,,5/1/2014
,030512SP,CUP LEY EMERALD ISLE R,CON, 4 , 4 , 4 , 4 , 4 , 101.95 ,,5/1/2014
,030515SP,CUP LEY EMERALD ISLE R,CON, 4 , 4 , 4 , 4 , 4 , 160.95 ,,5/1/2014
,004591,DELPHINIUM GRAND BLUE MIRROR,PRN, 30 , 30 , 30 , 30 , 30 , 10.95 ,,5/1/2014
,090221,DIANTHUS COSMIC TM PK SWRL PAF,PRN, 15 , 15 , 15 , 15 , 15 , 12.95 ,,5/1/2014
,067731,DIANTHUS FIRST LOVE R,PRN, 15 , 15 , 15 , 15 , 15 , 11.95 ,,5/1/2014
,031331,DIANTHUS FROSTY FIRE,PRN, 15 , 15 , 15 , 15 , 15 , 10.95 ,,5/1/2014
,094501,DIANTHUS RASP SURPRISE PP16029,PRN, 15 , 15 , 15 , 15 , 15 , 10.95 ,,5/1/2014
,004901,DICENTRA SP VALENTINE R P22739,PRN, 10 , 10 , 10 , 10 , 10 , 13.95 ,,5/1/2014
,06350UT,ECHEVERIA BLACK PRINCE,CAC, 16 , 16 , 16 , 16 , 16 , 8.95 ,,5/1/2014
,412611,ECHIN DBL SCP TM CRANBRY PPAF,PRN, 10 , 10 , 10 , 10 , 10 , 11.95 ,,5/1/2014
,086831,ECHIN SMBRO TM LEMON YLW PPAF,PRN, 25 , 25 , 25 , 25 , 25 , 11.95 ,,5/1/2014
,007051,ECHIN SUPREME CANTALOUPE PPAF,PRN, 10 , 10 , 10 , 10 , 10 , 14.95 ,,5/1/2014
,007051,ECHIN SUPREME CANTALOUPE PPAF,PRN, 10 , 10 , 10 , 10 , 10 , 14.95 ,,5/1/2014
,037511,ECHINACEA GREEN EYES PP17172,PRN, 10 , 10 , 10 , 10 , 10 , 14.95 ,,5/1/2014
,038921,ECHINACEA MAC'N CHEESE PP19464,PRN, 11 , 11 , 11 , 11 , 11 , 14.95 ,,5/1/2014
,038921,ECHINACEA MAC'N CHEESE PP19464,PRN, 9 , 9 , 9 , 9 , 9 , 14.95 ,,5/1/2014
,047511,ECHINACEA PNK DBL DLITE P18803,PRN, 10 , 10 , 10 , 10 , 10 , 14.95 ,,5/1/2014
,047511,ECHINACEA PNK DBL DLITE P18803,PRN, 10 , 10 , 10 , 10 , 10 , 14.95 ,,5/1/2014
,003121,ECHINACEA POWWOW R WHITE,PRN, 10 , 10 , 10 , 10 , 10 , 13.95 ,,5/1/2014
,003121,ECHINACEA POWWOW R WHITE,PRN, 10 , 10 , 10 , 10 , 10 , 13.95 ,,5/1/2014
,002991,ECHINACEA POWWOW R WILDBERRY,PRN, 20 , 20 , 20 , 20 , 20 , 13.95 ,,5/1/2014
,043401,ECHINACEA PRAIRIE SPLENDOR,PRN, 20 , 20 , 20 , 20 , 20 , 10.95 ,,5/1/2014
,036281,ECHINACEA SUNDOWN TM PP17659,PRN, 15 , 15 , 15 , 15 , 15 , 14.95 ,,5/1/2014
,057301,ECHINACEA TOMATO SOUP PPAF,PRN, 10 , 10 , 10 , 10 , 10 , 15.95 ,,5/1/2014
,057301,ECHINACEA TOMATO SOUP PPAF,PRN, 20 , 20 , 20 , 20 , 20 , 15.95 ,,5/1/2014
,077581,ERYSIMUM JENNY BROOK PP20253,PRN, 10 , 10 , 10 , 10 , 10 , 12.95 ,,5/1/2014
,035201,EUO J SILVER KING,EVS, 10 , 10 , 10 , 10 , 10 , 13.95 ,,5/1/2014
,035205CN,EUO J SILVER KING,EVS, 2 , 2 , 2 , 2 , 2 , 95.95 ,,5/1/2014
,019241,FERN-ATHYRIUM F LADY IN RED,FRN, 10 , 10 , 10 , 10 , 10 , 12.95 ,,5/1/2014
,018761,FERN-ATHYRIUM GHOST,FRN, 10 , 10 , 10 , 10 , 10 , 15.95 ,,5/1/2014
,03571UT,GAILLARDIA ARIZONA SUN,PRN, 16 , 16 , 16 , 16 , 16 , 6.95 ,,5/1/2014
,037611,GAILLARDIA GOBLIN,PRN, 14 , 14 , 14 , 14 , 14 , 10.95 ,,5/1/2014
,408801,GAILLARDIA SUNSET SNAPPY PPAF,PRN, 10 , 10 , 10 , 10 , 10 , 12.95 ,,5/1/2014
,408801,GAILLARDIA SUNSET SNAPPY PPAF,PRN, 10 , 10 , 10 , 10 , 10 , 12.95 ,,5/1/2014
,408801,GAILLARDIA SUNSET SNAPPY PPAF,PRN, 10 , 10 , 10 , 10 , 10 , 12.95 ,,5/1/2014
,023081,GERANIUM ROZANNE PP12175,PRN, 25 , 25 , 25 , 25 , 25 , 15.95 ,,5/1/2014
,038331,GERANIUM X CAN BIOKOVO,PRN, 15 , 15 , 15 , 15 , 15 , 10.95 ,,5/1/2014
,014012,GR-CAL ACUT KARL FOERSTER,GRS, 10 , 10 , 10 , 10 , 10 , 33.95 ,,5/1/2014
,014013,GR-CAL ACUT KARL FOERSTER,GRS, 10 , 10 , 10 , 10 , 10 , 35.95 ,,5/1/2014
,022581,GR-CAREX BUCHANANII,GRS, 10 , 10 , 10 , 10 , 10 , 13.95 ,,5/1/2014
,028055,GR-ERIANTHUS RAVENNAE,GRS, 5 , 5 , 5 , 5 , 5 , 42.95 ,,5/1/2014
,036671,GR-FESTUCA GLAUCA ELIJAH BLUE,GRS, 30 , 30 , 30 , 30 , 30 , 13.95 ,,5/1/2014
,061812,GR-MIS SIN ADAGIO,GRS, 5 , 5 , 5 , 5 , 5 , 30.95 ,,5/1/2014
,061561,GR-MIS SIN GRACILLIMUS,GRS, 10 , 10 , 10 , 10 , 10 , 14.95 ,,5/1/2014
,044593,GR-MIS SIN LITTLE ZEBRA P13008,GRS, 10 , 10 , 10 , 10 , 10 , 33.95 ,,5/1/2014
,061571,GR-MIS SIN VARIEGATUS,GRS, 15 , 15 , 15 , 15 , 15 , 13.95 ,,5/1/2014
,061573,GR-MIS SIN VARIEGATUS,GRS, 15 , 15 , 15 , 15 , 15 , 35.95 ,,5/1/2014
,061575,GR-MIS SIN VARIEGATUS,GRS, 10 , 10 , 10 , 10 , 10 , 45.95 ,,5/1/2014
,064275,GR-PENN SET RUBRUM,GRS, 15 , 15 , 15 , 15 , 15 , 41.95 ,,5/1/2014
,025802,HELENIUM MARDI GRAS PP15124,PRN, 8 , 8 , 8 , 8 , 8 , 25.95 ,,5/1/2014
,040251,HEM STARBURST R DBL GOLD,PRN, 30 , 30 , 30 , 30 , 30 , 12.95 ,,5/1/2014
,045721,HEUCHERA MIDNIGHT ROSE PP18551,PRN, 10 , 10 , 10 , 10 , 10 , 16.95 ,,5/1/2014
,037541,HEUCHERA OBSIDIAN PP14836,PRN, 10 , 10 , 10 , 10 , 10 , 17.95 ,,5/1/2014
,040721,HEUCHERA PLUM PUDDING,PRN, 10 , 10 , 10 , 10 , 10 , 10.95 ,,5/1/2014
,049711,HEUCHERA SOUTHERN COMFORT PPAF,PRN, 10 , 10 , 10 , 10 , 10 , 15.95 ,,5/1/2014
,046641,HEUCHERA VIL CARAMEL PP16560,PRN, 1 , 1 , 1 , 1 , 1 , 15.95 ,,5/1/2014
,046641,HEUCHERA VIL CARAMEL PP16560,PRN, 10 , 10 , 10 , 10 , 10 , 15.95 ,,5/1/2014
,076241,HEUCHERELLA REDSTONE FALLS PAF,PRN, 10 , 10 , 10 , 10 , 10 , 16.95 ,,5/1/2014
,033531,HEUCHERELLA STOPLIGHT PP16835,PRN, 10 , 10 , 10 , 10 , 10 , 16.95 ,,5/1/2014
,031871,HOSTA ABIQUA DRINKING GOURD,PRN, 10 , 10 , 10 , 10 , 10 , 12.95 ,,5/1/2014
,403531,HOSTA BLUE MOUSE EARS,PRN, 15 , 15 , 15 , 15 , 15 , 12.95 ,,5/1/2014
,025101,HOSTA CHRISTMAS TREE,PRN, 30 , 30 , 30 , 30 , 30 , 13.95 ,,5/1/2014
,403611,HOSTA EARTH ANGEL,PRN, 10 , 10 , 10 , 10 , 10 , 12.95 ,,5/1/2014
,068241S,HOSTA EMPRESS WU PP20774,PRN, 10 , 10 , 10 , 10 , 10 , 17.95 ,,5/1/2014
,017491,HOSTA FIRE & ICE,PRN, 23 , 23 , 23 , 23 , 23 , 14.95 ,,5/1/2014
,017491,HOSTA FIRE & ICE,PRN, 12 , 12 , 12 , 12 , 12 , 14.95 ,,5/1/2014
,042981,HOSTA FIRST FROST,PRN, 10 , 10 , 10 , 10 , 10 , 13.95 ,,5/1/2014
,041861,HOSTA FLUCTUANS VARIEG (SAGAE),PRN, 10 , 10 , 10 , 10 , 10 , 12.95 ,,5/1/2014
,403491,HOSTA FRAGRANT BOUQUET,PRN, 10 , 10 , 10 , 10 , 10 , 12.95 ,,5/1/2014
,017521,HOSTA GUACAMOLE,PRN, 10 , 10 , 10 , 10 , 10 , 12.95 ,,5/1/2014
