Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep", Price ,Code,Future
,000755,ACER PAL BLOODGOOD,TRE, 10 , 10 , 10 , 10 , 10 , 116.99 ,,5/1/2014
,000955,ACER PAL CRIMSON QUEEN,TRE, 10 , 10 , 10 , 10 , 10 , 116.99 ,,5/1/2014
,029095,ACER PAL TAMUKEYAMA,TRE, 15 , 15 , 15 , 15 , 15 , 116.99 ,,5/1/2014
,078761S,AZ BLM-A-THON TM DB PK PP21477,RHO, 15 , 15 , 15 , 15 , 15 , 20.99 ,,5/1/2014
,078771S,AZ BLM-A-THON TM RED PP21562,RHO, 15 , 15 , 15 , 15 , 15 , 20.99 ,,5/1/2014
,078781S,AZ BLM-A-THON TM WHITE PP21512,RHO, 10 , 10 , 10 , 10 , 10 , 20.99 ,,5/1/2014
,401292S,BUD LO&BEHLD R PINK MICRO CHIP,DCS, 15 , 15 , 15 , 15 , 15 , 33.99 ,,5/1/2014
,407622S,BUD LO&BEHOLD BLU CHIP JR,DCS, 15 , 15 , 15 , 15 , 15 , 33.99 ,,5/1/2014
,013781,BUDDLEJA DAV BLACK KNIGHT,DCS, 10 , 10 , 10 , 10 , 10 , 12.99 ,,5/1/2014
,013791,BUDDLEJA DAV PINK DELIGHT,DCS, 10 , 10 , 10 , 10 , 10 , 12.99 ,,5/1/2014
,077391S,BUDDLEJA MISS MOLLY PPAF,DCS, 10 , 10 , 10 , 10 , 10 , 18.99 ,,5/1/2014
,013832,BUXUS MIC WINTER GEM,EVS, 9 , 9 , 9 , 9 , 9 , 29.99 ,,5/1/2014
,013833,BUXUS MIC WINTER GEM,EVS, 30 , 30 , 30 , 30 , 30 , 40.99 ,,5/1/2014
,029211,CANNA TROP BLACK TM PP21350,PRN, 15 , 15 , 15 , 15 , 15 , 17.99 ,,5/1/2014
,003241,CANNA TROPICAL YELLOW,PRN, 10 , 10 , 10 , 10 , 10 , 10.99 ,,5/1/2014
,017411,CANNA TROPICANNA GLD TM P13809,PRN, 20 , 20 , 20 , 20 , 20 , 17.99 ,,5/1/2014
,082452,CHAM PIS GOLDEN MOP,CON, 5 , 5 , 5 , 5 , 5 , 29.99 ,,5/1/2014
,015901,CLEM X BLUE LIGHT R PP15953,VIN, 12 , 12 , 12 , 12 , 12 , 16.99 ,,5/1/2014
,044481,CLEM X JACKMANII SUPERBA,VIN, 12 , 12 , 12 , 12 , 12 , 18.99 ,,5/1/2014
,027071,CLEM X PINK CHAMPAGNE,VIN, 12 , 12 , 12 , 12 , 12 , 16.99 ,,5/1/2014
,036815,FICUS CAR MISSION,TRE, 1 , 1 , 1 , 1 , 1 , 56.99 ,,5/1/2014
,023081,GERANIUM ROZANNE PP12175,PRN, 20 , 20 , 20 , 20 , 20 , 14.99 ,,5/1/2014
,039831,HEM GOLDEN ZEBRA R PP14221,PRN, 10 , 10 , 10 , 10 , 10 , 14.99 ,,5/1/2014
,040511,HEM HAPPY RETURNS,PRN, 50 , 50 , 50 , 50 , 50 , 9.99 ,,5/1/2014
,040071,HEM JOAN SENIOR,PRN, 10 , 10 , 10 , 10 , 10 , 11.99 ,,5/1/2014
,040091,HEM LITTLE BUSINESS,PRN, 30 , 30 , 30 , 30 , 30 , 9.99 ,,5/1/2014
,040631,HEM PRAIRIE BLUE EYES,PRN, 10 , 10 , 10 , 10 , 10 , 9.99 ,,5/1/2014
,046611,HEM PURPLE DE ORO,PRN, 30 , 30 , 30 , 30 , 30 , 9.99 ,,5/1/2014
,040111,HEM STELLA DE ORO,PRN, 100 , 100 , 100 , 100 , 100 , 9.99 ,,5/1/2014
,083931,HEM SWIRLING WATER,PRN, 10 , 10 , 10 , 10 , 10 , 9.99 ,,5/1/2014
,403201,HEM TROPHYTAKER R NOSFERATU,PRN, 1 , 1 , 1 , 1 , 1 , 11.99 ,,5/1/2014
,035023,HYD END SUM R BLSH BRID P17169,DCS, 10 , 10 , 10 , 10 , 10 , 43.99 ,,5/1/2014
,403883,HYD END SUM R TWST-N-SHT R PAF,DCS, 10 , 10 , 10 , 10 , 10 , 43.99 ,,5/1/2014
,017313,HYD M ENDLESS SUMMER R PP15298,DCS, 40 , 40 , 40 , 40 , 40 , 43.99 ,,5/1/2014
,024373S,HYD PAN LIMELIGHT PP12874,DCS, 20 , 20 , 20 , 20 , 20 , 38.99 ,,5/1/2014
,024377PT,HYD PAN LIMELIGHT PP12874,DCS, 5 , 5 , 5 , 5 , 5 , 121.99 ,,5/1/2014
,029923S,HYD PAN LITTLE LIME PPAF,DCS, 6 , 6 , 6 , 6 , 6 , 38.99 ,,5/1/2014
,042447PT,HYD PAN PINK DIAMOND,DCS, 5 , 5 , 5 , 5 , 5 , 121.99 ,,5/1/2014
,074603S,HYD PAN QUICK FIRE R PP16812,DCS, 8 , 8 , 8 , 8 , 8 , 38.99 ,,5/1/2014
,053392,JUN SQUA BLUE STAR,CON, 15 , 15 , 15 , 15 , 15 , 28.99 ,,5/1/2014
,028435,LAG ARAPAHO,DCS, 12 , 12 , 12 , 12 , 12 , 41.99 ,,5/1/2014
,041905,LAG CHERRY DAZZLE R PP16917,DCS, 11 , 11 , 11 , 11 , 11 , 46.99 ,,5/1/2014
,040705,LAG RASPBERRY DAZZLE R PP17216,DCS, 12 , 12 , 12 , 12 , 12 , 46.99 ,,5/1/2014
,009791,LIRIOPE MUSCARI VARIEGATA,GRS, 5 , 5 , 5 , 5 , 5 , 11.99 ,,5/1/2014
,009791,LIRIOPE MUSCARI VARIEGATA,GRS, 115 , 115 , 115 , 115 , 115 , 11.99 ,,5/1/2014
,060437,MAG G BRACKENS BROWN BEAUTY,TRE, 25 , 25 , 25 , 25 , 25 , 139.99 ,,5/1/2014
,060439,MAG G BRACKENS BROWN BEAUTY,TRE, 5 , 5 , 5 , 5 , 5 , 203.99 ,,5/1/2014
,059437,MAG G LITTLE GEM,TRE, 10 , 10 , 10 , 10 , 10 , 139.99 ,,5/1/2014
,059439,MAG G LITTLE GEM,TRE, 5 , 5 , 5 , 5 , 5 , 203.99 ,,5/1/2014
,062232,NAND DOM FIREPOWER,EVS, 10 , 10 , 10 , 10 , 10 , 29.99 ,,5/1/2014
,063572,PAEONIA X KARL ROSENFIELD(RED),PRN, 10 , 10 , 10 , 10 , 10 , 30.99 ,,5/1/2014
,039662,PAEONIA X PRIMEVERE (WHITE),PRN, 3 , 3 , 3 , 3 , 3 , 30.99 ,,5/1/2014
,063762,PAEONIA X SHIRLEY TEMPLE (WT),PRN, 5 , 5 , 5 , 5 , 5 , 30.99 ,,5/1/2014
,064451,PHLOX SUB EMERALD BLUE,PRN, 20 , 20 , 20 , 20 , 20 , 11.99 ,,5/1/2014
,091041,PHLOX SUB EMERALD PINK,PRN, 20 , 20 , 20 , 20 , 20 , 11.99 ,,5/1/2014
,064601,PHLOX SUB RED WINGS,PRN, 10 , 10 , 10 , 10 , 10 , 11.99 ,,5/1/2014
,062561,PHLOX SUBULATA FORT HILLS,PRN, 10 , 10 , 10 , 10 , 10 , 11.99 ,,5/1/2014
,407507,"PRUNUS X SNOW FOUNTAIN TM 36""",TRE, 10 , 10 , 10 , 10 , 10 , 111.99 ,,5/1/2014
,098552S,ROSA DRIFT R CORAL PP19148,ROS, 25 , 25 , 25 , 25 , 25 , 28.99 ,,5/1/2014
