Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,00075M,ACER PAL BLOODGOOD,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,000915,ACER PAL SEIRYU,EVS,39,4,0,0,4,$18.50 ,,
550000,039022,ANEMONE X WILD SWAN TM PP23132,EVS,660,42,0,0,42,$8.50 ,,
,055485,ARALIA CORDATA GOTEMBA,,,,,,,,,
,00290M,ARBUTUS UNEDO COMPACTA,,,,,,,,,
,003471,ASTER PROF KIPPENBURG,,,,,,,,,
,003621,ASTILBE CHINENSIS VISIONS,,,,,,,,,
,001641,ASTILBE JAPONICA EUROPA,,,,,,,,,
,007072,AZALEA EX CANNON'S DOUBLE,,,,,,,,,
,008362,AZALEA NL MANDARIN LIGHTS,,,,,,,,,
,012031,BER GOLDN NUGGET TM P9577 CBR,,,,,,,,,
,012202,BER T ROSE GLOW,,,,,,,,,
,074411S,BUD LO&BEHLD R BLU CHP PP19991,,,,,,,,,
,080811S,BUD LO&BEHLD R ICE CHIP PPAF,,,,,,,,,
,013781,BUDDLEJA DAV BLACK KNIGHT,,,,,,,,,
,01370UTPY,BUXUS MIC FAULKNER,,,,,,,,,
,022711,CAMPSIS BALBOA SUNSET R,,,,,,,,,
,022381,CAMPSIS FLAVA,,,,,,,,,
,022551,CAMPSIS MADAME GALEN,,,,,,,,,
,022891,CARY X DARK KNIGHT,,,,,,,,,
,023902,CHAM OBT FILICOIDES,,,,,,,,,
,023822,CHAM PIS SQUARROSA MINIMA,,,,,,,,,
,026621,CHRYS (LEUCANTH) X SUP AGLAIA,,,,,,,,,
,028551,COT APICULATUS TOM THUMB,,,,,,,,,
,091882,DEUTZIA X NIKKO BLUSH NA74356,,,,,,,,,
,034502,EUO F MOONSHADOW,,,,,,,,,
,036451,FERN-MATTEUCCIA STRUTHIOPTERIS,,,,,,,,,
,036411,FERN-OSMUNDA CINNAMOMEA,,,,,,,,,
,017542,FORSYTHIA X MAGICAL R GOLD,,,,,,,,,
,023081,GERANIUM ROZANNE PP12175,,,,,,,,,
,005231,GERANIUM SANGUINEUM MAX FREI,,,,,,,,,
,039831,HEM GOLDEN ZEBRA R PP14221,,,,,,,,,
,083992,HIB SYR BLUE BIRD-GRAFTED,,,,,,,,,
,092752,HYD M ENCHANTRESS R PPAF,,,,,,,,,
,074562S,HYD MAC CTYLN TM PARIS PP10906,,,,,,,,,
,074541S,HYD MAC CTYLN TM RIO,,,,,,,,,
,042072,HYD MAC PINK ELF R (PIA),,,,,,,,,
,035012,HYD PET MIRANDA,,,,,,,,,
,080962S,HYD SER TUFF STUFF TM PPAF,,,,,,,,,
,045095,ILEX X BERRI-MAGIC R KIDS,,,,,,,,,
,045135,ILEX X BERRI-MAGIC R ROYALTY,,,,,,,,,
,074952S,ILEX X CASTLE SPIRE R PP14310,,,,,,,,,
,074945,ILEX X CASTLE WALL TM PP14308,,,,,,,,,
,045353,ILEX X LITTLE RASCAL R P9999,,,,,,,,,
,021092,ILEX X SCALLYWAG TM PP21941,,,,,,,,,
,044011,IRIS EN VARIEGATA,,,,,,,,,
,047505P2,JUN C HETZII COLUMN,,,,,,,,,
,047602PP,JUN C HETZII GLAUCA,,,,,,,,,
,048002SP,JUN C MINT JULEP R,,,,,,,,,
,049901,JUN H ICEE BLUE R P9639,,,,,,,,,
,054005,JUN SC SKYROCKET,,,,,,,,,
,036845,JUN V TAYLOR,,,,,,,,,
,02147UT,LAURUS NOBILIS EMERALD WAVE R,,,,,,,,,
,060755,MAHONIA AQUIFOLIUM COMPACTA,,,,,,,,,
,060805,MAHONIA ORANGEE FLAME,,,,,,,,,
,06323UT,OSMANTHUS HET GOSHIKI,,,,,,,,,
,047085,PAEONIA ITOH KEIKO TM (PK D D),,,,,,,,,
,047075,PAEONIA ITOH YUMI TM PAF (YLW),,,,,,,,,
,062722,PAEONIA TENUIFOLIA EARLY SCOUT,,,,,,,,,
,064412,PHILADELPHUS VIR DWF SNOWFLAKE,,,,,,,,,
,064562,PICEA ABIES NIDIFORMIS,,,,,,,,,
,064785,PICEA PUN GLAUCA FAT ALBERT,,,,,,,,,
,064692,PICEA PUN GLOBOSA,,,,,,,,,
,06743MT,PRUNUS X CHINESE APRICOT,,,,,,,,,
,067705,PYRACANTHA ANG YUKON BELLE R,,,,,,,,,
,020795,RHAMNUS FRA FINELINE R PP14791,,,,,,,,,
,009752,RHOD (H-1) NOVA ZEMBLA,,,,,,,,,
,072145,SYRINGA V PRESIDENT LINCOLN,,,,,,,,,
,072165,SYRINGA V SENSATION,,,,,,,,,
,072395,TAXUS CUS CAPITATA,,,,,,,,,
,072342,TAXUS EMERALD SPREADR R P10335,,,,,,,,,
,073605,VIB X BURKWOODII,,,,,,,,,
,076391,WEIGELA FL DARK HORSE PP14381,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
