Branch,item,Description,
160000,001565,AESCULUS PARVIFLORA,
160000,001585,AESCULUS PAVIA,
160000,028895,AESCULUS X ARN AUTUMN SPLENDOR,
160000,000575,AESCULUS X CARNEA FORT MCNAIR,
160000,022567,CARAGANA ARB PENDULA,
160000,022495,CARAGANA ARB WALKER,
160000,022497,CARAGANA ARB WALKER,
160000,038425,CERCIS C ACE OF HEARTS PP17161,
160000,038415,CERCIS C HEARTS OF GOLD P17740,
160000,049545,CERCIS C LITTLE WOODY PPAF,
160000,058425,CERCIS C RUBY FALLS,
160000,058427,CERCIS C RUBY FALLS,
160000,058417,CERCIS C TEXENSIS MERLOT,
160000,401767,CERCIS C THE RISING SUN P21451,
160000,023585,CERCIS CAN FOREST PANSY,
160000,023585BH,CERCIS CAN FOREST PANSY,
160000,023587,CERCIS CAN FOREST PANSY,
160000,023575,CERCIS CAN OKLAHOMA,
160000,023577,CERCIS CAN OKLAHOMA,
160000,023465,CERCIS CAN SILVER CLOUD,
160000,023555,CERCIS CANADENSIS,
160000,023557,CERCIS CANADENSIS,
160000,02355M,CERCIS CANADENSIS,
160000,023525,CERCIS CHIN AVONDALE,
160000,023525BH,CERCIS CHIN AVONDALE,
160000,023527,CERCIS CHIN AVONDALE,
160000,032575,CERCIS CHIN DON EGOLF,
160000,032577,CERCIS CHIN DON EGOLF,
160000,017855,CERCIS LAVENDER TWIST R P10328,
160000,017855SE,CERCIS LAVENDER TWIST R P10328,
160000,017857,CERCIS LAVENDER TWIST R P10328,
160000,01785M,CERCIS LAVENDER TWIST R P10328,
160000,023515,CERCIS MEXICANA,
160000,043015,CERCIS OCCIDENTALIS,
160000,070625,CERCIS OCCIDENTALIS CLAREMONT,
160000,024155,CHIL TIMELESS BEAUTY ™ P11078,
160000,024159,CHIL TIMELESS BEAUTY ™ P11078,
160000,024135,CHILOPSIS BURGUNDY,
160000,024165,CHIONANTHUS RETUSUS,
160000,024185,CHIONANTHUS VIRGINICUS,
160000,022985,CHITALPA TASH PINK DAWN,
160000,022985BH,CHITALPA TASH PINK DAWN,
160000,027875,CORNUS ALTERNIFOLIA,
160000,02787M,CORNUS ALTERNIFOLIA,
160000,030405,CORNUS FL CHEROKEE CHIEF,
160000,030407,CORNUS FL CHEROKEE CHIEF,
160000,03040M,CORNUS FL CHEROKEE CHIEF,
160000,402007,CORNUS KOUSA HEART THROB R,
160000,049677,CORNUS KOUSA SAMARITAN R,
160000,027795,CORNUS KOUSA SATOMI,
160000,402027,CORNUS KOUSA SUMMER FUN PPAF,
160000,075695,CORNUS KOUSA SUMMER GOLD PPAF,
160000,07569M,CORNUS KOUSA SUMMER GOLD PPAF,
160000,019615,CORNUS KOUSA WOLF EYES,
160000,01961M,CORNUS KOUSA WOLF EYES,
160000,077325,CORNUS MAS GOLDEN GLORY,
160000,077327,CORNUS MAS GOLDEN GLORY,
160000,027625,CORNUS X CONSTELLATION R,
160000,02762M,CORNUS X CONSTELLATION R,
160000,026525,CORNUS X HYPERION R PPAF,
160000,02652M,CORNUS X HYPERION R PPAF,
160000,027585,CORNUS X STELLAR PINK R,
160000,027587,CORNUS X STELLAR PINK R,
160000,02758M,CORNUS X STELLAR PINK R,
160000,081265,CORNUS X VAR STLLAR PNK ™ PAF,
160000,08126M,CORNUS X VAR STLLAR PNK ™ PAF,
160000,030395,CORNUS X VENUS R PP16309,
160000,030397,CORNUS X VENUS R PP16309,
160000,03039M,CORNUS X VENUS R PP16309,
160000,025675,DAVIDIA INVOLUCRATA,
160000,021815,DAVIDIA INVOLUCRATA SONOMA,
160000,054205,KOELREUTERIA PANICULATA,
160000,036255,LABURNUM ANA COLUMNARIS,
160000,404337,LABURNUM X WAT PENDULA,
160000,054335,LABURNUM X WAT VOSSII,
160000,054337,LABURNUM X WAT VOSSII,
160000,404727,MALUS APRIL SHOWERS ™ PP15559,
160000,030575,MALUS CENTURION R,
160000,404767,MALUS RUBY TEARS ™ PP22001,
160000,010167,MALUS SARGENTII,
160000,018325,MALUS SARGENTII TINA,
160000,018327,MALUS SARGENTII TINA,
160000,030585,MALUS SIEBOLDII CALOCARPA,
160000,404777,MALUS X CARDINAL,
160000,404737,MALUS X CINDERELLA R,
160000,061067,MALUS X CORALBURST ™ PP2983,
160000,061145,MALUS X PRAIRIFIRE,
160000,061147,MALUS X PRAIRIFIRE,
160000,404757,MALUS X ROYAL RAINDROPS R,
160000,061177,MALUS X SNOWDRIFT,
160000,016515,PRUNUS AMANOGAWA,
160000,066835,PRUNUS CER KRAUTER VESUVIUS,
160000,066885,PRUNUS CER THUNDERCLOUD,
160000,066887,PRUNUS CER THUNDERCLOUD,
160000,405507,PRUNUS CORINTHIAN PINK P11902,
160000,031815,PRUNUS CRMSON POINTE ™ P19564,
160000,03181M,PRUNUS CRMSON POINTE ™ P19564,
160000,016525,PRUNUS DREAM CATCHER,
160000,081797,PRUNUS INCISIA LITTLE TWIST R,
160000,01655M,PRUNUS KIKU-ZAKURA ON SERRULA,
160000,016547,PRUNUS KWANZAN ON SERRULA,
160000,01654M,PRUNUS KWANZAN ON SERRULA,
160000,066955,PRUNUS PEN PLENO ROSEA,
160000,06695M,PRUNUS PEN PLENO ROSEA,
160000,408747,PRUNUS PEND RED BRK (TIBETICA),
160000,070305,PRUNUS PER BONFIRE PEACH,
160000,070307,PRUNUS PER BONFIRE PEACH,
160000,07030MT,PRUNUS PER BONFIRE PEACH,
160000,405497,PRUNUS PER CASCADE WPG PEACH,
160000,405527,PRUNUS SARGENTII PINK FLAIR R,
160000,028025,PRUNUS SER ANGELS BLSH R TAIZO,
160000,066915,PRUNUS SER KWANZAN,
160000,066917,PRUNUS SER KWANZAN,
160000,066919,PRUNUS SER KWANZAN,
160000,066945,PRUNUS SER MOUNT FUJI,
160000,405537,PRUNUS SER ROYAL BURGUNDY,
160000,405957,PRUNUS SNW FNTNS R ON SERRULA,
160000,405937,PRUNUS SNW FNTNS R ON TIBETICA,
160000,053557,PRUNUS SUBHIRTELLA PENDULA,
160000,053559,PRUNUS SUBHIRTELLA PENDULA,
160000,405547,"PRUNUS SUBHIRTELLA PENDULA 36""",
160000,405549,"PRUNUS SUBHIRTELLA PENDULA 36""",
160000,081785,PRUNUS VIR CANADA RED,
160000,043395,PRUNUS WEEPING EXTRAORDNARE ™,
160000,043397,PRUNUS WEEPING EXTRAORDNARE ™,
160000,04339M,PRUNUS WEEPING EXTRAORDNARE ™,
160000,08955M,PRUNUS WPNG EXTRDNRE ™ SERRUL,
160000,047687,PRUNUS X PINK SNOW SHOWERS ™,
160000,407507,"PRUNUS X SNOW FOUNTAIN TM 36""",
160000,407509,"PRUNUS X SNOW FOUNTAIN TM 36""",
160000,066935ST,PRUNUS X SNOW FOUNTAIN ™,
160000,066937,PRUNUS X SNOW FOUNTAIN ™,
160000,066937PTS,PRUNUS X SNOW FOUNTAIN ™,
160000,066937SE,PRUNUS X SNOW FOUNTAIN ™,
160000,06693MSE,PRUNUS X SNOW FOUNTAIN ™,
160000,06693MST,PRUNUS X SNOW FOUNTAIN ™,
160000,066939,PRUNUS X SNOW FOUNTAIN ™,
160000,066939SE,PRUNUS X SNOW FOUNTAIN ™,
160000,066985,PRUNUS X YEDOENSIS AKEBONO,
160000,069137,PYRUS ARISTOCRAT R,
160000,06913M,PYRUS ARISTOCRAT R,
160000,069155,PYRUS CALL BRADFORD,
160000,069165,PYRUS CALL CAPITAL,
160000,068987,PYRUS CALL CHANTICLEER ™,
160000,06898M,PYRUS CALL CHANTICLEER ™,
160000,069085,PYRUS CALL CLEVELAND SELECT,
160000,030595,PYRUS CALL JACK R,
160000,069285,PYRUS KAWAKAMII,
160000,072235,VITEX AGNUS-CAS SHOAL CREEK,
160000,072235PT,VITEX AGNUS-CAS SHOAL CREEK,
160000,072239,VITEX AGNUS-CAS SHOAL CREEK,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
