Loc,New Plant,Item,Size,Plant Name,Botanical Name,Common Name,Category 2,,,
CT,    ,031871,#1,HOSTA ABIQUA DRINKING GOURD,Hosta (H. 'Tokudama' x H. sieboldiana) 'Abiqua Drinking Gour,Abiqua Drinking Gourd Plantain Lily                         ,Hosta,,,
CT,    ,403531,#1,HOSTA BLUE MOUSE EARS,                                                            ,                                                            ,Hosta,,,
CT,    ,403611,#1,HOSTA EARTH ANGEL,                                                            ,                                                            ,Hosta,,,
CT,2014,042981,#1,HOSTA FIRST FROST,Hosta x 'First Frost'                                       ,First Frost Plantain Lily                                   ,Hosta,,,
CT,    ,403491,#1,HOSTA FRAGRANT BOUQUET,                                                            ,                                                            ,Hosta,,,
CT,    ,017521,#1,HOSTA GUACAMOLE,Hosta x 'Guacamole'                                         ,Guacamole Plantain Lily                                     ,Hosta,,,
CT,    ,017531,#1,HOSTA JUNE,Hosta x 'June'                                              ,June Plantain Lily                                          ,Hosta,,,
CT,    ,403561,#1,HOSTA PARADIGM,                                                            ,                                                            ,Hosta,,,
CT,    ,041881,#1,HOSTA PATRIOT,Hosta x 'Patriot'                                           ,Patriot Plantain Lily                                       ,Hosta,,,
CT,2010,062011,#1,HOSTA PAUL'S GLORY,Hosta 'Paul's Glory'                                        ,Paul's Glory Hosta                                          ,Hosta,,,
CT,    ,403621,#1,HOSTA PRAYING HANDS,                                                            ,                                                            ,Hosta,,,
CT,    ,093111,#1,HOSTA RAINFOREST SUNRISE,                                                            ,                                                            ,Hosta,,,
CT,    ,007011,#1,HOSTA REGAL SPLENDOR,Hosta x 'Regal Splendor'                                    ,Regal Splendor Plantain Lily                                ,Hosta,,,
CT,    ,403641,#1,HOSTA SO SWEET,                                                            ,                                                            ,Hosta,,,
CT,2010,044671,#1,HOSTA STAINED GLASS PPAF,Hosta x 'Stained Glass' P.P.A.F.                            ,Stained Glass Plantain Lily                                 ,Hosta,,,
CT,    ,029791,#1,HOSTA STRIPTEASE,Hosta x 'Striptease'                                        ,STRIPTEASE PLANTAIN LILY                                    ,Hosta,,,
CT,    ,083971,#1,HOSTA SUM & SUBSTANCE,Hosta x 'Sum & Substance'                                   ,Sum & Substance Hosta                                       ,Hosta,,,
CT,2013,082011,#1,HOSTA X LIBERTY,                                                            ,                                                            ,Hosta,,,
