Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,001212,ABELIA CHIN BRONZ ANNIV R PPAF,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,006241,ABELIA CHIN BRONZ ANNIV R PPAF,EVS,39,4,0,0,4,$18.50 ,,
550000,000575,ABELIA CHIN RUBY ANNIV TM PPAF,EVS,660,42,0,0,42,$8.50 ,,
,001751,,,,,,,,,,
,001882,,,,,,,,,,
,001965,,,,,,,,,,
,037331,,,,,,,,,,
,045921,,,,,,,,,,
,045931,,,,,,,,,,
,003041,,,,,,,,,,
,003451,,,,,,,,,,
,003521,,,,,,,,,,
,027501,,,,,,,,,,
,003501,,,,,,,,,,
,001671,,,,,,,,,,
,001681,,,,,,,,,,
,059151,,,,,,,,,,
,002191,,,,,,,,,,
,012032,,,,,,,,,,
,035232,,,,,,,,,,
,013211,,,,,,,,,,
,013215PT,,,,,,,,,,
,013431,,,,,,,,,,
,025791,,,,,,,,,,
,022711,,,,,,,,,,
,022381,,,,,,,,,,
,022551,,,,,,,,,,
,029211,,,,,,,,,,
,017411,,,,,,,,,,
,022481,,,,,,,,,,
,022591,,,,,,,,,,
,029872S,,,,,,,,,,
,049545,,,,,,,,,,
,017857,,,,,,,,,,
,023021,,,,,,,,,,
,004221,,,,,,,,,,
,024752,,,,,,,,,,
,024752PT,,,,,,,,,,
,024755PT,,,,,,,,,,
,026252,,,,,,,,,,
,025055PT,,,,,,,,,,
,026002,,,,,,,,,,
,026002PT,,,,,,,,,,
,026005PT,,,,,,,,,,
,026055PT,,,,,,,,,,
,090661,,,,,,,,,,
,027251,,,,,,,,,,
,021862,,,,,,,,,,
,026371,,,,,,,,,,
,056212,,,,,,,,,,
,080842S,,,,,,,,,,
,030395,,,,,,,,,,
,028552,,,,,,,,,,
,028145PT,,,,,,,,,,
,083041,,,,,,,,,,
,075551,,,,,,,,,,
,004591,,,,,,,,,,
,031572,,,,,,,,,,
,006891,,,,,,,,,,
,006901,,,,,,,,,,
,006951,,,,,,,,,,
,098371S,,,,,,,,,,
,035621,,,,,,,,,,
,031611,,,,,,,,,,
,059701,,,,,,,,,,
,059741,,,,,,,,,,
,033425P2,,,,,,,,,,
,033425P3,,,,,,,,,,
,035402,,,,,,,,,,
,035785,,,,,,,,,,
,022061,,,,,,,,,,
,019241,,,,,,,,,,
,021221,,,,,,,,,,
,037172,,,,,,,,,,
,023211,,,,,,,,,,
,037801,,,,,,,,,,
,037805PT,,,,,,,,,,
,023081,,,,,,,,,,
,005231,,,,,,,,,,
,038331,,,,,,,,,,
,036671,,,,,,,,,,
,035911,,,,,,,,,,
,038681,,,,,,,,,,
,005451,,,,,,,,,,
,015521,,,,,,,,,,
,054911,,,,,,,,,,
,054531,,,,,,,,,,
,045721,,,,,,,,,,
,047541,,,,,,,,,,
,049711,,,,,,,,,,
,049711,,,,,,,,,,
,046641,,,,,,,,,,
,033531,,,,,,,,,,
,040871,,,,,,,,,,
,040875,,,,,,,,,,
,040901,,,,,,,,,,
,040905PT,,,,,,,,,,
,025201,,,,,,,,,,
,041151,,,,,,,,,,
,041301,,,,,,,,,,
,002115PT,,,,,,,,,,
,041695,,,,,,,,,,
,074535,,,,,,,,,,
,077462S,,,,,,,,,,
,074592S,,,,,,,,,,
,074582S,,,,,,,,,,
,023752,,,,,,,,,,
,080952S,,,,,,,,,,
,029922S,,,,,,,,,,
,074612S,,,,,,,,,,
,093172,,,,,,,,,,
,045132,,,,,,,,,,
,045135,,,,,,,,,,
,046551,,,,,,,,,,
,071781,,,,,,,,,,
,071782,,,,,,,,,,
