GA#,"Product 
Category",Category 2,Item,Size,"Stock
Type","Fall
Selling
Factor","Item
Selling
Factor","Cold 
Zone","Plant
Rank","Royalty 
Flag",Description,"Orig
Start Date","Ready/
Effective 
Date","Expire 
Date",WO#,Lot#,"Stock 
Location","Assembly 
Seq Priorty","WO 
Status",WIP Qty,F/G Qty,"Unit 
Cost","Extended
Cost","Next 
Location","Qty 
Committed",Qty Held,"Lot 
Status","Release 
Date","Last 
Cycle Count",Memo Lot1,Memo Lot2,Memo Lot3,Item Comment,Item Specs,"Plant Status
Best by Date","Comment 
Expiration 
Date","Intro 
Year","BMP 
Code","Crop 
Code","EQU 
Factor","EQUs
On Hand",Price,Value,
45- 500004,PRN,Hosta,031871,1,S,100,A,03,C,,HOSTA ABIQUA DRINKING GOURD,08/27/14,05/15/16,11/30/16,159120,159120,4Q 7 W,,45,996,0,2.4513 ,"2,441.53 ",,0,0,,,08/27/14,,MN green,,,,,,2008,A0,,1.00,996.00 ,5.50 ,"5,478.00 ",
45- 500004,PRN,Hosta,031872,2,S,100,A,03,C,,HOSTA ABIQUA DRINKING GOURD,03/05/14,05/15/15,07/01/15,145133,145133,4J 9 W,,45,356,0,3.4608 ,"1,232.06 ",,0,0,,,,,MN green,,,,,,2008,A0,,2.30,818.80 ,10.50 ,"3,738.00 ",
45- 500051,PRN,Hosta,409651X,1X,M,,A,03,,BHC,HOSTA BEACH BOY,06/17/14,04/01/15,12/31/15,0,NB7013,7GH3,,,0,5,2.1300 ,10.65 ,,0,0,,,,,,,,,,,5000,A0,,1.00,5.00 ,0.00 ,0.00 ,
45- 500004,PRN,Hosta,006871,1,S,100,A,05,C,,HOSTA BLUE ANGEL,08/27/14,05/15/16,11/30/16,159118,159118,4Q 7 W,,45,996,0,2.4529 ,"2,443.08 ",,0,0,,,,,MN green,,,,,,,A0,,1.00,996.00 ,5.50 ,"5,478.00 ",
45- 500004,PRN,Hosta,006872,2,S,100,A,05,C,,HOSTA BLUE ANGEL,04/15/15,04/15/15,10/15/15,0,C3-44200802-14,4J 9 W,,,0,635,4.9000 ,"3,111.50 ",,0,0,,,,-,,,DORMANT,,.,6/27/2015,,A0,,2.30,"1,460.50 ",10.50 ,"6,667.50 ",
45- 500004,PRN,Hosta,40353UT,UT,S,100,A,03,,,HOSTA BLUE MOUSE EARS,08/26/14,05/15/15,11/30/15,159142,159142,7GH7,,45,"1,007",0,1.5631 ,"1,574.04 ",,0,0,,,,,MN green,,,,,,,A0,,0.60,604.20 ,3.10 ,"3,121.70 ",
45- 500004,PRN,Hosta,403531,1,S,100,A,03,,,HOSTA BLUE MOUSE EARS,04/15/15,04/15/15,10/15/15,0,C2A-44180614-14,4MH25,,,0,160,2.1300 ,340.80 ,,0,0,,,11/24/14,-,,,DORMANT,,PS0,7/25/2015,,A0,,1.00,160.00 ,5.50 ,880.00 ,
45- 500004,PRN,Hosta,016761,1,S,100,A,04,C,,HOSTA CHERRY BERRY,02/09/15,04/28/15,11/30/15,162054,162054,4K 1 W,,45,960,0,2.3068 ,"2,214.51 ",,0,0,,,,,MN green,,,,,,2005,A0,,1.00,960.00 ,5.50 ,"5,280.00 ",
45- 500051,PRN,Hosta,409661X,1X,M,,A,03,,BHC,HOSTA COLOR FESTIVAL,06/17/14,04/01/15,12/31/15,0,NB7014,7GH3,,,0,5,2.1300 ,10.65 ,,0,0,,,,,,,,,,,5000,A0,,1.00,5.00 ,0.00 ,0.00 ,
45- 500051,PRN,Hosta,409671X,1X,M,,A,03,,BHC,HOSTA COLORED HULK,06/17/14,04/01/15,12/31/15,0,NB7015,7GH3,,,0,5,2.1300 ,10.65 ,,0,0,,,,,,,,,,,5000,A0,,1.00,5.00 ,0.00 ,0.00 ,
