Loc,Item,Size,Description,Botanical Name,Common Name,Product,Zone,Condition,Current Specs,Qty Open,Qty Alloc Rem Thru 12/31/13,Qty Alloc Rem Thru 06/30/14,Net Avail Qty,Min Order Qty,List Price,Sale Price,AVL Flag
OR,036982,#2,HOSTA APHRODITE,Hosta plantaginea 'Aphrodite'                               ,Aphrodite Plantain Lily                                     ,PRN,03,DORMANT,2-3 EYES, 631 ,     ,     , 631 , 5 , 13.50 ,          , 
OR,041472,#2,HOSTA EOLA SAPPHIRE,Hosta x 'Eola Sapphire'                                     ,Eola Sapphire Plantain Lily                                 ,PRN,03,DORMANT,2-3 EYES, 763 ,     ,     , 763 , 5 , 13.50 ,          , 
OR,041862,#2,HOSTA FLUCTUANS VARIEG (SAGAE),Hosta x 'Sagae'                                             ,Variegated Plantain Lily                                    ,PRN,04,DORMANT,2-4 EYES, 404 ,     ,     , 404 , 5 , 13.50 ,          , 
OR,041691,#1,HOSTA FRANCEE,Hosta x 'Francee'                                           ,Francee Plantain Lily                                       ,PRN,04,DORMANT,1-3 EYES," 2,504 ",     ,     ," 2,504 ", 10 , 5.50 ,          , 
OR,041694PTC,"4"" Pot POT-TERRA",HOSTA FRANCEE,Hosta x 'Francee'                                           ,Francee Plantain Lily                                       ,PRN,04,DORMANT,1-2 EYES, 5 ,     ,     , 5 , 15 , 3.00 ,          , 
OR,041695,#5,HOSTA FRANCEE,Hosta x 'Francee'                                           ,Francee Plantain Lily                                       ,PRN,04,DORMANT,3-5 EYES, 285 ,     , 15 , 300 , 5 , 23.00 ,          , 
OR,041531,#1,HOSTA GINKO CRAIG,Hosta x 'Ginko Craig'                                       ,Ginko Craig Plantain Lily                                   ,PRN,03,DORMANT,1-3 EYES," 2,069 ",     ,     ," 2,069 ", 10 , 5.50 ,          , 
OR,041532,#2,HOSTA GINKO CRAIG,Hosta x 'Ginko Craig'                                       ,Ginko Craig Plantain Lily                                   ,PRN,03,DORMANT,," 1,742 ",     ,     ," 1,742 ", 5 , 13.50 ,          , 
OR,019911,#1,HOSTA GREAT EXPECTATIONS,Hosta 'Great Expectations'                                  ,Great Expectations Plantain Lily                            ,PRN,03,DORMANT,2-3 EYES, 10 ,     ,     , 10 , 10 , 6.75 ,          , 
OR,019912,#2,HOSTA GREAT EXPECTATIONS,Hosta 'Great Expectations'                                  ,Great Expectations Plantain Lily                            ,PRN,03,DORMANT,4-6 EYES, 93 ,     ,     , 93 , 5 , 13.50 ,          , 
OR,017531,#1,HOSTA JUNE,Hosta x 'June'                                              ,June Plantain Lily                                          ,PRN,03,DORMANT,2-3 EYES, 737 ,     ,     , 737 , 10 , 6.75 ,          , 
OR,041821,#1,HOSTA KROSSA REGAL,Hosta x 'Krossa Regal'                                      ,Krossa Regal Plantain Lily                                  ,PRN,03,DORMANT,1-3 EYES," 1,337 ",     , 20 ," 1,357 ", 10 , 5.50 ,          , 
OR,041822,#2,HOSTA KROSSA REGAL,Hosta x 'Krossa Regal'                                      ,Krossa Regal Plantain Lily                                  ,PRN,03,DORMANT,2-3 EYES, 849 ,     ,     , 849 , 5 , 13.50 ,          , 
OR,047791,#1,HOSTA LITTLE DARLING R PPAF,Hosta x 'MonChard' Little Darling® ,Little Darling®  Hosta,PRN,03,DORMANT,1-3 YEYS,     ,     , 10 , 10 , 10 , 6.75 ,          , 
OR,006982,#2,HOSTA MINUTEMAN,Hosta x 'Minuteman'                                         ,Minuteman Plantain Lily                                     ,PRN,03,DORMANT,2-4 EYES, 198 ,     ,     , 198 , 5 , 13.50 ,          , 
OR,028392,#2,HOSTA OLIVE BAILEY LANGDON,Hosta x 'Olive Bailey Langdon'                              ,Olive Bailey Langdon Plantain Lily                          ,PRN,04,DORMANT,2-3 EYES, 816 ,     ,     , 816 , 5 , 13.50 ,          , 
OR,041881,#1,HOSTA PATRIOT,Hosta x 'Patriot'                                           ,Patriot Plantain Lily                                       ,PRN,04,DORMANT,1-3 EYES, 4 ,     ,     , 4 , 10 , 5.50 ,          , 
OR,041882,#2,HOSTA PATRIOT,Hosta x 'Patriot'                                           ,Patriot Plantain Lily                                       ,PRN,04,DORMANT,4-6 EYES," 3,300 ",     ,     ," 3,300 ", 5 , 13.50 ,          , 
OR,041885,#5,HOSTA PATRIOT,Hosta x 'Patriot'                                           ,Patriot Plantain Lily                                       ,PRN,04,DORMANT,6+ EYES,     ,     , 5 , 5 , 5 , 23.00 ,          , 
OR,007011,#1,HOSTA REGAL SPLENDOR,Hosta x 'Regal Splendor'                                    ,Regal Splendor Plantain Lily                                ,PRN,04,DORMANT,1-3 EYES, 76 ,     ,     , 76 , 10 , 5.50 ,          , 
