Loc,Item,Size,Description,Botanical Name,Common Name,Zone,Condition,Current Specs,Qty Open,Qty Alloc Rem Thru 12/31/13,Qty Alloc Rem Thru 06/30/14,Net Avail Qty,Min Order Qty,List Price,Net Price,Sale Price,AVL Flag,,
GA,074731S,SuperOne TM,ABELIA CHIN BRONZ ANNIV R PPAF,Abelia grandiflora 'Rika1' P.P.A.F.                         ,Bronze Anniversary™  Abelia,06,,"8""H - 10""S", 25 ,     , 97 , 25 , 10 , 9.50 , 7.32 ,          , ,,
CA,074395,#5,ABELIA CHIN RUBY ANNIV TM PPAF,Abelia grandifolia 'Keiser' P.P.A.F.                        ,Ruby Anniversary™  Abelia,05,-,"12""H - 14""S", 12 ,     , 12 , 24 , 5 , 19.50 , 15.02 ,          ,I,,
CA,028341,#1,ABELIA GRA KALEIDOSCOPE P16988,"Abelia x grandiflora 'Kaleidoscope' P.P.# 16,988            ",Kaleidoscope Abelia                                         ,06,-,"6""H - 6""S", 732 ,     ,     , 732 , 10 , 8.50 , 6.55 ,          , ,,
CA,028342,#2,ABELIA GRA KALEIDOSCOPE P16988,"Abelia x grandiflora 'Kaleidoscope' P.P.# 16,988            ",Kaleidoscope Abelia                                         ,06,-,"12""H - 12""S", 176 ,     , 8 , 184 , 5 , 16.00 , 12.32 ,          ,I,,
GA,028343,#3,ABELIA GRA KALEIDOSCOPE P16988,"Abelia x grandiflora 'Kaleidoscope' P.P.# 16,988            ",Kaleidoscope Abelia                                         ,06,,"12""H - 15""S", 396 ,     ,     , 396 , 5 , 20.00 , 15.40 ,          , ,,
CA,028345,#5,ABELIA GRA KALEIDOSCOPE P16988,"Abelia x grandiflora 'Kaleidoscope' P.P.# 16,988            ",Kaleidoscope Abelia                                         ,06,-,"12""H - 15""S",     ,     , 5 , 5 , 5 , 20.50 , 15.79 ,          ,I,,
GA,025692,#2,ABELIA GRA ROSE CREEK,Abelia x 'Rose Creek'                                       ,Rose Creek Abelia                                           ,06,,"10""H - 12""S"," 1,000 ",     , 7 ," 1,007 ", 5 , 13.25 , 10.20 ,          ,I,,
CA,000095,#5,ABELIA PROSTRATA,Abelia x grandiflora 'Prostrata'                            ,Prostrate White Abelia                                      ,06,-,"15""H - 18""S *", 43 ,     ,     , 43 , 5 , 18.75 , 14.44 ,          , ,,
OR,000082,#2,ABIES BALSAMEA NANA,Abies balsamea 'Nana'                                       ,Dwarf Balsam Fir                                            ,03,-,"12""S", 77 ,     ,     , 77 , 5 , 21.50 , 16.56 ,          , ,,
OR,019341,#1,ABIES LAS GLAUCA COMPACTA,Abies lasiocarpa 'Glauca Compacta'                          ,Dwarf Blue Subalpine Fir                                    ,03,-,"6""H", 48 ,     ,     , 48 , 10 , 10.75 , 8.28 ,          , ,,
CA,000135ST,#5 STAKED,ABUTILON ROSEUS,Abutilon x hybridum 'Roseus'                                ,Pink Flowering Maple                                        ,09,-,"36""H", 101 ,     ,     , 101 , 5 , 24.50 , 18.87 ,          , ,,
CA,000205ST,#5 STAKED,ABUTILON SUPER RED R,Abutilon x 'Moned'                                          ,Super Red®  Flowering Maple,09,BUDS & BLOOMS,"36""H", 68 ,     ,     , 68 , 5 , 24.50 , 18.87 ,          , ,,
GA,000402,#2,ACANTHUS OAK LEAF,Acanthus mollis 'Oak Leaf'                                  ,Grecian Pattern Plant                                       ,06,,"14""H - 16""S"," 2,895 ",     , 67 ," 2,962 ", 5 , 15.50 , 11.94 ,          ,I,,
OR,030341,#1,ACER CIR MONROE,Acer circinatum 'Monroe'                                    ,Monroe Vine Maple                                           ,06,BREAKING DORMANCY,"20""H", 324 ,     ,     , 324 , 10 , 11.00 , 8.47 ,          , ,,
OR,000415MU,#5 CLUMP,ACER CIRCINATUM,Acer circinatum                                             ,Vine Maple                                                  ,05,BREAKING DORMANCY,"42""H", 124 ,     ,     , 124 , 5 , 30.00 , 23.10 ,          , ,,
