Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,012555,CLYTOSTOMA CALLISTEGIOIDES,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,012451,DISTICTIS BUCCINATORIA,EVS,39,4,0,0,4,$18.50 ,,
550000,012471,DISTICTIS RIVERS,EVS,660,42,0,0,42,$8.50 ,,
,062005,ENSETE MAURELII,,,,,,,,,
,019311,EUO A COLE'S COMPACT,,,,,,,,,
,033651,EUO F CANADALE GOLD,,,,,,,,,
,034001,EUO F EMERALD 'N GOLD,,,,,,,,,
,033901,EUO F EMERALD GAIETY,,,,,,,,,
,034301,EUO F GOLDEN PRINCE R,,,,,,,,,
,034452,EUO F IVORY JADE,,,,,,,,,
,034501,EUO F MOONSHADOW,,,,,,,,,
,034901,EUO J AUREOVARIEGATUS,,,,,,,,,
,035001,EUO J GRANDIFOLIUS,,,,,,,,,
,035252,EUO J MICRO SILVER PRINCESS TM,,,,,,,,,
,035101,EUO J MICROPHYLLUS,,,,,,,,,
,035402,EUO KIA MANHATTAN,,,,,,,,,
,036785,FICUS CAR BROWN TURKEY,,,,,,,,,
,036815,FICUS CAR MISSION,,,,,,,,,
,036851ST,FICUS PUMILA,,,,,,,,,
,037701,GARDENIA AUGUST BEAUTY,,,,,,,,,
,034155,GARDENIA AUGUST BEAUTY-GRAFT,,,,,,,,,
,044091,GARDENIA FROSTPROOF,,,,,,,,,
,037561,GARDENIA KLEIM'S HARDY,,,,,,,,,
,037941,GARDENIA WHITE GEM,,,,,,,,,
,042607,ILEX AQ ARGENTEOMARGINATA,,,,,,,,,
,044902,ILEX CREN HELLERI,,,,,,,,,
,044932,ILEX CREN SKY PENCIL(SKY SNTRY,,,,,,,,,
,007592,ILEX CREN SOFT TOUCH,,,,,,,,,
,092652,ILEX EMRLD COLONNADE R PP23905,,,,,,,,,
,086352S,ILEX VERT MR POPPINS R,,,,,,,,,
,045085,ILEX X BLUE BOY,,,,,,,,,
,045172,ILEX X BLUE PRINCESS,,,,,,,,,
,074942S,ILEX X CASTLE WALL TM PP14308,,,,,,,,,
,046581,JASMINUM POLYANTHUM,,,,,,,,,
,071782,JASMINUM SAMBAC,,,,,,,,,
,054709,LAG CATAWBA,,,,,,,,,
,033342,LIGULARIA PRZEWALSKI,,,,,,,,,
,058451,LIGUSTRUM VULGARE LODENSE,,,,,,,,,
,059381,MACFADYENA UNGUIS-CATI,,,,,,,,,
,061931,MUSA ACUM ENANO GIGANTE,,,,,,,,,
,063231,OSMANTHUS HET GOSHIKI,,,,,,,,,
,071961,PARTH HENRYANA,,,,,,,,,
,081522S,PARTH Q RED WALL TM PPAF,,,,,,,,,
,002471,PARTH Q STAR SHOWERS R P10128,,,,,,,,,
,002451,PARTH QUINQUEFOLIA,,,,,,,,,
,002501,PARTH TRI VEITCHII,,,,,,,,,
