Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,000755,ACER PAL BLOODGOOD,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,000759,ACER PAL BLOODGOOD,EVS,39,4,0,0,4,$18.50 ,,
550000,000955ST,ACER PAL CRIMSON QUEEN,EVS,660,42,0,0,42,$8.50 ,,
,001812,AZALEA GA KAREN,,,,,,,,,
,008382,AZALEA NL ROSY LIGHTS,,,,,,,,,
,012032,BER GOLDN NUGGET TM P9577 CBR,,,,,,,,,
,012032,BER GOLDN NUGGET TM P9577 CBR,,,,,,,,,
,074741S,BER SUNJOY R GOLD PILLAR PPAF,,,,,,,,,
,012051,BER T CRIMSON PYGMY,,,,,,,,,
,012102,BER T HELMOND PILLAR,,,,,,,,,
,013781,BUDDLEJA DAV BLACK KNIGHT,,,,,,,,,
,013561,BUDDLEJA DAV ROYAL RED,,,,,,,,,
,077391S,BUDDLEJA MISS MOLLY PPAF,,,,,,,,,
,013825CN,BUXUS GREEN MOUNTAIN,,,,,,,,,
,013831,BUXUS MIC WINTER GEM,,,,,,,,,
,013882,BUXUS SEMP VARIEGATA,,,,,,,,,
,013882,BUXUS SEMP VARIEGATA,,,,,,,,,
,022891,CARY X DARK KNIGHT,,,,,,,,,
,074442S,CHAEN DBLTKE TM OR STRM P20950,,,,,,,,,
,074452S,CHAEN DBLTKE TM PK STRM P20920,,,,,,,,,
,074772S,CHAEN DBLTKE TM SCR STRM PPAF,,,,,,,,,
,074782S,CHAM PIS SOFT SERVE R PPAF,,,,,,,,,
,028207PT,CORYLUS AV CONTORTA,,,,,,,,,
,035795,FAGUS SYL RIVERSII,,,,,,,,,
,035785,FAGUS SYL TRICOLOR,,,,,,,,,
,022582,GR-CAREX BUCHANANII,,,,,,,,,
,028052,GR-ERIANTHUS RAVENNAE,,,,,,,,,
,036672,GR-FESTUCA GLAUCA ELIJAH BLUE,,,,,,,,,
,039972,GR-HELICTOTRICHON SEMPERVIRENS,,,,,,,,,
,044582,GR-MIS SIN GOLD BAR PP15193,,,,,,,,,
,061562,GR-MIS SIN GRACILLIMUS,,,,,,,,,
,063882,GR-PAN VIR SHENANDOAH,,,,,,,,,
,064262,GR-PENN ALO HAMELN,,,,,,,,,
,074501S,HIB SYR BLU CHIFFON TM PP20574,,,,,,,,,
,074492S,HIB SYR LIL' KIM TM PP19547,,,,,,,,,
,068241S,HOSTA EMPRESS WU PP20774,,,,,,,,,
,041882,HOSTA PATRIOT,,,,,,,,,
,041713,HYD ARB ANNABELLE,,,,,,,,,
,074522S,HYD ARB INCREDIBALL R PP20571,,,,,,,,,
,074522S,HYD ARB INCREDIBALL R PP20571,,,,,,,,,
,080951S,HYD PAN BOBO R PP22782,,,,,,,,,
,024371S,HYD PAN LIMELIGHT PP12874,,,,,,,,,
,042565,HYD QUER PEE WEE,,,,,,,,,
,045125,ILEX X BERRI-MAGIC R CHINA,,,,,,,,,
,045095,ILEX X BERRI-MAGIC R KIDS,,,,,,,,,
,048005PP,JUN C MINT JULEP R,,,,,,,,,
,048131,JUN C SEA OF GOLD R PP17622,,,,,,,,,
,053392,JUN SQUA BLUE STAR,,,,,,,,,
,053392,JUN SQUA BLUE STAR,,,,,,,,,
,058805,LIRIODENDRON MAJESTIC BEAUTY R,,,,,,,,,
,060195,MAG X YELLOW BIRD,,,,,,,,,
,047075,PAEONIA ITOH YUMI TM (YLW),,,,,,,,,
,029941S,PHYSOCARPUS SUMR WINE R P14821,,,,,,,,,
,064551,PICEA ABIES LITTLE GEM,,,,,,,,,
,064562,PICEA ABIES NIDIFORMIS,,,,,,,,,
,064622,PICEA GL CONICA,,,,,,,,,
,064625,PICEA GL CONICA,,,,,,,,,
,064692,PICEA PUN GLOBOSA,,,,,,,,,
,064715,PICEA PUN HOOPSII,,,,,,,,,
,065452,PINUS MUGO PUMILIO,,,,,,,,,
,066801,POTENTILLA GOLD STAR,,,,,,,,,
,069315,QUERCUS ROBUR FASTIGIATA,,,,,,,,,
,009752,RHOD (H-1) NOVA ZEMBLA,,,,,,,,,
,070271,RUELLIA KATIE,,,,,,,,,
,071231,SPIRAEA X LIMEMOUND R,,,,,,,,,
,012595,THUJA GREEN GIANT,,,,,,,,,
,072935,THUJA OC HOLMSTRUP,,,,,,,,,
,074711S,WEIGELA FL MY MONET R PP16824,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
