Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
160000,000755,ACER PAL BLOODGOOD,TRE,284,81,0,0,81,$8.50 ,,5/1/2014
160000,049585,ACER PSEUDO ESKIMO SUNSET,TRE,39,4,0,0,4,$18.50 ,,
160000,030335,ACER SHIR AUTUMN MOON,TRE,660,42,0,0,42,$8.50 ,,
160000,412511,AGASTACHE KUDOS CORAL PPAF,PRN,,,,,,,,
160000,408331,AGASTACHE LITTLE ADDER PPAF,PRN,,,,,,,,
450000,400561,ALLIUM HYB MILLENNIUM,PRN,,,,,,,,
160000,00304UT,ARMERIA MAR BLOODSTONE,PRN,,,,,,,,
160000,00269UT,ARMERIA MAR COTTON TAIL,PRN,,,,,,,,
450000,035381,BRUNNERA MAC JACK FROST P13859,PRN,,,,,,,,
450000,401252,BUD FLTBY PTE R BL HEVN P22069,DCS,,,,,,,,
550000,013561,BUDDLEJA DAV ROYAL RED,DCS,,,,,,,,
450000,078721,CORE BIGBANG TM CSMC EY P22601,PRN,,,,,,,,
450000,088891,CORE BIGBANG TM MRCRY RSNG PAF,PRN,,,,,,,,
450000,068081,CORE BIGBANG TM RDSHFT PP20412,PRN,,,,,,,,
160000,031532,DAPHNE BURK CAROL MACKIE,EVS,,,,,,,,
450000,402243S,DEUTZIA YUKI SNOWFLAKE TM PPAF,DCS,,,,,,,,
160000,031331,DIANTHUS FROSTY FIRE,PRN,,,,,,,,
450000,031331,DIANTHUS FROSTY FIRE,PRN,,,,,,,,
550000,094501,DIANTHUS RASP SURPRISE PP16029,PRN,,,,,,,,
450000,402301,DICENTRA IVORY HEARTS P15599,PRN,,,,,,,,
450000,004901,DICENTRA SP VALENTINE R P22739,PRN,,,,,,,,
550000,018761,FERN-ATHYRIUM GHOST,FRN,,,,,,,,
160000,086711,GAURA L PINK LADY PP17494,PRN,,,,,,,,
450000,086313S,HYD MAC LD R RHYTHMIC BLUE PAF,DCS,,,,,,,,
450000,028481,LAVANDULA THUMBELINA LE P15231,PRN,,,,,,,,
160000,06040M,MAG STELLATA ROYAL STAR,DCS,,,,,,,,
160000,060197TR,MAG X YELLOW BIRD,TRE,,,,,,,,
160000,047251,MUKDENIA ROS CRIMSON FANS,PRN,,,,,,,,
160000,409001,PENST ROCK CANDY TM PINK PPAF,PRN,,,,,,,,
550000,066811,PENSTEMON X PRETTY PETTICOAT,PRN,,,,,,,,
450000,029943S,PHYSOCARPUS SUMR WINE R P14821,DCS,,,,,,,,
160000,066985,PRUNUS X YEDOENSIS AKEBONO,TRE,,,,,,,,
160000,069255,QUERCUS RUBRA,TRE,,,,,,,,
