Branch,item,Description,
160000,044551,GR-CAL ACUT AVALANCHE,
160000,044552,GR-CAL ACUT AVALANCHE,
160000,014011,GR-CAL ACUT KARL FOERSTER,
160000,014012,GR-CAL ACUT KARL FOERSTER,
160000,014013,GR-CAL ACUT KARL FOERSTER,
160000,014015,GR-CAL ACUT KARL FOERSTER,
160000,014071,GR-CAL ACUT OVERDAM,
160000,014072,GR-CAL ACUT OVERDAM,
160000,014081,GR-CALAMAGROSTIS BRACHYTRICA,
160000,014082,GR-CALAMAGROSTIS BRACHYTRICA,
160000,014083,GR-CALAMAGROSTIS BRACHYTRICA,
160000,014085,GR-CALAMAGROSTIS BRACHYTRICA,
160000,028041,GR-CORT IVORY FEATHERS R,
160000,028045,GR-CORT IVORY FEATHERS R,
160000,028101,GR-CORT SUN STRIPE R,
160000,028105,GR-CORT SUN STRIPE R,
160000,028003,GR-CORTADERIA SELLOANA,
160000,08927RND,GR-CYMBOPOGON CITRATUS,
160000,089271,GR-CYMBOPOGON CITRATUS,
160000,028051,GR-ERIANTHUS RAVENNAE,
160000,028052,GR-ERIANTHUS RAVENNAE,
160000,028053,GR-ERIANTHUS RAVENNAE,
160000,028055,GR-ERIANTHUS RAVENNAE,
160000,061811,GR-MIS SIN ADAGIO,
160000,061812,GR-MIS SIN ADAGIO,
160000,061813,GR-MIS SIN ADAGIO,
160000,061815,GR-MIS SIN ADAGIO,
160000,061741,GR-MIS SIN CABARET,
160000,061742,GR-MIS SIN CABARET,
160000,061743,GR-MIS SIN CABARET,
160000,061745,GR-MIS SIN CABARET,
160000,005451,GR-MIS SIN DIXIELAND,
160000,005452,GR-MIS SIN DIXIELAND,
160000,005455,GR-MIS SIN DIXIELAND,
160000,061561,GR-MIS SIN GRACILLIMUS,
160000,061562,GR-MIS SIN GRACILLIMUS,
160000,061563,GR-MIS SIN GRACILLIMUS,
160000,061565,GR-MIS SIN GRACILLIMUS,
160000,005522,GR-MIS SIN LITTLE KITTEN,
160000,044591,GR-MIS SIN LITTLE ZEBRA P13008,
160000,044592,GR-MIS SIN LITTLE ZEBRA P13008,
160000,044593,GR-MIS SIN LITTLE ZEBRA P13008,
160000,044595,GR-MIS SIN LITTLE ZEBRA P13008,
160000,005572,GR-MIS SIN MALEPARTUS,
160000,061661,GR-MIS SIN MORNING LIGHT,
160000,061662,GR-MIS SIN MORNING LIGHT,
160000,061663,GR-MIS SIN MORNING LIGHT,
160000,061665,GR-MIS SIN MORNING LIGHT,
160000,061761,GR-MIS SIN PURPURASCENS,
160000,061763,GR-MIS SIN PURPURASCENS,
160000,061765,GR-MIS SIN PURPURASCENS,
160000,061551,GR-MIS SIN STRICTUS,
160000,061552,GR-MIS SIN STRICTUS,
160000,061553,GR-MIS SIN STRICTUS,
160000,061555,GR-MIS SIN STRICTUS,
160000,061571,GR-MIS SIN VARIEGATUS,
160000,061572,GR-MIS SIN VARIEGATUS,
160000,061573,GR-MIS SIN VARIEGATUS,
160000,061575,GR-MIS SIN VARIEGATUS,
160000,061641,GR-MIS SIN YAKUSHIMA,
160000,061642,GR-MIS SIN YAKUSHIMA,
160000,061643,GR-MIS SIN YAKUSHIMA,
160000,061645,GR-MIS SIN YAKUSHIMA,
160000,024671,GR-MUHLEN CAP REGAL MIST R,
160000,024672,GR-MUHLEN CAP REGAL MIST R,
160000,024672,GR-MUHLEN CAP REGAL MIST R,
160000,024675,GR-MUHLEN CAP REGAL MIST R,
160000,092061,GR-MUHLEN LIND AUTUMN GLOW ™,
160000,092065,GR-MUHLEN LIND AUTUMN GLOW ™,
160000,005663,GR-MUHLENBERGIA CAPILLARIS,
160000,005665,GR-MUHLENBERGIA CAPILLARIS,
160000,405003,GR-PAN VIR CHEYENNE SKY,
160000,063532,GR-PAN VIR CLOUD NINE,
160000,063533,GR-PAN VIR CLOUD NINE,
160000,063535,GR-PAN VIR CLOUD NINE,
160000,061791,GR-PAN VIR HEAVY METAL,
160000,061793,GR-PAN VIR HEAVY METAL,
160000,061795,GR-PAN VIR HEAVY METAL,
160000,405011,GR-PAN VIR HOT ROD PPAF,
160000,405013,GR-PAN VIR HOT ROD PPAF,
160000,022961,GR-PAN VIR NORTHWIND,
160000,022962,GR-PAN VIR NORTHWIND,
160000,022963,GR-PAN VIR NORTHWIND,
160000,005693,GR-PAN VIR PRAIRIE SKY,
160000,405023,GR-PAN VIR RUBY RIBBONS P17944,
160000,063881,GR-PAN VIR SHENANDOAH,
160000,063882,GR-PAN VIR SHENANDOAH,
160000,063883,GR-PAN VIR SHENANDOAH,
160000,063885,GR-PAN VIR SHENANDOAH,
160000,405063,GR-PENN A DESERT PLAINS P20751,
160000,405073,GR-PENN ALO FOXTROT,
160000,405083,GR-PENN ALO RED HEAD,
160000,022201,GR-PENN SET FIREWORKS PP18504,
160000,022202,GR-PENN SET FIREWORKS PP18504,
160000,022205,GR-PENN SET FIREWORKS PP18504,
160000,06427UT,GR-PENN SET RUBRUM,
160000,064271,GR-PENN SET RUBRUM,
160000,064272,GR-PENN SET RUBRUM,
160000,064273,GR-PENN SET RUBRUM,
160000,064275,GR-PENN SET RUBRUM,
160000,022261,GR-PENN SET SKY ROCKET PP21497,
160000,086111,GR-SCHIZACH BL HEAVN ™ P17310,
160000,086112,GR-SCHIZACH BL HEAVN ™ P17310,
160000,086113,GR-SCHIZACH BL HEAVN ™ P17310,
160000,406572,GR-SCHIZACH PRAIRIE BLUES PPAF,
160000,406563,GR-SCHIZACHYRIUM CAROUSEL PAF,
160000,005791,GR-SCHIZACHYRIUM SCO THE BLUES,
160000,005793,GR-SCHIZACHYRIUM SCO THE BLUES,
160000,012081,GR-SPOROBOLUS HETEROLEPIS,
160000,012082,GR-SPOROBOLUS HETEROLEPIS,
160000,024673,GR-MUHLEN CAP REGAL MIST R,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
