Branch,Item #,Description
160000,056411,ACTINIDIA TETRA VAR MALOIDES
160000,056415,ACTINIDIA TETRA VAR MALOIDES
160000,050011,AGAPANTHUS BLUE LEAP
160000,050012,AGAPANTHUS BLUE LEAP
160000,050002,AGAPANTHUS INAPTERUS GRASKOP
160000,055482,ARALIA CORDATA GOTEMBA
160000,049782,AZARA MICRO VARIEGATA
160000,049785,AZARA MICRO VARIEGATA
160000,049772,AZARA MICROPHYLLA
160000,049775,AZARA MICROPHYLLA
160000,049795,AZARA SERRATA ANDEAN GOLD TM
160000,078461,BACCHARIS MAGELLANICA
160000,050022,BEESIA DELTOPHYLLA
160000,057382,CESTRUM AUR ORANGE PEEL
160000,055395,CLEM MONTANA PINK-A-BOO R
160000,055532,CLETHRA BARBINERVIS VARIEGATA
160000,055535,CLETHRA BARBINERVIS VARIEGATA
160000,051352,COPROSMA BLACK CLOUD
160000,056421,DEUTZIA SET CORYMBIFLORA
160000,056422,DEUTZIA SET CORYMBIFLORA
160000,085821,DISPORUM CANT MOONLIGHT P24556
160000,085822,DISPORUM CANT MOONLIGHT P24556
160000,050611,DRIMYS LANCEOLATA
160000,050612,DRIMYS LANCEOLATA
160000,050615,DRIMYS LANCEOLATA
160000,049845,DRIMYS WIN PEWTER PILLAR R
160000,049845TR,DRIMYS WIN PEWTER PILLAR R
160000,057925,EDGEWORTHIA CHRYSANTHA - DJHC
160000,050722,EUCRYPHIA LUC SPRING CREAM
160000,050725,EUCRYPHIA LUC SPRING CREAM
160000,033032,FATSIA JAP VAR CAMOUFLAGE TM
160000,033035,FATSIA JAP VAR CAMOUFLAGE TM
160000,050621,FUCHSIA EXCORTICATA KIWI SHEEN
160000,050622,FUCHSIA EXCORTICATA KIWI SHEEN
160000,049861,FUCHSIA GENII AUREA
160000,049862,FUCHSIA GENII AUREA
160000,050632,FUCHSIA MAGEL HAWKSHEAD
160000,049871,FUCHSIA MAGEL WINDCLIFF FLURRY
160000,049872,FUCHSIA MAGEL WINDCLIFF FLURRY
160000,049931,GR-RHODOCOMA CAPENSIS
160000,033202,GUNNERA TINCTORIA
160000,033205,GUNNERA TINCTORIA
160000,089081,HELLE WINDCLIFF SLATY BLUE SDL
160000,056381,HOLBOELLIA BRACHYANDRA HWJ1023
160000,056361,HOLBOELLIA COR CATHEDRAL GEM
160000,056365,HOLBOELLIA COR CATHEDRAL GEM
160000,056371,HOLBOELLIA LATIFOLIA RITAK
160000,056375,HOLBOELLIA LATIFOLIA RITAK
160000,063832,HYD ANG GOLDEN CRANE R
160000,063835,HYD ANG GOLDEN CRANE R
160000,056452,HYD ASPERA PLUM PASSION R
160000,056455,HYD ASPERA PLUM PASSION R
160000,075631,HYD INTEG TAIPING SHAN CLIMBNG
160000,075632,HYD INTEG TAIPING SHAN CLIMBNG
160000,056482,HYD SERRATA CHIRI-SAN SUE (DH)
160000,056485,HYD SERRATA CHIRI-SAN SUE (DH)
160000,060321,LEUCOSCEPTRUM JAP GOLDEN ANGEL
160000,060325,LEUCOSCEPTRUM JAP GOLDEN ANGEL
160000,053582,MAHONIA X MED LIONEL FORTESCUE
160000,053585,MAHONIA X MED LIONEL FORTESCUE
160000,047222,METAPANAX DAVIDII 8131 DJHC8
160000,047225,METAPANAX DAVIDII 8131 DJHC8
160000,047251,MUKDENIA ROS CRIMSON FANS
160000,047252,MUKDENIA ROS CRIMSON FANS
160000,055661,OPHIOPOGON FORMOSANUM
160000,093191,PACHYSANDRA WINDCLIFF FRAGRANT
160000,090835,PITT ILL FORMOSAN FINGERS TM
160000,051422,PITT TEN TASMAN RUFFLES
160000,051425,PITT TEN TASMAN RUFFLES
160000,080005,POLYSPORA LONG FULLMOON R PPAF
160000,053845,PROSTANTHERA CUN BADJA PEAK
160000,043082,PSEUDOPANAX LAETUS KIWI GEM TM
160000,043085,PSEUDOPANAX LAETUS KIWI GEM TM
160000,076641,SAXIFRAGA FORT BERRY BRIGHT TM
160000,076731,SAXIFRAGA FORTUNEI PINK ELF R
160000,052935,SCHEF A BREVIPEDUNCULATA(12224
160000,043915,SCHEFFLERA HOI (8171) DJHV8
160000,049952,SCHEFFLERA TAIW YUAN SHAN
160000,049955,SCHEFFLERA TAIW YUAN SHAN
160000,049957,SCHEFFLERA TAIW YUAN SHAN
160000,075762,SCHIZOPHRAGMA E RED RHAPSODY R
160000,055412,SCHIZOPHRAGMA LACY HEARTS TM
160000,049962,SOLANUM CRISP GLASNEVIN
160000,050655,STACHYURUS SAL SPARKLER R
160000,060482,STACHYURUS YUNNANENSIS
160000,060485,STACHYURUS YUNNANENSIS
160000,053125,TROCHODENDRON ARALIOIDES
160000,053125TR,TROCHODENDRON ARALIOIDES
