Loc,New Plant,Item,Size,Plant Name,Botanical Name,Common Name,Category,Zone,Royalty Code,2016 List Price,Net Price,Freight,Landed Price,SKU,Retail Price,UPC#,Qty Cfm,Qty Rem,Condition,Current Specs,Min Ord Qty,Available         ,Available Later,On,Available Later,On,Available Later,On
,,,,Conifers,,,,,,,,,,,,,,,,,,,,,,,,
OR,    ,048991,#1,ABIES BAL TYLER'S BLUE,                                                            ,                                                            ,CON,03,, 9.50 , 8.08 , 0.97 , 9.05 ,,     ,014949431993,     ,     ,-,, 10 , 15 ,     ,          ,     ,          ,     ,          
OR,2015,049625,#5,ABIES CONCOLOR BLUE CLOAK,Abies concolor 'Blue Cloak'                                 ,Blue Cloak White Fir                                        ,CON,04,, 48.50 , 41.23 , 4.87 , 46.10 ,,     ,014949347898,     ,     ,-,"30""H-12""S", 5 ,     , 2 ,04/27/16  ,     ,          ,     ,          
OR,    ,021565,#5,ABIES HORSTMANN'S SILBERLOCKE,Abies koreana 'Horstmann's Silberlocke'                     ,Horstmann's Silberlocke Korean Fir                          ,CON,05,, 48.50 , 41.23 , 4.87 , 46.10 ,,     ,014949040553,     ,     ,-,"27""H - 14""S", 5 , 191 , 509 ,04/27/16  ,     ,          ,     ,          
OR,    ,019345,#5,ABIES LAS GLAUCA COMPACTA,Abies lasiocarpa 'Glauca Compacta'                          ,Dwarf Blue Rocky Mountain Fir                               ,CON,03,, 48.50 , 41.23 , 4.87 , 46.10 ,,     ,014949015735,     ,     ,-,"15""H - 15""S", 5 , 10 , 23 ,04/27/16  ,     ,          ,     ,          
OR,2014,047362,#2,ABIES PIN GLAUCA PROSTRATA,Abies pinsapo 'Glauca 'Prostrata'                           ,Dwarf Blue Spanish Fir                                      ,CON,06,, 28.25 , 24.01 , 2.44 , 26.45 ,,     ,014949428344,     ,     ,-,"12""S", 5 ,     , 5 ,04/27/16  ,     ,          ,     ,          
OR,2014,047365,#5,ABIES PIN GLAUCA PROSTRATA,Abies pinsapo 'Glauca 'Prostrata'                           ,Dwarf Blue Spanish Fir                                      ,CON,06,, 48.00 , 40.80 , 4.87 , 45.67 ,,     ,014949266823,     ,     ,-,"12""H", 5 , 100 , 272 ,04/27/16  ,     ,          ,     ,          
OR,    ,038785,#5,CEDRUS ATLANTICA FASTIGIATA,Cedrus atlantica 'Glauca Fastigiata'                        ,Columnar Blue Atlas Cedar                                   ,CON,06,, 43.25 , 36.76 , 4.87 , 41.63 ,,     ,014949233085,     ,     ,-,"52""H", 5 , 34 ,     ,          ,     ,          ,     ,          
OR,    ,023305,#5,CEDRUS ATLANTICA GLAUCA,Cedrus atlantica 'Glauca'                                   ,Blue Atlas Cedar                                            ,CON,06,, 43.25 , 36.76 , 4.87 , 41.63 ,,     ,014949233054,     ,     ,-,"45""H - 14""S", 5 , 25 ,     ,          ,     ,          ,     ,          
OR,    ,023307,#7,CEDRUS ATLANTICA GLAUCA,Cedrus atlantica 'Glauca'                                   ,Blue Atlas Cedar                                            ,CON,06,, 78.50 , 66.73 , 12.18 , 78.91 ,,     ,014949233078,     ,     ,-,"54""H - 18""S", 2 , 11 ,     ,          ,     ,          ,     ,          
OR,    ,023315SE,#5 SERPENTINE,CEDRUS ATLANTICA GLAUCA PNDULA,Cedrus atlantica 'Glauca Pendula'                           ,Weeping Blue Atlas Cedar                                    ,CON,06,, 56.50 , 48.03 , 7.31 , 55.34 ,,     ,014949233153,     ,     ,-,"32""H", 2 , 1 ,     ,          ,     ,          ,     ,          
OR,    ,023315ST,#5 STAKED,CEDRUS ATLANTICA GLAUCA PNDULA,Cedrus atlantica 'Glauca Pendula'                           ,Weeping Blue Atlas Cedar                                    ,CON,06,, 53.25 , 45.26 , 4.87 , 50.13 ,,     ,014949069394,     ,     ,-,"48""H", 5 , 27 , 27 ,04/27/16  ,     ,          ,     ,          
OR,    ,023319SE,#15 SERPENTINE,CEDRUS ATLANTICA GLAUCA PNDULA,Cedrus atlantica 'Glauca Pendula'                           ,Weeping Blue Atlas Cedar                                    ,CON,06,, 138.00 , 117.30 , 36.53 , 153.83 ,,     ,014949264775,     ,     ,-,"46""H",     , 5 ,     ,          ,     ,          ,     ,          
OR,    ,023327,#7,CEDRUS ATLANTICA HORSTMANN,Cedrus atlantica 'Horstmann'                                ,Horstmann Blue Atlas Cedar                                  ,CON,06,, 78.50 , 66.73 , 12.18 , 78.91 ,,     ,014949233375,     ,     ,-,"54""H - 18""S", 2 , 3 ,     ,          ,     ,          ,     ,          
OR,2011,024662,#2,CEPHALOTAXUS HAR DUKE GARDENS,Cephalotaxus harringtonia 'Duke Gardens'                    ,Duke Gardens Japanese Plum Yew                              ,CON,06,, 16.75 , 14.24 , 2.44 , 16.68 ,,     ,014949049280,     ,     ,-,"8""H - 8""S", 5 , 5 ,     ,          ,     ,          ,     ,          
OR,2011,024665,#5,CEPHALOTAXUS HAR DUKE GARDENS,Cephalotaxus harringtonia 'Duke Gardens'                    ,Duke Gardens Japanese Plum Yew                              ,CON,06,, 25.50 , 21.68 , 4.87 , 26.55 ,,     ,014949049297,     ,     ,-,"14""H - 15""S", 5 ,     , 19 ,04/27/16  ,     ,          ,     ,          
OR,    ,017381,#1,CEPHALOTAXUS HAR FASTIGIATA,Cephalotaxus harringtonia 'Fastigiata'                      ,Upright Japanese Plum Yew                                   ,CON,06,, 8.00 , 6.80 , 0.97 , 7.77 ,,     ,014949040218,     ,     ,-,"8""H", 10 , 3 ,     ,          ,     ,          ,     ,          
OR,    ,017382,#2,CEPHALOTAXUS HAR FASTIGIATA,Cephalotaxus harringtonia 'Fastigiata'                      ,Upright Japanese Plum Yew                                   ,CON,06,, 16.75 , 14.24 , 2.44 , 16.68 ,,     ,014949040270,     ,     ,-,"10""H", 5 , 25 ,     ,          ,     ,          ,     ,          
OR,    ,028831,#1,CEPHALOTAXUS HAR PROSTRATA,Cephalotaxus harringtonia 'Prostrata'                       ,Spreading Japanese Plum Yew                                 ,CON,06,, 8.00 , 6.80 , 0.97 , 7.77 ,,     ,014949339626,     ,     ,-,, 10 ,     , 7 ,04/27/16  ,     ,          ,     ,          
OR,    ,023655,#5,CHAM NOOT PENDULA,Chamaecyparis nootkatensis 'Pendula'                        ,Weeping Nootka Cypress                                      ,CON,05,, 36.00 , 30.60 , 4.87 , 35.47 ,,     ,014949236550,     ,     ,-,"42""H - 20""S", 5 , 49 ,     ,          ,     ,          ,     ,          
OR,    ,02365M,#10 Squat,CHAM NOOT PENDULA,Chamaecyparis nootkatensis 'Pendula'                        ,Weeping Nootka Cypress                                      ,CON,05,, 82.50 , 70.13 , 17.53 , 87.66 ,,     ,014949236673,     ,     ,-,"60""H - 21""S", 2 , 2 ,     ,          ,     ,          ,     ,          
OR,    ,023905,#5,CHAM OBT FILICOIDES,Chamaecyparis obtusa 'Filicoides'                           ,Fernspray False Cypress                                     ,CON,04,, 31.25 , 26.56 , 4.87 , 31.43 ,,     ,014949239056,     ,     ,-,"20""H", 5 , 2 ,     ,          ,     ,          ,     ,          
OR,    ,023912,#2,CHAM OBT TEMPELHOF,Chamaecyparis obtusa 'Tempelhof'                            ,Tempelhof Cypress                                           ,CON,04,, 18.75 , 15.94 , 2.44 , 18.38 ,,     ,014949239124,     ,     ,-,"14""S", 5 , 26 ,     ,          ,     ,          ,     ,          
OR,    ,082402,#2,CHAM PIS BABY BLUE,Chamaecyparis pisifera 'Baby Blue'                          ,Baby Blue Sawara Cypress                                    ,CON,04,, 15.25 , 12.96 , 2.44 , 15.40 ,,     ,014949824023,     ,     ,-,"12""H - 12""S", 5 , 103 ,     ,          ,     ,          ,     ,          
OR,    ,082405,#5,CHAM PIS BABY BLUE,Chamaecyparis pisifera 'Baby Blue'                          ,Baby Blue Sawara Cypress                                    ,CON,04,, 23.00 , 19.55 , 4.87 , 24.42 ,,     ,014949824054,     ,     ,-,"17""H", 5 , 10 , 30 ,05/15/16  ,     ,          ,     ,          
OR,    ,082405OP,#5 ORIENTAL POMPON,CHAM PIS BABY BLUE,Chamaecyparis pisifera 'Baby Blue'                          ,Baby Blue Sawara Cypress                                    ,CON,04,, 77.25 , 65.66 , 7.31 , 72.97 ,,     ,014949040638,     ,     ,-,"24""H - 14""S", 2 ,     , 4 ,04/27/16  ,     ,          ,     ,          
OR,    ,08240UT,LittleOne,CHAM PIS BABY BLUE,Chamaecyparis pisifera 'Baby Blue'                          ,Baby Blue Sawara Cypress                                    ,CON,04,, 5.00 , 4.25 , 0.73 , 4.98 ,,     ,014949069028,     ,     ,,"3""H", 16 , 27 , 27 ,01/01/16  ,     ,          ,     ,          
OR,2011,074782S,SuperTwo,CHAM PIS SOFT SERVE R PPAF,Chamaecyparis pisifera 'Dow Whiting' P.P.A.F.               ,Soft Serve®  False Cypress,CON,05,PW, 17.75 , 15.09 , 3.25 , 18.34 ,,     ,014949337257,     ,     ,-,"22""H - 14""S", 5 , 399 ,     ,          ,     ,          ,     ,          
OR,2011,074785,#5,CHAM PIS SOFT SERVE R PPAF,Chamaecyparis pisifera 'Dow Whiting' P.P.A.F.               ,Soft Serve®  False Cypress,CON,05,PW, 28.25 , 24.01 , 4.87 , 28.88 ,,     ,014949349236,     ,     ,-,"18""S", 5 , 9 ,     ,          ,     ,          ,     ,          
OR,    ,023822,#2,CHAM PIS SQUARROSA MINIMA,Chamaecyparis pisifera 'Squarrosa Minima'                   ,Miniature Moss False Cypress                                ,CON,04,, 18.75 , 15.94 , 2.44 , 18.38 ,,     ,014949238226,     ,     ,-,"12""S", 5 , 1 ,     ,          ,     ,          ,     ,          
OR,    ,031435,#5,CRYPTOMERIA J GLOBOSA NANA,Cryptomeria japonica 'Globosa Nana'                         ,Dwarf Japanese Cedar                                        ,CON,05,, 31.25 , 26.56 , 4.87 , 31.43 ,,     ,014949127353,     ,     ,-,"18""H - 18""S", 5 , 4 ,     ,          ,     ,          ,     ,          
OR,    ,047105,#5,CUP GLABRA SULPHUREA,Cupressus glabra 'Sulphurea'                                ,Yellow Arizona Cypress                                      ,CON,06,, 26.75 , 22.74 , 4.87 , 27.61 ,,     ,014949250761,     ,     ,-,"40""H", 5 , 13 ,     ,          ,     ,          ,     ,          
CA,    ,030525,#5,CUP LEY CASTLEWELLAN,x Cupressocyparis leylandii 'Castlewellan'                  ,Golden Leyland Cypress                                      ,CON,05,, 26.75 , 22.74 , 5.25 , 27.99 ,,     ,014949305256,     ,     ,-,"48""H - 16""S", 5 ,     , 6 ,11/15/15  ,     ,          ,     ,          
CA,    ,030511,#1,CUP LEY EMERALD ISLE R,x Cupressocyparis leylandii 'Moncal'                        ,Emerald Isle®  Leyland Cypress,CON,05,, 7.50 , 6.38 , 1.05 , 7.43 ,,     ,014949305119,     ,     ,-,"18""H - 8""S", 10 ,     , 12 ,04/10/16  ,     ,          ,     ,          
CA,    ,030512,#2,CUP LEY EMERALD ISLE R,x Cupressocyparis leylandii 'Moncal'                        ,Emerald Isle®  Leyland Cypress,CON,05,, 16.75 , 14.24 , 2.62 , 16.86 ,,     ,014949305126,     ,     ,-,"28""H - 10""S*", 5 ,     , 35 ,02/01/16  ,     ,          ,     ,          
CA,    ,030512SP,#2 SPIRAL,CUP LEY EMERALD ISLE R,x Cupressocyparis leylandii 'Moncal'                        ,Emerald Isle®  Leyland Cypress,CON,05,, 49.75 , 42.29 , 3.94 , 46.23 ,,     ,014949305324,     ,     ,-,LTD RELEASE, 5 , 25 ,     ,          ,     ,          ,     ,          
CA,    ,030515,#5,CUP LEY EMERALD ISLE R,x Cupressocyparis leylandii 'Moncal'                        ,Emerald Isle®  Leyland Cypress,CON,05,, 26.75 , 22.74 , 5.25 , 27.99 ,,     ,014949305157,     ,     ,-,"42""H", 5 , 916 , 916 ,04/01/16  ,     ,          ,     ,          
CA,    ,030515SP,#5 SPIRAL,CUP LEY EMERALD ISLE R,x Cupressocyparis leylandii 'Moncal'                        ,Emerald Isle®  Leyland Cypress,CON,05,, 77.25 , 65.66 , 7.87 , 73.53 ,,     ,014949305355,     ,     ,-,"48""H", 2 ,     , 17 ,04/01/16  ,     ,          ,     ,          
CA,    ,030517,#7,CUP LEY EMERALD ISLE R,x Cupressocyparis leylandii 'Moncal'                        ,Emerald Isle®  Leyland Cypress,CON,05,, 61.75 , 52.49 , 13.12 , 65.61 ,,     ,014949305171,     ,     ,-,"60""H", 2 , 13 ,     ,          ,     ,          ,     ,          
