Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
450000,00075M,,,100,100,100,100,100,,,
450000,039021,,,100,100,100,100,100,,,
450000,007775,,,100,100,100,100,100,,,
450000,012013,,,100,100,100,100,100,,,
450000,013905,,,100,100,100,100,100,,,
450000,023912,,,100,100,100,100,100,,,
450000,024165,,,100,100,100,100,100,,,
450000,031382,,,100,100,100,100,100,,,
450000,031362,,,100,100,100,100,100,,,
450000,091885,,,100,100,100,100,100,,,
450000,077431S,,,100,100,100,100,100,,,
450000,033975,,,100,100,100,100,100,,,
450000,039285,,,100,100,100,100,100,,,
450000,031871,,,100,100,100,100,100,,,
450000,024372S,,,100,100,100,100,100,,,
450000,024375,,,100,100,100,100,100,,,
450000,065162,,,100,100,100,100,100,,,
450000,067175,,,100,100,100,100,100,,,
450000,018242,,,100,100,100,100,100,,,
450000,032985,,,100,100,100,100,100,,,
450000,074682S,,,100,100,100,100,100,,,
450000,01259M,,,100,100,100,100,100,,,
450000,012599,,,100,100,100,100,100,,,
450000,022175,,,100,100,100,100,100,,,
450000,066572,,,100,100,100,100,100,,,
450000,084852,,,100,100,100,100,100,,,
450000,081712,,,100,100,100,100,100,,,
450000,073602,,,100,100,100,100,100,,,
450000,409972,,,100,100,100,100,100,,,
450000,078712,,,100,100,100,100,100,,,
450000,074773S,,,100,100,100,100,100,,,
450000,031202,,,100,100,100,100,100,,,
450000,046641,,,100,100,100,100,100,,,
450000,041715,,,100,100,100,100,100,,,
450000,403682,,,100,100,100,100,100,,,
450000,066937,,,100,100,100,100,100,,,
450000,405755CT,,,100,100,100,100,100,,,
450000,098543SPT,,,100,100,100,100,100,,,
450000,406312S,,,100,100,100,100,100,,,
450000,406313SPT,,,100,100,100,100,100,,,
450000,022643SPT,,,100,100,100,100,100,,,
450000,030903S,,,100,100,100,100,100,,,
450000,406253,,,100,100,100,100,100,,,
450000,406895,,,100,100,100,100,100,,,
450000,407205,,,100,100,100,100,100,,,
450000,000402,,,100,100,100,100,100,,,
450000,078772S,,,100,100,100,100,100,,,
450000,035045PT,,,100,100,100,100,100,,,
450000,01370UTCN,,,100,100,100,100,100,,,
450000,013835,,,100,100,100,100,100,,,
450000,04596UT,,,100,100,100,100,100,,,
450000,08702UT,,,100,100,100,100,100,,,
450000,037541,,,100,100,100,100,100,,,
450000,031871,,,100,100,100,100,100,,,
450000,403611,,,100,100,100,100,100,,,
450000,029791,,,100,100,100,100,100,,,
450000,074612S,,,100,100,100,100,100,,,
450000,045243,,,100,100,100,100,100,,,
450000,049101,,,100,100,100,100,100,,,
450000,050902,,,100,100,100,100,100,,,
450000,056633PT,,,100,100,100,100,100,,,
450000,056953PT,,,100,100,100,100,100,,,
450000,036541,,,100,100,100,100,100,,,
450000,00967UT,,,100,100,100,100,100,,,
450000,00979UT,,,100,100,100,100,100,,,
450000,009791,,,100,100,100,100,100,,,
450000,066371,,,100,100,100,100,100,,,
450000,022642S,,,100,100,100,100,100,,,
450000,036292,,,100,100,100,100,100,,,
450000,044871,,,100,100,100,100,100,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
