Loc,Item Number,Plant Name,Plant Category,,,,,,,,,,,,,,
GA,070372,AGAPANTHUS MOOD INDIGO,EVS,,,,,,,,,,,,,,
GA,029211,CANNA TROP BLACK TM PP21350,PRN,,,,,,,,,,,,,,
GA,017411,CANNA TROPICANNA GLD TM P13809,PRN,,,,,,,,,,,,,,
GA,022481,CANNA TROPICANNA TM PP10569,PRN,,,,,,,,,,,,,,
GA,024175,COLOCASIA ANT ILLUSTRIS,PRN,,,,,,,,,,,,,,
GA,408501,COLOCASIA RYL HWN R BK CRL PAF,PRN,,,,,,,,,,,,,,
GA,408505,COLOCASIA RYL HWN R BK CRL PAF,PRN,,,,,,,,,,,,,,
GA,408495,COLOCASIA RYL HWN R HAWAN PNCH,PRN,,,,,,,,,,,,,,
GA,412585,COLOCASIA RYL HWN R MAUI GOLD,PRN,,,,,,,,,,,,,,
CT,085821,DISPORUM CANT MOONLIGHT P24556,PRN,,,,,,,,,,,,,,
CA,036725,FICUS CAR BLACK JACK,TRE,,,,,,,,,,,,,,
GA,036725,FICUS CAR BLACK JACK,TRE,,,,,,,,,,,,,,
CA,036785,FICUS CAR BROWN TURKEY,TRE,,,,,,,,,,,,,,
CA,036795,FICUS CAR KADOTA,TRE,,,,,,,,,,,,,,
CA,036815,FICUS CAR MISSION,TRE,,,,,,,,,,,,,,
CA,036745,FICUS CAR PETERS HONEY,TRE,,,,,,,,,,,,,,
GA,028045,GR-CORT IVORY FEATHERS R,GRS,,,,,,,,,,,,,,
GA,056641,LANTANA CAM MARY ANN,PRN,,,,,,,,,,,,,,
CA,058205P2,LIGUSTRUM TEXANUM,EVS,,,,,,,,,,,,,,
CA,068012,PUNICA GR ANGEL RED R PP16578,DCS,,,,,,,,,,,,,,
GA,034921,SALVIA GAUR BLACK & BLUE,PRN,,,,,,,,,,,,,,
GA,073461,VERBENA X PURPLE SPREADER TM,PRN,,,,,,,,,,,,,,
CA,035282,AGAPANTHUS AFR SUN STRIPE R,EVS,,,,,,,,,,,,,,
CA,001655,AGAPANTHUS AFRICANUS,EVS,,,,,,,,,,,,,,
CA,001732,AGAPANTHUS BLUE STORM PP14332,EVS,,,,,,,,,,,,,,
CA,031731,CORD FESTIVAL TM BRGNDY P14224,EVS,,,,,,,,,,,,,,
GA,030491,CUPHEA HYSSOPIFOLIA,PRN,,,,,,,,,,,,,,
CA,035572PT,EURYOPS PECT VIRIDIS,EVS,,,,,,,,,,,,,,
CA,035575PT,EURYOPS PECT VIRIDIS,EVS,,,,,,,,,,,,,,
GA,035641,FATSIA JAPONICA,EVS,,,,,,,,,,,,,,
CA,064271,GR-PENN SET RUBRUM,GRS,,,,,,,,,,,,,,
GA,064275,GR-PENN SET RUBRUM,GRS,,,,,,,,,,,,,,
GA,056633PT,LANTANA CHAPEL HILL YLW P19548,PRN,,,,,,,,,,,,,,
OR,079932,LAURUS NOB LITTLE RAGU TM PPAF,EVS,,,,,,,,,,,,,,
CA,05729EPT,LAURUS NOBILIS,EVS,,,,,,,,,,,,,,
CA,057295PT,LAURUS NOBILIS,EVS,,,,,,,,,,,,,,
CA,060085TR,OLEA HAAS IMP MANZANILLO (FRT),TRE,,,,,,,,,,,,,,
CA,06304EPT,OLEA LITTLE OLLIE R,EVS,,,,,,,,,,,,,,
CA,07028EPT,ROSMARINUS OFF TUSCAN BLUE,EVS,,,,,,,,,,,,,,
CA,070281,ROSMARINUS OFF TUSCAN BLUE,EVS,,,,,,,,,,,,,,
GA,041361,ROSMARINUS ROMAN BTY PP18192,EVS,,,,,,,,,,,,,,
CA,025242,AGAVE VICTORIA-REGINAE,CAC,,,,,,,,,,,,,,
GA,003151,ASPARAGUS MYERS,FRN,,,,,,,,,,,,,,
GA,003152,ASPARAGUS MYERS,FRN,,,,,,,,,,,,,,
CA,095752BH,BOUG SUNVILLEA TM PINK PP22113,VIN,,,,,,,,,,,,,,
CT,024752PT,CITRUS BEARSS SEEDLESS LIME,CIT,,,,,,,,,,,,,,
CT,024742,CITRUS DWF BEARSS SEEDLSS LIME,CIT,,,,,,,,,,,,,,
CT,026002PT,CITRUS IMPROVED MEYER LEMON,CIT,,,,,,,,,,,,,,
CT,025602PT,CITRUS KUMQUAT NAGAMI,CIT,,,,,,,,,,,,,,
CT,026602PT,CITRUS OWA SATSUMA MANDARIN,CIT,,,,,,,,,,,,,,
CT,026052PT,CITRUS WASHINGTON NAVEL ORANGE,CIT,,,,,,,,,,,,,,
GA,031721,CORDYLINE BAUERI,EVS,,,,,,,,,,,,,,
CA,031725,CORDYLINE BAUERI,EVS,,,,,,,,,,,,,,
CA,031701,CORDYLINE INDIVISA,EVS,,,,,,,,,,,,,,
GA,031701,CORDYLINE INDIVISA,EVS,,,,,,,,,,,,,,
GA,056611,LANTANA CAM AMERICAN RED,PRN,,,,,,,,,,,,,,
GA,056953PT,LANTANA CONFETTI TM,PRN,,,,,,,,,,,,,,
GA,057231SPT,LANTANA S LAVENDER SWIRL R,PRN,,,,,,,,,,,,,,
GA,057153PT,LANTANA SUNBURST TM,PRN,,,,,,,,,,,,,,
GA,057203PT,LANTANA TANGERINE TM,PRN,,,,,,,,,,,,,,
CA,024461,LANTANA TEENIE GENIE R PP17612,PRN,,,,,,,,,,,,,,
GA,024461,LANTANA TEENIE GENIE R PP17612,PRN,,,,,,,,,,,,,,
GA,066371,PLUMBAGO ROYAL CAPE R,EVS,,,,,,,,,,,,,,
GA,066375,PLUMBAGO ROYAL CAPE R,EVS,,,,,,,,,,,,,,
GA,066375PT,PLUMBAGO ROYAL CAPE R,EVS,,,,,,,,,,,,,,
GA,066361,PLUMBAGO WHITE CAPE R PP13953,EVS,,,,,,,,,,,,,,
CA,072215PT,TABERNAEMONTANA FLORE PLENO,EVS,,,,,,,,,,,,,,
GA,012705PT,BOUG BARBARA KARST,VIN,,,,,,,,,,,,,,
CA,090122BH,BOUG BLUEBERRY ICE,VIN,,,,,,,,,,,,,,
GA,013265PT,BOUG OO-LA-LA R,VIN,,,,,,,,,,,,,,
GA,013052BH,BOUG PURPLE QUEEN R,VIN,,,,,,,,,,,,,,
CA,013055PT,BOUG PURPLE QUEEN R,VIN,,,,,,,,,,,,,,
CA,062005,ENSETE MAURELII,PRN,,,,,,,,,,,,,,
GA,062005,ENSETE MAURELII,PRN,,,,,,,,,,,,,,
CA,062009,ENSETE MAURELII,PRN,,,,,,,,,,,,,,
GA,035905,FERN-ALSOPHILA AUSTRALIS,FRN,,,,,,,,,,,,,,
GA,009131,LANTANA CAM MOZELLE,PRN,,,,,,,,,,,,,,
GA,009133PT,LANTANA CAM MOZELLE,PRN,,,,,,,,,,,,,,
GA,009091,LANTANA NEW GOLD,PRN,,,,,,,,,,,,,,
GA,009093PT,LANTANA NEW GOLD,PRN,,,,,,,,,,,,,,
GA,061201,MAN ALICE DU PONT,VIN,,,,,,,,,,,,,,
GA,061205,MAN ALICE DU PONT,VIN,,,,,,,,,,,,,,
GA,085801,MAN BRIDE'S CASCADE PPAF,VIN,,,,,,,,,,,,,,
GA,061191,MAN PNK PRFT R P11787-P6300547,VIN,,,,,,,,,,,,,,
GA,09238UT,MAN SUN PAR R GARDEN CRIMSON,VIN,,,,,,,,,,,,,,
CA,057085,MAN SUN PAR R GIANT PNK P15202,VIN,,,,,,,,,,,,,,
GA,057065,MAN SUN PAR R GNT WHITE P11556,VIN,,,,,,,,,,,,,,
CA,061291,MAN TANGO TWIRL R P14290,VIN,,,,,,,,,,,,,,
GA,061291,MAN TANGO TWIRL R P14290,VIN,,,,,,,,,,,,,,
CA,066305PT,TIBOUCHINA URVILLEANA,EVS,,,,,,,,,,,,,,
,,Totals:,,,,,,,,,,,,,,,
