Branch,item,description,category,,,,,,,,,,
CA,028342,ABELIA GRA KALEIDOSCOPE P16988,EVS,,,,,,,,,,
GA,025692,ABELIA GRA ROSE CREEK,EVS,,,,,,,,,,
GA,400343,ABELIA SUNSHNE DAYDRM PP20961,EVS,,,,,,,,,,
CA,035282,AGAPANTHUS AFR SUN STRIPE R,EVS,,,,,,,,,,
CA,001655,AGAPANTHUS AFRICANUS,EVS,,,,,,,,,,
CA,001732,AGAPANTHUS BLUE STORM PP14332,EVS,,,,,,,,,,
GA,070372,AGAPANTHUS MOOD INDIGO,EVS,,,,,,,,,,
CA,001882,AGAPANTHUS X MIDKNIGHT BLUE R,DCS,,,,,,,,,,
CA,001885,AGAPANTHUS X MIDKNIGHT BLUE R,DCS,,,,,,,,,,
CT,400521,AGASTACHE HYB BLUE BOA PP24050,PRN,,,,,,,,,,
CA,025242,AGAVE VICTORIA-REGINAE,CAC,,,,,,,,,,
CT,08030UT,AJUGA CHOCOLATE CHIP,PRN,,,,,,,,,,
GA,00189UT,AJUGA REPTANS BRONZE BEAUTY,PRN,,,,,,,,,,
GA,00059UT,AJUGA REPTANS BURGUNDY GLOW,PRN,,,,,,,,,,
GA,00193UT,AJUGA REPTANS CATLIN'S GIANT,PRN,,,,,,,,,,
CT,400561,ALLIUM HYB MILLENNIUM,PRN,,,,,,,,,,
OR,039021,ANEMONE X WILD SWAN TM PP23132,PRN,,,,,,,,,,
OR,055482,ARALIA CORDATA GOTEMBA,PRN,,,,,,,,,,
CT,01946UT,ARMERIA MAR RUBRIFOLIA,PRN,,,,,,,,,,
GA,001011,ARTEMISIA SCHM SILVER MOUND,PRN,,,,,,,,,,
CT,028281,ASCLEPIAS GAY BUTTERFLIES,PRN,,,,,,,,,,
GA,003151,ASPARAGUS MYERS,FRN,,,,,,,,,,
GA,003152,ASPARAGUS MYERS,FRN,,,,,,,,,,
CT,059151,ASTILBE VISION IN PINK PP11860,PRN,,,,,,,,,,
GA,016341,ASTILBE VISION IN RED PP11965,PRN,,,,,,,,,,
GA,003562,AUCUBA MR GOLDSTRIKE,EVS,,,,,,,,,,
OR,003565,AUCUBA MR GOLDSTRIKE,EVS,,,,,,,,,,
OR,025212,BAM-FARGESIA RUFA (CLUMP),GRS,,,,,,,,,,
CT,402583,BAM-FARGESIA SCABRIDA,GRS,,,,,,,,,,
CA,011285,BAM-PHYLLO BISSETII (RUN),GRS,,,,,,,,,,
OR,023942,BER CRIMSON RUBY R PPAF,DCS,,,,,,,,,,
OR,012032,BER GOLDN NUGGET TM P9577 CBR,DCS,,,,,,,,,,
OR,080771S,BER SUNJOY R MINI SALSA PPAF,DCS,,,,,,,,,,
OR,012012,BER T CHERRY BOMB R CPBR 3488,DCS,,,,,,,,,,
OR,002242,BER T CONCORDE,DCS,,,,,,,,,,
OR,035231,BER T GOLDEN RUBY R PP16203,DCS,,,,,,,,,,
OR,035232,BER T GOLDEN RUBY R PP16203,DCS,,,,,,,,,,
OR,012105,BER T HELMOND PILLAR,DCS,,,,,,,,,,
CT,062932,BER T ORANGE ROCKET PP18411,DCS,,,,,,,,,,
OR,035242,BER T PYGMY RUBY TM,DCS,,,,,,,,,,
OR,012202,BER T ROSE GLOW,DCS,,,,,,,,,,
OR,012205,BER T ROSE GLOW,DCS,,,,,,,,,,
OR,029662,BER T ROYAL CLOAK,DCS,,,,,,,,,,
GA,012705PT,BOUG BARBARA KARST,VIN,,,,,,,,,,
CA,090122BH,BOUG BLUEBERRY ICE,VIN,,,,,,,,,,
GA,013265PT,BOUG OO-LA-LA R,VIN,,,,,,,,,,
GA,013052BH,BOUG PURPLE QUEEN R,VIN,,,,,,,,,,
CA,013055PT,BOUG PURPLE QUEEN R,VIN,,,,,,,,,,
CA,095752BH,BOUG SUNVILLEA TM PINK PP22113,VIN,,,,,,,,,,
CT,401181,BRUNNERA MAC SILVER HEART PPAF,PRN,,,,,,,,,,
CT,074412S,BUD LO&BEHLD R BLU CHP PP19991,DCS,,,,,,,,,,
CT,401292S,BUD LO&BEHLD R PINK MICRO CHIP,DCS,,,,,,,,,,
GA,077392S,BUDDLEJA MISS MOLLY PPAF,DCS,,,,,,,,,,
GA,074402S,BUDDLEJA X MISS RUBY PPAF,DCS,,,,,,,,,,
OR,003012,BUXUS CHICAGOLAND GREEN R,EVS,,,,,,,,,,
CT,013823CN,BUXUS GREEN MOUNTAIN,EVS,,,,,,,,,,
OR,013892,BUXUS GREEN VELVET,EVS,,,,,,,,,,
GA,013892,BUXUS GREEN VELVET,EVS,,,,,,,,,,
OR,013895,BUXUS GREEN VELVET,EVS,,,,,,,,,,
CT,013897,BUXUS GREEN VELVET,EVS,,,,,,,,,,
OR,013952,BUXUS J GREEN BEAUTY,EVS,,,,,,,,,,
GA,013952,BUXUS J GREEN BEAUTY,EVS,,,,,,,,,,
CA,013955,BUXUS J GREEN BEAUTY,EVS,,,,,,,,,,
GA,013955,BUXUS J GREEN BEAUTY,EVS,,,,,,,,,,
OR,013833,BUXUS MIC WINTER GEM,EVS,,,,,,,,,,
CT,013833,BUXUS MIC WINTER GEM,EVS,,,,,,,,,,
GA,013833,BUXUS MIC WINTER GEM,EVS,,,,,,,,,,
CA,013835,BUXUS MIC WINTER GEM,EVS,,,,,,,,,,
CT,013835,BUXUS MIC WINTER GEM,EVS,,,,,,,,,,
GA,013835,BUXUS MIC WINTER GEM,EVS,,,,,,,,,,
GA,013835CN,BUXUS MIC WINTER GEM,EVS,,,,,,,,,,
GA,013837,BUXUS MIC WINTER GEM,EVS,,,,,,,,,,
GA,013837CN,BUXUS MIC WINTER GEM,EVS,,,,,,,,,,
GA,013839,BUXUS MIC WINTER GEM,EVS,,,,,,,,,,
OR,013905,BUXUS S GREEN TOWER R PP15243,EVS,,,,,,,,,,
OR,01398UT,BUXUS SEMP SUFFRUTICOSA,EVS,,,,,,,,,,
OR,013981,BUXUS SEMP SUFFRUTICOSA,EVS,,,,,,,,,,
OR,013982,BUXUS SEMP SUFFRUTICOSA,EVS,,,,,,,,,,
OR,01388UT,BUXUS SEMP VARIEGATA,EVS,,,,,,,,,,
OR,013881,BUXUS SEMP VARIEGATA,EVS,,,,,,,,,,
GA,013882,BUXUS SEMP VARIEGATA,EVS,,,,,,,,,,
CA,022712ST,CAMPSIS BALBOA SUNSET R,VIN,,,,,,,,,,
CA,022715,CAMPSIS BALBOA SUNSET R,VIN,,,,,,,,,,
GA,029211,CANNA TROP BLACK TM PP21350,PRN,,,,,,,,,,
GA,017411,CANNA TROPICANNA GLD TM P13809,PRN,,,,,,,,,,
GA,022481,CANNA TROPICANNA TM PP10569,PRN,,,,,,,,,,
CA,092892,CARY CLA KORBALL BLU BALLOON R,DCS,,,,,,,,,,
GA,057382,CESTRUM AUR ORANGE PEEL,EVS,,,,,,,,,,
OR,024032,CHAM PIS FIL GOLDEN CHARM,CON,,,,,,,,,,
CT,082455,CHAM PIS GOLDEN MOP,CON,,,,,,,,,,
OR,039512,CIMI S BLACK NEGLIGEE (ACTAEA),PRN,,,,,,,,,,
CT,024752PT,CITRUS BEARSS SEEDLESS LIME,CIT,,,,,,,,,,
CT,024742,CITRUS DWF BEARSS SEEDLSS LIME,CIT,,,,,,,,,,
CT,026002PT,CITRUS IMPROVED MEYER LEMON,CIT,,,,,,,,,,
CT,025602PT,CITRUS KUMQUAT NAGAMI,CIT,,,,,,,,,,
CT,026602PT,CITRUS OWA SATSUMA MANDARIN,CIT,,,,,,,,,,
CT,026052PT,CITRUS WASHINGTON NAVEL ORANGE,CIT,,,,,,,,,,
OR,027431,CLEM MONTANA FREDA,VIN,,,,,,,,,,
OR,021862,CLEM SAPPHIRE INDIGO TMPP17012,VIN,,,,,,,,,,
OR,021865,CLEM SAPPHIRE INDIGO TMPP17012,VIN,,,,,,,,,,
OR,027221,CLEM X COMTESSE DE BOUCHAUD,VIN,,,,,,,,,,
OR,027261,CLEM X JACKMANII,VIN,,,,,,,,,,
GA,027532,CLETHRA ALN RUBY SPICE,DCS,,,,,,,,,,
GA,024175,COLOCASIA ANT ILLUSTRIS,PRN,,,,,,,,,,
GA,408501,COLOCASIA RYL HWN R BK CRL PAF,PRN,,,,,,,,,,
GA,408505,COLOCASIA RYL HWN R BK CRL PAF,PRN,,,,,,,,,,
GA,408495,COLOCASIA RYL HWN R HAWAN PNCH,PRN,,,,,,,,,,
GA,412585,COLOCASIA RYL HWN R MAUI GOLD,PRN,,,,,,,,,,
CA,031731,CORD FESTIVAL TM BRGNDY P14224,EVS,,,,,,,,,,
GA,031721,CORDYLINE BAUERI,EVS,,,,,,,,,,
CA,031725,CORDYLINE BAUERI,EVS,,,,,,,,,,
CA,031701,CORDYLINE INDIVISA,EVS,,,,,,,,,,
GA,031701,CORDYLINE INDIVISA,EVS,,,,,,,,,,
OR,028552,COT APICULATUS TOM THUMB,DCS,,,,,,,,,,
OR,028145,COTINUS COG ROYAL PURPLE,DCS,,,,,,,,,,
CT,035355,CRYPTOMERIA J BLACK DRAGON,CON,,,,,,,,,,
GA,030519,CUP LEY EMERALD ISLE R,CON,,,,,,,,,,
GA,030509,CUP LEYLANDII,CON,,,,,,,,,,
GA,030491,CUPHEA HYSSOPIFOLIA,PRN,,,,,,,,,,
CA,088912,CYNARA SCO GREEN GLOBE,PRN,,,,,,,,,,
OR,029892S,DEUTZIA CHRDNY PERLS R PP16098,DCS,,,,,,,,,,
CT,029893S,DEUTZIA CHRDNY PERLS R PP16098,DCS,,,,,,,,,,
OR,091882,DEUTZIA X NIKKO BLUSH NA74356,DCS,,,,,,,,,,
GA,059681,DIANTHUS FIRE STAR PP14895,PRN,,,,,,,,,,
GA,031331,DIANTHUS FROSTY FIRE,PRN,,,,,,,,,,
CT,004721,DIANTHUS GRAT FIREWITCH,PRN,,,,,,,,,,
CT,085821,DISPORUM CANT MOONLIGHT P24556,PRN,,,,,,,,,,
CT,022831,ECHINACEA CRNBRY CUPCAKE PPAF,PRN,,,,,,,,,,
CA,062005,ENSETE MAURELII,PRN,,,,,,,,,,
GA,062005,ENSETE MAURELII,PRN,,,,,,,,,,
CA,062009,ENSETE MAURELII,PRN,,,,,,,,,,
GA,074341,ERYNGIUM PLANUM BLUE HOBBIT,PRN,,,,,,,,,,
CT,033605,EUO ALATUS COMPACTUS,DCS,,,,,,,,,,
CA,03540MES,EUO KIA MANHATTAN,EVS,,,,,,,,,,
CA,035405ES,EUO KIA MANHATTAN,EVS,,,,,,,,,,
OR,046682,EUPATORIUM PHANTOM PP18354,PRN,,,,,,,,,,
CA,035572PT,EURYOPS PECT VIRIDIS,EVS,,,,,,,,,,
CA,035575PT,EURYOPS PECT VIRIDIS,EVS,,,,,,,,,,
GA,035641,FATSIA JAPONICA,EVS,,,,,,,,,,
GA,083621,FERN-ADIANTUM PEDATUM,FRN,,,,,,,,,,
GA,035905,FERN-ALSOPHILA AUSTRALIS,FRN,,,,,,,,,,
GA,019241,FERN-ATHYRIUM F LADY IN RED,FRN,,,,,,,,,,
CA,019242,FERN-ATHYRIUM F LADY IN RED,FRN,,,,,,,,,,
GA,018761,FERN-ATHYRIUM GHOST,FRN,,,,,,,,,,
CA,018762,FERN-ATHYRIUM GHOST,FRN,,,,,,,,,,
GA,036121,FERN-ATHYRIUM NIP PICTUM,FRN,,,,,,,,,,
CA,036122,FERN-ATHYRIUM NIP PICTUM,FRN,,,,,,,,,,
GA,044541,FERN-ATHYRIUM PWTR LACE P15721,FRN,,,,,,,,,,
GA,005041,FERN-DRYOPTERIS CELSA,FRN,,,,,,,,,,
CT,021221,FERN-DRYOPTERIS ERY BRILLIANCE,FRN,,,,,,,,,,
OR,021222,FERN-DRYOPTERIS ERY BRILLIANCE,FRN,,,,,,,,,,
GA,036241,FERN-DRYOPTERIS ERYTHROSORA,FRN,,,,,,,,,,
OR,036262,FERN-DRYOPTERIS FELIX-MAS ROB,FRN,,,,,,,,,,
GA,021231,FERN-DRYOPTERIS X AUSTRALIS,FRN,,,,,,,,,,
OR,036451,FERN-MATTEUCCIA STRUTHIOPTERIS,FRN,,,,,,,,,,
OR,036452,FERN-MATTEUCCIA STRUTHIOPTERIS,FRN,,,,,,,,,,
CA,036452,FERN-MATTEUCCIA STRUTHIOPTERIS,FRN,,,,,,,,,,
OR,036455,FERN-MATTEUCCIA STRUTHIOPTERIS,FRN,,,,,,,,,,
CT,036411,FERN-OSMUNDA CINNAMOMEA,FRN,,,,,,,,,,
GA,083721,FERN-POLYSTICHUM POLYBLEPHARUM,FRN,,,,,,,,,,
OR,083722,FERN-POLYSTICHUM POLYBLEPHARUM,FRN,,,,,,,,,,
OR,036492,FERN-POLYSTICHUM SET(ANGULARE),FRN,,,,,,,,,,
GA,005091,FERN-THELYPTERIS DECUR-PINNATA,FRN,,,,,,,,,,
CA,036725,FICUS CAR BLACK JACK,TRE,,,,,,,,,,
GA,036725,FICUS CAR BLACK JACK,TRE,,,,,,,,,,
CA,036785,FICUS CAR BROWN TURKEY,TRE,,,,,,,,,,
CA,036795,FICUS CAR KADOTA,TRE,,,,,,,,,,
CA,036815,FICUS CAR MISSION,TRE,,,,,,,,,,
CA,036745,FICUS CAR PETERS HONEY,TRE,,,,,,,,,,
CT,031415,FOTHERGILLA MAJ BLU SHADOW PAF,DCS,,,,,,,,,,
CT,037185,FOTHERGILLA MAJ MOUNT AIRY,DCS,,,,,,,,,,
OR,086091,FRAGARIA X ANANASSA TOSCANA,PRN,,,,,,,,,,
GA,02383UT,GALIUM ODORATUM,PRN,,,,,,,,,,
GA,097912S,GARDENIA PINWHEEL R PP22510,EVS,,,,,,,,,,
OR,017611,GAULTHERIA RED BARON,EVS,,,,,,,,,,
GA,035681,GAURA L WHIRLING BUTTERFLIES,PRN,,,,,,,,,,
GA,036481,GAURA PASSIONATE RAINBW P17002,PRN,,,,,,,,,,
GA,067791,GR-BOUT BLOND AMBITION PP22048,GRS,,,,,,,,,,
OR,022591,GR-CAREX ELATA BOWLES GOLDEN,GRS,,,,,,,,,,
GA,028045,GR-CORT IVORY FEATHERS R,GRS,,,,,,,,,,
GA,036671,GR-FESTUCA GLAUCA ELIJAH BLUE,GRS,,,,,,,,,,
CT,035911,GR-HAKONECHLOA MACRA ALL GOLD,GRS,,,,,,,,,,
CT,038681,GR-HAKONECHLOA MACRA AUREOLA,GRS,,,,,,,,,,
CT,061743,GR-MIS SIN CABARET,GRS,,,,,,,,,,
OR,005455,GR-MIS SIN DIXIELAND,GRS,,,,,,,,,,
GA,061563,GR-MIS SIN GRACILLIMUS,GRS,,,,,,,,,,
CA,061565,GR-MIS SIN GRACILLIMUS,GRS,,,,,,,,,,
CA,061665,GR-MIS SIN MORNING LIGHT,GRS,,,,,,,,,,
CT,061553,GR-MIS SIN STRICTUS,GRS,,,,,,,,,,
GA,061575,GR-MIS SIN VARIEGATUS,GRS,,,,,,,,,,
CA,061645,GR-MIS SIN YAKUSHIMA,GRS,,,,,,,,,,
GA,063883,GR-PAN VIR SHENANDOAH,GRS,,,,,,,,,,
CT,064263,GR-PENN ALO HAMELN,GRS,,,,,,,,,,
CA,064271,GR-PENN SET RUBRUM,GRS,,,,,,,,,,
GA,064275,GR-PENN SET RUBRUM,GRS,,,,,,,,,,
CT,039991S,HELLE X IVORY PRINCE PP16199,PRN,,,,,,,,,,
CT,403061S,HELLEBORUS HYB MERLIN,PRN,,,,,,,,,,
OR,017991,HELLEBORUS RED LADY,PRN,,,,,,,,,,
OR,075431,HELLEBORUS X DOUBLE FANTASY,PRN,,,,,,,,,,
CT,040631,HEM PRAIRIE BLUE EYES,PRN,,,,,,,,,,
OR,076281,HEM RUBY SPIDER,PRN,,,,,,,,,,
CT,083931,HEM SWIRLING WATER,PRN,,,,,,,,,,
GA,023101,HEUCHERA FROSTED VIOLET P15085,PRN,,,,,,,,,,
CA,047531,HEUCHERA GEORGIA PEACH PP19375,PRN,,,,,,,,,,
CT,018661,HEUCHERA GREEN SPICE,PRN,,,,,,,,,,
CT,074493S,HIB SYR LIL' KIM TM PP19547,DCS,,,,,,,,,,
CT,031872,HOSTA ABIQUA DRINKING GOURD,PRN,,,,,,,,,,
OR,041771,HOSTA GOLDEN PRAYERS,PRN,,,,,,,,,,
GA,028391,HOSTA OLIVE BAILEY LANGDON,PRN,,,,,,,,,,
CT,403621,HOSTA PRAYING HANDS,PRN,,,,,,,,,,
OR,039471,HOSTA ROSEDALE GOLDEN GOOSE,PRN,,,,,,,,,,
CA,092755,HYD BLUE ENCHANTRESS R PP25209,DCS,,,,,,,,,,
GA,092755,HYD BLUE ENCHANTRESS R PP25209,DCS,,,,,,,,,,
CT,403803,HYD END SUM R BLMSTRCK TM PPAF,DCS,,,,,,,,,,
GA,017315,HYD M ENDLESS SUMMER R PP15298,DCS,,,,,,,,,,
GA,074542S,HYD MAC CTYLN TM RIO,DCS,,,,,,,,,,
CT,403872S,HYD MAC ELECTRIC ROUGE TM,DCS,,,,,,,,,,
CA,077465,HYD MAC LD R BIG EASY PPAF,DCS,,,,,,,,,,
GA,077465,HYD MAC LD R BIG EASY PPAF,DCS,,,,,,,,,,
