CA,#1 STAKED,ABUTILON ALBUS,White Flowering Maple                                       ,9,000171ST,,    ,8
CA,#5 STAKED,ABUTILON ALBUS,White Flowering Maple                                       ,9,000175ST,,    ,26.5
CA,#1 STAKED,ABUTILON LUTEUS,Yellow Flowering Maple                                      ,9,000151ST,,    ,8
CA,#5 STAKED,ABUTILON LUTEUS,Yellow Flowering Maple                                      ,9,000155ST,,    ,26.5
CA,#1 STAKED,ABUTILON ROSEUS,Pink Flowering Maple                                        ,9,000131ST,,    ,8
CA,#5 STAKED,ABUTILON ROSEUS,Pink Flowering Maple                                        ,9,000135ST,,    ,26.5
CA,#1 STAKED,ABUTILON SUPER RED R,Super Red®  Flowering Maple,9,000201ST,,    ,8
CA,#1 STAKED,ABUTILON VESUVIUS RED,Red Flowering Maple                                         ,9,000191ST,,    ,8
CA,#2,AGAPANTHUS AFR SUN STRIPE R,Sun Stripe®  Agapanthus,8,35282,,,17.5
CA,#1,AGAPANTHUS AFRICANUS,Lily Of The Nile                                            ,8,1651,,    ,5.5
GA,#1,AGAPANTHUS AFRICANUS,Lily Of The Nile                                            ,8,1651,,    ,5.5
CA,#1,AGAPANTHUS BABY PETE TMPP21705,Baby Pete™  Lily Of The Nile,8,99571,,    ,7.5
GA,#1,AGAPANTHUS BABY PETE TMPP21705,Baby Pete™  Lily Of The Nile,8,99571,,    ,7.5
GA,LittleOne,AGAPANTHUS BABY PETE TMPP21705,Baby Pete™  Lily Of The Nile,8,09957UT,,    ,3.75
GA,#2,AGAPANTHUS BLUE STORM PP14332,Blue Storm™  Lily Of The Nile,8,1732,,    ,14.5
CA,#1,AGAPANTHUS QUEEN ANNE-DIVISION,Queen Anne Lily Of The Nile                                 ,8,1801,,    ,7
GA,#2,ALOCASIA IVORY COAST PPAF,Ivory Coast Elephant Ears                                   ,9,87422,,New ,15.5
GA,#2,ALOCASIA SERENGETI PPAF,Serengeti Elephant Ears,9,87432,,New ,15.5
CA,SuperOne TM,ALPINIA ZERUMBET VARIEGATA,Variegated Shell Ginger                                     ,8,002001S,,    ,8.5
GA,#2,ALPINIA ZERUMBET VARIEGATA,Variegated Shell Ginger                                     ,8,2002,,    ,16.25
GA,#5,ALPINIA ZERUMBET VARIEGATA,Variegated Shell Ginger                                     ,8,2005,,    ,24.5
CA,#2,ALST INTICANCHA R BRYCE,Inticancha®  Bryce Peruvian Lily,8,96532,,New ,14.75
GA,#2,ALST INTICANCHA R BRYCE,Inticancha®  Bryce Peruvian Lily,8,96532,,New ,14.75
CA,#2,ALST INTICANCHA R MACHU,Inticancha®  Machu Peruvian Lily,8,96502,,New ,14.75
GA,#2,ALST INTICANCHA R MACHU,Inticancha®  Machu Peruvian Lily,8,96502,,New ,14.75
CA,#2,ALST INTICANCHA R NAVAYO,Inticancha®  Navayo Peruvian Lily,8,96522,,New ,14.75
GA,#2,ALST INTICANCHA R NAVAYO,Inticancha®  Navayo Peruvian Lily,8,96522,,New ,14.75
CA,#2,ALST INTICANCHA R PURPLE,Inticancha®  Dark Purple Peruvian Lily,8,96482,,New ,14.75
GA,#2,ALST INTICANCHA R PURPLE,Inticancha®  Dark Purple Peruvian Lily,8,96482,,New ,14.75
CA,#2,ALST INTICANCHA R SUNLIGHT,Inticancha®  Sunlight Peruvian Lily,8,96492,,New ,14.75
GA,#2,ALST INTICANCHA R SUNLIGHT,Inticancha®  Sunlight Peruvian Lily,8,96492,,New ,14.75
CA,#2,ALST INTICANCHA R WHITE,Inticancha®  White Peruvian Lily,8,96542,,New ,14.75
GA,#2,ALST INTICANCHA R WHITE,Inticancha®  White Peruvian Lily,8,96542,,New ,14.75
CA,#2,ALST INTICANCHA R WHT BLSH PNK,Inticancha®  White Pink Blush Peruvian Lily,8,96512,,New ,14.75
GA,#2,ALST INTICANCHA R WHT BLSH PNK,Inticancha®  White Pink Blush Peruvian Lily,8,96512,,New ,14.75
CA,#1,ALYOGYNE LEON'S PUR DELIGHT TM,Leon's Purple Delight™  Lilac Hibiscus,9,40311,,    ,7.25
CA,#5 PATIO TREE,ALYOGYNE LEON'S PUR DELIGHT TM,Leon's Purple Delight™  Lilac Hibiscus,9,040315PT,,    ,40
CA,#5 STAKED,ALYOGYNE LEON'S PUR DELIGHT TM,Leon's Purple Delight™  Lilac Hibiscus,9,040315ST,,    ,26
CA,#1,ALYOGYNE SANTA CRUZ,Lilac Hibiscus                                              ,9,2421,,    ,7.25
CA,#5 PATIO TREE,ALYOGYNE SANTA CRUZ,Lilac Hibiscus                                              ,9,002425PT,,    ,40
CA,#5 STAKED,ALYOGYNE SANTA CRUZ,Lilac Hibiscus                                              ,9,002425ST,,    ,26
CA,#2,ASCLEPIAS CUR SILKY GOLD,Silky Gold Milkweed                                         ,8,66342,,,11.5
CA,#1,ASPARAGUS MYERS,Foxtail Fern                                                ,9,3151,,    ,7.75
GA,#1,ASPARAGUS MYERS,Foxtail Fern                                                ,9,3151,,    ,7.75
CA,#2,ASPARAGUS MYERS,Foxtail Fern                                                ,9,3152,,    ,16.5
GA,#2,ASPARAGUS MYERS,Foxtail Fern                                                ,9,3152,,    ,16.5
GA,#5,ASPARAGUS MYERS,Foxtail Fern                                                ,9,3155,,    ,25
CA,#2,BORONIA CREN SHARK BAY,Shark Bay Boronia                                           ,9,25982,,,16.5
CA,#1 STAKED,BOUG BARBARA KARST,Barbara Karst Bougainvillea                                 ,10,12701,,    ,7.25
GA,#1 STAKED,BOUG BARBARA KARST,Barbara Karst Bougainvillea                                 ,10,12701,,    ,7.25
GA,#5 STAKED,BOUG BARBARA KARST,Barbara Karst Bougainvillea                                 ,10,12705,,    ,24.5
GA,#5 PATIO TREE,BOUG BARBARA KARST,Barbara Karst Bougainvillea                                 ,10,012705PT,,    ,40
GA,#1 STAKED,BOUG BENGAL ORANGE,Bengal Orange Bougainvillea                                 ,10,35041,,    ,7.25
CA,#1 BUSH,BOUG BENGAL ORANGE,Bengal Orange Bougainvillea                                 ,10,035041BH,,    ,7.25
