Code,Item#,Item Description,Common,OR 2013,,,,,,
074731S,7473,ABELIA CHIN BRONZ ANNIV R PPAF,Bronze Anniversary ™ Abelia,,,,,,,
074735,7473,ABELIA CHIN BRONZ ANNIV R PPAF,Bronze Anniversary ™ Abelia,,,,,,,
074391S,7439,ABELIA CHIN RUBY ANNIV TM PPAF,Ruby Anniversary ™ Abelia,,,,,,,
074395,7439,ABELIA CHIN RUBY ANNIV TM PPAF,Ruby Anniversary ™ Abelia,,,,,,,
000101,10,ABELIA EDWARD GOUCHER,Pink Abelia,,,,,,,
000102,10,ABELIA EDWARD GOUCHER,Pink Abelia,,,,,,,
000103,10,ABELIA EDWARD GOUCHER,Pink Abelia,,,,,,,
000105,10,ABELIA EDWARD GOUCHER,Pink Abelia,18.00 ,,,,,,
028341,2834,ABELIA GRA KALEIDOSCOPE P16988,Kaleidoscope Abelia,,,,,,,
028342,2834,ABELIA GRA KALEIDOSCOPE P16988,Kaleidoscope Abelia,,,,,,,
028343,2834,ABELIA GRA KALEIDOSCOPE P16988,Kaleidoscope Abelia,,,,,,,
028345,2834,ABELIA GRA KALEIDOSCOPE P16988,Kaleidoscope Abelia,,,,,,,
000143,14,ABELIA GRA LITTLE RICHARD,Little Richard Abelia,,,,,,,
025692,2569,ABELIA GRA ROSE CREEK,Rose Creek Abelia,,,,,,,
025693,2569,ABELIA GRA ROSE CREEK,Rose Creek Abelia,,,,,,,
000121,12,ABELIA GRA SUNRISE PP9698,Sunrise Variegated Abelia,,,,,,,
000125,12,ABELIA GRA SUNRISE PP9698,Sunrise Variegated Abelia,,,,,,,
000051,5,ABELIA GRANDIFLORA,Glossy Abelia,,,,,,,
000053,5,ABELIA GRANDIFLORA,Glossy Abelia,,,,,,,
000055,5,ABELIA GRANDIFLORA,Glossy Abelia,,,,,,,
000091,9,ABELIA PROSTRATA,Prostrate White Abelia,,,,,,,
000095,9,ABELIA PROSTRATA,Prostrate White Abelia,,,,,,,
021015,2101,ABELIA X MARDI GRAS PP15203,Mardi Gras Abelia,,,,,,,
020691,2069,ABELIOPHYLLUM DIS ROSEUM,Pink Forsythia,5.25 ,,,,,,
020695,2069,ABELIOPHYLLUM DIS ROSEUM,Pink Forsythia,18.25 ,,,,,,
048985,4898,ABIES AMABILIS SPREADING STAR,,42.00 ,,,,,,
000081,8,ABIES BALSAMEA NANA,Dwarf Balsam Fir,8.25 ,,,,,,
000082,8,ABIES BALSAMEA NANA,Dwarf Balsam Fir,20.50 ,,,,,,
049625,4962,ABIES CONCOLOR BLUE CLOAK,,42.00 ,,,,,,
04962M,4962,ABIES CONCOLOR BLUE CLOAK,,68.50 ,,,,,,
051312,5131,ABIES CONCOLOR CANDICANS,Candicans White Fir,25.00 ,,,,,,
051315,5131,ABIES CONCOLOR CANDICANS,Candicans White Fir,42.00 ,,,,,,
021565,2156,ABIES HORSTMANN'S SILBERLOCKE,Horstmann's Silberlocke Korean Fir,42.00 ,,,,,,
019341,1934,ABIES LAS GLAUCA COMPACTA,Dwarf Blue Subalpine Fir,10.25 ,,,,,,
019342,1934,ABIES LAS GLAUCA COMPACTA,Dwarf Blue Subalpine Fir,25.00 ,,,,,,
019345,1934,ABIES LAS GLAUCA COMPACTA,Dwarf Blue Subalpine Fir,42.00 ,,,,,,
000171,17,ABUTILON ALBUS,White Flowering Maple,,,,,,,
000171ST,17,ABUTILON ALBUS,White Flowering Maple,,,,,,,
000175,17,ABUTILON ALBUS,White Flowering Maple,,,,,,,
000175PT,17,ABUTILON ALBUS,White Flowering Maple,,,,,,,
000175ST,17,ABUTILON ALBUS,White Flowering Maple,,,,,,,
000151,15,ABUTILON LUTEUS,Yellow Flowering Maple,,,,,,,
000151ST,15,ABUTILON LUTEUS,Yellow Flowering Maple,,,,,,,
000155,15,ABUTILON LUTEUS,Yellow Flowering Maple,,,,,,,
000155PT,15,ABUTILON LUTEUS,Yellow Flowering Maple,,,,,,,
000155ST,15,ABUTILON LUTEUS,Yellow Flowering Maple,,,,,,,
000131,13,ABUTILON ROSEUS,Pink Flowering Maple,,,,,,,
000131ST,13,ABUTILON ROSEUS,Pink Flowering Maple,,,,,,,
000135,13,ABUTILON ROSEUS,Pink Flowering Maple,,,,,,,
000135PT,13,ABUTILON ROSEUS,Pink Flowering Maple,,,,,,,
000135ST,13,ABUTILON ROSEUS,Pink Flowering Maple,,,,,,,
000201,20,ABUTILON SUPER RED R,Super Red® Flowering Maple,,,,,,,
000201ST,20,ABUTILON SUPER RED R,Super Red ® Flowering Maple,,,,,,,
000205,20,ABUTILON SUPER RED R,Super Red ® Flowering Maple,,,,,,,
000205PT,20,ABUTILON SUPER RED R,Super Red ® Flowering Maple,,,,,,,
000205ST,20,ABUTILON SUPER RED R,Super Red ® Flowering Maple,,,,,,,
000191,19,ABUTILON VESUVIUS RED,Red Flowering Maple,,,,,,,
000195,19,ABUTILON VESUVIUS RED,Red Flowering Maple,,,,,,,
000195PT,19,ABUTILON VESUVIUS RED,Red Flowering Maple,,,,,,,
049741,4974,ABUTILON X HYB CASCADE DAWN,Cascade Dawn Flowering Maple,7.00 ,,,,,,
049741S,4974,ABUTILON X HYB CASCADE DAWN,Cascade Dawn Flowering Maple,8.00 ,,,,,,
049742,4974,ABUTILON X HYB CASCADE DAWN,Cascade Dawn Flowering Maple,,,,,,,
049745,4974,ABUTILON X HYB CASCADE DAWN,Cascade Dawn Flowering Maple,22.50 ,,,,,,
040025,4002,ACACIA ITEAPHYLLA,Willow Wattle,,,,,,,
049755,4975,ACACIA PRAVISSIMA,Ovens Wattle,23.50 ,,,,,,
049755TR,4975,ACACIA PRAVISSIMA,Ovens Wattle,28.50 ,,,,,,
036115,3611,ACACIA STENOPHYLLA,Shoestring Acacia,,,,,,,
05901UT,5901,ACAENA INERMIS PURPUREA,,,,,,,,
089342,8934,ACALYPHA HISPIDA,,,,,,,,
089332,8933,ACALYPHA TIKI TM PEACH WHIRL,,,,,,,,
000401,40,ACANTHUS OAK LEAF,Grecian Pattern Plant,,,,,,,
000402,40,ACANTHUS OAK LEAF,Grecian Pattern Plant,,,,,,,
000405,40,ACANTHUS OAK LEAF,Grecian Pattern Plant,22.00 ,,,,,,
030345,3034,ACER CIR MONROE,Monroe Vine Maple,51.50 ,,,,,,
021805,2180,ACER CIR PACIFIC FIRE,Pacific Fire Vine Maple,51.50 ,,,,,,
02180M,2180,ACER CIR PACIFIC FIRE,Pacific Fire Vine Maple,99.50 ,,,,,,
000415,41,ACER CIRCINATUM,Vine Maple,23.00 ,,,,,,
000415MU,41,ACER CIRCINATUM,Vine Maple,28.50 ,,,,,,
001285,128,ACER F AUTUMN BLAZE R,Autumn Blaze ® Maple,31.50 ,,,,,,
00128M,128,ACER F AUTUMN BLAZE R,Autumn Blaze ® Maple,68.50 ,,,,,,
000481,48,ACER GIN RED RHAPSODY R,Red Rhapsody ® Amur Maple,7.50 ,,,,,,
