Monrovia Exclusive Plant Royalty Amounts,,,
Intro Year,Item,Description,Royalty
2009,09957,AGAPANTHUS BABY PETE TMPP21705,$0.50
1995,00188,AGAPANTHUS X MIDKNIGHT BLUE R,$0.25
2010,04979,AZARA SERRATA ANDEAN GOLD TM,$0.45
2006,01266,BOUG GOLD RUSH TM,$0.50
2008,01648,BOUG GOLDEN JACKPOT R,$0.50
1989,01326,BOUG OO-LA-LA R,$0.50
1989,01305,BOUG PURPLE QUEEN R,$0.50
1985,01302,BOUG TAHITIAN DAWN R,$0.50
2013,04676,CALLISTEMON SCARLET TORCH TM,$0.50
2001,02415,CHIL TIMELESS BEAUTY TM P11078,$2.05
2009,04674,DIETES X KATRINA R PP 21460,$0.65
1992,03767,GARDENIA FIRST LOVE R,$0.50
1992,03757,GARDENIA FIRST LOVE R-GRAFT,$0.50
2011,06418,HESPERALOE BRK LIGHTS R P21729,$0.50
1987,04087,HIB R BRIDAL VEIL R,$0.50
2006,01737,HIB R FLAMENCO FLAME TM,$0.50
1956,04120,HIB R FULLMOON R,$0.50
1984,04135,HIB R POWDER PUFF R,$0.50
2012,09142,HIB R RED DARLING R,$0.40
1992,05662,LANTANA CAM GOLD RUSH TM,$0.15
1984,05687,LANTANA CAM LEMON SWIRL R,$0.15
1958,05695,LANTANA CONFETTI TM,$0.15
1990,05723,LANTANA S LAVENDER SWIRL R,$0.15
1990,05703,LANTANA S WHITE LIGHTNIN' R,$0.15
1958,05705,LANTANA SPREADING SUNSET R,$0.15
1958,05710,LANTANA SPREADING SUNSHINE R,$0.15
1958,05715,LANTANA SUNBURST TM,$0.15
1961,05720,LANTANA TANGERINE TM,$0.15
2005,02446,LANTANA TEENIE GENIE R PP17612,$0.20
1987,06304,OLEA LITTLE OLLIE R,$0.50
1985,06299,OLEA MAJESTIC BEAUTY R,$0.50
2004,08655,PODOCARPUS ICEE BLUE R(BL CHIP,$0.75
2010,06801,PUNICA GR SMITH ANGLRD PP16578,$1.50
2010,03986,QUERCUS NUTTALLII CHARISMA R,$1.15
