,,Monrovia Featured Plant List,Monrovia Featured Plants,7/1/14,
,,,Highlight Items In Red,,
Intro Year,Item,Description,Description,Zone,New
2000,00020,ABUTILON SUPER RED R,ABUTILON SUPER RED R,09,
2009,09957,AGAPANTHUS BABY PETE TMPP21705,AGAPANTHUS BABY PETE TMPP21705,08,
2010,04979,,AZARA SERRATA ANDEAN GOLD TM,07,
2002,01203,BER GOLDN NUGGET TM P9577 CBR,BER GOLDN NUGGET TM P9577 CBR,04,
1993,01201,BER T CHERRY BOMB R CPBR 3488,BER T CHERRY BOMB R CPBR 3488,4,
1998,01193,BER T SUNSATION R PP11332 CBR,BER T SUNSATION R PP11332 CBR,4,
2004,01390,BUXUS S GREEN TOWER R PP15243,BUXUS S GREEN TOWER R PP15243,05,
2013,04676,CALLISTEMON SCARLET TORCH TM,CALLISTEMON SCARLET TORCH TM,08,
2002,01725,CAM NUCCIOS BELLA ROSSA P13023,CAM NUCCIOS BELLA ROSSA P13023,08,
2011,02233,CAM S PINK-A-BOO R PP21687,CAM S PINK-A-BOO R PP21687,07,
2012,05127,CEDRUS DEO FEELIN SUNNY TM PAF,CEDRUS DEO FEELIN SUNNY TM PAF,07,
2011,05539,CLEM MONTANA PINK-A-BOO R,CLEM MONTANA PINK-A-BOO R,06,
2001,03073,CUP SEMP TINY TOWER R PP12933,CUP SEMP TINY TOWER R PP12933,07,
2010,05061,Drimys lanceolata,DRIMYS LANCEOLATA,07,
2005,01662,ELAEO LITTLE EMPEROR TM P17611,ELAEO LITTLE EMPEROR TM P17611,08,
2012,03303,FATSIA JAP VAR CAMOUFLAGE TM,FATSIA JAP VAR CAMOUFLAGE TM,07,
1992,03757,GARDENIA FIRST LOVE R-GRAFT,GARDENIA FIRST LOVE R-GRAFT,08,
2011,06418,HESPERALOE BRK LIGHTS R P21729,HESPERALOE BRK LIGHTS R P21729,05,
2006,01737,HIB R FLAMENCO FLAME TM,HIB R FLAMENCO FLAME TM,10,
2012,09142,HIB R RED DARLING R,HIB R RED DARLING R,10,
2013,06383,HYD ANG GOLDEN CRANE R,HYD ANG GOLDEN CRANE R,06,
2013,09275,HYD M ENCHANTRESS R PPAF,HYD M ENCHANTRESS R PPAF,05,
1992,04207,HYD MAC PINK ELF R (PIA),HYD MAC PINK ELF R (PIA),05,
2011,09265,ILEX X EMRLD COLONNADE TM PPAF,ILEX X EMRLD COLONNADE TM PPAF,07,
2012,04535,ILEX X LITTLE RASCAL R P9999,ILEX X LITTLE RASCAL R P9999,05,
2011,02109,ILEX X SCALLYWAG TM PP21941,ILEX X SCALLYWAG TM PP21941,05,
2005,04813,JUN C SEA OF GOLD R PP17622,JUN C SEA OF GOLD R PP17622,03,
1995,04990,JUN H ICEE BLUE R P9639,JUN H ICEE BLUE R P9639,03,
2011,02147,LAURUS NOBILIS EMERALD WAVE R,LAURUS NOBILIS EMERALD WAVE R,08,
2003,06222,NAND D SIENNA SUNRISE R P14693,NAND D SIENNA SUNRISE R P14693,06,
2012,01937,PICEA GL CONICA TINY TOWER R,PICEA GL CONICA TINY TOWER R,03,
2005,01658,PITT TEN GOLF BALL P15329,PITT TEN GOLF BALL P15329,08,
2004,08655,PODOCARPUS ICEE BLUE R(BL CHIP,PODOCARPUS ICEE BLUE R(BL CHIP,09,
1961,06700,PRUNUS CAR BRIGHT N TIGHT TM,PRUNUS CAR BRIGHT N TIGHT TM,07,
2010,04675,RHAPH U RUTRHAPH STHRN MOON TM,RHAPH U RUTRHAPH STHRN MOON TM,07,
2012,02885,TAXUS X MED HUBERS TAWNY GOLD,TAXUS X MED HUBERS TAWNY GOLD,04,
2014,05514,THUJA X EMBER WAVES TM PPAF,THUJA X EMBER WAVES TM PPAF,05,New
2015,07240,THUJA X TINY TOWER R PPAF,THUJA X TINY TOWER R PPAF,05,New
2014,05132,TSUGA C GOLDEN DUCHESS TM PPAF,TSUGA C GOLDEN DUCHESS TM PPAF,04,New
