Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
160000,001025,ACER PAL SANGOKAKU,,,,,,,,,
160000,003565,AUCUBA MR GOLDSTRIKE,,,,,,,,,
160000,049795,AZARA SERRATA ANDEAN GOLD TM,,,,,,,,,
160000,078461,BACCHARIS MAGELLANICA,,,,,,,,,
160000,090782,BUXUS GOLDEN TRIUMPH,,,,,,,,,
160000,013905,BUXUS S GREEN TOWER R PP15243,,,,,,,,,
160000,023285ST,CEDRUS DEODARA FEELIN BLUE,,,,,,,,,
160000,051275,CEDRUS FEELIN SUNNY R PP23886,,,,,,,,,
160000,024035,CHAM PIS FIL GOLDEN CHARM,,,,,,,,,
160000,051352,COPROSMA BLACK CLOUD,,,,,,,,,
160000,017455,CORYLUS AV CONTORTA-OWN ROOT,,,,,,,,,
160000,047571,CUP MAC DONARD GOLD,,,,,,,,,
160000,030735,CUP SEMP TINY TOWER R PP12933,,,,,,,,,
160000,049232,DAPHNE ETRNL FRAGRANCE PP18361,,,,,,,,,
160000,091882,DEUTZIA X NIKKO BLUSH NA74356,,,,,,,,,
160000,021821,DISPOROPSIS PER SICHUAN JADE,,,,,,,,,
160000,085822,DISPORUM CANT MOONLIGHT P24556,,,,,,,,,
160000,050612,DRIMYS LANCEOLATA,,,,,,,,,
160000,032072,ERICA MEDITERRANEAN PINK,,,,,,,,,
160000,001421,GR-ACORUS GR OGON,,,,,,,,,
160000,001421,GR-ACORUS GR OGON,,,,,,,,,
160000,022582,GR-CAREX BUCHANANII,,,,,,,,,
160000,056455,HYD ASPERA PLUM PASSION R,,,,,,,,,
160000,092752,HYD M BLUE ENCHANTRESS R PPAF,,,,,,,,,
160000,092755,HYD M BLUE ENCHANTRESS R PPAF,,,,,,,,,
160000,021093,ILEX X SCALLYWAG TM PP21941,,,,,,,,,
160000,049901,JUN H ICEE BLUE R P9639,,,,,,,,,
160000,079935,LAURUS NOB LITTLE RAGU TM PPAF,,,,,,,,,
160000,021472,LAURUS NOBILIS EMERALD WAVE R,,,,,,,,,
160000,062121,NAND DOM GULF STREAM,,,,,,,,,
160000,055661,OPHIOPOGON FORMOSANUM,,,,,,,,,
160000,063231,OSMANTHUS HET GOSHIKI,,,,,,,,,
160000,047085,PAEONIA ITOH KEIKO TM (PK D D),,,,,,,,,
160000,052605,PAEONIA ITOH MISAKA TM PP22192,,,,,,,,,
160000,047075,PAEONIA ITOH YUMI TM (YLW),,,,,,,,,
160000,019395,PICEA PUN THE BLUES,,,,,,,,,
160000,051211,PIERIS J RIVER NYMPH TM,,,,,,,,,
160000,065221,PIERIS TAIWAN PRELUDE,,,,,,,,,
160000,065081,PIERIS X FOREST FLAME,,,,,,,,,
160000,016582,PITT TEN GOLF BALL P15329,,,,,,,,,
160000,051425,PITT TEN TASMAN RUFFLES,,,,,,,,,
160000,053842,PROSTANTHERA CUN BADJA PEAK,,,,,,,,,
160000,078182,ROSA FLWR CAR R CORAL PP14441,,,,,,,,,
160000,071602,ROSA FLWR CAR R RED P11308,,,,,,,,,
160000,079382,RUBUS RSPBRY SHRTCKE TM P22141,,,,,,,,,
160000,070465,SALIX CAP KILMARNOCK(S C PEND),,,,,,,,,
160000,051322,TSUGA C GOLDEN DUCHESS TM PPAF,,,,,,,,,
160000,073435,TSUGA CAN EMERALD FOUNTAIN R,,,,,,,,,
160000,056232,VACC BOUNTIFUL BLUE R PP19381,,,,,,,,,
