Requested,Available,Ready,Item,Description,Size,Form,Whs,UPC,SKU,Retail,Selling Price,Price Code,Extended,
75,,,035282,AGAPANTHUS AFR SUN STRIPE R,2,,550000,14949252895,,,$12.60 ,,$945.00 ,
100,,,027851,CORDYLINE AUS TORBAY DAZZLER,1,,170000,14949269909,,,$6.88 ,,$688.00 ,
200,,,061552,GR-MIS SIN STRICTUS,2,,170000,14949062616,,,$10.20 ,,"$2,040.00 ",
100,,,074952S,ILEX X CASTLE SPIRE R PP14310,2S,,160000,14949336373,,,$11.20 ,,"$1,120.00 ",
246,,,045011,MAN SUN PAR R CRIMSON PP15539,1,,550000,14949345344,,,$7.00 ,,"$1,722.00 ",
150,,,045012,MAN SUN PAR R CRIMSON PP15539,2,ST,170000,14949237144,,,$13.20 ,,"$1,980.00 ",
70,,,057091BH,MAN SUN PAR R PRTY CRMN P16449,1,BH,170000,14949337608,,,$6.00 ,,$420.00 ,
150,,,057071BH,MAN SUN PAR R PRTY PNK P19399,1,BH,170000,14949337639,,,$6.00 ,,$900.00 ,
274,,,070532BH,MAN SUN PAR R STR&STRPS P19931,2,BH,550000,14949321294,,,$10.40 ,,"$2,849.60 ",
150,,,072561BH,MAN SUN PAR TM BURGUNDY PPAF,1,BH,170000,14949337660,,,$6.00 ,,$900.00 ,
120,,,072562BH,MAN SUN PAR TM BURGUNDY PPAF,2,BH,170000,14949330883,,,$10.40 ,,"$1,248.00 ",
100,,,041361SPY,ROSMARINUS ROMAN BTY PP18192,1S,PY,550000,14949355442,,,$6.00 ,,$600.00 ,
200,,,068121,SEDUM BLACK BEAUTY R,1,,170000,14949323557,,,$4.28 ,,$856.00 ,
177,,,06505UT,SEDUM GLOBOSUM OLD MAN'S BONES,QT,,550000,14949309780,,,$2.28 ,,$403.56 ,
75,,,01259M,THUJA GREEN GIANT,10,,160000,14949071977,,,$31.60 ,,"$2,370.00 ",
94,,,070055ST,TRACH JASMINOIDES,5,ST,170000,14949700457,,,$17.60 ,,"$1,654.40 ",
,,,,,Total:,,,,,,,,,"$99,795.47 "
,,,,,,,,,,,,,,
"? 2007,2009 Monrovia Nursery Company. This information may represent Trade Secret information and may not be distributed without permission.",,,,,,,,,,,,,,
