Loc,New Plant,Item,Size,Plant Name,Category,Zone,2015 List Price,Qty Allocated,Min Order Qty,Available         ,Available Later,On
OR,2012,058241,#1,ACHILLEA APRICOT DLGHT PP18738,PRN,03, 5.10 , 25 , 10 , 281 , 310 ,03/01/15  
OR,2012,058251,#1,ACHILLEA STRWBRY SDCTN P18401,PRN,03, 5.10 , 8 , 10 , 19 , 19 ,03/01/15  
CA,2011,058471,#1,AGASTACHE AUR APRICOT SPRITE,PRN,05, 5.10 , 50 , 10 ,     , 243 ,05/01/15  
CA,2010,059041,#1,AGASTACHE HEATWAVE PP19662,PRN,05, 5.10 , 35 , 10 ,     , 35 ,03/01/15  
OR,2012,035341,#1,AMSONIA HUBRICHTII,PRN,05, 6.35 , 18 , 10 , 18 , 18 ,04/01/15  
OR,2010,05908UT,LittleOne,AQUILEGIA C LITTLE LANTERNS,PRN,03, 3.10 , 90 , 16 , 312 , 340 ,03/01/15  
OR,2013,006351,#1,CHRY (LEU) SUP REAL DREAM PPAF,PRN,05, 5.75 , 75 , 10 , 27 , 606 ,04/01/15  
CA,2012,078721,#1,CORE BIGBANG TM CSMC EY P22601,PRN,05, 5.75 , 49 , 10 ,     , 49 ,04/01/15  
CA,2013,088891,#1,CORE BIGBANG TM MRCRY RSNG PAF,PRN,05, 5.75 , 50 , 10 ,     , 231 ,04/01/15  
OR,2010,068081,#1,CORE BIGBANG TM RDSHFT PP20412,PRN,05, 5.75 , 10 , 10 , 18 , 18 ,03/01/15  
OR,2012,058261,#1,COREOPSIS VER ROUTE 66 PP20609,PRN,05, 5.75 , 14 , 10 , 14 , 14 ,04/01/15  
OR,2013,084671,#1,DELOS JWL OF DSRT RUBY P23453,PRN,05, 5.25 , 28 , 10 , 28 , 28 ,03/01/15  
CA,2012,078741,#1,DELOSPERMA FIRE SPINNER R,PRN,05, 5.25 , 42 , 10 , 42 , 42 ,04/01/15  
OR,2010,059461,#1,DELOSPERMA MESA VERDE PP13876,PRN,04, 5.25 , 32 , 10 , 80 , 80 ,03/01/15  
CA,2011,075551,#1,DELPHINIUM G MORPHO GRAND BLUE,PRN,03, 5.10 , 100 , 10 ,     , 113 ,04/01/15  
CA,2010,073521,#1,DIANTHUS DRAGON FRUIT PPAF,PRN,04, 5.75 , 53 , 10 ,     , 53 ,03/01/15  
CA,2012,067731,#1,DIANTHUS FIRST LOVE R,PRN,03, 5.75 , 50 , 10 ,     , 316 ,03/01/15  
CA,2010,094501,#1,DIANTHUS RASP SURPRISE PP16029,PRN,04, 5.10 , 21 , 10 ,     , 21 ,03/01/15  
OR,2013,004902,#2,DICENTRA SP VALENTINE R P22739,PRN,03, 15.00 ,     , 5 ,     , 195 ,04/01/15  
OR,2011,072241,#1,DORONICUM OR LEONARDO TM COMP,PRN,04, 5.10 ,     , 10 ,     , 291 ,03/01/15  
OR,2011,043401,#1,ECHINACEA PRAIRIE SPLENDOR,PRN,03, 5.10 , 113 , 10 ,     , 305 ,04/01/15  
OR,2012,085571,#1,ERIOPHYLLUM LANATUM,PRN,03, 5.10 , 40 , 10 , 554 ," 1,172 ",06/01/15  
CA,2013,088831,#1,GAILLARDIA ARIZONA RED SHADES,PRN,03, 5.75 , 49 , 10 ,     , 49 ,05/01/15  
CA,2013,089221,#1,GAILLARDIA FANFARE BLZE P23494,PRN,03, 5.75 , 116 , 10 ,     , 116 ,04/01/15  
CA,2010,058861,#1,GAURA L GEYSER WHITE,PRN,05, 5.10 , 100 , 10 ,     , 100 ,05/01/15  
