Loc,New Plant,Item,Size,Plant Name,Category,Zone,2015 List Price,Qty Allocated,Min Order Qty,Available         ,Available Later,On,Available Later,On,Available Later,On
OR,2012,58241,#1,ACHILLEA APRICOT DLGHT PP18738,PRN,3,5.1,25,10,281,310,3/1/2015,310,6/1/2015,     ,          
OR,2012,58251,#1,ACHILLEA STRWBRY SDCTN P18401,PRN,3,5.1,8,10,19,19,3/1/2015,19,6/1/2015,     ,          
CA,2011,58471,#1,AGASTACHE AUR APRICOT SPRITE,PRN,5,5.1,50,10,     ,243,5/1/2015,     ,          ,     ,          
CA,2010,59041,#1,AGASTACHE HEATWAVE PP19662,PRN,5,5.1,35,10,     ,35,3/1/2015,     ,          ,     ,          
CA,2011,70541,#1,AMSONIA BLUE ICE,PRN,5,6.35,     ,10,     ,102,10/1/2014,     ,          ,     ,          
OR,2012,35341,#1,AMSONIA HUBRICHTII,PRN,5,6.35,18,10,18,18,4/1/2015,     ,          ,     ,          
OR,2010,05908UT,LittleOne,AQUILEGIA C LITTLE LANTERNS,PRN,3,3.1,90,16,312,340,3/1/2015,     ,          ,     ,          
OR,2013,55482,#2,ARALIA CORDATA GOTEMBA,PRN,4,15,5,5,5,5,5/1/2015,     ,          ,     ,          
OR,2013,55485,#5,ARALIA CORDATA GOTEMBA,PRN,4,23.5,     ,5,1,     ,          ,     ,          ,     ,          
OR,2013,6351,#1,CHRY (LEU) SUP REAL DREAM PPAF,PRN,5,5.75,75,10,27,606,4/1/2015,650,6/1/2015,     ,          
CA,2012,78721,#1,CORE BIGBANG TM CSMC EY P22601,PRN,5,5.75,49,10,     ,49,4/1/2015,     ,          ,     ,          
CA,2013,88891,#1,CORE BIGBANG TM MRCRY RSNG PAF,PRN,5,5.75,50,10,     ,231,4/1/2015,     ,          ,     ,          
OR,2010,68081,#1,CORE BIGBANG TM RDSHFT PP20412,PRN,5,5.75,10,10,18,18,3/1/2015,     ,          ,     ,          
OR,2012,58261,#1,COREOPSIS VER ROUTE 66 PP20609,PRN,5,5.75,14,10,14,14,4/1/2015,     ,          ,     ,          
OR,2013,84671,#1,DELOS JWL OF DSRT RUBY P23453,PRN,5,5.25,28,10,28,28,3/1/2015,     ,          ,     ,          
CA,2012,78741,#1,DELOSPERMA FIRE SPINNER R,PRN,5,5.25,42,10,42,42,4/1/2015,     ,          ,     ,          
OR,2014,97231,#1,DELOSPERMA FIRE WONDER PPAF,PRN,4,5.25,18,10,3,18,3/1/2015,     ,          ,     ,          
OR,2010,59461,#1,DELOSPERMA MESA VERDE PP13876,PRN,4,5.25,32,10,80,80,3/1/2015,     ,          ,     ,          
CA,2011,75551,#1,DELPHINIUM G MORPHO GRAND BLUE,PRN,3,5.1,100,10,     ,113,4/1/2015,     ,          ,     ,          
CA,2010,73521,#1,DIANTHUS DRAGON FRUIT PPAF,PRN,4,5.75,53,10,     ,53,3/1/2015,     ,          ,     ,          
CA,2012,67731,#1,DIANTHUS FIRST LOVE R,PRN,3,5.75,50,10,     ,316,3/1/2015,     ,          ,     ,          
CA,2010,94501,#1,DIANTHUS RASP SURPRISE PP16029,PRN,4,5.1,21,10,     ,21,3/1/2015,     ,          ,     ,          
OR,2013,4902,#2,DICENTRA SP VALENTINE R P22739,PRN,3,15,     ,5,     ,195,4/1/2015,195,5/1/2015,     ,          
