Loc,Item,Plant Name,CAT,,,,,,,,,UPC#
160000,408931,IBERIS SEMP WHITEOUT,PRN,,,,,,,,,
160000,45112,ILEX GLA NORDIC TM,EVS,,,,,,,,,
160000,16461,IRIS EN BUTTERFLIES IN FLIGHT,PRN,,,,,,,,,14949004883
160000,16471,IRIS EN CASCADE SPICE,PRN,,,,,,,,,14949004920
160000,44011,IRIS EN VARIEGATA,PRN,,,,,,,,,14949440117
160000,45981,IRIS PALLIDA VARIEGATA,PRN,,,,,,,,,14949459812
160000,46361,IRIS SIB BENNERUP BLUE,PRN,,,,,,,,,14949463611
160000,45971,IRIS SIB BUTTER & SUGAR,PRN,,,,,,,,,14949459713
160000,46441,IRIS SIB CAESAR'S BROTHER,PRN,,,,,,,,,14949464410
160000,46471,IRIS SIB ERIC THE RED,PRN,,,,,,,,,14949464724
160000,46011,IRIS SIB RUFFLED VELVET,PRN,,,,,,,,,14949460115
160000,46875,JUN C BLUE POINT,CON,,,,,,,,,
160000,84651,JUN C DAUB'S FROSTED,CON,,,,,,,,,
160000,46902,JUN C GOLD COAST R,CON,,,,,,,,,14949469026
170000,47605,JUN C HETZII GLAUCA,CON,,,,,,,,,14949476055
170000,048009SP,JUN C MINT JULEP R,CON,,,,,,,,,
170000,48451,JUN C SAN JOSE,CON,,,,,,,,,14949484517
160000,48135,JUN C SEA OF GOLD R PP17622,CON,,,,,,,,,14949481356
160000,49032,JUN COM ALPINE CARPET R,CON,,,,,,,,,14949490327
160000,84901,JUN COMMUNIS VAR MONTANA,CON,,,,,,,,,14949051306
170000,49251,JUN H BLUE CHIP,CON,,,,,,,,,
170000,49705,JUN H HUGHES,CON,,,,,,,,,14949497050
170000,49901,JUN H ICEE BLUE R P9639,CON,,,,,,,,,14949499016
170000,50305,JUN H PRINCE OF WALES,CON,,,,,,,,,
160000,50701,JUN H WILTONII,CON,,,,,,,,,14949507018
170000,50201,JUN H YOUNGSTOWN,CON,,,,,,,,,14949502013
160000,50902,JUN PRO NANA,CON,,,,,,,,,14949509029
170000,51402,JUN SA ARCADIA,CON,,,,,,,,,
160000,51601,JUN SA BROADMOOR,CON,,,,,,,,,14949516010
170000,51705,JUN SA BUFFALO,CON,,,,,,,,,
170000,51751,JUN SA CALGARY CARPET R,CON,,,,,,,,,
170000,51655,JUN SA MOOR-DENSE R,CON,,,,,,,,,14949516553
170000,52001,JUN SA TAMARISCIFOLIA NEW BLUE,CON,,,,,,,,,14949520017
170000,05365M,JUN SC BLUE ARROW,CON,,,,,,,,,
170000,52151,JUN SC BLUE CREEPER R,CON,,,,,,,,,14949521519
170000,52305,JUN SC COLOGREEN,CON,,,,,,,,,14949523056
170000,52507,JUN SC GRAY GLEAM,CON,,,,,,,,,
170000,52705,JUN SC MEDORA,CON,,,,,,,,,
