Loc,Item,Plant Name,CAT,,,,,,,,,UPC#
160000,48991,ABIES BAL TYLER'S BLUE,CON,,,,,,,,,14949431993
160000,82,ABIES BALSAMEA NANA,CON,,,,,,,,,14949000823
160000,49625,ABIES CONCOLOR BLUE CLOAK,CON,,,,,,,,,14949347898
160000,51315,ABIES CONCOLOR CANDICANS,CON,,,,,,,,,14949278642
160000,19342,ABIES LAS GLAUCA COMPACTA,CON,,,,,,,,,14949257685
160000,47365,ABIES PIN GLAUCA PROSTRATA,CON,,,,,,,,,
160000,1285,ACER F AUTUMN BLAZE R,TRE,,,,,,,,,
160000,485,ACER GIN RED RHAPSODY R,TRE,,,,,,,,,14949004852
160000,1135,ACER PLAT CRIMSON KING,TRE,,,,,,,,,14949011355
160000,17985,ACER PLAT CRIMSON SENTRY,TRE,,,,,,,,,14949006245
160000,60205,ACER PSEUDOSIEBOLDIANUM,TRE,,,,,,,,,14949369456
160000,1275,ACER RUB RED SUNSET R,TRE,,,,,,,,,14949012758
170000,58241,ACHILLEA APRICOT DLGHT PP18738,PRN,,,,,,,,,14949357941
160000,407531,ACHILLEA MILL PRETTY BELINDA,PRN,,,,,,,,,14949414637
160000,29061,ACHILLEA MILL RED VELVET,PRN,,,,,,,,,14949065426
160000,511,ACHILLEA OERTEL'S ROSE,PRN,,,,,,,,,14949002506
160000,58251,ACHILLEA STRWBRY SDCTN P18401,PRN,,,,,,,,,14949357965
170000,1351,ACHILLEA X MOONSHINE,PRN,,,,,,,,,14949013519
160000,96085,ACTINIDIA ARG HARDY MALE,VIN,,,,,,,,,14949375525
160000,1395,ACTINIDIA ARG ISSAI (FEMALE),VIN,,,,,,,,,14949013953
160000,28895,AESCULUS X ARN AUTUMN SPLENDOR,TRE,,,,,,,,,
170000,80301,AJUGA CHOCOLATE CHIP,PRN,,,,,,,,,14949803011
160000,00189UT,AJUGA REPTANS BRONZE BEAUTY,PRN,,,,,,,,,14949010839
170000,591,AJUGA REPTANS BURGUNDY GLOW,PRN,,,,,,,,,14949003053
160000,1931,AJUGA REPTANS CATLIN'S GIANT,PRN,,,,,,,,,14949019313
160000,04868UT,ALCHEMILLA ALPINA,PRN,,,,,,,,,14949265536
160000,16632,ANDROMEDA POL BLUE ICE,EVS,,,,,,,,,14949000311
160000,2741,ANEMONE SYLVESTRIS,PRN,,,,,,,,,14949027417
160000,38561,ANEMONE X SERENADE,PRN,,,,,,,,,
160000,05908UT,AQUILEGIA C LITTLE LANTERNS,PRN,,,,,,,,,14949352595
160000,29351,AQUILEGIA CAE ORIGAMI MIX,PRN,,,,,,,,,14949066690
160000,00272UT,AQUILEGIA FLA CAMEO BLUE & WT,PRN,,,,,,,,,14949053614
160000,55482,ARALIA CORDATA GOTEMBA,PRN,,,,,,,,,
160000,2951,ARCTOSTAPHYLOS MASSACHUSETTS,EVS,,,,,,,,,14949029510
160000,3041,ARMERIA MAR BLOODSTONE,PRN,,,,,,,,,14949030417
160000,00269UT,ARMERIA MAR COTTON TAIL,PRN,,,,,,,,,14949010464
160000,19461,ARMERIA MAR RUBRIFOLIA,PRN,,,,,,,,,
160000,01946UT,ARMERIA MAR RUBRIFOLIA,PRN,,,,,,,,,14949069387
160000,3075,ARONIA BRILLIANTISSIMA,dcs,,,,,,,,,
160000,3401,ASTER ALMA POTSCHKE,PRN,,,,,,,,,14949034019
160000,30091,ASTER FARMINGTON PPAF,PRN,,,,,,,,,14949067239
160000,412531,ASTER N-A VIBRANT DOME,PRN,,,,,,,,,14949423424
170000,3391,ASTER NOVI-BELGII ALERT,PRN,,,,,,,,,14949033913
160000,3471,ASTER PROF KIPPENBURG,PRN,,,,,,,,,14949034712
160000,3611,ASTER TRIUMPH,PRN,,,,,,,,,14949036112
160000,23891,ASTER WOOD'S BLUE,PRN,,,,,,,,,14949044407
160000,1531,ASTER WOOD'S PINK,PRN,,,,,,,,,14949008911
160000,1591,ASTILBE BRIDAL VEIL,PRN,,,,,,,,,14949000274
160000,3521,ASTILBE CHINENSIS PUMILA,PRN,,,,,,,,,14949035214
160000,3621,ASTILBE CHINENSIS VISIONS,PRN,,,,,,,,,14949036211
160000,27501,ASTILBE COLOR FLASH R PP17343,PRN,,,,,,,,,14949061862
160000,3511,ASTILBE DEUTSCHLAND,PRN,,,,,,,,,14949035115
160000,00350UT,ASTILBE FANAL,PRN,,,,,,,,,
160000,1631,ASTILBE HENNIE GRAAFLAND,PRN,,,,,,,,,14949000281
160000,34331,ASTILBE MAGGIE DALEY,PRN,,,,,,,,,14949071731
160000,1681,ASTILBE RED SENTINEL,PRN,,,,,,,,,14949010174
160000,3541,ASTILBE RHEINLAND,PRN,,,,,,,,,14949035412
160000,3531,ASTILBE SPRITE,PRN,,,,,,,,,14949035313
160000,59151,ASTILBE VISION IN PINK PP11860,PRN,,,,,,,,,14949315026
160000,16341,ASTILBE VISION IN RED PP11965,PRN,,,,,,,,,14949004692
160000,37391,ASTILBE WHT SENSATION PP18462,PRN,,,,,,,,,14949217139
160000,400821,ASTILBE YOUNIQUE SLP TM P20656,PRN,,,,,,,,,14949388600
160000,23191,ASTRANTIA ABBEY ROAD PP14961,PRN,,,,,,,,,
160000,1811,AZALEA GA KAREN,RHO,,,,,,,,,14949231494
160000,7782,AZALEA NL GOLDEN LIGHTS,RHO,,,,,,,,,14949077825
170000,2192,BAPTISIA AUSTRALIS,PRN,,,,,,,,,
170000,401061,BAPTISIA SOLAR FLARE PP20408,PRN,,,,,,,,,
170000,401081,BAPTISIA TWILITE PP19011,PRN,,,,,,,,,14949388945
160000,23941,BER CRIMSON RUBY R PPAF,DCS,,,,,,,,,14949044438
160000,12031,BER GOLDN NUGGET TM P9577 CBR,DCS,,,,,,,,,14949120316
160000,074742S,BER SUNJOY R GOLD PILLAR PPAF,DCS,,,,,,,,,14949339558
160000,080771S,BER SUNJOY R MINI SALSA PPAF,DCS,,,,,,,,,14949359501
160000,12005,BER T ATROPURPUREA,DCS,,,,,,,,,14949120057
160000,12011,BER T CHERRY BOMB R CPBR 3488,DCS,,,,,,,,,14949120118
160000,2242,BER T CONCORDE,DCS,,,,,,,,,14949074671
160000,12051,BER T CRIMSON PYGMY,DCS,,,,,,,,,14949120514
160000,35233,BER T GOLDEN RUBY R PP16203,DCS,,,,,,,,,14949283882
