Branch,Item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future,
160000,001391,ACTINIDIA ARG ISSAI (FEMALE),VIN,"2,054",80,0,0,80,$11.00 ,,,
160000,001395,ACTINIDIA ARG ISSAI (FEMALE),VIN,152,46,5,0,51,$28.50 ,,5/1/2014,
170000,001395,ACTINIDIA ARG ISSAI (FEMALE),VIN,49,9,0,0,9,$28.50 ,,4/1/2014,
170000,001415,ACTINIDIA CH VINCENT (FEMALE),VIN,633,5,0,0,5,$28.50 ,,,
160000,001491,ACTINIDIA KOLOMIKTA,VIN,786,686,0,0,686,$11.00 ,,,
170000,001491,ACTINIDIA KOLOMIKTA,VIN,56,19,0,0,19,$11.00 ,,4/1/2014,
160000,001495,ACTINIDIA KOLOMIKTA,VIN,261,5,3,0,8,$28.50 ,,,
160000,002591,AKEBIA QUINATA,VIN,88,11,0,0,11,$7.50 ,,5/1/2014,
160000,002595,AKEBIA QUINATA,VIN,159,49,0,0,49,$26.00 ,,5/1/2014,
160000,002565,AKEBIA QUINATA SHIRO BANA,VIN,783,637,5,0,642,$26.00 ,,5/1/2014,
550000,002565,AKEBIA QUINATA SHIRO BANA,VIN,335,335,0,0,335,$26.00 ,,3/1/2014,
170000,012515,BIGNONIA CAP TANGERINE BEAUTY,VIN,"2,486",58,0,0,58,$26.50 ,,,
550000,012515,BIGNONIA CAP TANGERINE BEAUTY,VIN,"1,138",174,5,0,179,$26.50 ,,4/1/2014,
170000,012701,BOUG BARBARA KARST,VIN,"8,665","4,132",0,0,"4,132",$7.00 ,,,
550000,012701,BOUG BARBARA KARST,VIN,"2,423",194,36,10,220,$7.00 ,,4/1/2014,
550000,012705,BOUG BARBARA KARST,VIN,240,79,37,30,86,$23.00 ,,2/15/2014,
550000,012705PT,BOUG BARBARA KARST,VIN,864,141,75,42,174,$38.50 ,,4/1/2014,
550000,035041,BOUG BENGAL ORANGE,VIN,"1,923",871,50,25,896,$7.00 ,,5/1/2014,
170000,035041BH,BOUG BENGAL ORANGE,VIN,"1,106",248,0,0,248,$6.75 ,,,
170000,035042BH,BOUG BENGAL ORANGE,VIN,557,48,0,0,48,$16.75 ,,,
550000,035045PT,BOUG BENGAL ORANGE,VIN,"1,129","1,011",14,15,"1,011",$38.50 ,,5/1/2014,
170000,090122BH,BOUG BLUEBERRY ICE,VIN,"1,279",173,25,0,198,$16.75 ,,,
170000,012901,BOUG CAMARILLO FIESTA TM,VIN,"1,324",900,0,0,900,$7.00 ,,4/15/2014,
170000,012951,BOUG CHERRY BLOSSOM,VIN,"1,497",584,0,0,584,$7.00 ,,,
170000,013031,BOUG DON MARIO R,VIN,"1,615",720,0,0,720,$7.00 ,,,
170000,013035,BOUG DON MARIO R,VIN,392,36,0,0,36,$23.00 ,,4/1/2014,
170000,012661,BOUG GOLD RUSH TM,VIN,"2,132",596,0,0,596,$7.00 ,,,
170000,012662,BOUG GOLD RUSH TM,VIN,929,493,10,0,503,$17.50 ,,,
170000,012665,BOUG GOLD RUSH TM,VIN,566,304,0,0,304,$23.00 ,,4/1/2014,
170000,016482,BOUG GOLDEN JACKPOT R,VIN,785,249,0,0,249,$18.50 ,,,
170000,016482BH,BOUG GOLDEN JACKPOT R,VIN,"1,769",161,0,0,161,$17.00 ,,,
170000,013121,BOUG JAMES WALKER,VIN,"2,970","1,240",49,0,"1,289",$7.00 ,,,
170000,013125,BOUG JAMES WALKER,VIN,428,0,5,0,5,$23.00 ,,4/1/2014,
550000,013265PT,BOUG OO-LA-LA R,VIN,"1,866",197,50,30,217,$38.50 ,,4/1/2014,
170000,013201,BOUG ORANGE KING,VIN,590,10,0,0,10,$7.00 ,,,
170000,013205,BOUG ORANGE KING,VIN,258,79,0,0,79,$23.00 ,,4/1/2014,
550000,013205,BOUG ORANGE KING,VIN,100,30,7,0,37,$23.00 ,,4/1/2014,
170000,013051,BOUG PURPLE QUEEN R,VIN,"5,720",125,0,0,125,$7.50 ,,,
550000,013051,BOUG PURPLE QUEEN R,VIN,"1,985",835,68,10,893,$7.50 ,,4/1/2014,
170000,013051BH,BOUG PURPLE QUEEN R,VIN,"4,529",96,0,0,96,$6.75 ,,,
170000,013052,BOUG PURPLE QUEEN R,VIN,"1,983",10,0,0,10,$17.50 ,,,
170000,013052BH,BOUG PURPLE QUEEN R,VIN,"2,554",120,5,0,125,$16.75 ,,,
170000,013055BH,BOUG PURPLE QUEEN R,VIN,"2,588",754,0,0,754,$21.50 ,,,
170000,013055PT,BOUG PURPLE QUEEN R,VIN,"2,468",260,16,5,271,$38.50 ,,,
550000,013055PT,BOUG PURPLE QUEEN R,VIN,33,31,75,49,31,$38.50 ,,2/15/2014,
550000,013211,BOUG RASPBERRY ICE,VIN,"2,261","1,383",25,25,"1,383",$7.00 ,,4/1/2014,
170000,013211BH,BOUG RASPBERRY ICE,VIN,183,183,0,0,183,$6.75 ,,4/1/2014,
550000,013215,BOUG RASPBERRY ICE,VIN,884,632,25,15,642,$23.00 ,,4/1/2014,
170000,013235BH,BOUG ROSENKA,VIN,960,3,0,0,3,$21.50 ,,,
170000,013235PT,BOUG ROSENKA,VIN,147,30,0,0,30,$38.50 ,,4/1/2014,
170000,013251,BOUG SCARLETT OHARA(SN DGO RED,VIN,707,449,20,0,469,$7.00 ,,4/15/2014,
170000,038141,BOUG SHARON WESLEY,VIN,"1,113",195,0,0,195,$7.00 ,,,
170000,013025,BOUG TAHITIAN DAWN R,VIN,124,2,47,0,49,$23.00 ,,4/1/2014,
170000,013451,BOUG TEXAS DAWN TM,VIN,"1,045",33,0,0,33,$7.00 ,,,
170000,090111BH,BOUG WHITE STRIPE,VIN,"1,268",231,0,0,231,$6.75 ,,,
170000,090112BH,BOUG WHITE STRIPE,VIN,727,287,0,0,287,$16.75 ,,,
170000,090141BH,BOUG YANI'S DELIGHT,VIN,346,0,10,0,10,$6.75 ,,,
170000,022711,CAMPSIS BALBOA SUNSET R,VIN,"29,240","13,920",20,0,"13,940",$7.50 ,,,
170000,022712ST,CAMPSIS BALBOA SUNSET R,VIN,"1,968",0,17,0,17,$15.25 ,,,
170000,022715,CAMPSIS BALBOA SUNSET R,VIN,"5,511",875,50,15,910,$24.75 ,,,
170000,022381,CAMPSIS FLAVA,VIN,"4,245","3,946",10,55,"3,946",$7.25 ,,4/1/2014,
170000,022382ST,CAMPSIS FLAVA,VIN,821,0,7,0,7,$15.25 ,,,
170000,022385,CAMPSIS FLAVA,VIN,"2,859",641,41,30,652,$22.00 ,,,
170000,022551,CAMPSIS MADAME GALEN,VIN,"16,918","5,048",50,20,"5,078",$7.50 ,,,
170000,022552ST,CAMPSIS MADAME GALEN,VIN,"1,419",0,25,5,20,$15.25 ,,,
170000,022555,CAMPSIS MADAME GALEN,VIN,"3,183",97,50,20,127,$24.75 ,,,
160000,090681,CLEM ALP CONSTANCE,VIN,228,129,0,0,129,$8.50 ,,4/15/2014,
160000,090661,CLEM ALP PAMELA JACKMAN,VIN,150,150,11,0,150,$8.50 ,,4/15/2014,
160000,027431,CLEM MONTANA FREDA,VIN,"1,025",47,0,0,47,$8.50 ,,,
160000,027435,CLEM MONTANA FREDA,VIN,515,515,10,0,515,$28.00 ,,4/15/2014,
160000,027401,CLEM MONTANA RUBENS,VIN,982,0,11,10,1,$8.50 ,,,
160000,027405,CLEM MONTANA RUBENS,VIN,1,0,22,22,0,$28.00 ,,4/15/2014,
160000,027472,CLEM PANICULATA,VIN,"1,635",0,50,0,50,$17.00 ,,5/1/2014,
160000,021792,CLEM PIILU TM PPAF,VIN,390,390,50,0,390,$17.00 ,,5/1/2014,
160000,021862,CLEM SAPPHIRE INDIGO TMPP17012,VIN,302,29,100,20,109,$17.50 ,,5/1/2014,
160000,021865,CLEM SAPPHIRE INDIGO TMPP17012,VIN,"1,083",821,40,15,846,$28.00 ,,5/1/2014,
160000,055211,CLEM SIEBOLDII,VIN,946,0,51,0,51,$8.50 ,,,
160000,038005,CLEM TEX PRINCESS DIANA,VIN,136,38,0,10,38,$28.00 ,,5/1/2014,
160000,051481,CLEM VANCOUVER TM DANIELLE,VIN,"2,967",0,20,20,0,$9.50 ,,,
160000,051485,CLEM VANCOUVER TM DANIELLE,VIN,203,99,0,0,99,$30.00 ,,5/1/2014,
160000,048741,CLEM VANCOUVER TM STARRY NGHTS,VIN,30,10,98,10,10,$9.50 ,,5/1/2014,
160000,048742,CLEM VANCOUVER TM STARRY NGHTS,VIN,31,21,38,0,21,$17.00 ,,5/1/2014,
160000,048745,CLEM VANCOUVER TM STARRY NGHTS,VIN,108,1,19,10,10,$30.00 ,,5/1/2014,
160000,021782,CLEM X ARABELLA,VIN,995,320,50,0,370,$17.00 ,,5/1/2014,
160000,015905,CLEM X BLUE LIGHT R PP15953,VIN,392,2,36,10,28,$28.00 ,,5/1/2014,
160000,027221,CLEM X COMTESSE DE BOUCHAUD,VIN,696,646,35,0,646,$8.50 ,,4/15/2014,
160000,027225,CLEM X COMTESSE DE BOUCHAUD,VIN,711,509,60,15,554,$28.00 ,,5/1/2014,
