Branch,Date,SB Order,Item,Description,Size / Form,Confirmed,Remaining,Plus/X,"Remaining
Amount",Ready Date,Specs,Comments,Net Price,"Price
Code","Landed
Price",SKU,Retail,UPC
CA,5/1/2014,1372051,1701,AGAPANTHUS ALBUS,#1,10,10,Remaining,$43.50 ,READY,"8""H",-,$4.35 ,,$5.48 ,,$12.99 ,14949017012
CA,5/1/2014,1372051,1732,AGAPANTHUS BLUE STORM PP14332,#2,25,25,Remaining,$304.50 ,READY,5-7 FANS,-,$12.18 ,,$15.00 ,,$33.99 ,14949007990
CA,5/1/2014,1372051,1805,AGAPANTHUS QUEEN ANNE-DIVISION,#5,10,10,Remaining,$156.60 ,READY,"10""H",-,$15.66 ,,$21.29 ,,$47.99 ,14949018057
CA,5/1/2014,1372051,1881,AGAPANTHUS X MIDKNIGHT BLUE R,#1,15,15,Remaining,$91.35 ,3/15/2014,,,$6.09 ,,$7.22 ,,$16.99 ,14949018811
GA,5/1/2014,1372061,3151,ASPARAGUS MYERS,#1,10,10,Remaining,$65.30 ,READY,"8""H",,$6.53 ,,$7.19 ,,$16.99 ,14949031513
OR,5/1/2014,1372023,7075,AZALEA EX CANNON'S DOUBLE,#5,3,3,Remaining,$56.76 ,READY,24''H - 18''S,BUDS,$18.92 ,,$24.33 ,,$54.99 ,14949070758
OR,5/1/2014,1372023,7775,AZALEA EX GOLDEN FLARE,#5,3,3,Remaining,$56.76 ,READY,18''H - 16''S,BUDS,$18.92 ,,$24.33 ,,$54.99 ,14949077757
OR,5/1/2014,1372023,25215,BAM-FARGESIA RUFA (CLUMP),#5,2,2,Remaining,$76.56 ,4/1/2014,,,$38.28 ,,$43.69 ,,$98.99 ,14949050187
CA,5/1/2014,1372051,11447,BAM-PHYLLO NIGRA (RUN),#7,1,1,Remaining,$73.95 ,READY,"60""H",WINTER COLOR,$73.95 ,,$88.04 ,,$199.99 ,14949114476
GA,5/1/2014,1372061,074412S,BUD LO&BEHLD R BLU CHP PP19991,SuperTwo,5,5,Remaining,$69.60 ,4/1/2014,,,$13.92 ,,$16.13 ,,$36.99 ,14949335697
GA,5/1/2014,1372061,080811S,BUD LO&BEHLD R ICE CHIP PPAF,SuperOne TM,5,5,Remaining,$42.40 ,4/1/2014,,,$8.48 ,,$9.59 ,,$21.99 ,14949360989
CA,5/1/2014,1372051,080791S,BUD LO&BEHLD R LILAC CHIP PPAF,SuperOne TM,4,4,Remaining,$33.92 ,3/15/2014,,,$8.48 ,,$10.36 ,,$23.99 ,14949345870
GA,5/1/2014,1372061,077411S,BUD LO&BEHLD R PRPL HAZE PPAF,SuperOne TM,5,5,Remaining,$42.40 ,5/1/2014,,,$8.48 ,,$9.59 ,,$21.99 ,14949355787
GA,5/1/2014,1372061,034662S,BUDDLEJA DAV ADONIS BLUE TM,SuperTwo,5,5,Remaining,$65.25 ,READY,"12""H - 12""S",DORMANT,$13.05 ,,$15.26 ,,$34.99 ,14949335390
GA,5/1/2014,1372061,13783,BUDDLEJA DAV BLACK KNIGHT,#3,5,5,Remaining,$73.95 ,READY,"15""H - 15""S",DORMANT,$14.79 ,,$17.45 ,,$39.99 ,14949026656
CA,5/1/2014,1372051,034682S,BUDDLEJA DAV PURPLE EMPEROR TM,SuperTwo,5,5,Remaining,$65.25 ,3/1/2014,,,$13.05 ,,$16.81 ,,$37.99 ,14949335376
GA,5/1/2014,1372061,077392S,BUDDLEJA MISS MOLLY PPAF,SuperTwo,5,5,Remaining,$67.45 ,4/15/2014,,,$13.49 ,,$15.70 ,,$35.99 ,14949355749
GA,5/1/2014,1372061,074402S,BUDDLEJA X MISS RUBY PPAF,SuperTwo,5,5,Remaining,$67.45 ,4/1/2014,,,$13.49 ,,$15.70 ,,$35.99 ,14949335666
OR,5/1/2014,1372023,3011,BUXUS CHICAGOLAND GREEN R,#1,25,25,Remaining,$141.50 ,READY,"8""H - 6""S",-,$5.66 ,,$6.74 ,,$15.99 ,14949005750
CA,5/1/2014,1372051,13952,BUXUS J GREEN BEAUTY,#2,25,25,Remaining,$304.50 ,READY,"10""H - 10""S",WINTER COLOR,$12.18 ,,$15.00 ,,$33.99 ,14949139523
OR,5/1/2014,1372023,13832,BUXUS MIC WINTER GEM,#2,15,15,Remaining,$182.70 ,READY,"12""H - 12""S",-,$12.18 ,,$14.88 ,,$33.99 ,14949138328
GA,5/1/2014,1372061,013835GL,BUXUS MIC WINTER GEM,#5 GLOBE,10,10,Remaining,$304.50 ,5/1/2014,,,$30.45 ,,$33.77 ,,$75.99 ,14949138656
GA,5/1/2014,1372061,013835PY,BUXUS MIC WINTER GEM,#5 CONE,10,10,Remaining,$335.00 ,Not Avail,,,$33.50 ,,$36.82 ,,$82.99 ,14949138458
GA,5/1/2014,1372061,13837,BUXUS MIC WINTER GEM,#7,10,10,Remaining,$348.00 ,READY,"22""H X 22""S",WINTER LOOK,$34.80 ,,$44.21 ,,$99.99 ,14949009796
OR,5/1/2014,1372023,13902,BUXUS S GREEN TOWER R PP15243,#2,5,5,Remaining,$67.45 ,READY,15''H - 8''S,-,$13.49 ,,$16.19 ,,$36.99 ,14949197868
