Branch Plant,Item Number,Size,Plant Name,Category,Zn,Catalog Price      ,Unit Freight,Minimum Ord Qty,Booked Qty,Confirmed Amount Remaining,Date Ready
,000845,#5,ACER PAL EMPEROR I R,Emperor I®  Japanese Maple                                                                          ,05, 61.50 , 1.73 , 5 , 5 , 307.50 ,Now         
,018345,#5,ACER PAL OSAKAZUKI,Osakazuki Japanese Maple                                                                            ,05, 61.50 , 1.73 , 5 , 5 , 307.50 ,Now         
,001391,#1 STAKED,ACTINIDIA ARG ISSAI (FEMALE),Hardy Kiwi Vine                                                                                     ,04, 12.00 , 0.35 , 10 , 10 , 120.00 ,Now         
,059151,#1,ASTILBE VISION IN PINK PP11860,Visions in Pink Astilbe                                                                             ,04, 5.25 , 0.35 , 10 , 6 , 31.50 ,03/01/16    
,017601,#1,ASTILBE VISION IN WHITE P18965,Vision in White Astilbe                                                                             ,04, 5.25 , 0.35 , 10 , 6 , 31.50 ,03/01/16    
,400811,#1,ASTILBE YOUNIQUE CRM TM P20324,Younique  Carmine Astilbe                                                                          ,04, 5.25 , 0.35 , 10 , 6 , 31.50 ,03/01/16    
,002032,#2,AZALEA GD RENEE MICHELLE,Renee Michelle Azalea                                                                               ,06, 16.00 , 0.86 , 5 , 5 , 80.00 ,Now         
,008152,#2,AZALEA KR HINO CRIMSON,Hino-Crimson Azalea                                                                                 ,06, 16.00 , 0.86 , 5 , 5 , 80.00 ,Now         
,025212,#2,BAM-FARGESIA RUFA (CLUMP),Sunset Glow Bamboo                                                                                  ,05, 26.00 , 0.86 , 5 , 5 , 130.00 ,Now         
,012032,#2,BER GOLDN NUGGET TM P9577 CBR,Golden Nugget  Dwarf Japanese Barberry                                                             ,04, 14.00 , 0.86 , 5 , 5 , 70.00 ,Now         
,035232,#2,BER T GOLDEN RUBY R PP16203,Golden Ruby®  Barberry                                                                              ,04, 16.00 , 0.86 , 5 , 5 , 80.00 ,Now         
,062932,#2,BER T ORANGE ROCKET PP18411,Orange Rocket Barberry                                                                              ,04, 16.00 , 0.86 , 5 , 5 , 80.00 ,Now         
,013982,#2,BUXUS SEMP SUFFRUTICOSA,Dwarf English Boxwood                                                                               ,05, 17.25 , 0.86 , 5 , 10 , 172.50 ,Now         
,013882,#2,BUXUS SEMP VARIEGATA,Variegated English Boxwood                                                                          ,05, 17.25 , 0.86 , 5 , 5 , 86.25 ,Now         
,014515,#5,CALYCANTHUS FLORIDUS,Carolina Allspice                                                                                   ,05, 23.00 , 1.73 , 5 , 5 , 115.00 ,Now         
,017382,#2,CEPHALOTAXUS HAR FASTIGIATA,Upright Japanese Plum Yew                                                                           ,06, 16.75 , 0.86 , 5 , 5 , 83.75 ,Now         
,074442S,SuperTwo,CHAEN DBLTKE TM OR STRM P20950,Double Take  Orange Storm Flowering Quince                                                         ,05, 17.75 , 1.15 , 5 , 5 , 88.75 ,Now         
,074452S,SuperTwo,CHAEN DBLTKE TM PK STRM P20920,Double Take  Pink Storm Flowering Quince                                                           ,05, 17.75 , 1.15 , 5 , 5 , 88.75 ,Now         
,023902,#2,CHAM OBT FILICOIDES,Fernspray False Cypress                                                                             ,04, 13.75 , 0.86 , 5 , 5 , 68.75 ,Now         
,027862,#2,CORNUS ALBA IVORYHALO TM,Ivory Halo®  Dogwood                                                                                ,03, 16.75 , 0.86 , 5 , 5 , 83.75 ,Now         
,026525,#5,CORNUS X HYPERION R PPAF,Hyperion®  Dogwood                                                                                  ,06, 43.00 , 1.73 , 5 , 5 , 215.00 ,Now         
,017962,#2,ERICA KRAMER'S RED,Kramer's Red Winter Heath                                                                           ,06, 15.50 , 0.86 , 5 , 6 , 93.00 ,Now         
,032072,#2,ERICA MEDITERRANEAN PINK,Mediterranean Pink Heath                                                                            ,06, 15.50 , 0.86 , 5 , 6 , 93.00 ,Now         
,032082,#2,ERICA SILBERSCHMELZE,White Bell Winter Heath                                                                             ,06, 15.50 , 0.86 , 5 , 6 , 93.00 ,Now         
,019312,#2,EUO A COLE'S COMPACT,Cole's Compact Burning Bush                                                                         ,04, 15.00 , 0.86 , 5 , 10 , 150.00 ,Now         
,019202,#2,EUO F SUNRISE PP12341,Sunrise Wintercreeper                                                                               ,04, 14.50 , 0.86 , 5 , 10 , 145.00 ,03/28/16    
,021222,#2,FERN-DRYOPTERIS ERY BRILLIANCE,Brilliance Autumn Fern                                                                              ,05, 16.00 , 0.86 , 5 , 5 , 80.00 ,Now         
,005082,#2,FERN-POLYSTICHUM X DYCEI,Dyce's Holly Fern                                                                                   ,06, 16.00 , 0.86 , 5 , 5 , 80.00 ,Now         
,017542,#2,FORSYTHIA X MAGICAL R GOLD,Magical®  Gold Forsythia                                                                            ,05, 16.75 , 0.86 , 5 , 5 , 83.75 ,Now         
,038241,#1,GERANIUM CIN BALLERINA,Ballerina Cranesbill                                                                                ,05, 5.25 , 0.35 , 10 , 30 , 157.50 ,Now         
,014011,#1,GR-CAL ACUT KARL FOERSTER,Foerster's Feather Reed Grass                                                                       ,04, 7.00 , 0.35 , 10 , 10 , 70.00 ,Now         
,028051,#1,GR-ERIANTHUS RAVENNAE,Hardy Pampas Grass                                                                                  ,04, 6.75 , 0.35 , 10 , 10 , 67.50 ,Now         
,039971,#1,GR-HELICTOTRICHON SEMPERVIRENS,Blue Oat Grass                                                                                      ,04, 6.75 , 0.35 , 10 , 10 , 67.50 ,Now         
,039991,#1,HELLE X IVORY PRINCE PP16199,Ivory Prince Lenten Rose                                                                            ,04, 9.50 , 0.35 , 10 , 10 , 95.00 ,Now         
,040091,#1,HEM LITTLE BUSINESS,Little Business Dwarf Daylily                                                                       ,04, 5.25 , 0.35 , 10 , 10 , 52.50 ,Now         
,083941,#1,HEM SILOAM GUMDROP,Siloam Gumdrop Daylily                                                                              ,04, 5.25 , 0.35 , 10 , 10 , 52.50 ,Now         
,006631,#1,HEM STRAWBERRY CANDY,Strawberry Candy Daylily                                                                            ,04, 5.25 , 0.35 , 10 , 10 , 52.50 ,03/01/16    
,041471,#1,HOSTA EOLA SAPPHIRE,Eola Sapphire Plantain Lily                                                                         ,03, 6.00 , 0.35 , 10 , 6 , 36.00 ,Now         
,041861,#1,HOSTA FLUCTUANS VARIEG (SAGAE),Variegated Plantain Lily                                                                            ,04, 7.25 , 0.35 , 10 , 6 , 43.50 ,Now         
,031891,#1,HOSTA HADSPEN BLUE,Hadspen Blue Plantain Lily                                                                          ,04, 7.25 , 0.35 , 10 , 6 , 43.50 ,03/01/16    
,007011,#1,HOSTA REGAL SPLENDOR,Regal Splendor Plantain Lily                                                                        ,04, 6.00 , 0.35 , 10 , 6 , 36.00 ,Now         
,041851,#1,HOSTA WIDE BRIM,Wide Brim Plantain Lily                                                                             ,03, 6.00 , 0.35 , 10 , 6 , 36.00 ,Now         
,092752,#2,HYD BLUE ENCHANTRESS R PP25209,Blue Enchantress®  Hydrangea                                                                        ,05, 17.25 , 0.86 , 5 , 5 , 86.25 ,Now         
,074592S,SuperTwo,HYD MAC LD R MOONLIGHT PP20020,Let's Dance®  Moonlight Hydrangea                                                                   ,05, 17.75 , 1.15 , 5 , 5 , 88.75 ,Now         
,074582S,SuperTwo,HYD MAC LD R STARLIGHT PP20019,Let's Dance®  Starlight Bigleaf Hydrangea                                                           ,05, 17.75 , 1.15 , 5 , 5 , 88.75 ,Now         
,041702,#2 STAKED,HYD PETIOLARIS,Climbing Hydrangea                                                                                  ,05, 19.75 , 0.86 , 5 , 5 , 98.75 ,Now         
,045092,#2,ILEX X BERRI-MAGIC R KIDS,Berri-Magic®  Kids' Holly Combination                                                               ,05, 16.75 , 0.86 , 5 , 5 , 83.75 ,Now         
,021091,#1,ILEX X SCALLYWAG TM PP21941,Scallywag  Holly                                                                                   ,05, 8.75 , 0.35 , 10 , 10 , 87.50 ,Now         
,047305SP,#5 SPIRAL,JUN C SPARTAN,Spartan Juniper                                                                                     ,05, 77.25 , 2.59 , 2 , 2 , 154.50 ,Now         
,054335,#5,LABURNUM X WAT VOSSII,Golden Chain Tree                                                                                   ,06, 37.00 , 1.73 , 5 , 5 , 185.00 ,Now         
,059051ST,#1 STAKED,LONICERA JAP HALLIANA,Hall's Japanese Honeysuckle                                                                         ,04, 8.25 , 0.35 , 10 , 6 , 49.50 ,Now         
,059181,#1 STAKED,LONICERA PER BERRIES JUBILEE R,Berries Jubilee®  Woodbine Honeysuckle                                                              ,05, 8.50 , 0.35 , 10 , 6 , 51.00 ,Now         
,058991,#1 STAKED,LONICERA X GOLDFLAME,Goldflame Honeysuckle                                                                               ,04, 8.50 , 0.35 , 10 , 4 , 34.00 ,Now         
,059585TR,#5 TREE,MAG X BLACK TULIP PPAF,Black Tulip  Magnolia                                                                              ,05, 45.00 , 1.73 , 2 , 3 , 135.00 ,Now         
,059425TR,#5 TREE,MAG X ELIZABETH,Elizabeth Magnolia                                                                                  ,04, 45.00 , 1.73 , 2 , 3 , 135.00 ,Now         
,047252,#2,MUKDENIA ROS CRIMSON FANS,Red-Leafed Mukdenia                                                                                 ,04, 15.00 , 0.86 , 5 , 5 , 75.00 ,Now         
,06323UT,LittleOne,OSMANTHUS HET GOSHIKI,Goshiki False Holly                                                                                 ,06, 4.00 , 0.26 , 16 , 16 , 64.00 ,Now         
,019522,#2,PAEONIA X BOWL OF BEAUTY (PK),Bowl Of Beauty Herbaceous Peony                                                                     ,04, 20.75 , 0.86 , 5 , 5 , 103.75 ,Now         
,050282,#2,PAEONIA X BUCKEYE BELLE (RED),Buckeye Belle Herbaceous Peony                                                                      ,04, 20.75 , 0.86 , 5 , 5 , 103.75 ,Now         
,063512,#2,PAEONIA X DBL WHITE,Double White Herbaceous Peony                                                                       ,03, 20.25 , 0.86 , 5 , 5 , 101.25 ,Now         
,081522S,SuperTwo STAKED,PARTH Q RED WALL TM PPAF,Red Wall  Virginia Creeper                                                                         ,03, 18.25 , 1.15 , 5 , 5 , 91.25 ,Now         
,084781,#1,PEROVSKIA LACEY BLUE PP20845,Lacey Blue Russian Sage                                                                             ,04, 6.75 , 0.35 , 10 , 10 , 67.50 ,Now         
,034652,#2,PHYSOCARPUS CENTER GLOW P16894,Center Glow Ninebark                                                                                ,02, 16.00 , 0.86 , 5 , 5 , 80.00 ,Now         
,051212,#2,PIERIS J RIVER NYMPH TM,River Nymph  Lily of the Valley Shrub (Enchanted Fore                                              ,06, 17.25 , 0.86 , 5 , 5 , 86.25 ,Now         
,065302,#2,PIERIS J VALLEY ROSE,Valley Rose Lily Of The Valley                                                                      ,06, 17.25 , 0.86 , 5 , 5 , 86.25 ,Now         
,046425,#5,PINUS PARVIFLORA GLAUCA NANA,Dwarf Japanese White Pine                                                                           ,04, 43.25 , 1.73 , 5 , 3 , 129.75 ,Now         
,015161,#1,POLYGONATUM FAL VARIEGATUM,Variegated Solomon's Seal                                                                           ,04, 6.75 , 0.35 , 10 , 6 , 40.50 ,Now         
,009971,#1,RHOD (H-1) PURPLE GEM,Purple Gem Rhododendron                                                                             ,04, 9.00 , 0.35 , 10 , 10 , 90.00 ,Now         
,010072,#2,RHOD (H-2) ROCKET,Rocket Rhododendron                                                                                 ,05, 18.50 , 0.86 , 5 , 5 , 92.50 ,Now         
,009312,#2,RHOD (H-3) YAKU DREAMLAND,Dreamland Rhododendron                                                                              ,06, 18.50 , 0.86 , 5 , 5 , 92.50 ,Now         
,070331,#1 STAKED,RUBUS BLACK SATIN BLACKBERRY,Black Satin Blackberry                                                                              ,05, 10.00 , 0.35 , 10 , 5 , 50.00 ,Now         
,070341,#1 STAKED,RUBUS CANBY RED RASPBERRY,Canby Red Raspberry                                                                                 ,04, 10.00 , 0.35 , 10 , 5 , 50.00 ,Now         
,067871,#1 STAKED,RUBUS PRIME-JIM R BKBRY P16989,Prime-Jim®  Blackberry                                                                              ,04, 10.00 , 0.35 , 10 , 5 , 50.00 ,Now         
,039492,#2,SALIX INTEGRA FLAMINGO PP17490,Flamingo Dappled Willow                                                                             ,04, 15.25 , 0.86 , 5 , 5 , 76.25 ,Now         
,071802,#2,SYRINGA V ANGEL WHITE,Angel White Lilac                                                                                   ,03, 16.75 , 0.86 , 5 , 5 , 83.75 ,Now         
,072102,#2,SYRINGA V CHARLES JOLY,Charles Joly Lilac                                                                                  ,03, 16.75 , 0.86 , 5 , 5 , 83.75 ,Now         
,072162,#2,SYRINGA V SENSATION,Sensation Lilac                                                                                     ,03, 16.75 , 0.86 , 5 , 5 , 83.75 ,Now         
,047442,#2,THUJA OC FIRE CHIEF TM P19009,Fire Chief  Globe Arborvitae                                                                       ,05, 16.25 , 0.86 , 5 , 5 , 81.25 ,Now         
,055142,#2,THUJA X EMBER WAVES R PP25363,Ember Waves®  Western Arborvitae                                                                    ,05, 16.25 , 0.86 , 5 , 5 , 81.25 ,Now         
,056232,#2,VACC BOUNTIFUL BLUE R PP19381,Bountiful Blue®  Blueberry                                                                          ,06, 16.25 , 0.86 , 5 , 5 , 81.25 ,Now         
,407072,#2,VACCINIUM X BLUE CROP,Bluecrop Blueberry                                                                                  ,04, 16.25 , 0.86 , 5 , 5 , 81.25 ,Now         
,407082,#2,VACCINIUM X CHIPPEWA,Chippewa Blueberry                                                                                  ,03, 16.25 , 0.86 , 5 , 5 , 81.25 ,Now         
,074202,#2,VIB DAVIDII,David Viburnum                                                                                      ,07, 15.00 , 0.86 , 5 , 5 , 75.00 ,Now         
,074712S,SuperTwo,WEIGELA FL MY MONET R PP16824,My Monet®  Weigela                                                                                  ,04, 18.50 , 1.15 , 5 , 5 , 92.50 ,Now         
,076562S,SuperTwo,WEIGELA FL WINE&ROSES R P10772,Wine & Roses®  Weigela                                                                              ,04, 17.75 , 1.15 , 5 , 5 , 88.75 ,Now         
,017345,#5 STAKED,WISTERIA MAC BLUE MOON,Blue Moon Kentucky Wisteria                                                                         ,04, 23.75 , 1.73 , 5 , 3 , 71.25 ,Now         
