Branch,Item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,40037MST,ABELIA CHIN BRONZ ANNIV R PPAF,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,40044M,ABELIA CHIN BRONZ ANNIV R PPAF,EVS,39,4,0,0,4,$18.50 ,,
550000,00102M,ABELIA CHIN RUBY ANNIV TM PPAF,EVS,660,42,0,0,42,$8.50 ,,
,018335,,,,,,,,,,
,02909M,,,,,,,,,,
,001135,,,,,,,,,,
,060205LR,,,,,,,,,,
,001275,,,,,,,,,,
,400467,,,,,,,,,,
,000575,,,,,,,,,,
,400575,,,,,,,,,,
,037331,,,,,,,,,,
,036901,,,,,,,,,,
,019461,,,,,,,,,,
,003621,,,,,,,,,,
,027501,,,,,,,,,,
,078772S,,,,,,,,,,
,007072,,,,,,,,,,
,007772,,,,,,,,,,
,002043,,,,,,,,,,
,074742S,,,,,,,,,,
,035232,,,,,,,,,,
,062932,,,,,,,,,,
,014297,,,,,,,,,,
,012415SELR,,,,,,,,,,
,077392S,,,,,,,,,,
,074405,,,,,,,,,,
,013825CN,,,,,,,,,,
,013825PY,,,,,,,,,,
,013905,,,,,,,,,,
,401477PT,,,,,,,,,,
,401437PT,,,,,,,,,,
,022711,,,,,,,,,,
,022715,,,,,,,,,,
,022715PT,,,,,,,,,,
,022381,,,,,,,,,,
,022551,,,,,,,,,,
,023495,,,,,,,,,,
,401767,,,,,,,,,,
,032577,,,,,,,,,,
,017855,,,,,,,,,,
,017857,,,,,,,,,,
,01785M,,,,,,,,,,
,074773S,,,,,,,,,,
,023905,,,,,,,,,,
,039512,,,,,,,,,,
,044481,,,,,,,,,,
,027061,,,,,,,,,,
,027441,,,,,,,,,,
,027071,,,,,,,,,,
,026371,,,,,,,,,,
,018401,,,,,,,,,,
,018411,,,,,,,,,,
,408551,,,,,,,,,,
,408551,,,,,,,,,,
,408541,,,,,,,,,,
,027865,,,,,,,,,,
,027865,,,,,,,,,,
,045285,,,,,,,,,,
,074802S,,,,,,,,,,
,018391,,,,,,,,,,
,097231,,,,,,,,,,
,004591,,,,,,,,,,
,004901,,,,,,,,,,
,004901,,,,,,,,,,
,018761,,,,,,,,,,
,036121,,,,,,,,,,
,036441,,,,,,,,,,
,402931,,,,,,,,,,
,023081,,,,,,,,,,
,023081,,,,,,,,,,
,036671,,,,,,,,,,
,036671,,,,,,,,,,
,024672,,,,,,,,,,
,040111,,,,,,,,,,
,023101,,,,,,,,,,
,047531,,,,,,,,,,
,029531,,,,,,,,,,
,053681,,,,,,,,,,
,045721,,,,,,,,,,
,037541,,,,,,,,,,
,046641,,,,,,,,,,
,046641,,,,,,,,,,
,046641,,,,,,,,,,
,054481,,,,,,,,,,
,076241,,,,,,,,,,
,074513S,,,,,,,,,,
,074842S,,,,,,,,,,
,403453,,,,,,,,,,
,016962S,,,,,,,,,,
,074493S,,,,,,,,,,
,026217PT,,,,,,,,,,
,031871,,,,,,,,,,
,006861,,,,,,,,,,
,403611,,,,,,,,,,
,017491,,,,,,,,,,
,042981,,,,,,,,,,
,041861,,,,,,,,,,
,403491,,,,,,,,,,
,019911,,,,,,,,,,
,017521,,,,,,,,,,
,017531,,,,,,,,,,
,403561,,,,,,,,,,
,041881,,,,,,,,,,
,403641,,,,,,,,,,
