Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,001965,ABELIA CHIN BRONZ ANNIV R PPAF,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,027501,ABELIA CHIN BRONZ ANNIV R PPAF,EVS,39,4,0,0,4,$18.50 ,,
550000,077391S,ABELIA CHIN RUBY ANNIV TM PPAF,EVS,660,42,0,0,42,$8.50 ,,
,074402S,,,,,,,,,,
,074785,,,,,,,,,,
,027475,,,,,,,,,,
,044482,,,,,,,,,,
,027491,,,,,,,,,,
,088891,,,,,,,,,,
,077325,,,,,,,,,,
,028555PT,,,,,,,,,,
,086821,,,,,,,,,,
,035405,,,,,,,,,,
,408811,,,,,,,,,,
,038121,,,,,,,,,,
,059031,,,,,,,,,,
,061665,,,,,,,,,,
,061665,,,,,,,,,,
,040091,,,,,,,,,,
,039611,,,,,,,,,,
,041881,,,,,,,,,,
,092755,,,,,,,,,,
,074562S,,,,,,,,,,
,074542S,,,,,,,,,,
,074595,,,,,,,,,,
,042072,,,,,,,,,,
,024373S,,,,,,,,,,
,080962S,,,,,,,,,,
,026222,,,,,,,,,,
,408931,,,,,,,,,,
,045133,,,,,,,,,,
,045173,,,,,,,,,,
,014883,,,,,,,,,,
,021093,,,,,,,,,,
,044011,,,,,,,,,,
,046492S,,,,,,,,,,
,049102,,,,,,,,,,
,053655,,,,,,,,,,
,020772,,,,,,,,,,
,057752,,,,,,,,,,
,072511,,,,,,,,,,
,059111,,,,,,,,,,
,060905,,,,,,,,,,
,060805,,,,,,,,,,
,016002,,,,,,,,,,
,062232,,,,,,,,,,
,409011,,,,,,,,,,
,064415,,,,,,,,,,
,409892,,,,,,,,,,
,052552,,,,,,,,,,
,021532,,,,,,,,,,
,048695,,,,,,,,,,
,049572,,,,,,,,,,
,049632,,,,,,,,,,
,082045,,,,,,,,,,
,067155,,,,,,,,,,
,028025,,,,,,,,,,
,407507,,,,,,,,,,
