Branch,Item,Plant Name,Category,Shippable,Royalty Code,2014 List Price,Net Price,Freight,Landed Price,Open,Rep,Rep,Now, Price ,Code,Future
CA,074122,AGAVE BRACTEOSA CALAMAR,CAC,,, 17.75 , 14.20 , 3.41 , 17.61 ," 1,195 ",0,0,, $17.75 ,,
CA,066382,ALST ROCK AND ROLL R PP21001,PRN,,ATI, 14.00 , 11.20 , 2.27 , 13.47 , 238 ,0,0,, $14.00 ,,
OR,055482,ARALIA CORDATA GOTEMBA,PRN,,HIN, 14.50 , 11.60 , 2.19 , 13.79 , 2 ,0,0,, $14.50 ,,
OR,09407UT,BUXUS MIC MORRIS MIDGET,EVS,,, 4.50 , 3.60 , 0.66 , 4.26 , 90 ,0,0,, $4.50 ,,
GA,00423UT,CHRYS (LEUCANTH) X SUP SNWLADY,PRN,,, 2.95 , 2.36 , 0.19 , 2.55 , 204 ,0,0,, $2.95 ,,
GA,00689UT,DIAN EVRLST TM BGDY BLH P23150,PRN,,, 3.25 , 2.60 , 0.19 , 2.79 , 455 ,0,0,, $3.25 ,,
GA,00690UT,DIAN EVRLST TM LLAC+EYE P23318,PRN,,, 3.25 , 2.60 , 0.19 , 2.79 , 591 ,0,0,, $3.25 ,,
GA,00695UT,DIAN EVRLST TM ORCHID P23364,PRN,,, 3.25 , 2.60 , 0.19 , 2.79 , 684 ,0,0,, $3.25 ,,
GA,004901,DICENTRA SP VALENTINE R P22739,PRN,,PPP, 6.00 , 4.80 , 0.25 , 5.05 ," 1,369 ",0,0,, $6.00 ,,
OR,043342,FERN-WOODWARDIA ORIENT CRESTED,FRN,,HIN, 14.75 , 11.80 , 2.19 , 13.99 , 80 ,0,0,, $14.75 ,,
GA,089221,GAILLARDIA FANFARE BLZE P23494,PRN,,PHI, 5.50 , 4.40 , 0.25 , 4.65 , 259 ,0,0,, $5.50 ,,
GA,054611,HEUCHERA SUGAR PLUM PP21857,PRN,,BYN, 7.50 , 6.00 , 0.25 , 6.25 , 729 ,0,0,, $7.50 ,,
OR,075111,HOSTA FANTASY ISLAND,PRN,,, 6.75 , 5.40 , 0.87 , 6.27 , 448 ,0,0,, $6.75 ,,
