Branch,013835,BUXUS MIC WINTER GEM,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
500000,009791,LIRIOPE MUSCARI VARIEGATA,Evergreen Shrubs,,,,,,,,
500000,011622S,ROSA KNCK OUT R P11836 (RED),Grasses,,,,,,,,
500000,009671,LIRIOPE MUSCARI BIG BLUE,Roses,,,,,,,,
500000,030902S,ROSA KNCK OUT R DBL RD P16202,Grasses,,,,,,,,
500000,013831,BUXUS MIC WINTER GEM,Roses,,,,,,,,
500000,09238UT,MAN SUN PAR R GARDEN CRIMSON,Evergreen Shrubs,,,,,,,,
500000,017311S,HYD M ENDLESS SUMMER R PP15298,Vines,,,,,,,,
500000,013832,BUXUS MIC WINTER GEM,Deciduous Shrubs,,,,,,,,
500000,071011,RUDBECKIA FULGIDA GOLDSTURM,Evergreen Shrubs,,,,,,,,
500000,064271,GR-PENN SET RUBRUM,Perennials,,,,,,,,
500000,022201,GR-PENN SET FIREWORKS PP18504,Grasses,,,,,,,,
500000,06427UT,GR-PENN SET RUBRUM,Grasses,,,,,,,,
500000,001881,AGAPANTHUS X MIDKNIGHT BLUE R,Grasses,,,,,,,,
500000,013837,BUXUS MIC WINTER GEM,Deciduous Shrubs,,,,,,,,
500000,028343,ABELIA GRA KALEIDOSCOPE P16988,Evergreen Shrubs,,,,,,,,
500000,036241,FERN-DRYOPTERIS ERYTHROSORA,Evergreen Shrubs,,,,,,,,
500000,003151,ASPARAGUS MYERS,Ferns,,,,,,,,
500000,017312S,HYD M ENDLESS SUMMER R PP15298,Ferns,,,,,,,,
500000,074592S,HYD MAC LD R MOONLIGHT PP20020,Deciduous Shrubs,,,,,,,,
500000,017315,HYD M ENDLESS SUMMER R PP15298,Deciduous Shrubs,,,,,,,,
500000,040111,HEM STELLA DE ORO,Deciduous Shrubs,,,,,,,,
500000,066371,PLUMBAGO ROYAL CAPE R,Perennials,,,,,,,,
500000,04011UT,HEM STELLA DE ORO,Evergreen Shrubs,,,,,,,,
500000,06311UT,OPHIOPOGON EBONY KNIGHT TM,Perennials,,,,,,,,
500000,036121,FERN-ATHYRIUM NIP PICTUM,Grasses,,,,,,,,
500000,056631,LANTANA CHAPEL HILL YLW P19548,Ferns,,,,,,,,
500000,05894UT,LITHODORA GRACE WARD,Perennials,,,,,,,,
500000,073461,VERBENA X PURPLE SPREADER TM,Perennials,,,,,,,,
500000,064943,RHAPH ELEANOR TABER TM P9398,Perennials,,,,,,,,
500000,036312,ROSA FLWR CAR R SCARLET P17373,Evergreen Shrubs,,,,,,,,
500000,056641,LANTANA CAM MARY ANN,Roses,,,,,,,,
500000,00299UT,ECHINACEA POWWOW R WILDBERRY,Perennials,,,,,,,,
500000,030905,ROSA KNCK OUT R DBL RD P16202,Perennials,,,,,,,,
500000,031721,CORDYLINE BAUERI,Roses,,,,,,,,
500000,07101UT,RUDBECKIA FULGIDA GOLDSTURM,Evergreen Shrubs,,,,,,,,
500000,070051ST,TRACH JASMINOIDES,Perennials,,,,,,,,
500000,011222,RHAPH SNOW CAP R P15544,Vines,,,,,,,,
500000,011625,ROSA KNCK OUT R P11836 (RED),Evergreen Shrubs,,,,,,,,
500000,023101,HEUCHERA FROSTED VIOLET P15085,Roses,,,,,,,,
500000,042822S,ROSA KNCK OUT R DBL PNK P18507,Perennials,,,,,,,,
500000,099571,AGAPANTHUS BABY PETE TMPP21705,Roses,,,,,,,,
