Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,064241,ORIGANUM VULGARE HOT & SPICY,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,052605,PAEONIA ITOH MISAKA TM PP22192,EVS,39,4,0,0,4,$18.50 ,,
550000,052595,PAEONIA ITOH TAKARA TM PP22374,EVS,660,42,0,0,42,$8.50 ,,
,062722,PAEONIA TENUIFOLIA EARLY SCOUT,,,,,,,,,
,079431,PENST DELFTS BLE RDG HD P23065,,,,,,,,,
,079451,PENST HOT PNK RDNG HOOD P23089,,,,,,,,,
,068262,PHYSOCARPUS OPU DART'S GOLD,,,,,,,,,
,049601,PINUS STROBUS TINY KURLS,,,,,,,,,
,049605,PINUS STROBUS TINY KURLS,,,,,,,,,
,086651,POTENTILLA PINK BEAUTY P9874,,,,,,,,,
,066771,POTENTILLA RED ACE,,,,,,,,,
,035611,PULMONARIA TREVI FOUNTN P13047,,,,,,,,,
,019765,RHOD (H-1) RTR FIRESTORM,,,,,,,,,
,019742,RHOD (H-1) RTR SLAM DUNK,,,,,,,,,
,019745,RHOD (H-1) RTR SLAM DUNK,,,,,,,,,
,029141,SEDUM BLUE SPRUCE,,,,,,,,,
,065141,SEDUM MAKINOI LIMELIGHT,,,,,,,,,
,034281,SEDUM SPATH CAPE BLANCO,,,,,,,,,
,046311,SEDUM STRAWBERRIES & CREAM,,,,,,,,,
,039011,SEDUM TELEPHIUM RUP HAB GRAY,,,,,,,,,
,072345,TAXUS EMERALD SPREADR R P10335,,,,,,,,,
,055971,THUJA OC GOLDEN TUFFET,,,,,,,,,
,031185,THUJA OC MALONYANA,,,,,,,,,
,075052S,THUJA OC NORTH POLE R PPAF,,,,,,,,,
,077141,TROLLIUS CULT NEW MOON,,,,,,,,,
,081702,VACCINIUM X JELLY BEAN TM PPAF,,,,,,,,,
,073605,VIB X BURKWOODII,,,,,,,,,
,080941S,WEIGELA SONIC BLOOM TM PNK PAF,,,,,,,,,
,080942S,WEIGELA SONIC BLOOM TM PNK PAF,,,,,,,,,
,080931S,WEIGELA SONIC BLOOM TM RED PAF,,,,,,,,,
,080932S,WEIGELA SONIC BLOOM TM RED PAF,,,,,,,,,
,058251,ACHILLEA STRWBRY SDCTN P18401,,,,,,,,,
,001881,AGAPANTHUS X MIDKNIGHT BLUE R,,,,,,,,,
,001931,AJUGA REPTANS CATLIN'S GIANT,,,,,,,,,
,012701,BOUG BARBARA KARST,,,,,,,,,
,013201,BOUG ORANGE KING,,,,,,,,,
,013051,BOUG PURPLE QUEEN R,,,,,,,,,
,018401,CORE. V. CRUZIN BROAD STREET,,,,,,,,,
,018421,CORE. V. CRUZIN ELECTRIC AVE.,,,,,,,,,
,018411,CORE. V. CRUZIN MAIN STREET,,,,,,,,,
,028055,GR-ERIANTHUS RAVENNAE,,,,,,,,,
,015521,HEUCHERA APPLE CRISP PPAF,,,,,,,,,
,054911,HEUCHERA FIRE CHIEF PP21880,,,,,,,,,
,025205,HIB R ERIN RACHEL,,,,,,,,,
,080962S,HYD SER TUFF STUFF TM PPAF,,,,,,,,,
,053655,JUN V BLUE ARROW,,,,,,,,,
,056631SPT,LANTANA CHAPEL HILL YLW P19548,,,,,,,,,
,057201SPT,LANTANA TANGERINE TM,,,,,,,,,
,072511,LOBELIA X SPE RUSSIAN PRINCESS,,,,,,,,,
,086361S,LONICERA P SCENTSATION PP16240,,,,,,,,,
,012731ST,TRACH JASMINOIDES MADISON,,,,,,,,,
,029061,ACHILLEA MILL RED VELVET,,,,,,,,,
,066382,ALST ROCK AND ROLL R PP21001,,,,,,,,,
,062931,BER T ORANGE ROCKET PP18411,,,,,,,,,
,012951,BOUG CHERRY BLOSSOM,,,,,,,,,
,013211BH,BOUG RASPBERRY ICE,,,,,,,,,
,026001,CITRUS IMPROVED MEYER LEMON,,,,,,,,,
,026005,CITRUS IMPROVED MEYER LEMON,,,,,,,,,
,025781,CITRUS LISBON LEMON,,,,,,,,,
,027301S,CLEM VIT MADAME JULIA CORREVON,,,,,,,,,
,028055,GR-ERIANTHUS RAVENNAE,,,,,,,,,
,072951,HELLEBORUS X CINNAMN SNOW PPAF,,,,,,,,,
,039831,HEM GOLDEN ZEBRA R PP14221,,,,,,,,,
,040901,HIB R BRILLIANT,,,,,,,,,
,055241,HIB R C'EST BON,,,,,,,,,
,040981,HIB R CHERIE,,,,,,,,,
,041031,HIB R CROWN OF BOHEMIA,,,,,,,,,
,025205,HIB R ERIN RACHEL,,,,,,,,,
,041151,HIB R FIESTA,,,,,,,,,
,041201,HIB R FULLMOON R,,,,,,,,,
,055255,HIB R HEAT FLASH,,,,,,,,,
,041351,HIB R POWDER PUFF R,,,,,,,,,
,041501,HIB R RED DRAGON R,,,,,,,,,
,092752,HYD M ENCHANTRESS R PPAF,,,,,,,,,
,092755,HYD M ENCHANTRESS R PPAF,,,,,,,,,
,038775,HYD MAC MINI PENNY TM PP15744,,,,,,,,,
,023752,HYD MAC PENNY MAC,,,,,,,,,
,089951S,HYD P LITTLE QUICK FIRE R PPAF,,,,,,,,,
,080951S,HYD PAN BOBO R PP22782,,,,,,,,,
,089941S,HYD PAN FIRE LIGHT TM PPAF,,,,,,,,,
,046631,JASMINUM SAMBAC GRAND DUKE,,,,,,,,,
,054001,JUN SC SKYROCKET,,,,,,,,,
,054005,JUN SC SKYROCKET,,,,,,,,,
,056871,LANTANA CAM LEMON SWIRL R,,,,,,,,,
,056951,LANTANA CONFETTI TM,,,,,,,,,
,024461,LANTANA TEENIE GENIE R PP17612,,,,,,,,,
,057291,LAURUS NOBILIS,,,,,,,,,
,047085,PAEONIA ITOH KEIKO TM (PK D D),,,,,,,,,
,047075,PAEONIA ITOH YUMI TM PAF (YLW),,,,,,,,,
,067701,PYRACANTHA ANG YUKON BELLE R,,,,,,,,,
,07028EPT,ROSMARINUS OFF TUSCAN BLUE,,,,,,,,,
,079382,RUBUS RSPBRY SHRTCKE TM P22141,,,,,,,,,
,029141,SEDUM BLUE SPRUCE,,,,,,,,,
,071612,SPIRAEA X VAN RENAISSANCE,,,,,,,,,
,070051ST,TRACH JASMINOIDES,,,,,,,,,
,012731ST,TRACH JASMINOIDES MADISON,,,,,,,,,
,081712,VACCINIUM PEACH SORBET TM PPAF,,,,,,,,,
,075101,VIB OPULUS STERILE,,,,,,,,,
,000805,ACER PAL BURGUNDY LACE,,,,,,,,,
,002561,AKEBIA QUINATA SHIRO BANA,,,,,,,,,
,012102,BER T HELMOND PILLAR,,,,,,,,,
,401452,CAMPSIS RAD ATOMIC RED TM,,,,,,,,,
,023902,CHAM OBT FILICOIDES,,,,,,,,,
,023932,CHAM OBT TORULOSA,,,,,,,,,
,048741,CLEM VANCOUVER TM STARRY NGHTS,,,,,,,,,
,027221,CLEM X COMTESSE DE BOUCHAUD,,,,,,,,,
,044261,CLEM X CRYSTAL FOUNTAIN TM,,,,,,,,,
,027141,CLEM X ELSA SPATH,,,,,,,,,
,027011,CLEM X ERNEST MARKHAM,,,,,,,,,
,027411,CLEM X HENRYI,,,,,,,,,
,027261,CLEM X JACKMANII,,,,,,,,,
,034431,CLEM X KILIAN DONAHUE,,,,,,,,,
,027461,CLEM X NIOBE,,,,,,,,,
,018401,CORE. V. CRUZIN BROAD STREET,,,,,,,,,
,018421,CORE. V. CRUZIN ELECTRIC AVE.,,,,,,,,,
,018411,CORE. V. CRUZIN MAIN STREET,,,,,,,,,
,074482S,EXOCHORDA SNW DAY R SUR P21665,,,,,,,,,
,072511,LOBELIA X SPE RUSSIAN PRINCESS,,,,,,,,,
,059112,LONICERA X MANDARIN PP11083,,,,,,,,,
,402725,MALUS URBN BLUSH DELITE P21511,,,,,,,,,
,402755,MALUS X URBAN TASTY RED,,,,,,,,,
,079431,PENST DELFTS BLE RDG HD P23065,,,,,,,,,
,079451,PENST HOT PNK RDNG HOOD P23089,,,,,,,,,
,049601,PINUS STROBUS TINY KURLS,,,,,,,,,
,011232,RHOD (H-1) OLGA MEZITT,,,,,,,,,
,406072,RHOD (H-2) YAKU KEN JANECK,,,,,,,,,
,065141,SEDUM MAKINOI LIMELIGHT,,,,,,,,,
,034281,SEDUM SPATH CAPE BLANCO,,,,,,,,,
,406843,SYRINGA PRESIDENT GREVY,,,,,,,,,
,406943,SYRINGA V YANKEE DOODLE,,,,,,,,,
,406793,SYRINGA X JOSEE,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
