Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,058241,ACHILLEA APRICOT DLGHT PP18738,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,058241,ACHILLEA APRICOT DLGHT PP18738,EVS,39,4,0,0,4,$18.50 ,,
550000,029061,ACHILLEA MILL RED VELVET,EVS,660,42,0,0,42,$8.50 ,,
,029061,ACHILLEA MILL RED VELVET,,,,,,,,,
,058251,ACHILLEA STRWBRY SDCTN P18401,,,,,,,,,
,001881,AGAPANTHUS X MIDKNIGHT BLUE R,,,,,,,,,
,021251,AGASTACHE X BLUE FORTUNE,,,,,,,,,
,001931,AJUGA REPTANS CATLIN'S GIANT,,,,,,,,,
,066382,ALST ROCK & ROLL R PP21001,,,,,,,,,
,003401,ASTER ALMA POTSCHKE,,,,,,,,,
,012701,BOUG BARBARA KARST,,,,,,,,,
,013201,BOUG ORANGE KING,,,,,,,,,
,013051,BOUG PURPLE QUEEN R,,,,,,,,,
,013211BH,BOUG RASPBERRY ICE,,,,,,,,,
,013901,BUXUS S GREEN TOWER R PP15243,,,,,,,,,
,013902,BUXUS S GREEN TOWER R PP15243,,,,,,,,,
,023902,CHAM OBT FILICOIDES,,,,,,,,,
,023932,CHAM OBT TORULOSA,,,,,,,,,
,038571,CLEM ALP STOLWIJK GOLD PP18648,,,,,,,,,
,027251,CLEM INTEGRIFOLIA CAERULEA,,,,,,,,,
,055211,CLEM SIEBOLDII,,,,,,,,,
,048741,CLEM VANCOUVER TM STARRY NGHTS,,,,,,,,,
,021782,CLEM X ARABELLA,,,,,,,,,
,027441,CLEM X NELLY MOSER,,,,,,,,,
,027071,CLEM X PINK CHAMPAGNE,,,,,,,,,
,027481,CLEM X RAMONA,,,,,,,,,
,028142,COTINUS COG ROYAL PURPLE,,,,,,,,,
,048541,DELOSPERMA DY RED MOUNTAIN R,,,,,,,,,
,059461,DELOSPERMA MESA VERDE PP13876,,,,,,,,,
,031331,DIANTHUS FROSTY FIRE,,,,,,,,,
,402301,DICENTRA IVORY HEARTS P15599,,,,,,,,,
,004901,DICENTRA SP VALENTINE R P22739,,,,,,,,,
,047511,ECHINACEA PNK DBL DLITE P18803,,,,,,,,,
,032021,EPIMEDIUM GRAND ROSE QUEEN,,,,,,,,,
,077591,ERYSIMUM GLOW TM ORANGE,,,,,,,,,
,03626UT,FERN-DRYOPTERIS FELIX-MAS ROB,,,,,,,,,
,036261,FERN-DRYOPTERIS FELIX-MAS ROB,,,,,,,,,
,084911,FERN-POLYSTICHUM MUNITUM,,,,,,,,,
,082571,GAZANIA KREBSIANA TANAGER R,,,,,,,,,
,038331,GERANIUM X CAN BIOKOVO,,,,,,,,,
,035601,GEUM COCC WERNER ARENDS,,,,,,,,,
,028051,GR-ERIANTHUS RAVENNAE,,,,,,,,,
,028055,GR-ERIANTHUS RAVENNAE,,,,,,,,,
,089291,GR-HAKONECHLOA FUBUKI PP21757,,,,,,,,,
,035911,GR-HAKONECHLOA MACRA ALL GOLD,,,,,,,,,
,089051,HELLE WINDCLIFF DBL PINK SDLNG,,,,,,,,,
,013471,HELLE WJEWELS R BLUE DIAMOND,,,,,,,,,
,096141,HELLE WJEWELS R HARLEQUIN GEM,,,,,,,,,
,068061S,HELLE WJEWELS R PAINTED DBLS,,,,,,,,,
,403061S,HELLEBORUS HYB MERLIN,,,,,,,,,
,017991,HELLEBORUS RED LADY,,,,,,,,,
,039831,HEM GOLDEN ZEBRA R PP14221,,,,,,,,,
,086641,HEUCHERA FIRE ALARM PPAF,,,,,,,,,
,036691,HEUCHERA ROSE MAJESTY PP17414,,,,,,,,,
,054481,HEUCHERELLA GOLD ZEBRA PPAF,,,,,,,,,
,040901,HIB R BRILLIANT,,,,,,,,,
,055241,HIB R C'EST BON,,,,,,,,,
,040981,HIB R CHERIE,,,,,,,,,
,041031,HIB R CROWN OF BOHEMIA,,,,,,,,,
,025205,HIB R ERIN RACHEL,,,,,,,,,
,041151,HIB R FIESTA,,,,,,,,,
,041201,HIB R FULLMOON R,,,,,,,,,
,055251,HIB R HEAT FLASH,,,,,,,,,
,041301,HIB R HULA GIRL,,,,,,,,,
,041351,HIB R POWDER PUFF R,,,,,,,,,
,041501,HIB R RED DRAGON R,,,,,,,,,
,006872,HOSTA BLUE ANGEL,,,,,,,,,
,075161,HOSTA THE RAZOR'S EDGE,,,,,,,,,
,092752,HYD BLUE ENCHANTRESS R PP25209,,,,,,,,,
,092755,HYD BLUE ENCHANTRESS R PP25209,,,,,,,,,
,038775,HYD MAC MINI PENNY TM PP15744,,,,,,,,,
,023752,HYD MAC PENNY MAC,,,,,,,,,
,089951S,HYD P LITTLE QUICK FIRE R PPAF,,,,,,,,,
,080951S,HYD PAN BOBO R PP22782,,,,,,,,,
,089941S,HYD PAN FIRE LIGHT TM PPAF,,,,,,,,,
,080962S,HYD SER TUFF STUFF TM PPAF,,,,,,,,,
,046631,JASMINUM SAMBAC GRAND DUKE,,,,,,,,,
,054001,JUN SC SKYROCKET,,,,,,,,,
,054005,JUN SC SKYROCKET,,,,,,,,,
,056871,LANTANA CAM LEMON SWIRL R,,,,,,,,,
,056631SPT,LANTANA CHAPEL HILL YLW P19548,,,,,,,,,
,056951,LANTANA CONFETTI TM,,,,,,,,,
,057201SPT,LANTANA TANGERINE TM,,,,,,,,,
,024461,LANTANA TEENIE GENIE R PP17612,,,,,,,,,
,057291,LAURUS NOBILIS,,,,,,,,,
,057881,LIATRIS SPI KOBOLD,,,,,,,,,
,072511,LOBELIA X SPE RUSSIAN PRINCESS,,,,,,,,,
,086361S,LONICERA P SCENTSATION PP16240,,,,,,,,,
,059111,LONICERA X MANDARIN PP11083,,,,,,,,,
,402725,MALUS URBN BLUSH DELITE P21511,,,,,,,,,
,402755,MALUS X URBAN TASTY RED,,,,,,,,,
,09238UT,MAN SUN PAR R GARDEN CRIMSON,,,,,,,,,
,047251,MUKDENIA ROS CRIMSON FANS,,,,,,,,,
,064241,ORIGANUM VULGARE HOT & SPICY,,,,,,,,,
,047085,PAEONIA ITOH KEIKO TM (PK D D),,,,,,,,,
,047085,PAEONIA ITOH KEIKO TM (PK D D),,,,,,,,,
,052595,PAEONIA ITOH TAKARA TM PP22374,,,,,,,,,
,047075,PAEONIA ITOH YUMI TM (YLW),,,,,,,,,
,047075,PAEONIA ITOH YUMI TM (YLW),,,,,,,,,
,062722,PAEONIA TENUIFOLIA EARLY SCOUT,,,,,,,,,
,404952,PAEONIA X PINK HAWAIAN CORAL,,,,,,,,,
,079431,PENST DELFTS BLE RDG HD P23065,,,,,,,,,
,079451,PENST HOT PNK RDNG HOOD P23089,,,,,,,,,
,035611,PULMONARIA TREVI FOUNTN P13047,,,,,,,,,
,067701,PYRACANTHA ANG YUKON BELLE R,,,,,,,,,
,011233,RHOD (H-1) OLGA MEZITT,,,,,,,,,
,011625,ROSA KNCK OUT R P11836 (RED),,,,,,,,,
,406253,ROSA PEACHY KEEN PPAF,,,,,,,,,
,07028EPT,ROSMARINUS OFF TUSCAN BLUE,,,,,,,,,
,041361,ROSMARINUS ROMAN BTY PP18192,,,,,,,,,
,079382,RUBUS RSPBRY SHRTCKE TM P22141,,,,,,,,,
,034281,SEDUM SPATH CAPE BLANCO,,,,,,,,,
,046311,SEDUM STRAWBERRIES & CREAM,,,,,,,,,
,039011,SEDUM TELEPHIUM RUP HAB GRAY,,,,,,,,,
,406943,SYRINGA V YANKEE DOODLE,,,,,,,,,
,055971,THUJA OC GOLDEN TUFFET,,,,,,,,,
,031185,THUJA OC MALONYANA,,,,,,,,,
,046822,THUJA OR MORGAN,,,,,,,,,
,070051ST,TRACH JASMINOIDES,,,,,,,,,
,012731ST,TRACH JASMINOIDES MADISON,,,,,,,,,
,012731ST,TRACH JASMINOIDES MADISON,,,,,,,,,
,077141,TROLLIUS CULT NEW MOON,,,,,,,,,
,081712,VACCINIUM PEACH SORBET TM PPAF,,,,,,,,,
,075101,VIB OPULUS STERILE,,,,,,,,,
,073605,VIB X BURKWOODII,,,,,,,,,
,407361S,WEIGELA SONIC BLOOM TM PRL PAF,,,,,,,,,
,407362S,WEIGELA SONIC BLOOM TM PRL PAF,,,,,,,,,
,080933S,WEIGELA SONIC BLOOM TM RED PAF,,,,,,,,,
,077221,YUCCA FIL IVORY TOWER,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
