Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,018335,ABELIA CHIN BRONZ ANNIV R PPAF,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,058241,ABELIA CHIN BRONZ ANNIV R PPAF,EVS,39,4,0,0,4,$18.50 ,,
550000,058241,ABELIA CHIN RUBY ANNIV TM PPAF,EVS,660,42,0,0,42,$8.50 ,,
,029061,,,,,,,,,,
,001881,,,,,,,,,,
,021251,,,,,,,,,,
,001931,,,,,,,,,,
,002561,,,,,,,,,,
,077801,,,,,,,,,,
,066382,,,,,,,,,,
,016631,,,,,,,,,,
,003041,,,,,,,,,,
,019461,,,,,,,,,,
,012011,,,,,,,,,,
,035231,,,,,,,,,,
,062932,,,,,,,,,,
,012701,,,,,,,,,,
,013201,,,,,,,,,,
,013051,,,,,,,,,,
,013211BH,,,,,,,,,,
,090781,,,,,,,,,,
,013902,,,,,,,,,,
,013902,,,,,,,,,,
,013905,,,,,,,,,,
,401767,,,,,,,,,,
,074442S,,,,,,,,,,
,074452S,,,,,,,,,,
,023902,,,,,,,,,,
,055211,,,,,,,,,,
,021782,,,,,,,,,,
,027441,,,,,,,,,,
,027071,,,,,,,,,,
,027481,,,,,,,,,,
,044702,,,,,,,,,,
,028501,,,,,,,,,,
,059461,,,,,,,,,,
,029891S,,,,,,,,,,
,091882,,,,,,,,,,
,047511,,,,,,,,,,
,033901,,,,,,,,,,
,034301,,,,,,,,,,
,038331,,,,,,,,,,
,035601,,,,,,,,,,
,028051,,,,,,,,,,
,028055,,,,,,,,,,
,089291,,,,,,,,,,
,035911,,,,,,,,,,
,013471,,,,,,,,,,
,039991,,,,,,,,,,
,075431,,,,,,,,,,
,055241,,,,,,,,,,
,040981,,,,,,,,,,
,041031,,,,,,,,,,
,025205,,,,,,,,,,
,041151,,,,,,,,,,
,041201,,,,,,,,,,
,055251,,,,,,,,,,
,041301,,,,,,,,,,
,041351,,,,,,,,,,
,041501,,,,,,,,,,
,075161,,,,,,,,,,
,074522S,,,,,,,,,,
,092752,,,,,,,,,,
,092755,,,,,,,,,,
,038775,,,,,,,,,,
,093175,,,,,,,,,,
,080962S,,,,,,,,,,
,021091,,,,,,,,,,
,046471,,,,,,,,,,
,046631,,,,,,,,,,
,048002,,,,,,,,,,
,054001,,,,,,,,,,
,054005,,,,,,,,,,
,053302,,,,,,,,,,
,053305,,,,,,,,,,
,036845,,,,,,,,,,
,056951,,,,,,,,,,
,057201SPT,,,,,,,,,,
,024461,,,,,,,,,,
,021471,,,,,,,,,,
,057881,,,,,,,,,,
,059111,,,,,,,,,,
,059585TR,,,,,,,,,,
,09238UT,,,,,,,,,,
,036165,,,,,,,,,,
,061971,,,,,,,,,,
,047085,,,,,,,,,,
,052595,,,,,,,,,,
,086651,,,,,,,,,,
,067701,,,,,,,,,,
,019742,,,,,,,,,,
,019745,,,,,,,,,,
,07028EPT,,,,,,,,,,
,079382,,,,,,,,,,
,029141,,,,,,,,,,
,034281,,,,,,,,,,
,075052S,,,,,,,,,,
,070051ST,,,,,,,,,,
,012731ST,,,,,,,,,,
,012731ST,,,,,,,,,,
,081702,,,,,,,,,,
,075101,,,,,,,,,,
,073605,,,,,,,,,,
,080942S,,,,,,,,,,
,077221,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
