Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
,400395ST,ACER PAL RED SELECT,,,,,,,,,
,412561,CHRY (LEU) REAL CHARMER PPAF,,,,,,,,,
,408801,GAILLARDIA SUNSET SNAPPY PPAF,,,,,,,,,
,080873S,HIB SYR PINK CHIFFON TM PPAF,,,,,,,,,
,035023,HYD END SUM R BLSH BRID P17169,,,,,,,,,
,017313,HYD M ENDLESS SUMMER R PP15298,,,,,,,,,
,403997PT,HYD PAN PHANTOM,,,,,,,,,
,074617PT,HYD PAN PINKY WINKY TM PP16166,,,,,,,,,
,408317ES,MALUS 6-IN-1 APPLE C,,,,,,,,,
,407507,"PRUNUS X SNOW FOUNTAIN TM 36""",,,,,,,,,
,009803,RHOD (H-1) P.J.M.,,,,,,,,,
,037863S,ROSA KNCK OUT R SUNNY P18562,,,,,,,,,
,412691,SALVIA NEM BLUE MARVEL PPAF,,,,,,,,,
,072023,SYRINGA PATULA MISS KIM,,,,,,,,,
,406923,SYRINGA V TINY DANCER TM,,,,,,,,,
,406893,SYRINGA VULGARIS,,,,,,,,,
,080943S,WEIGELA SONIC BLOOM TM PNK PAF,,,,,,,,,
,080933S,WEIGELA SONIC BLOOM TM RED PAF,,,,,,,,,
