Branch,Item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
,078761S,AZ BLM-A-THON TM DB PK PP21477,,,,,,,,,
,078762S,AZ BLM-A-THON TM DB PK PP21477,,,,,,,,,
,078752S,AZ BLM-A-THON TM LVNDR PP21476,,,,,,,,,
,078772S,AZ BLM-A-THON TM RED PP21562,,,,,,,,,
,7072,AZALEA EX CANNON'S DOUBLE,,,,,,,,,
,7072,AZALEA EX CANNON'S DOUBLE,,,,,,,,,
,7075,AZALEA EX CANNON'S DOUBLE,,,,,,,,,
,7075,AZALEA EX CANNON'S DOUBLE,,,,,,,,,
,7075,AZALEA EX CANNON'S DOUBLE,,,,,,,,,
,7242,AZALEA EX DAWN'S CHORUS,,,,,,,,,
,7242,AZALEA EX DAWN'S CHORUS,,,,,,,,,
,7242,AZALEA EX DAWN'S CHORUS,,,,,,,,,
,7772,AZALEA EX GOLDEN FLARE,,,,,,,,,
,7772,AZALEA EX GOLDEN FLARE,,,,,,,,,
,7775,AZALEA EX GOLDEN FLARE,,,,,,,,,
,7775,AZALEA EX GOLDEN FLARE,,,,,,,,,
,8302,AZALEA EX KLONDYKE,,,,,,,,,
,8302,AZALEA EX KLONDYKE,,,,,,,,,
,8305,AZALEA EX KLONDYKE,,,,,,,,,
,8305,AZALEA EX KLONDYKE,,,,,,,,,
,8542,AZALEA EX RED SUNSET,,,,,,,,,
,8545,AZALEA EX RED SUNSET,,,,,,,,,
,8545,AZALEA EX RED SUNSET,,,,,,,,,
,8552,AZALEA EX SUNSET PINK,,,,,,,,,
,8552,AZALEA EX SUNSET PINK,,,,,,,,,
,8555,AZALEA EX SUNSET PINK,,,,,,,,,
,8555,AZALEA EX SUNSET PINK,,,,,,,,,
,47652,AZALEA FRAGRANT STAR,,,,,,,,,
,47652,AZALEA FRAGRANT STAR,,,,,,,,,
,47652,AZALEA FRAGRANT STAR,,,,,,,,,
,47655,AZALEA FRAGRANT STAR,,,,,,,,,
,1811,AZALEA GA KAREN,,,,,,,,,
,1811,AZALEA GA KAREN,,,,,,,,,
,1812,AZALEA GA KAREN,,,,,,,,,
,1812,AZALEA GA KAREN,,,,,,,,,
,1812,AZALEA GA KAREN,,,,,,,,,
,1812,AZALEA GA KAREN,,,,,,,,,
,8451,AZALEA GA ROSEBUD,,,,,,,,,
,8451,AZALEA GA ROSEBUD,,,,,,,,,
,8451,AZALEA GA ROSEBUD,,,,,,,,,
,8451,AZALEA GA ROSEBUD,,,,,,,,,
,8452,AZALEA GA ROSEBUD,,,,,,,,,
,8452,AZALEA GA ROSEBUD,,,,,,,,,
,8452,AZALEA GA ROSEBUD,,,,,,,,,
,2031,AZALEA GD RENEE MICHELLE,,,,,,,,,
,2031,AZALEA GD RENEE MICHELLE,,,,,,,,,
,2031,AZALEA GD RENEE MICHELLE,,,,,,,,,
,2032,AZALEA GD RENEE MICHELLE,,,,,,,,,
,2032,AZALEA GD RENEE MICHELLE,,,,,,,,,
,2032,AZALEA GD RENEE MICHELLE,,,,,,,,,
,7401,AZALEA GR FUCHSIA,,,,,,,,,
,7401,AZALEA GR FUCHSIA,,,,,,,,,
