Branch,item,Description
OREGON,003561,AUCUBA MR GOLDSTRIKE
OREGON,003562,AUCUBA MR GOLDSTRIKE
OREGON,003565,AUCUBA MR GOLDSTRIKE
OREGON,003605,AUCUBA PICTURATA
OREGON,003655,AUCUBA SERRATIFOLIA
OREGON,078761S,AZ BLM-A-THON TM DB PK PP21477
OREGON,078762S,AZ BLM-A-THON TM DB PK PP21477
OREGON,078752S,AZ BLM-A-THON TM LVNDR PP21476
CALIFORNIA,078771S,AZ BLM-A-THON TM RED PP21562
CALIFORNIA,004401,AZALEA B ALASKA
CALIFORNIA,004402,AZALEA B ALASKA
CALIFORNIA,004405,AZALEA B ALASKA
CALIFORNIA,004751,AZALEA B HAPPY DAYS
CALIFORNIA,004755,AZALEA B HAPPY DAYS
OREGON,007072,AZALEA EX CANNON'S DOUBLE
OREGON,007075,AZALEA EX CANNON'S DOUBLE
OREGON,007242,AZALEA EX DAWN'S CHORUS
OREGON,007772,AZALEA EX GOLDEN FLARE
OREGON,007775,AZALEA EX GOLDEN FLARE
OREGON,008302,AZALEA EX KLONDYKE
OREGON,008305,AZALEA EX KLONDYKE
OREGON,008545,AZALEA EX RED SUNSET
OREGON,008552,AZALEA EX SUNSET PINK
OREGON,008555,AZALEA EX SUNSET PINK
OREGON,047652,AZALEA FRAGRANT STAR
OREGON,047655,AZALEA FRAGRANT STAR
OREGON,001811,AZALEA GA KAREN
OREGON,001812,AZALEA GA KAREN
OREGON,008451,AZALEA GA ROSEBUD
OREGON,008452,AZALEA GA ROSEBUD
OREGON,002031,AZALEA GD RENEE MICHELLE
OREGON,002032,AZALEA GD RENEE MICHELLE
OREGON,007401,AZALEA GR FUCHSIA
OREGON,007402,AZALEA GR FUCHSIA
CALIFORNIA,007451,AZALEA GR GIRARD HOT SHOT
CALIFORNIA,007601,AZALEA GR ROSE
CALIFORNIA,007602,AZALEA GR ROSE
CALIFORNIA,002071,AZALEA GR SILVER SWORD
CALIFORNIA,002072,AZALEA GR SILVER SWORD
OREGON,008151,AZALEA KR HINO CRIMSON
OREGON,008152,AZALEA KR HINO CRIMSON
OREGON,007782,AZALEA NL GOLDEN LIGHTS
OREGON,008362,AZALEA NL MANDARIN LIGHTS
CALIFORNIA,005601,AZALEA S BRILLIANT
CALIFORNIA,005605,AZALEA S BRILLIANT
CALIFORNIA,005755,AZALEA S GEORGE L TABER
CALIFORNIA,005951,AZALEA S IMP PRINCESS TM
CALIFORNIA,004831,AZALEA S MISTRAL
CALIFORNIA,006151,AZALEA S NUCCIO'S CARNIVAL
CALIFORNIA,006301,AZALEA S PHOENICIA
CALIFORNIA,006305,AZALEA S PHOENICIA
CALIFORNIA,006401,AZALEA S RED RUFFLES
CALIFORNIA,006402,AZALEA S RED RUFFLES
CALIFORNIA,006405,AZALEA S RED RUFFLES
CALIFORNIA,006501,AZALEA S SOUTHERN CHARM
CALIFORNIA,006505,AZALEA S SOUTHERN CHARM
CALIFORNIA,008421,AZALEA SK NUCCIO'S WILD CHERRY
OREGON,048621,CHOISYA TERN SUNDANCE
OREGON,048622,CHOISYA TERN SUNDANCE
OREGON,048625,CHOISYA TERN SUNDANCE
OREGON,024352,CHOISYA TERNATA
OREGON,024355,CHOISYA TERNATA
OREGON,031532,DAPHNE BURK CAROL MACKIE
OREGON,047892,DAPHNE MOONLIGHT PARFT R PPAF
OREGON,047893,DAPHNE MOONLIGHT PARFT R PPAF
OREGON,031523,DAPHNE OD AUREO-MARGINATA
OREGON,031521S,DAPHNE OD AUREO-MARGINATA
OREGON,035823,DAPHNE OD MAEJIMA
OREGON,035821S,DAPHNE OD MAEJIMA
CALIFORNIA,035641,FATSIA JAPONICA
OREGON,035645,FATSIA JAPONICA
OREGON,037781,GAULTHERIA PRO VERY BERRY
OREGON,037791,GAULTHERIA PROCUMBENS
OREGON,017611,GAULTHERIA RED BARON
OREGON,057702,LEUCOTHOE AXILLARIS
OREGON,057751,LEUCOTHOE FONT RAINBOW
OREGON,057752,LEUCOTHOE FONT RAINBOW
OREGON,044381,LEUCOTHOE FONT SCARLETTA R
OREGON,044382,LEUCOTHOE FONT SCARLETTA R
OREGON,060701,MAHONIA AQUIFOLIUM
OREGON,060705,MAHONIA AQUIFOLIUM
OREGON,060931,MAHONIA NERVOSA
OREGON,060932,MAHONIA NERVOSA
OREGON,060802,MAHONIA ORANGEE FLAME
OREGON,060805,MAHONIA ORANGEE FLAME
OREGON,060951,MAHONIA REPENS
OREGON,060952,MAHONIA REPENS
OREGON,036652,MAHONIA X CHARITY
OREGON,036655,MAHONIA X CHARITY
OREGON,063231,OSMANTHUS HET GOSHIKI
OREGON,063232,OSMANTHUS HET GOSHIKI
OREGON,063235,OSMANTHUS HET GOSHIKI
OREGON,063235CN,OSMANTHUS HET GOSHIKI
OREGON,06323E,OSMANTHUS HET GOSHIKI
OREGON,049511,PIERIS J BROOKSIDE MINIATURE
OREGON,049512,PIERIS J BROOKSIDE MINIATURE
OREGON,049515,PIERIS J BROOKSIDE MINIATURE
OREGON,405292,PIERIS J CAVATINE
OREGON,049432,PIERIS J GAY GOBLIN TM
OREGON,049471,PIERIS J IMPISH ELF TM PPAF
OREGON,049472,PIERIS J IMPISH ELF TM PPAF
OREGON,049475,PIERIS J IMPISH ELF TM PPAF
OREGON,065161,PIERIS J LITTLE HEATH
OREGON,065162,PIERIS J LITTLE HEATH
OREGON,065251,PIERIS J PURITY
OREGON,065252,PIERIS J PURITY
OREGON,051211,PIERIS J RIVER NYMPH TM
OREGON,051212,PIERIS J RIVER NYMPH TM
OREGON,051215,PIERIS J RIVER NYMPH TM
OREGON,049491,PIERIS J TIKI
OREGON,049492,PIERIS J TIKI
OREGON,049495,PIERIS J TIKI
OREGON,065301,PIERIS J VALLEY ROSE
OREGON,065302,PIERIS J VALLEY ROSE
OREGON,065305,PIERIS J VALLEY ROSE
OREGON,065312,PIERIS J VALLEY VALENTINE
OREGON,065315,PIERIS J VALLEY VALENTINE
OREGON,065321,PIERIS J VARIEGATA
OREGON,065322,PIERIS J VARIEGATA
OREGON,065221,PIERIS TAIWAN PRELUDE
OREGON,065222,PIERIS TAIWAN PRELUDE
OREGON,065081,PIERIS X FOREST FLAME
OREGON,065082,PIERIS X FOREST FLAME
OREGON,065085,PIERIS X FOREST FLAME
OREGON,068322,RHOD (H-1) EDITH BOSLEY
OREGON,068325,RHOD (H-1) EDITH BOSLEY
OREGON,030461,RHOD (H-1) ELVIIRA
OREGON,030462,RHOD (H-1) ELVIIRA
OREGON,009402,RHOD (H-1) ENGLISH ROSEUM
OREGON,009405,RHOD (H-1) ENGLISH ROSEUM
OREGON,018012,RHOD (H-1) HAAGA
OREGON,018015,RHOD (H-1) HAAGA
OREGON,016222,RHOD (H-1) HELLIKKI
OREGON,016225,RHOD (H-1) HELLIKKI
OREGON,016232,RHOD (H-1) HELSINKI UNIVERSITY
OREGON,016235,RHOD (H-1) HELSINKI UNIVERSITY
OREGON,009442,RHOD (H-1) HENRY'S RED
OREGON,009445,RHOD (H-1) HENRY'S RED
OREGON,009485,RHOD (H-1) IGNATIUS SARGENT
OREGON,009751,RHOD (H-1) NOVA ZEMBLA
OREGON,00975M,RHOD (H-1) NOVA ZEMBLA
OREGON,009752,RHOD (H-1) NOVA ZEMBLA
OREGON,009755,RHOD (H-1) NOVA ZEMBLA
OREGON,009801,RHOD (H-1) P.J.M.
OREGON,00980M,RHOD (H-1) P.J.M.
OREGON,009971,RHOD (H-1) PURPLE GEM
OREGON,009972,RHOD (H-1) PURPLE GEM
OREGON,010051,RHOD (H-1) RAMAPO
OREGON,010052,RHOD (H-1) RAMAPO
OREGON,010055,RHOD (H-1) RAMAPO
OREGON,01015M,RHOD (H-1) ROSEUM ELEGANS
OREGON,010155,RHOD (H-1) ROSEUM ELEGANS
OREGON,019752,RHOD (H-1) RTR BUZZER BEATER
OREGON,019762,RHOD (H-1) RTR FIRESTORM
OREGON,019765,RHOD (H-1) RTR FIRESTORM
OREGON,019772,RHOD (H-1) RTR HOOPLA
OREGON,019775,RHOD (H-1) RTR HOOPLA
OREGON,019795,RHOD (H-1) RTR HUSKYMANIA
