Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,040571,HEM RED RUM,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,059931,HEM ROSY RETURNS,EVS,39,4,0,0,4,$18.50 ,,
550000,076281,HEM RUBY SPIDER,EVS,660,42,0,0,42,$8.50 ,,
,083941,HEM SILOAM GUMDROP,,,,,,,,,
,040251,HEM STARBURST R DBL GOLD,,,,,,,,,
,040221,HEM STARBURST R RED,,,,,,,,,
,040171,HEM STARBURST R SALMON,,,,,,,,,
,040241,HEM STARBURST R SGL GOLD,,,,,,,,,
,040141,HEM STARBURST R SUSIE,,,,,,,,,
,040111,HEM STELLA DE ORO,,,,,,,,,
,006631,HEM STRAWBERRY CANDY,,,,,,,,,
,040291,HEM SUMMER WINE,,,,,,,,,
,083931,HEM SWIRLING WATER,,,,,,,,,
,054491,HEUCHERA AUTUMN LEAVES PPAF,,,,,,,,,
,403231,HEUCHERA BERRY SMOOTHIE P21871,,,,,,,,,
,039611,HEUCHERA BLACK BEAUTY PP13288,,,,,,,,,
,086871,HEUCHERA CARNIVAL COCOMINT PAF,,,,,,,,,
,097091,HEUCHERA CARNIVAL LIMEADE PPAF,,,,,,,,,
,097161,HEUCHERA CARNIVAL PCH PRFT PAF,,,,,,,,,
,097171,HEUCHERA CARNIVAL RSE GRNT PAF,,,,,,,,,
,087131,HEUCHERA CARNIVAL WATRMELN PAF,,,,,,,,,
,403241,HEUCHERA CHERRY COLA P22967,,,,,,,,,
,040781,HEUCHERA CRIMSON CURLS PP13729,,,,,,,,,
,086641,HEUCHERA FIRE ALARM PPAF,,,,,,,,,
,054911,HEUCHERA FIRE CHIEF PP21880,,,,,,,,,
,023101,HEUCHERA FROSTED VIOLET P15085,,,,,,,,,
,047531,HEUCHERA GEORGIA PEACH PP19375,,,,,,,,,
,412671,HEUCHERA GRAPE SODA PPAF,,,,,,,,,
,018661,HEUCHERA GREEN SPICE,,,,,,,,,
,029531,HEUCHERA LIME RICKEY PP16210,,,,,,,,,
,028871,HEUCHERA MARMALADE PP15945,,,,,,,,,
,054531,HEUCHERA MIDNIGHT BAYOU P21858,,,,,,,,,
,045721,HEUCHERA MIDNIGHT ROSE PP18551,,,,,,,,,
,037541,HEUCHERA OBSIDIAN PP14836,,,,,,,,,
,040451,HEUCHERA PALACE PURPLE,,,,,,,,,
,047541,HEUCHERA PEACH FLAMBEE PP17195,,,,,,,,,
,040721,HEUCHERA PLUM PUDDING,,,,,,,,,
,049711,HEUCHERA SOUTHERN COMFORT PPAF,,,,,,,,,
,046641,HEUCHERA VIL CARAMEL PP16560,,,,,,,,,
,054481,HEUCHERELLA GOLD ZEBRA PPAF,,,,,,,,,
,076241,HEUCHERELLA REDSTONE FALLS PAF,,,,,,,,,
,407761,HEUCHERELLA SOLAR ECLIPSE,,,,,,,,,
,033531,HEUCHERELLA STOPLIGHT PP16835,,,,,,,,,
,041171,HEUCHERELLA SWEET TEA PPAF,,,,,,,,,
,034711,HIB MOS DAVE FLEMING PP21392,,,,,,,,,
,034721,HIB MOS JAMES FLEMING PP21434,,,,,,,,,
,407771,HIB MOS MIDNIGHT MARVEL PPAF,,,,,,,,,
,036321,HIB MOS STARDUST PP21479,,,,,,,,,
,034731,HIB MOS STRWBRY SWIRL PP21542,,,,,,,,,
,031871,HOSTA ABIQUA DRINKING GOURD,,,,,,,,,
,036981,HOSTA APHRODITE,,,,,,,,,
,006861,HOSTA BIG DADDY,,,,,,,,,
,006871,HOSTA BLUE ANGEL,,,,,,,,,
,403531,HOSTA BLUE MOUSE EARS,,,,,,,,,
,016761,HOSTA CHERRY BERRY,,,,,,,,,
,025101,HOSTA CHRISTMAS TREE,,,,,,,,,
,403611,HOSTA EARTH ANGEL,,,,,,,,,
,093061,HOSTA ENTERPRISE,,,,,,,,,
,041471,HOSTA EOLA SAPPHIRE,,,,,,,,,
,075111,HOSTA FANTASY ISLAND,,,,,,,,,
,017491,HOSTA FIRE & ICE,,,,,,,,,
,042981,HOSTA FIRST FROST,,,,,,,,,
,041861,HOSTA FLUCTUANS VARIEG (SAGAE),,,,,,,,,
,403491,HOSTA FRAGRANT BOUQUET,,,,,,,,,
,041691,HOSTA FRANCEE,,,,,,,,,
,052631,HOSTA FROSTY RIBBONS TM PPAF,,,,,,,,,
,041531,HOSTA GINKO CRAIG,,,,,,,,,
,041771,HOSTA GOLDEN PRAYERS,,,,,,,,,
,019911,HOSTA GREAT EXPECTATIONS,,,,,,,,,
,017521,HOSTA GUACAMOLE,,,,,,,,,
,031891,HOSTA HADSPEN BLUE,,,,,,,,,
,017531,HOSTA JUNE,,,,,,,,,
,041821,HOSTA KROSSA REGAL,,,,,,,,,
,401571,HOSTA MIGHTY MOUSE,,,,,,,,,
,006981,HOSTA MINUTEMAN,,,,,,,,,
,028391,HOSTA OLIVE BAILEY LANGDON,,,,,,,,,
,403561,HOSTA PARADIGM,,,,,,,,,
,041881,HOSTA PATRIOT,,,,,,,,,
,062011,HOSTA PAUL'S GLORY,,,,,,,,,
,403621,HOSTA PRAYING HANDS,,,,,,,,,
,093111,HOSTA RAINFOREST SUNRISE,,,,,,,,,
,007011,HOSTA REGAL SPLENDOR,,,,,,,,,
,039471,HOSTA ROSEDALE GOLDEN GOOSE,,,,,,,,,
,403641,HOSTA SO SWEET,,,,,,,,,
,044671,HOSTA STAINED GLASS PPAF,,,,,,,,,
,029791,HOSTA STRIPTEASE,,,,,,,,,
,083971,HOSTA SUM & SUBSTANCE,,,,,,,,,
,075161,HOSTA THE RAZOR'S EDGE,,,,,,,,,
,016301,HOSTA TOKUDAMA FLAVOCIRCINALIS,,,,,,,,,
,093131,HOSTA VICTORY,,,,,,,,,
,041851,HOSTA WIDE BRIM,,,,,,,,,
,082011,HOSTA X LIBERTY,,,,,,,,,
,046021,IPOMOEA INDICA BLUE DAWN,,,,,,,,,
,016461,IRIS EN BUTTERFLIES IN FLIGHT,,,,,,,,,
,016471,IRIS EN CASCADE SPICE,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
