Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
170000,028343,ABELIA GRA KALEIDOSCOPE P16988,EVS,,,,,,,,
170000,025692,ABELIA GRA ROSE CREEK,EVS,,,,,,,,
170000,000402,ACANTHUS OAK LEAF,PRN,,,,,,,,
170000,000447,ACER GRISEUM,TRE,,,,,,,,
170000,000525,ACER JAPONICUM ACONITIFOLIUM,TRE,,,,,,,,
170000,030355,ACER PAL AOYAGI,TRE,,,,,,,,
170000,00075M,ACER PAL BLOODGOOD,TRE,,,,,,,,
170000,00080M,ACER PAL BURGUNDY LACE,TRE,,,,,,,,
170000,00084M,ACER PAL EMPEROR I R,TRE,,,,,,,,
170000,40037MST,ACER PAL INABA SHIDARE,TRE,,,,,,,,
170000,40044M,ACER PAL RYUSEN PP18501,TRE,,,,,,,,
170000,001212,ACER PAL SHAINA,TRE,,,,,,,,
170000,001215,ACER PAL SHAINA,TRE,,,,,,,,
170000,029093ST,ACER PAL TAMUKEYAMA,TRE,,,,,,,,
170000,029095,ACER PAL TAMUKEYAMA,TRE,,,,,,,,
170000,049585,ACER PSEUDO ESKIMO SUNSET,TRE,,,,,,,,
170000,028895,AESCULUS X ARN AUTUMN SPLENDOR,TRE,,,,,,,,
170000,000575,AESCULUS X CARNEA FORT MCNAIR,TRE,,,,,,,,
170000,001881,AGAPANTHUS X MIDKNIGHT BLUE R,DCS,,,,,,,,
170000,001885,AGAPANTHUS X MIDKNIGHT BLUE R,DCS,,,,,,,,
170000,400521,AGASTACHE HYB BLUE BOA PP24050,PRN,,,,,,,,
170000,021251,AGASTACHE X BLUE FORTUNE,PRN,,,,,,,,
170000,074172,AGAVE UTAHENSIS SSP UTAHENSIS,CAC,,,,,,,,
170000,08030UT,AJUGA CHOCOLATE CHIP,PRN,,,,,,,,
170000,00059UT,AJUGA REPTANS BURGUNDY GLOW,PRN,,,,,,,,
170000,00193UT,AJUGA REPTANS CATLIN'S GIANT,PRN,,,,,,,,
170000,001995,ALBIZIA J SUMMER CHOC PP13822,TRE,,,,,,,,
170000,001965,ALBIZIA JUL OMBRELLA TM,TRE,,,,,,,,
170000,001955,ALBIZIA JUL ROSEA,TRE,,,,,,,,
170000,002535MU,AMEL AUTUMN BRILLIANCE R,TRE,,,,,,,,
170000,039021,ANEMONE X WILD SWAN TM PP23132,PRN,,,,,,,,
170000,039021,ANEMONE X WILD SWAN TM PP23132,PRN,,,,,,,,
170000,05908UT,AQUILEGIA C LITTLE LANTERNS,PRN,,,,,,,,
170000,055482,ARALIA CORDATA GOTEMBA,PRN,,,,,,,,
170000,002951,ARCTOSTAPHYLOS MASSACHUSETTS,EVS,,,,,,,,
170000,028281,ASCLEPIAS GAY BUTTERFLIES,PRN,,,,,,,,
170000,003151,ASPARAGUS MYERS,FRN,,,,,,,,
170000,003411,ASTER PURPLE DOME,PRN,,,,,,,,
170000,003521,ASTILBE CHINENSIS PUMILA,PRN,,,,,,,,
170000,003621,ASTILBE CHINENSIS VISIONS,PRN,,,,,,,,
170000,027501,ASTILBE COLOR FLASH R PP17343,PRN,,,,,,,,
170000,059151,ASTILBE VISION IN PINK PP11860,PRN,,,,,,,,
170000,016341,ASTILBE VISION IN RED PP11965,PRN,,,,,,,,
170000,017601,ASTILBE VISION IN WHITE P18965,PRN,,,,,,,,
170000,003562,AUCUBA MR GOLDSTRIKE,EVS,,,,,,,,
170000,003565,AUCUBA MR GOLDSTRIKE,EVS,,,,,,,,
170000,003605,AUCUBA PICTURATA,EVS,,,,,,,,
170000,078771S,AZ BLM-A-THON TM RED PP21562,RHO,,,,,,,,
170000,078782S,AZ BLM-A-THON TM WHITE PP21512,RHO,,,,,,,,
170000,001813,AZALEA GA KAREN,RHO,,,,,,,,
170000,401033,AZALEA KIMBERLYS DBL PINK,RHO,,,,,,,,
170000,401003,AZALEA POUKHANENSE COMP,RHO,,,,,,,,
170000,401043,AZALEA SWEET SIXTEEN PP12847,RHO,,,,,,,,
170000,011435,BAM-PHYLLO AUREOSULCATA (RUN),GRS,,,,,,,,
170000,023942,BER CRIMSON RUBY R PPAF,DCS,,,,,,,,
170000,012032,BER GOLDN NUGGET TM P9577 CBR,DCS,,,,,,,,
170000,002242,BER T CONCORDE,DCS,,,,,,,,
170000,035232,BER T GOLDEN RUBY R PP16203,DCS,,,,,,,,
170000,012102,BER T HELMOND PILLAR,DCS,,,,,,,,
170000,012105,BER T HELMOND PILLAR,DCS,,,,,,,,
170000,062932,BER T ORANGE ROCKET PP18411,DCS,,,,,,,,
170000,035242,BER T PYGMY RUBY TM,DCS,,,,,,,,
170000,012212,BER T ROYAL BURGUNDY R P9461,DCS,,,,,,,,
170000,022021,BERGENIA COR WINTERGLOW,PRN,,,,,,,,
170000,012511,BIGNONIA CAP TANGERINE BEAUTY,VIN,,,,,,,,
170000,012515,BIGNONIA CAP TANGERINE BEAUTY,VIN,,,,,,,,
170000,035381,BRUNNERA MAC JACK FROST P13859,PRN,,,,,,,,
170000,074411S,BUD LO&BEHLD R BLU CHP PP19991,DCS,,,,,,,,
170000,074412S,BUD LO&BEHLD R BLU CHP PP19991,DCS,,,,,,,,
170000,080812S,BUD LO&BEHLD R ICE CHIP PPAF,DCS,,,,,,,,
170000,401292S,BUD LO&BEHLD R PINK MICRO CHIP,DCS,,,,,,,,
170000,401292S,BUD LO&BEHLD R PINK MICRO CHIP,DCS,,,,,,,,
170000,407622S,BUD LO&BEHOLD BLU CHIP JR,DCS,,,,,,,,
170000,077391S,BUDDLEJA MISS MOLLY PPAF,DCS,,,,,,,,
170000,077392S,BUDDLEJA MISS MOLLY PPAF,DCS,,,,,,,,
170000,074401S,BUDDLEJA X MISS RUBY PPAF,DCS,,,,,,,,
170000,074402S,BUDDLEJA X MISS RUBY PPAF,DCS,,,,,,,,
170000,003015,BUXUS CHICAGOLAND GREEN R,EVS,,,,,,,,
170000,013825CN,BUXUS GREEN MOUNTAIN,EVS,,,,,,,,
170000,013893,BUXUS GREEN VELVET,EVS,,,,,,,,
170000,013952,BUXUS J GREEN BEAUTY,EVS,,,,,,,,
170000,013955,BUXUS J GREEN BEAUTY,EVS,,,,,,,,
170000,013955,BUXUS J GREEN BEAUTY,EVS,,,,,,,,
170000,094071,BUXUS MIC MORRIS MIDGET,EVS,,,,,,,,
170000,013833,BUXUS MIC WINTER GEM,EVS,,,,,,,,
170000,013833,BUXUS MIC WINTER GEM,EVS,,,,,,,,
170000,013835,BUXUS MIC WINTER GEM,EVS,,,,,,,,
170000,013835CN,BUXUS MIC WINTER GEM,EVS,,,,,,,,
170000,013902,BUXUS S GREEN TOWER R PP15243,EVS,,,,,,,,
170000,013981,BUXUS SEMP SUFFRUTICOSA,EVS,,,,,,,,
170000,054132,BUXUS SEMP UNRAVELED,EVS,,,,,,,,
170000,013882,BUXUS SEMP VARIEGATA,EVS,,,,,,,,
170000,080831S,CALYCANTHUS APHRODITE PPAF,DCS,,,,,,,,
170000,080835,CALYCANTHUS APHRODITE PPAF,DCS,,,,,,,,
170000,014515,CALYCANTHUS FLORIDUS,DCS,,,,,,,,
170000,025791,CAMPANULA BLU WATERFALL P13161,PRN,,,,,,,,
170000,40842UT,CAMPANULA GLOM GENTI BLUE PPAF,PRN,,,,,,,,
170000,022361,CAMPANULA PORTENSCHLAGIANA,PRN,,,,,,,,
170000,022715,CAMPSIS BALBOA SUNSET R,VIN,,,,,,,,
