Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,028343,ABELIA CHIN BRONZ ANNIV R PPAF,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,025692,ABELIA CHIN BRONZ ANNIV R PPAF,EVS,39,4,0,0,4,$18.50 ,,
550000,400343,ABELIA CHIN RUBY ANNIV TM PPAF,EVS,660,42,0,0,42,$8.50 ,,
,000447,,,,,,,,,,
,000525,,,,,,,,,,
,030355,,,,,,,,,,
,00075M,,,,,,,,,,
,00080M,,,,,,,,,,
,00084M,,,,,,,,,,
,000845,,,,,,,,,,
,001215,,,,,,,,,,
,031825,,,,,,,,,,
,018335,,,,,,,,,,
,049585,,,,,,,,,,
,03033M,,,,,,,,,,
,412521,,,,,,,,,,
,021251,,,,,,,,,,
,08030UT,,,,,,,,,,
,00059UT,,,,,,,,,,
,00193UT,,,,,,,,,,
,001965,,,,,,,,,,
,039021,,,,,,,,,,
,05908UT,,,,,,,,,,
,002951,,,,,,,,,,
,003151,,,,,,,,,,
,003621,,,,,,,,,,
,027501,,,,,,,,,,
,412541,,,,,,,,,,
,059151,,,,,,,,,,
,016341,,,,,,,,,,
,017601,,,,,,,,,,
,400821,,,,,,,,,,
,003562,,,,,,,,,,
,003602,,,,,,,,,,
,078761S,,,,,,,,,,
,078762S,,,,,,,,,,
,078752S,,,,,,,,,,
,078771S,,,,,,,,,,
,078772S,,,,,,,,,,
,078772S,,,,,,,,,,
,078782S,,,,,,,,,,
,007075,,,,,,,,,,
,007242,,,,,,,,,,
,008305,,,,,,,,,,
,047652,,,,,,,,,,
,047655,,,,,,,,,,
,001813,,,,,,,,,,
,002072,,,,,,,,,,
,400982S,,,,,,,,,,
,008362,,,,,,,,,,
,401003,,,,,,,,,,
,401043,,,,,,,,,,
,011435,,,,,,,,,,
,412551,,,,,,,,,,
,023942,,,,,,,,,,
,012032,,,,,,,,,,
,080772S,,,,,,,,,,
,002242,,,,,,,,,,
,035232,,,,,,,,,,
,401112,,,,,,,,,,
,012102,,,,,,,,,,
,012105,,,,,,,,,,
,062932,,,,,,,,,,
,062935,,,,,,,,,,
,035242,,,,,,,,,,
,012212,,,,,,,,,,
,022021,,,,,,,,,,
,012511,,,,,,,,,,
,012515,,,,,,,,,,
,035381,,,,,,,,,,
,407622S,,,,,,,,,,
,074412S,,,,,,,,,,
,080812S,,,,,,,,,,
,401292S,,,,,,,,,,
,013561,,,,,,,,,,
,013563,,,,,,,,,,
,077391S,,,,,,,,,,
,074401S,,,,,,,,,,
,074402S,,,,,,,,,,
,003015,,,,,,,,,,
,090782,,,,,,,,,,
,013825,,,,,,,,,,
,013825CN,,,,,,,,,,
,013892,,,,,,,,,,
,013893,,,,,,,,,,
,013952,,,,,,,,,,
,013952,,,,,,,,,,
,013955,,,,,,,,,,
,013955,,,,,,,,,,
,094071,,,,,,,,,,
,013833,,,,,,,,,,
,013833,,,,,,,,,,
,013835,,,,,,,,,,
,013835CN,,,,,,,,,,
,013835CN,,,,,,,,,,
,013902,,,,,,,,,,
,013905,,,,,,,,,,
,013981,,,,,,,,,,
,054132,,,,,,,,,,
,013882,,,,,,,,,,
,03597UT,,,,,,,,,,
,035971,,,,,,,,,,
,014515,,,,,,,,,,
,022361,,,,,,,,,,
,022715,,,,,,,,,,
,023307,,,,,,,,,,
,02348UT,,,,,,,,,,
,023481,,,,,,,,,,
,074453S,,,,,,,,,,
,035365,,,,,,,,,,
,023905,,,,,,,,,,
,401805,,,,,,,,,,
,047125,,,,,,,,,,
,024032,,,,,,,,,,
,024035,,,,,,,,,,
,082455,,,,,,,,,,
,074783S,,,,,,,,,,
,014412,,,,,,,,,,
,412571,,,,,,,,,,
,039512,,,,,,,,,,
,414522TE,,,,,,,,,,
,414532TE,,,,,,,,,,
,027401,,,,,,,,,,
,027472,,,,,,,,,,
,414612TE,,,,,,,,,,
,055215,,,,,,,,,,
,089921S,,,,,,,,,,
,044481,,,,,,,,,,
,027065,,,,,,,,,,
,017421,,,,,,,,,,
,02795UT,,,,,,,,,,
,02796UT,,,,,,,,,,
,027961,,,,,,,,,,
,02797UT,,,,,,,,,,
,045285,,,,,,,,,,
,07569M,,,,,,,,,,
,075695,,,,,,,,,,
