Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,755,ACER PAL BLOODGOOD,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,000952ST,ACER PAL CRIMSON QUEEN,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,18332,ACER PAL SHISHIGASHIRA,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,2591,AKEBIA QUINATA,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,2561,AKEBIA QUINATA SHIRO BANA,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,3561,AUCUBA MR GOLDSTRIKE,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,3562,AUCUBA MR GOLDSTRIKE,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,3565,AUCUBA MR GOLDSTRIKE,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,3602,AUCUBA PICTURATA,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,7072,AZALEA EX CANNON'S DOUBLE,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,7075,AZALEA EX CANNON'S DOUBLE,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,7242,AZALEA EX DAWN'S CHORUS,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,7772,AZALEA EX GOLDEN FLARE,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,8542,AZALEA EX RED SUNSET,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,23941,BER CRIMSON RUBY R PPAF,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,23942,BER CRIMSON RUBY R PPAF,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,12031,BER GOLDN NUGGET TM P9577 CBR,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,12032,BER GOLDN NUGGET TM P9577 CBR,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,2241,BER T CONCORDE,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,2242,BER T CONCORDE,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,12051,BER T CRIMSON PYGMY,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,35231,BER T GOLDEN RUBY R PP16203,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,35233,BER T GOLDEN RUBY R PP16203,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,12101,BER T HELMOND PILLAR,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,62931,BER T ORANGE ROCKET PP18411,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,62935,BER T ORANGE ROCKET PP18411,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,12201,BER T ROSE GLOW,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,12211,BER T ROYAL BURGUNDY R P9461,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,013825CN,BUXUS GREEN MOUNTAIN,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,023315ST,CEDRUS ATLANTICA GLAUCA PNDULA,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,28832,CEPHALOTAXUS HAR PROSTRATA,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,23901,CHAM OBT FILICOIDES,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,38001,CLEM TEX PRINCESS DIANA,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,27731,CORNUS ALBA ELEGANTISSIMA,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,27732,CORNUS ALBA ELEGANTISSIMA,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,27861,CORNUS ALBA IVORYHALO TM,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,27862,CORNUS ALBA IVORYHALO TM,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,27801,CORNUS SERICEA FLAVIRAMEA,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,44702,CORNUS SERICEA KELSEYI,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,17455,CORYLUS AV CONTORTA-OWN ROOT,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,29001,COT DAM CORAL BEAUTY,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,028145PT,COTINUS COG ROYAL PURPLE,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,31382,CYTISUS ALLGOLD,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
