Loc,Item,Plant Name,CAT,Zone,,,,,,,,
170000,035711,GAILLARDIA ARIZONA SUN,PRN,03,,,,,,,,
170000,412631,GAILLARDIA FANFARE CITRNLA PAF,PRN,03,,,,,,,,
170000,037611,GAILLARDIA GOBLIN,PRN,03,,,,,,,,
170000,036441,GAILLARDIA ORNGS&LEMONS P17092,PRN,03,,,,,,,,
170000,412651,GAILLARDIA SUNSET CANDY PPAF,PRN,05,,,,,,,,
160000,408811,GAILLARDIA SUNSET CELEBRATION,PRN,05,,,,,,,,
160000,408751,GAILLARDIA SUNSET FLASH PPAF,PRN,05,,,,,,,,
170000,408751,GAILLARDIA SUNSET FLASH PPAF,PRN,05,,,,,,,,
160000,408801,GAILLARDIA SUNSET SNAPPY PPAF,PRN,05,,,,,,,,
170000,408801,GAILLARDIA SUNSET SNAPPY PPAF,PRN,05,,,,,,,,
170000,037701,GARDENIA AUGUST BEAUTY,EVS,08,,,,,,,,
170000,037705,GARDENIA AUGUST BEAUTY,EVS,08,,,,,,,,
170000,034155,GARDENIA AUGUST BEAUTY-GRAFT,EVS,08,,,,,,,,
170000,037671,GARDENIA FIRST LOVE R,EVS,08,,,,,,,,
170000,037675,GARDENIA FIRST LOVE R,EVS,08,,,,,,,,
170000,037575,GARDENIA FIRST LOVE R-GRAFT,EVS,08,,,,,,,,
170000,037575PT,GARDENIA FIRST LOVE R-GRAFT,EVS,08,,,,,,,,
170000,037751,GARDENIA MYSTERY,EVS,08,,,,,,,,
170000,037595,GARDENIA MYSTERY-GRAFT,EVS,08,,,,,,,,
170000,037901,GARDENIA RADICANS,EVS,08,,,,,,,,
170000,037801,GARDENIA VEITCHII,EVS,08,,,,,,,,
170000,037802,GARDENIA VEITCHII,EVS,08,,,,,,,,
170000,037802ST,GARDENIA VEITCHII,EVS,08,,,,,,,,
170000,037805,GARDENIA VEITCHII,EVS,08,,,,,,,,
170000,037815,GARDENIA VEITCHII-GRAFT,EVS,08,,,,,,,,
170000,037815PT,GARDENIA VEITCHII-GRAFT,EVS,08,,,,,,,,
170000,037941,GARDENIA WHITE GEM,EVS,08,,,,,,,,
170000,037942,GARDENIA WHITE GEM,EVS,08,,,,,,,,
170000,03794E,GARDENIA WHITE GEM,EVS,08,,,,,,,,
170000,058861,GAURA L GEYSER WHITE,PRN,05,,,,,,,,
160000,086711,GAURA L PINK LADY PP17494,PRN,05,,,,,,,,
160000,048591,GAZANIA LIN COLORADO GOLD R,PRN,04,,,,,,,,
170000,048591,GAZANIA LIN COLORADO GOLD R,PRN,04,,,,,,,,
160000,04859UT,GAZANIA LIN COLORADO GOLD R,PRN,04,,,,,,,,
160000,038241,GERANIUM CIN BALLERINA,PRN,04,,,,,,,,
160000,03824UT,GERANIUM CIN BALLERINA,PRN,04,,,,,,,,
160000,038281,GERANIUM CIN SUBCAULESCENS,PRN,05,,,,,,,,
160000,03828UT,GERANIUM CIN SUBCAULESCENS,PRN,05,,,,,,,,
160000,408831,GERANIUM MISS HEIDI PPAF,PRN,05,,,,,,,,
170000,408831,GERANIUM MISS HEIDI PPAF,PRN,05,,,,,,,,
160000,023081,GERANIUM ROZANNE PP12175,PRN,04,,,,,,,,
170000,023081,GERANIUM ROZANNE PP12175,PRN,04,,,,,,,,
160000,005231,GERANIUM SANGUINEUM MAX FREI,PRN,04,,,,,,,,
160000,038331,GERANIUM X CAN BIOKOVO,PRN,04,,,,,,,,
160000,021454PTC,GEUM COCC BORISII,PRN,04,,,,,,,,
160000,02145UT,GEUM COCC BORISII,PRN,04,,,,,,,,
160000,035601,GEUM COCC WERNER ARENDS,PRN,04,,,,,,,,
160000,001421,GR-ACORUS GR OGON,GRS,05,,,,,,,,
170000,001421,GR-ACORUS GR OGON,GRS,05,,,,,,,,
160000,067791,GR-BOUT BLOND AMBITION PP22048,GRS,04,,,,,,,,
170000,067791,GR-BOUT BLOND AMBITION PP22048,GRS,04,,,,,,,,
170000,067792,GR-BOUT BLOND AMBITION PP22048,GRS,04,,,,,,,,
160000,044551,GR-CAL ACUT AVALANCHE,GRS,04,,,,,,,,
170000,044551,GR-CAL ACUT AVALANCHE,GRS,04,,,,,,,,
160000,044552,GR-CAL ACUT AVALANCHE,GRS,04,,,,,,,,
160000,014011,GR-CAL ACUT KARL FOERSTER,GRS,04,,,,,,,,
170000,014011,GR-CAL ACUT KARL FOERSTER,GRS,04,,,,,,,,
160000,014012,GR-CAL ACUT KARL FOERSTER,GRS,04,,,,,,,,
170000,014012,GR-CAL ACUT KARL FOERSTER,GRS,04,,,,,,,,
170000,014015,GR-CAL ACUT KARL FOERSTER,GRS,04,,,,,,,,
160000,01401P18SA,GR-CAL ACUT KARL FOERSTER,GRS,04,,,,,,,,
160000,014071,GR-CAL ACUT OVERDAM,GRS,04,,,,,,,,
170000,014071,GR-CAL ACUT OVERDAM,GRS,04,,,,,,,,
160000,014072,GR-CAL ACUT OVERDAM,GRS,04,,,,,,,,
170000,014072,GR-CAL ACUT OVERDAM,GRS,04,,,,,,,,
170000,014081,GR-CALAMAGROSTIS  BRACHYTRICA,GRS,04,,,,,,,,
160000,014082,GR-CALAMAGROSTIS  BRACHYTRICA,GRS,04,,,,,,,,
170000,014082,GR-CALAMAGROSTIS  BRACHYTRICA,GRS,04,,,,,,,,
160000,022581,GR-CAREX BUCHANANII,GRS,05,,,,,,,,
170000,022581,GR-CAREX BUCHANANII,GRS,05,,,,,,,,
160000,022582,GR-CAREX BUCHANANII,GRS,05,,,,,,,,
170000,022582,GR-CAREX BUCHANANII,GRS,05,,,,,,,,
160000,035931,GR-CAREX DOL KAGA NISHIKI,GRS,05,,,,,,,,
170000,035931,GR-CAREX DOL KAGA NISHIKI,GRS,05,,,,,,,,
160000,022591,GR-CAREX ELATA BOWLES GOLDEN,GRS,05,,,,,,,,
170000,022591,GR-CAREX ELATA BOWLES GOLDEN,GRS,05,,,,,,,,
170000,022661,GR-CAREX GLAUCA,GRS,05,,,,,,,,
160000,035831,GR-CAREX MOR ICE DANCE,GRS,05,,,,,,,,
170000,035831,GR-CAREX MOR ICE DANCE,GRS,05,,,,,,,,
160000,035832,GR-CAREX MOR ICE DANCE,GRS,05,,,,,,,,
170000,022601,GR-CAREX MORROWII AUREA VAR,GRS,05,,,,,,,,
160000,024091,GR-CHASMANTHIUM LATIFOLIUM,GRS,04,,,,,,,,
170000,024091,GR-CHASMANTHIUM LATIFOLIUM,GRS,04,,,,,,,,
170000,038641,GR-CHONDROPETALUM TECTORUM,GRS,08,,,,,,,,
160000,005391,GR-DESCHAMPSIA NORTHERN LIGHTS,GRS,04,,,,,,,,
160000,005392,GR-DESCHAMPSIA NORTHERN LIGHTS,GRS,04,,,,,,,,
