Loc,Item,Plant Name,CAT,Zone,,,,,,,,
160000,404851,NEPETA JNR WALKER TM PP23074,PRN,05,,,,,,,,
170000,404851,NEPETA JNR WALKER TM PP23074,PRN,05,,,,,,,,
160000,082581,NEPETA LITTLE TRUDY,PRN,04,,,,,,,,
160000,081741,NEPETA NERVOSA PINK CAT,PRN,04,,,,,,,,
160000,062281,NEPETA X FAASS WALKER'S LOW,PRN,04,,,,,,,,
170000,090201PT,OCIMUM BASILICUM,PRN,10,,,,,,,,
160000,068481,OENOTHERA FREM SHIMMER PP19663,PRN,04,,,,,,,,
160000,068721,OENOTHERA KUN GLOWING MAGENTA,PRN,05,,,,,,,,
170000,068721,OENOTHERA KUN GLOWING MAGENTA,PRN,05,,,,,,,,
170000,060087,OLEA HAAS IMP MANZANILLO (FRT),TRE,08,,,,,,,,
170000,063041,OLEA LITTLE OLLIE R,EVS,08,,,,,,,,
170000,063045,OLEA LITTLE OLLIE R,EVS,08,,,,,,,,
170000,06304ECN,OLEA LITTLE OLLIE R,EVS,08,,,,,,,,
170000,06304EGL,OLEA LITTLE OLLIE R,EVS,08,,,,,,,,
170000,06304EPT,OLEA LITTLE OLLIE R,EVS,08,,,,,,,,
170000,062995,OLEA MAJESTIC BEAUTY R,TRE,08,,,,,,,,
170000,030221,OPHIOPOGON PLA NIGRESCENS,GRS,05,,,,,,,,
170000,025463,OPUNTIA SANTA-RITA TUBAC TM,CAC,08,,,,,,,,
170000,067771,ORIGANUM LIBANOTICUM,PRN,04,,,,,,,,
160000,077131,OSTEO AVALANCHE PP22705,PRN,04,,,,,,,,
160000,079351,OSTEO PURPLE MOUNTAIN R,PRN,05,,,,,,,,
170000,079181,PACHYPHYTUM HOOKERI,CAC,09,,,,,,,,
160000,063351,PACHYSANDRA TERM GREEN SHEEN,PRN,04,,,,,,,,
170000,063351,PACHYSANDRA TERM GREEN SHEEN,PRN,04,,,,,,,,
160000,06335UT,PACHYSANDRA TERM GREEN SHEEN,PRN,04,,,,,,,,
170000,089481,PACHYSTACHYS LUTEA,PRN,10,,,,,,,,
160000,046342,PAEONIA COTTAGE MIX,PRN,04,,,,,,,,
160000,039085,PAEONIA ITOH BARTZELLA (YLW),PRN,04,,,,,,,,
160000,039095,PAEONIA ITOH CORA LOUISE (WHT),PRN,04,,,,,,,,
160000,039135,PAEONIA ITOH JULIA ROSE,PRN,04,,,,,,,,
160000,047085,PAEONIA ITOH KEIKO TM (PK D D),PRN,04,,,,,,,,
160000,052605,PAEONIA ITOH MISAKA TM PP22192,PRN,04,,,,,,,,
170000,052605,PAEONIA ITOH MISAKA TM PP22192,PRN,04,,,,,,,,
160000,068585,PAEONIA ITOH MORNING LILAC,PRN,04,,,,,,,,
160000,019585,PAEONIA ITOH SING IN THE RAIN,PRN,04,,,,,,,,
160000,044325,PAEONIA ITOH SQUESTERD SUNSHIN,PRN,04,,,,,,,,
160000,052595,PAEONIA ITOH TAKARA TM PP22374,PRN,04,,,,,,,,
160000,047075,PAEONIA ITOH YUMI TM (YLW),PRN,04,,,,,,,,
160000,024242,PAEONIA X BLAZE (RED),PRN,04,,,,,,,,
160000,019522,PAEONIA X BOWL OF BEAUTY (PK),PRN,04,,,,,,,,
160000,016252,PAEONIA X BOWL OF CREAM (WT),PRN,04,,,,,,,,
160000,050282,PAEONIA X BUCKEYE BELLE (RED),PRN,04,,,,,,,,
160000,063512,PAEONIA X DBL WHITE,PRN,03,,,,,,,,
160000,051532,PAEONIA X DO TELL (PINK),PRN,03,,,,,,,,
160000,063562,PAEONIA X FESTIVA MAXIMA,PRN,04,,,,,,,,
160000,096432,PAEONIA X GENERAL MACMAHON,PRN,03,,,,,,,,
160000,036332,PAEONIA X INSPECTEUR LAVERGNE,PRN,04,,,,,,,,
160000,046132,PAEONIA X JAN VAN LEEUWEN (WT),PRN,04,,,,,,,,
160000,063742,PAEONIA X KANSAS (RED),PRN,04,,,,,,,,
160000,063572,PAEONIA X KARL ROSENFIELD(RED),PRN,04,,,,,,,,
160000,046212,PAEONIA X LADY ORCHID (PINK),PRN,04,,,,,,,,
160000,064912,PAEONIA X MME EMILE DEBATENE,PRN,04,,,,,,,,
160000,051192,PAEONIA X NANCY NORA (PINK),PRN,04,,,,,,,,
160000,024272,PAEONIA X PAUL M WILD (RED),PRN,04,,,,,,,,
160000,046072,PAEONIA X RASPBERRY SUNDAE(PK),PRN,04,,,,,,,,
160000,063762,PAEONIA X SHIRLEY TEMPLE (WT),PRN,04,,,,,,,,
170000,063651,PALM-CHAMAEROPS HUMILIS,TRE,08,,,,,,,,
170000,063655,PALM-CHAMAEROPS HUMILIS,TRE,08,,,,,,,,
170000,063751,PALM-CYCAS REVOLUTA,TRE,09,,,,,,,,
170000,063752,PALM-CYCAS REVOLUTA,TRE,09,,,,,,,,
170000,063755,PALM-CYCAS REVOLUTA,TRE,09,,,,,,,,
170000,063605,PALM-TRACHYCARPUS FORTUNEI,TRE,08,,,,,,,,
170000,063609,PALM-TRACHYCARPUS FORTUNEI,TRE,08,,,,,,,,
170000,064101,PALM-WASHINGTONIA ROBUSTA,TRE,08,,,,,,,,
170000,064105,PALM-WASHINGTONIA ROBUSTA,TRE,08,,,,,,,,
170000,064151,PANDOREA JAS ALBA LADY DI,VIN,09,,,,,,,,
170000,064155,PANDOREA JAS ALBA LADY DI,VIN,09,,,,,,,,
170000,033721,PANDOREA JAS CHARISMA,VIN,09,,,,,,,,
170000,033725,PANDOREA JAS CHARISMA,VIN,09,,,,,,,,
170000,064131,PANDOREA JAS ROSEA,VIN,09,,,,,,,,
170000,064135,PANDOREA JAS ROSEA,VIN,09,,,,,,,,
160000,081521S,PARTH Q RED WALL TM PPAF,VIN,03,,,,,,,,
160000,081522S,PARTH Q RED WALL TM PPAF,VIN,03,,,,,,,,
170000,081522S,PARTH Q RED WALL TM PPAF,VIN,03,,,,,,,,
160000,081525,PARTH Q RED WALL TM PPAF,VIN,03,,,,,,,,
170000,002471,PARTH Q STAR SHOWERS R P10128,VIN,04,,,,,,,,
170000,002475,PARTH Q STAR SHOWERS R P10128,VIN,04,,,,,,,,
170000,002451,PARTH QUINQUEFOLIA,VIN,04,,,,,,,,
170000,002455,PARTH QUINQUEFOLIA,VIN,04,,,,,,,,
170000,002581,PARTH TRI GREEN SHOWERS,VIN,04,,,,,,,,
170000,002585,PARTH TRI GREEN SHOWERS,VIN,04,,,,,,,,
170000,002501,PARTH TRI VEITCHII,VIN,04,,,,,,,,
170000,002505,PARTH TRI VEITCHII,VIN,04,,,,,,,,
170000,064161,PASSIFLORA VITIFOLIA,VIN,10,,,,,,,,
170000,064011,PASSIFLORA X LAVENDER LADY,VIN,09,,,,,,,,
170000,064015,PASSIFLORA X LAVENDER LADY,VIN,09,,,,,,,,
170000,094741,PENST RED RIDING HOOD PP18950,PRN,05,,,,,,,,
160000,409001,PENST ROCK CANDY TM PINK PPAF,PRN,05,,,,,,,,
170000,409001,PENST ROCK CANDY TM PINK PPAF,PRN,05,,,,,,,,
160000,409011,PENST ROCK CANDY TM PRPL PPAF,PRN,05,,,,,,,,
170000,097741,PENSTEMON PARRYI,PRN,08,,,,,,,,
160000,067781,PENSTEMON X PIKES PEAK PURPL R,PRN,04,,,,,,,,
170000,067781,PENSTEMON X PIKES PEAK PURPL R,PRN,04,,,,,,,,
160000,066811,PENSTEMON X PRETTY PETTICOAT,PRN,04,,,,,,,,
170000,066811,PENSTEMON X PRETTY PETTICOAT,PRN,04,,,,,,,,
170000,050272,PENTALINON LUTEUM,VIN,10,,,,,,,,
160000,405141,PEROVSKIA ATR PEEK-A-BLUE PPAF,PRN,04,,,,,,,,
160000,064211,PEROVSKIA ATRIPLICIFOLIA,PRN,04,,,,,,,,
170000,064211,PEROVSKIA ATRIPLICIFOLIA,PRN,04,,,,,,,,
160000,064212,PEROVSKIA ATRIPLICIFOLIA,PRN,04,,,,,,,,
170000,064212,PEROVSKIA ATRIPLICIFOLIA,PRN,04,,,,,,,,
160000,064215,PEROVSKIA ATRIPLICIFOLIA,PRN,04,,,,,,,,
160000,084781,PEROVSKIA LACEY BLUE PP20845,PRN,04,,,,,,,,
170000,084781,PEROVSKIA LACEY BLUE PP20845,PRN,04,,,,,,,,
170000,084782,PEROVSKIA LACEY BLUE PP20845,PRN,04,,,,,,,,
170000,010591,PEROVSKIA LITTLE SPIRE,PRN,04,,,,,,,,
160000,010591,PEROVSKIA LITTLE SPIRE P11643,PRN,04,,,,,,,,
170000,065042,PHILODENDRON X DANADU,EVS,09,,,,,,,,
160000,411761,PHLOX PAN COTTON CANDY PP21369,PRN,03,,,,,,,,
160000,064341,PHLOX SUB CANDY STRIPE,PRN,03,,,,,,,,
160000,064451,PHLOX SUB EMERALD BLUE,PRN,03,,,,,,,,
160000,06445UT,PHLOX SUB EMERALD BLUE,PRN,03,,,,,,,,
160000,064601,PHLOX SUB RED WINGS,PRN,03,,,,,,,,
160000,06460UT,PHLOX SUB RED WINGS,PRN,03,,,,,,,,
170000,016581,PITT TEN GOLF BALL P15329,EVS,08,,,,,,,,
160000,016582,PITT TEN GOLF BALL P15329,EVS,08,,,,,,,,
170000,016582,PITT TEN GOLF BALL P15329,EVS,08,,,,,,,,
160000,016585,PITT TEN GOLF BALL P15329,EVS,08,,,,,,,,
170000,016585,PITT TEN GOLF BALL P15329,EVS,08,,,,,,,,
170000,016842,PITT TEN MARJORIE CHANNON,EVS,08,,,,,,,,
160000,016802,PITT TEN OLIVER TWIST,EVS,08,,,,,,,,
170000,016802,PITT TEN OLIVER TWIST,EVS,08,,,,,,,,
160000,016805,PITT TEN OLIVER TWIST,EVS,08,,,,,,,,
160000,091025,PITT TEN WRINKLED BLUE,EVS,08,,,,,,,,
170000,065871,PITT TOB CREAM DE MINT TM,EVS,08,,,,,,,,
170000,065875,PITT TOB CREAM DE MINT TM,EVS,08,,,,,,,,
170000,065921,PITT TOB TURNERS PITT TM,EVS,08,,,,,,,,
170000,065925,PITT TOB TURNERS PITT TM,EVS,08,,,,,,,,
170000,065955,PITT TOB VARIEGATUM,EVS,08,,,,,,,,
170000,066002,PITT TOB WHEELERS DWARF,EVS,08,,,,,,,,
170000,066005,PITT TOB WHEELERS DWARF,EVS,08,,,,,,,,
160000,058194PTC,PLATYCODON GR ASTRA PINK IMP,PRN,05,,,,,,,,
170000,066371,PLUMBAGO ROYAL CAPE R,EVS,09,,,,,,,,
170000,066372ST,PLUMBAGO ROYAL CAPE R,EVS,09,,,,,,,,
170000,066375,PLUMBAGO ROYAL CAPE R,EVS,09,,,,,,,,
170000,066375PT,PLUMBAGO ROYAL CAPE R,EVS,09,,,,,,,,
170000,066375ST,PLUMBAGO ROYAL CAPE R,EVS,09,,,,,,,,
170000,066361,PLUMBAGO WHITE CAPE R PP13953,EVS,09,,,,,,,,
170000,066365,PLUMBAGO WHITE CAPE R PP13953,EVS,09,,,,,,,,
170000,086555,PODOCARPUS ICEE BLUE R(BL CHIP,TRE,09,,,,,,,,
160000,036561,POLE STAIRWAY TO HEAVEN P15187,PRN,03,,,,,,,,
160000,065361,POLEMONIUM BRISE D'ANJOU P9781,PRN,04,,,,,,,,
