Loc,Item,Size,Description,2014 Catalog Price ,Unit Freight,Minimum Ord Qty,Confirmed Qty Remaining,Date Ready,Condition,Current Specs
GA,02914UT,LittleOne,SEDUM BLUE SPRUCE,2.95 ,0.44 , 16 , 16 ,04/01/14    ,,
GA,07094UT,LittleOne,SEDUM BRONZE CARPET,2.95 ,0.44 , 16 , 16 ,04/01/14    ,,
GA,02185UT,LittleOne,SEDUM MAKINOI OGON,2.95 ,0.44 , 16 , 16 ,Not Avl     ,,
GA,04487UT,LittleOne,SEDUM RUP ANGELINA PPAF,2.95 ,0.44 , 16 , 16 ,04/01/14    ,,
GA,07073UT,LittleOne,SEDUM TRICOLOR,2.95 ,0.44 , 16 , 16 ,Now         ,,CAN FULL
GA,06560UT,LittleOne,SEMPERVIVUM GREEN WHEEL,2.95 ,0.44 , 16 , 16 ,Now         ,,"2""S"
GA,06598UT,LittleOne,SEMPERVIVUM HARDY MIX,2.95 ,0.44 , 16 , 16 ,04/01/14    ,,
GA,06561UT,LittleOne,SEMPERVIVUM KREBS DES ROSE,2.95 ,0.44 , 16 , 16 ,Now         ,,"3""S"
CA,024751,#1,CITRUS BEARSS SEEDLESS LIME,9.00 ,1.02 , 10 , 10 ,Now         ,-,"10""H-10""S"
CA,026001,#1,CITRUS IMPROVED MEYER LEMON,9.00 ,1.02 , 10 , 10 ,Now         ,BUDS & BLOOMS,"8""H-8""S"
CA,026002,#2,CITRUS IMPROVED MEYER LEMON,16.75 ,2.56 , 5 , 10 ,Now         ,-,"14""H-12""S"
CA,026005,#5,CITRUS IMPROVED MEYER LEMON,24.25 ,5.12 , 5 , 10 ,Now         ,-,"13""H-15""S"
CA,026005PT,#5 PATIO TREE,CITRUS IMPROVED MEYER LEMON,38.50 ,7.68 , 2 , 3 ,Now         ,LIGHT FRUIT,"15""S"
CA,025602PT,#2 PATIO TREE,CITRUS KUMQUAT NAGAMI,30.00 ,3.84 , 5 , 2 ,Now         ,FULL FRUIT,"10""S"
CA,026605PT,#5 PATIO TREE,CITRUS OWA SATSUMA MANDARIN,38.50 ,7.68 , 2 , 2 ,04/25/14    ,,
OR,023307,#7,CEDRUS ATLANTICA GLAUCA,70.00 ,12.22 , 2 , 5 ,Now         ,-,"60""H - 18""S"
OR,023317SE,#7 SERPENTINE,CEDRUS ATLANTICA GLAUCA PNDULA,85.00 ,18.33 , 2 , 6 ,Now         ,-,"42""H-21""S"
OR,023327,#7,CEDRUS ATLANTICA HORSTMANN,70.00 ,12.22 , 2 , 3 ,Now         ,-,"60""H-20""S"
OR,023285,#5,CEDRUS DEODARA FEELIN BLUE,35.00 ,4.89 , 5 , 5 ,Now         ,-,"18""S"
OR,023285PT,#5 PATIO TREE,CEDRUS DEODARA FEELIN BLUE,55.00 ,7.33 , 2 , 3 ,Now         ,-,14'S
OR,017385,#5,CEPHALOTAXUS HAR FASTIGIATA,22.75 ,4.89 , 5 , 10 ,Now         ,WINTER COLOR,"20""H"
OR,023685,#5,CHAM OBT GRACILIS,27.75 ,4.89 , 5 , 6 ,05/15/14    ,,
OR,023915PT,#5 PATIO TREE,CHAM OBT TEMPELHOF,62.50 ,7.33 , 2 , 3 ,Now         ,-,"18""S"
OR,024031,#1,CHAM PIS FIL GOLDEN CHARM,6.75 ,0.98 , 10 , 50 ,Now         ,WINTER COLOR,"10""S"
OR,024032,#2,CHAM PIS FIL GOLDEN CHARM,14.00 ,2.44 , 5 , 40 ,Now         ,WINTER COLOR,"14""S"
OR,031435,#5,CRYPTOMERIA J GLOBOSA NANA,27.75 ,4.89 , 5 , 6 ,Now         ,WINTER COLOR,"18""H - 18""S"
OR,046875,#5,JUN C BLUE POINT,24.00 ,4.89 , 5 , 6 ,Now         ,WINTER COLOR,"30""H"
OR,084652,#2,JUN C DAUB'S FROSTED,13.00 ,2.44 , 5 , 10 ,Now         ,WINTER COLOR,"12""S"
CA,047505P2,#5 2BALL POODLE,JUN C HETZII COLUMN,55.00 ,7.68 , 2 , 3 ,Now         ,-,"48""H - 10""S"
CA,048002SP,#2 SPIRAL,JUN C MINT JULEP R,44.00 ,3.84 , 5 , 3 ,Now         ,-,"32""H"
CA,048005OP,#5 ORIENTAL POMPON,JUN C MINT JULEP R,70.00 ,7.68 , 2 , 6 ,Now         ,-,"56""H"
CA,047307,#7,JUN C SPARTAN,55.00 ,12.79 , 2 , 6 ,Now         ,WINTER COLOR,"48""H"
CA,047307SP,#7 SPIRAL,JUN C SPARTAN,95.00 ,12.79 , 2 , 5 ,05/01/14    ,-,
GA,049102,#2,JUN CON BLUE PACIFIC,12.50 ,1.46 , 5 , 10 ,Now         ,,"12""S"
OR,049902,#2,JUN H ICEE BLUE R P9639,12.50 ,2.44 , 5 , 25 ,Now         ,WINTER COLOR,"12""S"
CA,050902,#2,JUN PRO NANA,12.50 ,2.56 , 5 , 10 ,Now         ,-,"12""S"
CA,050905ST,#5 STAKED,JUN PRO NANA,26.50 ,5.12 , 5 , 3 ,Now         ,-,"36""H"
OR,053392,#2,JUN SQUA BLUE STAR,12.50 ,2.44 , 5 , 20 ,Now         ,WINTER COLOR,"12""S"
CA,053655,#5,JUN V BLUE ARROW,24.00 ,5.12 , 5 , 6 ,Now         ,-,"40""H"
OR,064552,#2,PICEA ABIES LITTLE GEM,18.50 ,2.44 , 5 , 10 ,Now         ,-,"12""S"
OR,064585,#5,PICEA ABIES PUMILA,21.75 ,4.89 , 5 , 10 ,Now         ,-,"18""S"
OR,064622P3,#2 3BALL POODLE,PICEA GL CONICA,42.50 ,3.67 , 5 , 6 ,Now         ,-,"30""H"
OR,064622SP,#2 SPIRAL,PICEA GL CONICA,44.00 ,3.67 , 5 , 6 ,Now         ,-,"26""H"
OR,064625SP,#5 SPIRAL,PICEA GL CONICA,65.00 ,7.33 , 2 , 8 ,Now         ,-,"42""H"
OR,06462MSP,#10 Squat SPIRAL,PICEA GL CONICA,99.00 ,17.60 , 2 , 10 ,Now         ,-,"54"" H"
OR,021532,#2,PICEA OMORIKA PIMOKO,26.00 ,2.44 , 5 , 6 ,Now         ,-,"12""S"
OR,064785,#5,PICEA PUN GLAUCA FAT ALBERT,38.00 ,4.89 , 5 , 6 ,Now         ,-,"33'H- 18""S"
OR,064692,#2,PICEA PUN GLOBOSA,26.00 ,2.44 , 5 , 10 ,Now         ,-,"14""S"
OR,064695,#5,PICEA PUN GLOBOSA,38.00 ,4.89 , 5 , 10 ,Now         ,-,"18""S"
OR,064695PT,#5 PATIO TREE,PICEA PUN GLOBOSA,70.00 ,7.33 , 2 , 10 ,Now         ,-,"18""S"
OR,019385PT,#5 PATIO TREE,PICEA PUN MRS. CESARINI,70.00 ,7.33 , 2 , 5 ,Now         ,-,"21""S"
OR,019395,#5,PICEA PUN THE BLUES,38.00 ,4.89 , 5 , 5 ,Now         ,WINTER COLOR,"30""H"
OR,065452,#2,PINUS MUGO PUMILIO,16.50 ,2.44 , 5 , 15 ,Now         ,WINTER COLOR,"12""S"
OR,086505PT,#5 PATIO TREE,PINUS NIGRA BREPO R,57.50 ,7.33 , 2 , 3 ,Now         ,-,"16""S"
OR,04642M,#10 Squat,PINUS PARVIFLORA GLAUCA NANA,74.00 ,17.60 , 2 , 2 ,Now         ,WINTER COLOR,"45""H - 18""S"
OR,06552MOP,#10 Squat ORIENTAL POMPON,PINUS SYL FRENCH BLUE,89.00 ,26.39 , 2 , 3 ,Now         ,-,"48"" H"
OR,012595,#5,THUJA GREEN GIANT,20.50 ,4.89 , 5 , 20 ,Now         ,-,"44""H-18""S"
OR,073015,#5,THUJA OC EMERALD,20.50 ,4.89 , 5 , 20 ,Now         ,WINTER COLOR,"36""H-14""S"
OR,047442,#2,THUJA OC FIRE CHIEF TM P19009,14.50 ,2.44 , 5 , 10 ,Now         ,WINTER COLOR,"14""S"
OR,031195,#5,THUJA PLICATA GREEN SPORT,20.50 ,4.89 , 5 , 10 ,Now         ,-,"46""H-18""S"
OR,073285,#5,TSUGA CAN PENDULA,44.00 ,4.89 , 5 , 5 ,Now         ,WINTER COLOR,"38""H-14""S"
CA,001882,#2,AGAPANTHUS X MIDKNIGHT BLUE R,15.50 ,2.56 , 5 , 6 ,Now         ,-,5-7 FANS
OR,012032,#2,BER GOLDN NUGGET TM P9577 CBR,12.50 ,2.44 , 5 , 10 ,Now         ,BREAKING DORMANCY,6''H - 10''S
OR,035232,#2,BER T GOLDEN RUBY R PP16203,15.25 ,2.44 , 5 , 75 ,Now         ,BREAKING DORMANCY,8''H - 12''S
OR,012102,#2,BER T HELMOND PILLAR,12.50 ,2.44 , 5 , 10 ,Not Avl     ,-,
OR,035242,#2,BER T PYGMY RUBY TM,14.75 ,2.44 , 5 , 60 ,Now         ,BREAKING DORMANCY,"10""H - 12""S"
OR,012202,#2,BER T ROSE GLOW,12.50 ,2.44 , 5 , 20 ,Now         ,BREAKING DORMANCY,15''H - 14''S
OR,012212,#2,BER T ROYAL BURGUNDY R P9461,15.25 ,2.44 , 5 , 20 ,Now         ,BREAKING DORMANCY,"10""H - 12""S"
GA,074411S,SuperOne TM,BUD LO&BEHLD R BLU CHP PP19991,9.75 ,0.97 , 10 , 10 ,04/01/14    ,,
CA,013565PT,#5 PATIO TREE,BUDDLEJA DAV ROYAL RED,38.50 ,7.68 , 2 , 3 ,Now         ,-,"15""S"
GA,077392S,SuperTwo,BUDDLEJA MISS MOLLY PPAF,15.50 ,1.95 , 5 , 10 ,04/15/14    ,,
OR,027865,#5,CORNUS ALBA IVORYHALO TM,21.75 ,4.89 , 5 , 10 ,Now         ,DORMANT,"24""H - 18""S"
OR,029892S,SuperTwo,DEUTZIA CHRDNY PERLS R PP16098,15.00 ,3.26 , 5 , 10 ,Now         ,BREAKING DORMANCY,12''H - 10''S
CA,092755,#5,HYD M ENCHANTRESS R PPAF,22.50 ,5.12 , 5 , 10 ,Now         ,BREAKING DORMANCY,"10""H - 10""S"
GA,017311S,SuperOne TM,HYD M ENDLESS SUMMER R PP15298,8.75 ,0.97 , 10 , 10 ,Now         ,BREAKING DORMANCY,cut back
CA,077465,#5,HYD MAC LD R BIG EASY PPAF,22.00 ,5.12 , 5 , 20 ,Now         ,BREAKING DORMANCY,"14""H - 15""S"
GA,074592S,SuperTwo,HYD MAC LD R MOONLIGHT PP20020,16.00 ,1.95 , 5 , 10 ,Now         ,BREAKING DORMANCY,"10""H - 12""S"
CA,074595,#5,HYD MAC LD R MOONLIGHT PP20020,22.00 ,5.12 , 5 , 25 ,Now         ,BREAKING DORMANCY,"16""H - 14""S"
GA,074582S,SuperTwo,HYD MAC LD R STARLIGHT PP20019,16.00 ,1.95 , 5 , 10 ,Now         ,BREAKING DORMANCY,cut back
CA,038775,#5,HYD MAC MINI PENNY TM PP15744,22.25 ,5.12 , 5 , 10 ,Now         ,BREAKING DORMANCY,"12""H - 12""S"
GA,023755,#5,HYD MAC PENNY MAC,20.25 ,2.92 , 5 , 10 ,Now         ,BREAKING DORMANCY,"15""H - 15""S"
CA,042072,#2,HYD MAC PINK ELF R (PIA),15.25 ,2.56 , 5 , 10 ,Now         ,BREAKING DORMANCY,"8""H - 12""S"
CA,041975,#5,HYD MAC PINK N PRETTY R,19.25 ,5.12 , 5 , 10 ,Now         ,BREAKING DORMANCY,"12""H - 15""S"
CA,080952S,SuperTwo,HYD PAN BOBO R PP22782,16.00 ,3.41 , 5 , 20 ,Now         ,CUT BACK,.
GA,074602S,SuperTwo,HYD PAN QUICK FIRE R PP16812,16.00 ,1.95 , 5 , 5 ,Now         ,DORMANT,"14""H - 14""S"
CA,065385,#5,HYPERICUM AN IGNITE RED P19468,21.75 ,5.12 , 5 , 10 ,04/01/14    ,-,
GA,008865,#5,LAG DYNAMITE R P10296,22.00 ,2.92 , 5 , 10 ,Now         ,DORMANT,"28"" Height"
GA,008869BH,#15 BUSH,LAG DYNAMITE R P10296,75.00 ,16.94 ,     , 10 ,04/01/14    ,,
GA,008899,#15 CLUMP,LAG MUSKOGEE,75.00 ,16.94 , 1 , 10 ,Now         ,DORMANT,"72""H"
GA,009039,#15 CLUMP,LAG TUSCARORA,75.00 ,16.94 , 1 , 10 ,Now         ,DORMANT,"60"" H"
CA,054555,#5,LAG X PECOS,19.25 ,5.12 , 5 , 6 ,04/15/14    ,-,
GA,056357,#7 CLUMP,LAG X TONTO,40.00 ,8.27 , 2 , 7 ,05/15/14    ,,
OR,059587TR,#7 TREE,MAG X BLACK TULIP PPAF,70.00 ,12.22 , 2 , 3 ,Now         ,DORMANT,"94""H"
CA,068015,#5,PUNICA GR ANGEL RED R PP16578,26.50 ,5.12 , 5 , 5 ,Now         ,-,"24""H - 15""S *"
CA,070331,#1 STAKED,RUBUS BLACK SATIN BLACKBERRY,9.00 ,1.02 , 10 , 10 ,Now         ,-,"24""H"
CA,070041,#1,RUBUS HERITAGE RASPBERRY,9.00 ,1.02 , 10 , 10 ,Now         ,-,"24""H"
CA,079382,#2,RUBUS RSPBRY SHRTCKE TM P22141,15.50 ,2.56 , 5 , 10 ,Now         ,BREAKING DORMANCY,"8""H - 10""S"
OR,075032S,SuperTwo,SPIRAEA DBLPLAY R BIGBANG PPAF,15.00 ,3.26 , 5 , 10 ,Now         ,DORMANT,"8""H - 12""S"
OR,071805,#5,SYRINGA V ANGEL WHITE,22.50 ,4.89 , 5 , 6 ,Now         ,BREAKING DORMANCY,27''H - 16''S
OR,071905,#5,SYRINGA V LUDWIG SPAETH,22.50 ,4.89 , 5 , 10 ,Now         ,BREAKING DORMANCY,27''H - 16''S
OR,072165,#5,SYRINGA V SENSATION,22.50 ,4.89 , 5 , 10 ,Now         ,BREAKING DORMANCY,24''H - 16''S
OR,056232,#2,VACC BOUNTIFUL BLUE R PP19381,15.00 ,2.44 , 5 , 10 ,Now         ,-,10''H - 10''S
OR,073975,#5,VIB PLI T SUMMER SNOWFLAKE,20.25 ,4.89 , 5 , 10 ,Now         ,BREAKING DORMANCY,"18""H - 18""S"
GA,076562S,SuperTwo,WEIGELA FL WINE&ROSES R P10772,16.00 ,1.95 , 5 , 10 ,03/15/14    ,,
OR,076565,#5,WEIGELA FL WINE&ROSES R P10772,21.00 ,4.89 , 5 , 10 ,Now         ,DORMANT,"12""H - 16""S"
GA,028343,#3,ABELIA GRA KALEIDOSCOPE P16988,20.00 ,2.34 , 5 , 20 ,Now         ,,"12""H - 15""S"
OR,016631,#1,ANDROMEDA POL BLUE ICE,8.50 ,0.98 , 10 , 10 ,Now         ,BUDS,"4""H - 8""S"
OR,003562,#2,AUCUBA MR GOLDSTRIKE,14.75 ,2.44 , 5 , 10 ,Now         ,BUDS,12''H - 10''S
CA,003565,#5,AUCUBA MR GOLDSTRIKE,22.00 ,5.12 , 5 , 10 ,05/01/14    ,-,
GA,003567,#7,AUCUBA MR GOLDSTRIKE,50.00 ,8.27 , 2 , 8 ,Now         ,,"27""H - 18""S"
OR,003012,#2,BUXUS CHICAGOLAND GREEN R,14.75 ,2.44 , 5 , 10 ,Now         ,-,10''H - 12''S
OR,013891,#1,BUXUS GREEN VELVET,6.50 ,0.98 , 10 , 25 ,Now         ,-,"8""H - 8""S"
OR,013892,#2,BUXUS GREEN VELVET,14.75 ,2.44 , 5 , 10 ,Now         ,-,"10""H - 12""S"
OR,013895,#5,BUXUS GREEN VELVET,23.75 ,4.89 , 5 , 15 ,Now         ,-,"12""H - 14""S"
OR,013832,#2,BUXUS MIC WINTER GEM,14.00 ,2.44 , 5 , 10 ,Now         ,-,"12""H - 12""S"
GA,013835PY,#5 CONE,BUXUS MIC WINTER GEM,38.50 ,2.92 , 2 , 10 ,04/15/14    ,,
OR,013981,#1,BUXUS SEMP SUFFRUTICOSA,7.00 ,0.98 , 10 , 25 ,Now         ,-,8''H - 6''S
OR,013982,#2,BUXUS SEMP SUFFRUTICOSA,15.50 ,2.44 , 5 , 15 ,Now         ,-,10''H - 9''S
OR,013881,#1,BUXUS SEMP VARIEGATA,7.00 ,0.98 , 10 , 20 ,Now         ,-,8''H - 6''S
OR,013882,#2,BUXUS SEMP VARIEGATA,15.50 ,2.44 , 5 , 15 ,Now         ,-,"12""H - 10""S"
CA,031721,#1,CORDYLINE BAUERI,7.50 ,1.02 , 10 , 10 ,Now         ,-,"16""H"
GA,031721,#1,CORDYLINE BAUERI,7.50 ,0.58 , 10 , 40 ,Now         ,EXCEPTIONAL / ATTR'CTV FOLIAGE,"18""H"
GA,03172UT,LittleOne,CORDYLINE BAUERI,4.00 ,0.44 , 16 , 64 ,Now         ,EXCEPTIONAL,"8""H"
OR,049232,#2,DAPHNE ETRNL FRAGRANCE PP18361,17.75 ,2.44 , 5 , 10 ,Now         ,BUDS,10''H - 10''S
OR,034001,#1,EUO F EMERALD 'N GOLD,5.50 ,0.98 , 10 , 40 ,Now         ,-,8''H - 8''S
OR,034002,#2,EUO F EMERALD 'N GOLD,13.00 ,2.44 , 5 , 30 ,Now         ,-,8''H - 12''S
CA,033901,#1,EUO F EMERALD GAIETY,5.50 ,1.02 , 10 , 20 ,Now         ,WINTER COLOR,"6""H - 8""S"
OR,033902,#2,EUO F EMERALD GAIETY,13.00 ,2.44 , 5 , 30 ,Now         ,-,8''H - 12''S
OR,034502,#2,EUO F MOONSHADOW,13.75 ,2.44 , 5 , 10 ,Now         ,-,6''H - 12''S
CA,034802,#2,EUO J AUREO MARGINATUS,13.00 ,2.56 , 5 , 35 ,Now         ,-,"10""H - 10""S"
CA,034805,#5,EUO J AUREO MARGINATUS,18.50 ,5.12 , 5 , 50 ,Now         ,-,"15""H - 15""S"
CA,034901,#1,EUO J AUREOVARIEGATUS,6.25 ,1.02 , 10 , 30 ,04/01/14    ,-,
CA,034905,#5,EUO J AUREOVARIEGATUS,18.50 ,5.12 , 5 , 20 ,Now         ,-,"18""H - 15""S"
CA,035005PY,#5 CONE,EUO J GRANDIFOLIUS,38.50 ,5.12 , 2 , 6 ,04/01/14    ,-,
CA,035055,#5,EUO J GREEN SPIRE,18.25 ,5.12 , 5 , 10 ,04/01/14    ,-,
CA,035252,#2,EUO J MICRO SILVER PRINCESS TM,13.25 ,2.56 , 5 , 10 ,Now         ,-,"10""H - 10""S"
CA,035122,#2,EUO J MICRO SUNNY DELIGHT R,13.25 ,2.56 , 5 , 10 ,Now         ,-,"6""H - 10""S"
CA,035202,#2,EUO J SILVER KING,13.00 ,2.56 , 5 , 20 ,Now         ,-,"12""H - 10""S"
CA,035205,#5,EUO J SILVER KING,18.50 ,5.12 , 5 , 20 ,Now         ,-,"16""H - 13""S"
GA,035405,#5,EUO KIA MANHATTAN,18.25 ,2.92 , 5 , 20 ,04/01/14    ,,
GA,037705PT,#5 PATIO TREE,GARDENIA AUGUST BEAUTY,38.50 ,4.38 , 2 , 2 ,04/15/14    ,,
CA,037801,#1,GARDENIA VEITCHII,6.00 ,1.02 , 10 , 10 ,04/01/14    ,-,
CA,040805PT,#5 PATIO TREE,HIB R AMOUR,38.50 ,7.68 , 2 , 8 ,Now         ,-,"18""S"
GA,040905PT,#5 PATIO TREE,HIB R BRILLIANT,38.50 ,4.38 , 2 , 8 ,Now         ,BUDS & BLOOMS,"18""S"
GA,040985PT,#5 PATIO TREE,HIB R CHERIE,38.50 ,4.38 , 2 , 10 ,Now         ,BUDS,"18""S"
GA,025205PT,#5 PATIO TREE,HIB R ERIN RACHEL,38.50 ,4.38 , 2 , 10 ,Now         ,,"18""S"
GA,041205PT,#5 PATIO TREE,HIB R FULLMOON R,38.50 ,4.38 , 2 , 10 ,Now         ,BUDS & BLOOMS,"18""S"
GA,060615PT,#5 PATIO TREE,HIB R HOT BIKINI,38.50 ,4.38 , 2 , 10 ,Now         ,,"18""S"
GA,091425PT,#5 PATIO TREE,HIB R RED DARLING R,38.50 ,4.38 , 2 , 8 ,Now         ,,"18""S"
OR,042605,#5,ILEX AQ ARGENTEOMARGINATA,20.50 ,4.89 , 5 , 10 ,Now         ,-,27''H - 15''S
OR,042607,#7,ILEX AQ ARGENTEOMARGINATA,57.50 ,12.22 , 2 , 20 ,04/15/14    ,-,
GA,044935,#5,ILEX CREN SKY PENCIL(SKY SNTRY,20.50 ,2.92 , 5 , 10 ,Now         ,,"28""H"
GA,007592,#2,ILEX CREN SOFT TOUCH,13.25 ,1.46 , 5 , 10 ,Now         ,,"12""S"
GA,092655,#5,ILEX EMRLD COLONNADE R PP23905,21.75 ,2.92 , 5 , 10 ,04/01/14    ,,
OR,074945,#5,ILEX X CASTLE WALL TM PP14308,22.00 ,4.89 , 5 , 6 ,Now         ,-,30''H - 15''S
OR,019655,#5,ILEX X RED BEAUTY R PP14750,21.75 ,4.89 , 5 , 10 ,06/01/14    ,-,
OR,019657,#7,ILEX X RED BEAUTY R PP14750,55.00 ,12.22 , 2 , 6 ,Now         ,FULL BERRIES,40''H - 18''S
CA,046632,#2,JASMINUM SAMBAC GRAND DUKE,15.50 ,2.56 , 5 , 6 ,04/15/14    ,,
CA,057291,#1,LAURUS NOBILIS,6.50 ,1.02 , 10 , 10 ,04/01/14    ,-,
GA,037425,#5,LORO C EVER RED R,23.75 ,2.92 , 5 , 20 ,Now         ,,"14""H - 16""S"
OR,062125,#5,NAND DOM GULF STREAM,21.50 ,4.89 , 5 , 10 ,Now         ,-,"14""H 14""S"
CA,063232,#2,OSMANTHUS HET GOSHIKI,15.00 ,2.56 , 5 , 10 ,Now         ,-,"10""H - 10""S"
OR,065322,#2,PIERIS J VARIEGATA,15.50 ,2.44 , 5 , 10 ,Now         ,BUDS & BLOOMS,"10""H - 10""S"
OR,065225,#5,PIERIS TAIWAN PRELUDE,23.75 ,4.89 , 5 , 10 ,04/01/14    ,-,
GA,066371,#1,PLUMBAGO ROYAL CAPE R,6.50 ,0.58 , 10 , 10 ,Now         ,,"10""H - 8""S"
OR,019095,#5,PRUNUS LAUR ETNA,22.25 ,4.89 , 5 , 20 ,Now         ,-,"30""H - 18""S"
OR,067175,#5,PRUNUS LAUR SCHIPKAENSIS,21.75 ,4.89 , 5 , 20 ,Now         ,-,"27""H - 15""S"
OR,067177,#7,PRUNUS LAUR SCHIPKAENSIS,40.00 ,12.22 , 2 , 10 ,Now         ,-,"40""H - 24""S"
CA,021301,#1,ROSMARINUS OFF BBQ,6.75 ,1.02 , 10 , 20 ,Now         ,-,"10""H - 7""S *"
CA,070281,#1,ROSMARINUS OFF TUSCAN BLUE,6.75 ,1.02 , 10 , 20 ,Now         ,-,"8""H - 8""S"
OR,071052,#2,SKIMMIA JAPONICA-FEMALE,17.25 ,2.44 , 5 , 10 ,Now         ,BUDS & BLOOMS,10''H - 12''S
OR,071082,#2,SKIMMIA REEVESIANA,18.25 ,2.44 , 5 , 10 ,05/01/14    ,-,
CA,012542,#2,TECOMA STANS GOLD STAR,14.75 ,2.56 , 5 , 5 ,Now         ,BUDS,"12""H-10""S"
CA,077232,#2,YUCCA FIL GOLDEN SWORD,16.25 ,2.56 , 5 , 15 ,Now         ,-,"12""H - 10""S"
CA,077222,#2,YUCCA FIL IVORY TOWER,13.75 ,2.56 , 5 , 5 ,Now         ,-,"12""H - 10""S"
GA,003151,#1,ASPARAGUS MYERS,7.50 ,0.58 , 10 , 20 ,Now         ,,"8""H"
GA,022061,#1,FERN-ATHYRIUM BURG LACE P15072,5.50 ,0.58 , 10 , 10 ,04/01/14    ,,
CA,022041,#1,FERN-ATHYRIUM REGAL RED,5.50 ,1.02 , 10 , 10 ,Now         ,EMERGING,"12""H"
OR,028121,#1,FERN-BLECHNUM SPICANT,6.50 ,0.98 , 10 , 10 ,Now         ,CUT BACK,.
OR,036455,#5,FERN-MATTEUCCIA STRUTHIOPTERIS,21.75 ,4.89 , 5 , 5 ,Now         ,DORMANT,*
GA,083721,#1,FERN-POLYSTICHUM POLYBLEPHARUM,5.50 ,0.58 , 10 , 10 ,Now         ,,CAN FULL
GA,005091,#1,FERN-THELYPTERIS DECUR-PINNATA,6.00 ,0.58 , 10 , 10 ,04/01/14    ,,
OR,001421,#1,GR-ACORUS GR OGON,6.50 ,0.98 , 10 , 20 ,Now         ,-,"8""H"
GA,05903UT,LittleOne,GR-ACORUS GRAMINEUS OBOROZUKI,3.00 ,0.44 , 16 , 32 ,04/01/14    ,,
CA,022581,#1,GR-CAREX BUCHANANII,6.25 ,1.02 , 10 , 10 ,Now         ,WINTER COLOR,"17""H *"
CA,028045,#5,GR-CORT IVORY FEATHERS R,17.50 ,5.12 , 5 , 5 ,Now         ,WINTER COLOR,"14""H"
GA,036671,#1,GR-FESTUCA GLAUCA ELIJAH BLUE,5.75 ,0.58 , 10 , 10 ,03/17/14    ,,
OR,038681,#1,GR-HAKONECHLOA MACRA AUREOLA,8.00 ,0.98 , 10 , 10 ,Now         ,CUT BACK,.
GA,061815,#5,GR-MIS SIN ADAGIO,17.50 ,2.92 , 5 , 10 ,05/01/14    ,,
CA,061745,#5,GR-MIS SIN CABARET,17.50 ,5.12 , 5 , 10 ,Now         ,-,"15""H"
CA,061565,#5,GR-MIS SIN GRACILLIMUS,17.50 ,5.12 , 5 , 10 ,Now         ,CUT BACK,"5""H"
GA,061575,#5,GR-MIS SIN VARIEGATUS,17.50 ,2.92 , 5 , 10 ,04/15/14    ,,
CA,061645,#5,GR-MIS SIN YAKUSHIMA,17.50 ,5.12 , 5 , 10 ,Now         ,CUT BACK,"5""H"
GA,064271,#1,GR-PENN SET RUBRUM,6.00 ,0.58 , 10 , 20 ,Now         ,,"8""H"
CA,064275,#5,GR-PENN SET RUBRUM,17.50 ,5.12 , 5 , 6 ,Now         ,CUT BACK,"8""H"
GA,05892UT,LittleOne,LIRIOPE SPICATA SILVER DRAGON,3.25 ,0.44 , 16 , 32 ,04/01/14    ,CUT BACK,
