Loc,Item,Size,Description,Common Name,CAT,Zone,Condition,Current Specs,Plant Status,QTY AVAIL,List Price,UPC#,Sale Price,AVL Flag,,,,,,
CA,000171ST,#1 STAKED,ABUTILON ALBUS,White Flowering Maple                                       ,EVS,09,BUDS & BLOOMS,3/14ST,, 49 , 8.00 ,014949378311,          ,N,,,,,,
CA,000151ST,#1 STAKED,ABUTILON LUTEUS,Yellow Flowering Maple                                      ,EVS,09,BUDS & BLOOMS,3/4ST,, 98 , 8.00 ,014949378304,          ,I,,,,,,
CA,040315ST,#5 STAKED,ALYOGYNE LEON'S PUR DELIGHT TM,Leon's Purple Delight™  Lilac Hibiscus,EVS,09,BUDS & BLOOMS,"36""H",, 184 , 26.00 ,014949375679,          ,I,,,,,,
CA,002425ST,#5 STAKED,ALYOGYNE SANTA CRUZ,Lilac Hibiscus                                              ,EVS,09,BUDS & BLOOMS,"36""H",, 292 , 26.00 ,014949375198,          ,I,,,,,,
CA,012701,#1 STAKED,BOUG BARBARA KARST,Barbara Karst Bougainvillea                                 ,VIN,10,BUDS & BLOOMS,"24""H",, 597 , 7.25 ,014949127018,          , ,,,,,,
CA,013035,#5 STAKED,BOUG DON MARIO R,Don Mario®  Bougainvillea,VIN,10,BUDS & BLOOMS,"48""H",, 161 , 24.50 ,014949130353,          ,I,,,,,,
CA,012662,#2 STAKED,BOUG GOLD RUSH TM,Gold Rush™  Bougainvillea,VIN,10,BUDS & BLOOMS,"32""H",, 11 , 18.00 ,014949232071,          , ,,,,,,
CA,013055,#5 STAKED,BOUG PURPLE QUEEN R,Purple Queen®  Bougainvillea,VIN,10,BUDS & BLOOMS,"48""H",, 182 , 24.50 ,014949130551,          ,N,,,,,,
CA,037022BH,#2 BUSH,BOUG RED,Red Bougainvillea                                           ,VIN,10,BUDS & BLOOMS,"10""H-12""S",, 15 , 17.50 ,014949372647,          , ,,,,,,
CA,038141,#1 STAKED,BOUG SHARON WESLEY,Sharon Wesley Bougainvillea                                 ,VIN,10,BUDS & BLOOMS,"24""H",, 417 , 7.25 ,014949233818,          , ,,,,,,
CA,038145,#5 STAKED,BOUG SHARON WESLEY,Sharon Wesley Bougainvillea                                 ,VIN,10,BUDS & BLOOMS,"48""H",, 37 , 24.50 ,014949218648,          , ,,,,,,
CA,013455,#5 STAKED,BOUG TEXAS DAWN TM,Texas Dawn™  Bougainvillea,VIN,10,BUDS & BLOOMS,"48""H",, 38 , 24.50 ,014949134559,          ,I,,,,,,
