Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
170000,00102ECP,ACER PAL SANGOKAKU POSTER,MKT,,,,,,,,
170000,1955,ALBIZIA JUL ROSEA,TRE,,,,,,,,
170000,27501,ASTILBE COLOR FLASH R PP17343,PRN,,,,,,,,
170000,078761S,AZ BLM-A-THON TM DB PK PP21477,RHO,,,,,,,,
170000,078782S,AZ BLM-A-THON TM WHITE PP21512,RHO,,,,,,,,
170000,012425MU,BETULA NIGRA,TRE,,,,,,,,
170000,074412S,BUD LO&BEHLD R BLU CHP PP19991,DCS,,,,,,,,
170000,13782,BUDDLEJA DAV BLACK KNIGHT,DCS,,,,,,,,
170000,077391S,BUDDLEJA MISS MOLLY PPAF,DCS,,,,,,,,
170000,077392S,BUDDLEJA MISS MOLLY PPAF,DCS,,,,,,,,
170000,13823,BUXUS GREEN MOUNTAIN,EVS,,,,,,,,
170000,13825,BUXUS GREEN MOUNTAIN,EVS,,,,,,,,
170000,013825PY,BUXUS GREEN MOUNTAIN,EVS,,,,,,,,
170000,13891,BUXUS GREEN VELVET,EVS,,,,,,,,
170000,13892,BUXUS GREEN VELVET,EVS,,,,,,,,
170000,13892,BUXUS GREEN VELVET,EVS,,,,,,,,
170000,13895,BUXUS GREEN VELVET,EVS,,,,,,,,
170000,13831,BUXUS MIC WINTER GEM,EVS,,,,,,,,
170000,13831,BUXUS MIC WINTER GEM,EVS,,,,,,,,
170000,13831,BUXUS MIC WINTER GEM,EVS,,,,,,,,
170000,013835PY,BUXUS MIC WINTER GEM,EVS,,,,,,,,
170000,01383ECP,BUXUS MIC WINTER GEM POSTER,MKT,,,,,,,,
170000,099527PX,CAT PSTR-FLWRNG SHRUBS-2 SIDED,MKT,,,,,,,,
170000,099597PX,CATEG. POSTER-CONIFERS-2 SIDED,MKT,,,,,,,,
170000,098077PX,CATEGORY POSTER-GRASSES,MKT,,,,,,,,
170000,098067PX,CATEGORY POSTER-PERENNIALS,MKT,,,,,,,,
170000,098267PX,CATEGORY POSTER-SHADE,MKT,,,,,,,,
170000,23305,CEDRUS ATLANTICA GLAUCA,CON,,,,,,,,
170000,17855,CERCIS LAVENDER TWIST R P10328,TRE,,,,,,,,
170000,17857,CERCIS LAVENDER TWIST R P10328,TRE,,,,,,,,
170000,02365M,CHAM NOOT PENDULA,CON,,,,,,,,
170000,23655,CHAM NOOT PENDULA,CON,,,,,,,,
170000,23791,CHAM OBT KOSTERI,CON,,,,,,,,
170000,099427PX,CLAY SOIL POSTER,MKT,,,,,,,,
170000,04448ECP,CLEM JACKMANII SUPERBA POSTER,MKT,,,,,,,,
170000,44481,CLEM X JACKMANII SUPERBA,VIN,,,,,,,,
170000,27961,COREOPSIS VERT MOONBEAM,PRN,,,,,,,,
170000,27961,COREOPSIS VERT MOONBEAM,PRN,,,,,,,,
170000,27961,COREOPSIS VERT MOONBEAM,PRN,,,,,,,,
170000,27971,COREOPSIS VERT ZAGREB,PRN,,,,,,,,
170000,27971,COREOPSIS VERT ZAGREB,PRN,,,,,,,,
170000,27971,COREOPSIS VERT ZAGREB,PRN,,,,,,,,
170000,27732,CORNUS ALBA ELEGANTISSIMA,DCS,,,,,,,,
170000,27735,CORNUS ALBA ELEGANTISSIMA,DCS,,,,,,,,
170000,29451,COT HOR PERPUSILLUS,EVS,,,,,,,,
170000,31385,CYTISUS ALLGOLD,DCS,,,,,,,,
170000,099517PX,DEER RESISTANT GDN-2 SIDED,MKT,,,,,,,,
170000,4721,DIANTHUS GRAT FIREWITCH,PRN,,,,,,,,
170000,4721,DIANTHUS GRAT FIREWITCH,PRN,,,,,,,,
