Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
,028342,ABELIA GRA KALEIDOSCOPE P16988,,,,,,,,,
,025692,ABELIA GRA ROSE CREEK,,,,,,,,,
,00075M,ACER PAL BLOODGOOD,,,,,,,,,
,40039M,ACER PAL RED SELECT,,,,,,,,,
,40043M,ACER PAL VIRIDIS,,,,,,,,,
,002535MU,AMEL AUTUMN BRILLIANCE R,,,,,,,,,
,400755,ARONIA MEL AUTUMN MAGIC,,,,,,,,,
,001011,ARTEMISIA SCHM SILVER MOUND,,,,,,,,,
,078762S,AZ BLM-A-THON TM DB PK PP21477,,,,,,,,,
,077411S,BUD LO&BEHLD R PRPL HAZE PPAF,,,,,,,,,
,077412S,BUD LO&BEHLD R PRPL HAZE PPAF,,,,,,,,,
,013825CN,BUXUS GREEN MOUNTAIN,,,,,,,,,
,013825PY,BUXUS GREEN MOUNTAIN,,,,,,,,,
,013892,BUXUS GREEN VELVET,,,,,,,,,
,013902,BUXUS S GREEN TOWER R PP15243,,,,,,,,,
,003175,CALLICARPA DICH EARLY AMETHYST,,,,,,,,,
,023315ST,CEDRUS ATLANTICA GLAUCA PNDULA,,,,,,,,,
,023902,CHAM OBT FILICOIDES,,,,,,,,,
,024191,CHELONE HOT LIPS,,,,,,,,,
,080842S,CORNUS STO PUCKERED UP TM PPAF,,,,,,,,,
,028145,COTINUS COG ROYAL PURPLE,,,,,,,,,
,029892S,DEUTZIA CHRDNY PERLS R PP16098,,,,,,,,,
,031572,DEUTZIA GRACILIS NIKKO,,,,,,,,,
,091882,DEUTZIA X NIKKO BLUSH NA74356,,,,,,,,,
,074822S,FORSYTHIA X SHOW OFF TM P19321,,,,,,,,,
,037611,GAILLARDIA GOBLIN,,,,,,,,,
,041713,HYD ARB ANNABELLE,,,,,,,,,
,024377PT,HYD PAN LIMELIGHT PP12874,,,,,,,,,
,403997PT,HYD PAN PHANTOM,,,,,,,,,
,074617PT,HYD PAN PINKY WINKY TM PP16166,,,,,,,,,
,048163,HYD QUER RUBY SLIPPERS,,,,,,,,,
,042132,HYPERICUM FRONDOSUM SUNBURST,,,,,,,,,
,009012,LAG POCOMOKE,,,,,,,,,
,404372,LAG RED FILLI PP14353,,,,,,,,,
,404392,LAG VIOLET FILLI PP14267,,,,,,,,,
,056355,LAG X TONTO,,,,,,,,,
,054575,LAG X ZUNI,,,,,,,,,
,009791,LIRIOPE MUSCARI VARIEGATA,,,,,,,,,
,060437,MAG G BRACKENS BROWN BEAUTY,,,,,,,,,
,031211,PHLOX VLCNO R PK RD EYE P16341,,,,,,,,,
,023731,PHLOX VLCNO R WHITE PP16436,,,,,,,,,
,064577ST,PICEA ABIES PENDULA,,,,,,,,,
,065312,PIERIS J VALLEY VALENTINE,,,,,,,,,
,066371,PLUMBAGO ROYAL CAPE R,,,,,,,,,
,066782,POTENTILLA FROSTY R P10987,,,,,,,,,
,06695M,PRUNUS PEN PLENO ROSEA,,,,,,,,,
,035611,PULMONARIA TREVI FOUNTN P13047,,,,,,,,,
,070615PT,SALIX INTEGRA HAKURO NISHIKI,,,,,,,,,
,070971,SCABIOSA COL BUTTERFLY BLUE,,,,,,,,,
,017675,SYMPH CHARMNG FANTSY TM P13204,,,,,,,,,
,071865,SYRINGA MEYERI PALIBIN,,,,,,,,,
,056232,VACC BOUNTIFUL BLUE R PP19381,,,,,,,,,
,074711S,WEIGELA FL MY MONET R PP16824,,,,,,,,,
