Loc,Item,Size,Description
CA,64081,#1,ALOE BLUE ELF
GA,48541,#1,DELOSPERMA DY RED MOUNTAIN R
CA,78741,#1,DELOSPERMA FIRE SPINNER R
CA,43071,#1,CITRUS HYSTRIX (KAFFIR LIME)
CA,26001,#1,CITRUS IMPROVED MEYER LEMON
CA,26002,#2,CITRUS IMPROVED MEYER LEMON
CA,26005,#5,CITRUS IMPROVED MEYER LEMON
CA,026005PT,#5 PATIO TREE,CITRUS IMPROVED MEYER LEMON
CA,25785,#5,CITRUS LISBON LEMON
CA,025785PT,#5 PATIO TREE,CITRUS LISBON LEMON
CA,026605PT,#5 PATIO TREE,CITRUS OWA SATSUMA MANDARIN
CA,66432,#2,CITRUS SEEDLESS KISHU MANDARIN
OR,23285,#5,CEDRUS DEODARA FEELIN BLUE
OR,023285PT,#5 PATIO TREE,CEDRUS DEODARA FEELIN BLUE
OR,051275PT,#5 PATIO TREE,CEDRUS FEELIN SUNNY R PP23886
OR,24662,#2,CEPHALOTAXUS HAR DUKE GARDENS
OR,17385,#5,CEPHALOTAXUS HAR FASTIGIATA
OR,28832,#2,CEPHALOTAXUS HAR PROSTRATA
OR,23912,#2,CHAM OBT TEMPELHOF
OR,24031,#1,CHAM PIS FIL GOLDEN CHARM
OR,24032,#2,CHAM PIS FIL GOLDEN CHARM
OR,24035,#5,CHAM PIS FIL GOLDEN CHARM
CA,30525,#5,CUP LEY CASTLEWELLAN
GA,30517,#7,CUP LEY EMERALD ISLE R
GA,30509,#15,CUP LEYLANDII
OR,46875,#5,JUN C BLUE POINT
OR,84652,#2,JUN C DAUB'S FROSTED
CA,048002P2,#2 2BALL POODLE,JUN C MINT JULEP R
CA,048002PP,#2 POMPON,JUN C MINT JULEP R
CA,048002SP,#2 SPIRAL,JUN C MINT JULEP R
CA,048005OP,#5 ORIENTAL POMPON,JUN C MINT JULEP R
CA,048005SP,#5 SPIRAL,JUN C MINT JULEP R
OR,48132,#2,JUN C SEA OF GOLD R PP17622
OR,48135,#5,JUN C SEA OF GOLD R PP17622
CA,47307,#7,JUN C SPARTAN
CA,048705OP,#5 ORIENTAL POMPON,JUN C TORULOSA
GA,49102,#2,JUN CON BLUE PACIFIC
OR,49902,#2,JUN H ICEE BLUE R P9639
OR,50902,#2,JUN PRO NANA
CA,50902,#2,JUN PRO NANA
CA,050905PT,#5 PATIO TREE,JUN PRO NANA
CA,05365M,#10 Squat,JUN V BLUE ARROW
OR,38512,#2,MICROBIOTA DRWS BLUE TM P20298
OR,64545,#5,PICEA ABIES CUPRESSINA
OR,64552,#2,PICEA ABIES LITTLE GEM
OR,064555PT,#5 PATIO TREE,PICEA ABIES LITTLE GEM
OR,64562,#2,PICEA ABIES NIDIFORMIS
OR,64585,#5,PICEA ABIES PUMILA
OR,52552,#2,PICEA ABIES PUSCH
OR,064621LR,#1,PICEA GL CONICA
OR,64622,#2,PICEA GL CONICA
OR,64625,#5,PICEA GL CONICA
OR,064625SP,#5 SPIRAL,PICEA GL CONICA
OR,64472,#2,PICEA MARIANA NANA
OR,64785,#5,PICEA PUN GLAUCA FAT ALBERT
OR,06478M,#10 Squat,PICEA PUN GLAUCA FAT ALBERT
OR,064695PT,#5 PATIO TREE,PICEA PUN GLOBOSA
OR,65452,#2,PINUS MUGO PUMILIO
OR,65455,#5,PINUS MUGO PUMILIO
OR,65665,#5,PINUS T MAJESTIC BEAUTY R
OR,72342,#2,TAXUS EMERALD SPREADR R P10335
OR,72382,#2,TAXUS X MEYERI
OR,73015,#5,THUJA OC EMERALD
OR,51322,#2,TSUGA C GOLDEN DUCHESS TM PPAF
OR,73435,#5,TSUGA CAN EMERALD FOUNTAIN R
OR,12032,#2,BER GOLDN NUGGET TM P9577 CBR
OR,080771S,SuperOne TM,BER SUNJOY R MINI SALSA PPAF
OR,35232,#2,BER T GOLDEN RUBY R PP16203
OR,62932,#2,BER T ORANGE ROCKET PP18411
OR,35241,#1,BER T PYGMY RUBY TM
OR,35242,#2,BER T PYGMY RUBY TM
OR,12202,#2,BER T ROSE GLOW
OR,29662,#2,BER T ROYAL CLOAK
GA,074411S,SuperOne TM,BUD LO&BEHLD R BLU CHP PP19991
GA,077411S,SuperOne TM,BUD LO&BEHLD R PRPL HAZE PPAF
GA,077392S,SuperTwo,BUDDLEJA MISS MOLLY PPAF
GA,074402S,SuperTwo,BUDDLEJA X MISS RUBY PPAF
CA,92892,#2,CARY CLA KORBALL BLU BALLOON R
OR,074432S,SuperTwo,CEANOTHUS X MARIE BLEU TM PPAF
OR,17455,#5,CORYLUS AV CONTORTA-OWN ROOT
OR,28552,#2,COT APICULATUS TOM THUMB
OR,16612,#2,COTINUS C GOLDEN SPIRIT P13082
OR,31381,#1,CYTISUS ALLGOLD
OR,31382,#2,CYTISUS ALLGOLD
OR,31361,#1,CYTISUS LENA
OR,31572,#2,DEUTZIA GRACILIS NIKKO
OR,53531,#1,FUCHSIA DEBRON'S BLACK CHERRY
GA,71541,#1,FUCHSIA GARTENMEISTER BONSTEDT
CA,074532S,SuperTwo,HYD A INVINCE SPIRIT R PP20765
CA,74535,#5,HYD A INVINCE SPIRIT R PP20765
GA,077442S,SuperTwo,HYD ABRACADABRA TM ORB PP21635
GA,077452S,SuperTwo,HYD ABRACADABRA TM STR PP21636
OR,56452,#2,HYD ASPERA PLUM PASSION R
GA,92755,#5,HYD M ENCHANTRESS R PPAF
GA,017311S,SuperOne TM,HYD M ENDLESS SUMMER R PP15298
CA,074561S,SuperOne TM,HYD MAC CTYLN TM PARIS PP10906
CA,074541S,SuperOne TM,HYD MAC CTYLN TM RIO
CA,074571S,SuperOne TM,HYD MAC CTYLN TM VENICE P10928
CA,077462S,SuperTwo,HYD MAC LD R BIG EASY PPAF
GA,077462S,SuperTwo,HYD MAC LD R BIG EASY PPAF
CA,77465,#5,HYD MAC LD R BIG EASY PPAF
CA,42072,#2,HYD MAC PINK ELF R (PIA)
GA,089951S,SuperOne TM,HYD P LITTLE QUICK FIRE R PPAF
CA,080952S,SuperTwo,HYD PAN BOBO R PP22782
CA,024372S,SuperTwo,HYD PAN LIMELIGHT PP12874
CA,24375,#5,HYD PAN LIMELIGHT PP12874
CA,029922S,SuperTwo,HYD PAN LITTLE LIME PPAF
CA,074611S,SuperOne TM,HYD PAN PINKY WINKY TM PP16166
OR,93172,#2,HYD QUER NA73936 MUNCHKIN
CA,080962S,SuperTwo,HYD SER TUFF STUFF TM PPAF
CA,65381,#1,HYPERICUM AN IGNITE RED P19468
GA,074622S,SuperTwo,HYPERICUM SUNNY BLVD TM P20045
GA,54705,#5,LAG CATAWBA
GA,8865,#5,LAG DYNAMITE R P10296
GA,8899,#15 CLUMP,LAG MUSKOGEE
GA,9025,#5,LAG RED ROCKET R PP11342
GA,9039,#15 CLUMP,LAG TUSCARORA
OR,66772,#2,POTENTILLA RED ACE
OR,66742,#2,POTENTILLA SUNSET
OR,91115,#5,RIBES SANG KING EDWARD VII
CA,79382,#2,RUBUS RSPBRY SHRTCKE TM P22141
OR,70612,#2,SALIX INTEGRA HAKURO NISHIKI
OR,075011S,SuperOne TM,SPIRAEA DBLPLAY R ARTIST PPAF
OR,075031S,SuperOne TM,SPIRAEA DBLPLAY R BIGBANG PPAF
OR,075021S,SuperOne TM,SPIRAEA DBLPLAY R GOLD PPAF
OR,71302,#2,SPIRAEA NIPPON SNOWMOUND
CA,71612,#2,SPIRAEA X VAN RENAISSANCE
OR,074681S,SuperOne TM,SYRINGA BLOOMERNG R PUR P20575
OR,074682S,SuperTwo,SYRINGA BLOOMERNG R PUR P20575
OR,56232,#2,VACC BOUNTIFUL BLUE R PP19381
OR,21742,#2,VACCINIUM CORY SUNSHINE BLUE
OR,074711S,SuperOne TM,WEIGELA FL MY MONET R PP16824
OR,076561S,SuperOne TM,WEIGELA FL WINE&ROSES R P10772
OR,17571,#1,WEIGELA MAGICAL R FNTSY P13567
GA,28343,#3,ABELIA GRA KALEIDOSCOPE P16988
OR,16631,#1,ANDROMEDA POL BLUE ICE
OR,16632,#2,ANDROMEDA POL BLUE ICE
OR,2951,#1,ARCTOSTAPHYLOS MASSACHUSETTS
OR,3561,#1,AUCUBA MR GOLDSTRIKE
CA,3561,#1,AUCUBA MR GOLDSTRIKE
OR,3562,#2,AUCUBA MR GOLDSTRIKE
CA,3562,#2,AUCUBA MR GOLDSTRIKE
GA,3565,#5,AUCUBA MR GOLDSTRIKE
CA,3602,#2,AUCUBA PICTURATA
OR,3011,#1,BUXUS CHICAGOLAND GREEN R
OR,3012,#2,BUXUS CHICAGOLAND GREEN R
OR,3015,#5,BUXUS CHICAGOLAND GREEN R
OR,013821S,SuperOne TM,BUXUS GREEN MOUNTAIN
OR,13825,#5,BUXUS GREEN MOUNTAIN
OR,13831,#1,BUXUS MIC WINTER GEM
CA,13831,#1,BUXUS MIC WINTER GEM
GA,13831,#1,BUXUS MIC WINTER GEM
OR,13832,#2,BUXUS MIC WINTER GEM
CA,13832,#2,BUXUS MIC WINTER GEM
OR,13835,#5,BUXUS MIC WINTER GEM
CA,13835,#5,BUXUS MIC WINTER GEM
GA,13835,#5,BUXUS MIC WINTER GEM
CA,013835PY,#5 CONE,BUXUS MIC WINTER GEM
GA,13837,#7,BUXUS MIC WINTER GEM
OR,13902,#2,BUXUS S GREEN TOWER R PP15243
OR,13981,#1,BUXUS SEMP SUFFRUTICOSA
OR,13982,#2,BUXUS SEMP SUFFRUTICOSA
OR,13881,#1,BUXUS SEMP VARIEGATA
OR,13882,#2,BUXUS SEMP VARIEGATA
OR,57381,#1,CESTRUM AUR ORANGE PEEL
CA,31731,#1,CORD FESTIVAL TM BRGNDY P14224
GA,31721,#1,CORDYLINE BAUERI
OR,30252,#2,COT STREIB'S FINDLING
OR,49231,#1,DAPHNE ETRNL FRAGRANCE PP18361
OR,49232,#2,DAPHNE ETRNL FRAGRANCE PP18361
OR,34002,#2,EUO F EMERALD 'N GOLD
CA,34802,#2,EUO J AUREO MARGINATUS
CA,34805,#5,EUO J AUREO MARGINATUS
